date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2025-06-25 00:00:00,30,14,0.0,10.0,5,0,05:36 AM,09:38 PM,06:06 AM,08:58 PM,14,14,14,14,16,36,96,0.0,1016,14,2,251,8,"Alandroal,Portugal"
2025-06-25 12:00:00,30,14,0.0,10.0,5,0,05:36 AM,09:38 PM,06:06 AM,08:58 PM,11,27,27,27,13,12,36,0.0,1017,27,10,272,12,"Alandroal,Portugal"
2025-06-26 00:00:00,35,14,0.0,14.0,6,0,06:46 AM,10:27 PM,06:06 AM,08:58 PM,14,17,17,17,23,0,83,0.0,1020,17,10,322,13,"Alandroal,Portugal"
2025-06-26 12:00:00,35,14,0.0,14.0,6,0,06:46 AM,10:27 PM,06:06 AM,08:58 PM,8,29,29,31,13,0,24,0.0,1019,31,10,345,11,"Alandroal,Portugal"
2025-06-27 00:00:00,40,17,0.0,14.0,7,7,07:59 AM,11:07 PM,06:07 AM,08:58 PM,14,19,19,19,29,0,73,0.0,1021,19,10,342,14,"Alandroal,Portugal"
2025-06-27 12:00:00,40,17,0.0,14.0,7,7,07:59 AM,11:07 PM,06:07 AM,08:58 PM,9,36,36,37,7,3,18,0.0,1020,37,10,52,6,"Alandroal,Portugal"
2025-06-28 00:00:00,42,21,0.0,13.0,8,15,09:12 AM,11:38 PM,06:07 AM,08:58 PM,12,25,25,23,23,2,49,0.0,1020,23,10,340,11,"Alandroal,Portugal"
2025-06-28 12:00:00,42,21,0.0,13.0,8,15,09:12 AM,11:38 PM,06:07 AM,08:58 PM,8,38,38,39,11,0,15,0.0,1020,39,10,351,10,"Alandroal,Portugal"
2025-06-29 00:00:00,43,25,0.0,13.0,8,22,10:20 AM,No moonset,06:08 AM,08:58 PM,11,26,26,27,20,46,36,0.0,1019,27,10,319,9,"Alandroal,Portugal"
2025-06-29 12:00:00,43,25,0.0,13.0,8,22,10:20 AM,No moonset,06:08 AM,08:58 PM,6,42,42,41,9,9,12,0.0,1017,41,10,81,8,"Alandroal,Portugal"
2025-06-30 00:00:00,42,26,0.0,14.0,8,30,11:25 AM,12:03 AM,06:08 AM,08:58 PM,10,28,28,29,25,2,31,0.0,1017,29,10,74,12,"Alandroal,Portugal"
2025-06-30 12:00:00,42,26,0.0,14.0,8,30,11:25 AM,12:03 AM,06:08 AM,08:58 PM,7,40,40,40,10,0,14,0.0,1014,40,10,313,8,"Alandroal,Portugal"
2025-07-01 00:00:00,41,23,0.0,14.0,8,36,12:27 PM,12:26 AM,06:09 AM,08:58 PM,11,27,27,28,17,4,36,0.0,1014,28,10,130,8,"Alandroal,Portugal"
2025-07-01 12:00:00,41,23,0.0,14.0,8,36,12:27 PM,12:26 AM,06:09 AM,08:58 PM,9,39,39,39,2,4,17,0.0,1012,39,10,211,2,"Alandroal,Portugal"
