date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2025-06-25 00:00:00,28,14,0.0,12.0,6,0,05:39 AM,09:45 PM,06:09 AM,09:05 PM,14,15,15,15,8,17,93,0.0,1016,15,10,268,4,"Almeirim,Portugal"
2025-06-25 12:00:00,28,14,0.0,12.0,6,0,05:39 AM,09:45 PM,06:09 AM,09:05 PM,13,27,27,27,19,20,40,0.0,1017,27,10,291,17,"Almeirim,Portugal"
2025-06-26 00:00:00,32,15,0.0,15.0,5,0,06:49 AM,10:34 PM,06:10 AM,09:05 PM,15,16,16,16,16,9,94,0.0,1020,16,2,310,9,"Almeirim,Portugal"
2025-06-26 12:00:00,32,15,0.0,15.0,5,0,06:49 AM,10:34 PM,06:10 AM,09:05 PM,11,29,29,30,17,0,30,0.0,1020,30,10,344,14,"Almeirim,Portugal"
2025-06-27 00:00:00,36,15,0.0,15.0,6,7,08:03 AM,11:13 PM,06:10 AM,09:05 PM,15,16,16,16,20,2,92,0.0,1022,16,10,319,10,"Almeirim,Portugal"
2025-06-27 12:00:00,36,15,0.0,15.0,6,7,08:03 AM,11:13 PM,06:10 AM,09:05 PM,12,34,34,34,5,0,26,0.0,1021,34,10,309,4,"Almeirim,Portugal"
2025-06-28 00:00:00,40,17,0.0,14.0,7,15,09:16 AM,11:44 PM,06:11 AM,09:05 PM,13,18,18,18,17,18,73,0.0,1020,18,10,310,8,"Almeirim,Portugal"
2025-06-28 12:00:00,40,17,0.0,14.0,7,15,09:16 AM,11:44 PM,06:11 AM,09:05 PM,12,36,36,36,9,2,23,0.0,1020,36,10,352,8,"Almeirim,Portugal"
2025-06-29 00:00:00,43,22,0.0,15.0,8,22,10:24 AM,No moonset,06:11 AM,09:05 PM,14,25,25,24,20,2,56,0.0,1019,24,10,336,9,"Almeirim,Portugal"
2025-06-29 12:00:00,43,22,0.0,15.0,8,22,10:24 AM,No moonset,06:11 AM,09:05 PM,10,41,41,41,3,16,16,0.0,1017,41,10,62,3,"Almeirim,Portugal"
2025-06-30 00:00:00,42,23,0.0,15.0,8,30,11:30 AM,12:09 AM,06:11 AM,09:05 PM,13,25,25,24,16,0,49,0.0,1017,24,10,326,8,"Almeirim,Portugal"
2025-06-30 12:00:00,42,23,0.0,15.0,8,30,11:30 AM,12:09 AM,06:11 AM,09:05 PM,9,40,40,40,5,0,16,0.0,1015,40,10,336,5,"Almeirim,Portugal"
2025-07-01 00:00:00,37,19,0.0,15.0,7,36,12:32 PM,12:31 AM,06:12 AM,09:05 PM,14,25,25,22,18,7,59,0.0,1014,22,10,317,9,"Almeirim,Portugal"
2025-07-01 12:00:00,37,19,0.0,15.0,7,36,12:32 PM,12:31 AM,06:12 AM,09:05 PM,14,35,35,36,18,0,27,0.0,1013,36,10,314,15,"Almeirim,Portugal"
