date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2025-06-25 00:00:00,30,14,0.0,13.0,5,0,05:38 AM,09:41 PM,06:08 AM,09:01 PM,13,14,14,14,13,40,97,0.0,1016,14,2,233,6,"Arraiolos,Portugal"
2025-06-25 12:00:00,30,14,0.0,13.0,5,0,05:38 AM,09:41 PM,06:08 AM,09:01 PM,12,27,27,28,15,13,37,0.0,1017,28,10,280,13,"Arraiolos,Portugal"
2025-06-26 00:00:00,35,14,0.0,15.0,6,0,06:48 AM,10:30 PM,06:09 AM,09:01 PM,14,15,15,15,18,4,93,0.0,1020,15,10,325,9,"Arraiolos,Portugal"
2025-06-26 12:00:00,35,14,0.0,15.0,6,0,06:48 AM,10:30 PM,06:09 AM,09:01 PM,9,29,29,31,14,0,25,0.0,1020,31,10,342,12,"Arraiolos,Portugal"
2025-06-27 00:00:00,40,15,0.0,13.0,7,7,08:02 AM,11:09 PM,06:09 AM,09:01 PM,14,17,17,17,26,0,85,0.0,1021,17,10,348,12,"Arraiolos,Portugal"
2025-06-27 12:00:00,40,15,0.0,13.0,7,7,08:02 AM,11:09 PM,06:09 AM,09:01 PM,10,36,36,37,7,0,20,0.0,1020,37,10,356,6,"Arraiolos,Portugal"
2025-06-28 00:00:00,42,19,0.0,15.0,8,15,09:14 AM,11:40 PM,06:09 AM,09:01 PM,13,21,21,21,17,1,59,0.0,1020,21,10,346,8,"Arraiolos,Portugal"
2025-06-28 12:00:00,42,19,0.0,15.0,8,15,09:14 AM,11:40 PM,06:09 AM,09:01 PM,10,38,38,38,12,0,18,0.0,1020,38,10,0,10,"Arraiolos,Portugal"
2025-06-29 00:00:00,44,23,0.0,13.0,8,22,10:23 AM,No moonset,06:10 AM,09:01 PM,14,25,25,24,14,11,52,0.0,1020,24,10,346,6,"Arraiolos,Portugal"
2025-06-29 12:00:00,44,23,0.0,13.0,8,22,10:23 AM,No moonset,06:10 AM,09:01 PM,7,44,44,43,5,11,11,0.0,1016,43,10,52,4,"Arraiolos,Portugal"
2025-06-30 00:00:00,42,24,0.0,15.0,8,30,11:28 AM,12:06 AM,06:10 AM,09:01 PM,10,27,27,28,20,2,34,0.0,1016,28,10,87,10,"Arraiolos,Portugal"
2025-06-30 12:00:00,42,24,0.0,15.0,8,30,11:28 AM,12:06 AM,06:10 AM,09:01 PM,8,41,41,41,10,0,14,0.0,1015,41,10,321,8,"Arraiolos,Portugal"
2025-07-01 00:00:00,40,21,0.0,15.0,8,36,12:29 PM,12:28 AM,06:11 AM,09:01 PM,12,26,26,25,2,4,43,0.0,1014,25,10,300,1,"Arraiolos,Portugal"
2025-07-01 12:00:00,40,21,0.0,15.0,8,36,12:29 PM,12:28 AM,06:11 AM,09:01 PM,10,38,38,39,8,3,18,0.0,1013,39,10,330,7,"Arraiolos,Portugal"
