date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2025-06-25 00:00:00,28,14,0.0,13.0,6,0,05:34 AM,09:39 PM,06:04 AM,08:59 PM,13,18,18,18,12,4,73,0.0,1015,18,10,249,8,"Arronches,Portugal"
2025-06-25 12:00:00,28,14,0.0,13.0,6,0,05:34 AM,09:39 PM,06:04 AM,08:59 PM,12,21,24,21,12,75,57,0.0,1018,21,10,253,10,"Arronches,Portugal"
2025-06-26 00:00:00,33,16,0.0,14.0,6,0,06:44 AM,10:28 PM,06:05 AM,08:59 PM,13,18,18,18,13,0,72,0.0,1019,18,10,258,7,"Arronches,Portugal"
2025-06-26 12:00:00,33,16,0.0,14.0,6,0,06:44 AM,10:28 PM,06:05 AM,08:59 PM,8,28,28,29,4,0,27,0.0,1020,29,10,7,3,"Arronches,Portugal"
2025-06-27 00:00:00,37,21,0.0,14.0,7,7,07:58 AM,11:07 PM,06:05 AM,08:59 PM,14,25,25,23,9,0,58,0.0,1021,23,10,312,4,"Arronches,Portugal"
2025-06-27 12:00:00,37,21,0.0,14.0,7,7,07:58 AM,11:07 PM,06:05 AM,08:59 PM,8,32,32,34,4,0,20,0.0,1021,34,10,44,4,"Arronches,Portugal"
2025-06-28 00:00:00,40,24,0.0,14.0,8,15,09:10 AM,11:38 PM,06:05 AM,08:59 PM,13,27,27,26,8,10,43,0.0,1020,26,10,1,4,"Arronches,Portugal"
2025-06-28 12:00:00,40,24,0.0,14.0,8,15,09:10 AM,11:38 PM,06:05 AM,08:59 PM,7,35,35,37,4,4,16,0.0,1021,37,10,327,3,"Arronches,Portugal"
2025-06-29 00:00:00,41,27,0.0,13.0,8,22,10:19 AM,No moonset,06:06 AM,08:59 PM,8,28,28,30,8,7,25,0.0,1020,30,10,267,4,"Arronches,Portugal"
2025-06-29 12:00:00,41,27,0.0,13.0,8,22,10:19 AM,No moonset,06:06 AM,08:59 PM,6,37,37,38,12,18,13,0.0,1018,38,10,97,10,"Arronches,Portugal"
2025-06-30 00:00:00,39,25,0.0,14.0,8,30,11:24 AM,12:03 AM,06:06 AM,08:59 PM,13,28,28,28,21,50,39,0.0,1019,28,10,60,10,"Arronches,Portugal"
2025-06-30 12:00:00,39,25,0.0,14.0,8,30,11:24 AM,12:03 AM,06:06 AM,08:59 PM,8,35,35,37,8,0,18,0.0,1016,37,10,47,7,"Arronches,Portugal"
2025-07-01 00:00:00,38,24,0.0,14.0,8,36,12:26 PM,12:25 AM,06:07 AM,08:59 PM,12,28,28,28,7,27,36,0.0,1015,28,10,355,4,"Arronches,Portugal"
2025-07-01 12:00:00,38,24,0.0,14.0,8,36,12:26 PM,12:25 AM,06:07 AM,08:59 PM,9,35,35,36,1,5,20,0.0,1014,36,10,263,1,"Arronches,Portugal"
