date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2025-06-25 00:00:00,21,8,0.0,11.0,4,0,07:35 AM,06:18 PM,07:32 AM,06:17 PM,-4,9,10,9,17,2,37,0.0,1018,10,10,355,8,"Avis,Portugal"
2025-06-25 12:00:00,21,8,0.0,11.0,4,0,07:35 AM,06:18 PM,07:32 AM,06:17 PM,-2,20,20,20,47,0,22,0.0,1014,20,10,312,41,"Avis,Portugal"
2025-06-26 00:00:00,13,2,0.0,11.0,3,0,08:35 AM,07:25 PM,07:32 AM,06:17 PM,-5,3,8,3,56,0,42,0.0,1017,8,10,297,30,"Avis,Portugal"
2025-06-26 12:00:00,13,2,0.0,11.0,3,0,08:35 AM,07:25 PM,07:32 AM,06:17 PM,-5,9,11,9,32,0,31,0.0,1020,11,10,248,28,"Avis,Portugal"
2025-06-27 00:00:00,14,-1,0.0,11.0,3,7,09:28 AM,08:30 PM,07:32 AM,06:17 PM,-8,-2,2,-2,21,2,50,0.0,1026,2,10,121,10,"Avis,Portugal"
2025-06-27 12:00:00,14,-1,0.0,11.0,3,7,09:28 AM,08:30 PM,07:32 AM,06:17 PM,-12,12,13,12,15,0,16,0.0,1023,13,10,87,13,"Avis,Portugal"
2025-06-28 00:00:00,19,1,0.0,11.0,3,15,10:12 AM,09:31 PM,07:32 AM,06:18 PM,-11,1,3,1,19,0,34,0.0,1025,3,10,82,9,"Avis,Portugal"
2025-06-28 12:00:00,19,1,0.0,11.0,3,15,10:12 AM,09:31 PM,07:32 AM,06:18 PM,-12,17,17,17,9,0,13,0.0,1021,16,10,360,8,"Avis,Portugal"
2025-06-29 00:00:00,20,4,0.0,11.0,4,22,10:50 AM,10:27 PM,07:32 AM,06:18 PM,-11,5,6,5,12,0,28,0.0,1024,6,10,26,6,"Avis,Portugal"
2025-06-29 12:00:00,20,4,0.0,11.0,4,22,10:50 AM,10:27 PM,07:32 AM,06:18 PM,-13,19,19,19,13,0,10,0.0,1021,19,10,27,11,"Avis,Portugal"
2025-06-30 00:00:00,20,4,0.0,11.0,4,30,11:24 AM,11:21 PM,07:33 AM,06:18 PM,-12,5,6,5,17,0,24,0.0,1023,6,10,34,8,"Avis,Portugal"
2025-06-30 12:00:00,20,4,0.0,11.0,4,30,11:24 AM,11:21 PM,07:33 AM,06:18 PM,-13,19,19,19,22,0,10,0.0,1020,19,10,358,19,"Avis,Portugal"
2025-07-01 00:00:00,21,7,0.0,11.0,4,36,11:55 AM,No moonset,07:33 AM,06:18 PM,-4,7,8,7,21,0,42,0.0,1022,8,10,34,10,"Avis,Portugal"
2025-07-01 12:00:00,21,7,0.0,11.0,4,36,11:55 AM,No moonset,07:33 AM,06:18 PM,-1,20,20,20,35,0,24,0.0,1019,20,10,347,30,"Avis,Portugal"
