;Cidades;YEAR_MONTH;YEAR;MONTH;QUARTER;Temp_Median_Max;Temp_Median_Min;Temp_Mean_Max;Temp_Mean_Min
0;Abrantes;202101;2021;01;1;12,0;3,0;12,45;4,35
1;Abrantes;202102;2021;02;1;16,0;8,0;15,0;8,0
2;Abrantes;202103;2021;03;1;19,0;7,0;19,35;7,52
3;Abrantes;202104;2021;04;2;20,0;10,0;20,33;10,1
4;Abrantes;202105;2021;05;2;25,0;11,0;24,42;10,61
5;Abrantes;202106;2021;06;2;30,0;13,0;28,73;13,07
6;Abrantes;202107;2021;07;3;31,0;14,0;31,97;14,71
7;Abrantes;202108;2021;08;3;33,0;14,0;34,19;14,55
8;Abrantes;202109;2021;09;3;29,0;15,0;28,6;15,43
9;Abrantes;202110;2021;10;4;27,0;14,0;26,16;14,26
10;Abrantes;202111;2021;11;4;18,0;9,0;17,7;8,2
11;Abrantes;202112;2021;12;4;17,0;9,0;16,63;9,17
12;Agueda;202101;2021;01;1;13,0;5,0;12,87;5,39
13;Agueda;202102;2021;02;1;14,0;9,0;14,75;7,96
14;Agueda;202103;2021;03;1;18,0;7,0;18,65;7,94
15;Agueda;202104;2021;04;2;21,0;10,0;20,1;10,13
16;Agueda;202105;2021;05;2;22,0;10,0;21,23;10,03
17;Agueda;202106;2021;06;2;26,0;12,0;24,77;12,87
18;Agueda;202107;2021;07;3;27,0;14,0;27,71;14,74
19;Agueda;202108;2021;08;3;30,0;15,0;29,97;14,97
20;Agueda;202109;2021;09;3;28,0;15,0;27,6;14,97
21;Agueda;202110;2021;10;4;23,0;14,0;24,29;13,52
22;Agueda;202111;2021;11;4;18,5;8,5;18,13;8,43
23;Agueda;202112;2021;12;4;16,0;10,0;16,37;9,63
24;Aguiar da Beira;202101;2021;01;1;10,0;1,0;10,23;2,84
25;Aguiar da Beira;202102;2021;02;1;12,0;6,0;12,04;5,43
26;Aguiar da Beira;202103;2021;03;1;16,0;6,0;16,68;5,87
27;Aguiar da Beira;202104;2021;04;2;19,0;8,5;18,03;8,2
28;Aguiar da Beira;202105;2021;05;2;21,0;9,0;20,84;9,23
29;Aguiar da Beira;202106;2021;06;2;27,0;13,0;25,33;13,17
30;Aguiar da Beira;202107;2021;07;3;30,0;14,0;29,65;14,39
31;Aguiar da Beira;202108;2021;08;3;32,0;15,0;32,23;14,74
32;Aguiar da Beira;202109;2021;09;3;26,0;14,0;26,07;13,97
33;Aguiar da Beira;202110;2021;10;4;22,0;12,0;22,26;11,84
34;Aguiar da Beira;202111;2021;11;4;15,0;6,0;15,03;5,83
35;Aguiar da Beira;202112;2021;12;4;13,5;7,0;13,4;7,0
36;Alandroal;202101;2021;01;1;12,0;3,0;11,9;4,48
37;Alandroal;202102;2021;02;1;15,5;8,0;14,61;7,86
38;Alandroal;202103;2021;03;1;17,0;7,0;17,52;7,03
39;Alandroal;202104;2021;04;2;20,5;10,0;19,97;9,5
40;Alandroal;202105;2021;05;2;25,0;10,0;25,39;10,68
41;Alandroal;202106;2021;06;2;30,5;14,0;29,67;13,93
42;Alandroal;202107;2021;07;3;34,0;15,0;34,1;15,55
43;Alandroal;202108;2021;08;3;34,0;16,0;35,26;16,1
44;Alandroal;202109;2021;09;3;29,5;16,0;29,4;16,47
45;Alandroal;202110;2021;10;4;27,0;15,0;26,9;15,0
46;Alandroal;202111;2021;11;4;18,0;9,0;17,6;8,13
47;Alandroal;202112;2021;12;4;16,5;9,0;16,9;8,73
48;Albergaria-a-Velha;202101;2021;01;1;13,0;5,0;12,87;5,39
49;Albergaria-a-Velha;202102;2021;02;1;14,0;9,0;14,75;7,96
50;Albergaria-a-Velha;202103;2021;03;1;18,0;7,0;18,65;7,94
51;Albergaria-a-Velha;202104;2021;04;2;21,0;10,0;20,1;10,13
52;Albergaria-a-Velha;202105;2021;05;2;22,0;10,0;21,23;10,03
53;Albergaria-a-Velha;202106;2021;06;2;26,0;12,0;24,77;12,87
54;Albergaria-a-Velha;202107;2021;07;3;27,0;14,0;27,71;14,74
55;Albergaria-a-Velha;202108;2021;08;3;30,0;15,0;29,97;14,97
56;Albergaria-a-Velha;202109;2021;09;3;28,0;15,0;27,6;14,97
57;Albergaria-a-Velha;202110;2021;10;4;23,0;14,0;24,29;13,52
58;Albergaria-a-Velha;202111;2021;11;4;18,5;8,5;18,13;8,43
59;Albergaria-a-Velha;202112;2021;12;4;16,0;10,0;16,37;9,63
60;Albufeira;202101;2021;01;1;14,0;9,0;13,84;8,84
61;Albufeira;202102;2021;02;1;16,0;12,0;15,75;11,82
62;Albufeira;202103;2021;03;1;17,0;11,0;17,48;11,06
63;Albufeira;202104;2021;04;2;19,0;14,0;18,83;13,4
64;Albufeira;202105;2021;05;2;24,0;14,0;22,9;14,19
65;Albufeira;202106;2021;06;2;25,0;16,5;24,67;16,33
66;Albufeira;202107;2021;07;3;28,0;18,0;27,81;17,77
67;Albufeira;202108;2021;08;3;29,0;18,0;28,84;18,94
68;Albufeira;202109;2021;09;3;28,5;19,0;27,6;18,93
69;Albufeira;202110;2021;10;4;25,0;18,0;25,45;17,45
70;Albufeira;202111;2021;11;4;19,0;12,0;19,23;11,97
71;Albufeira;202112;2021;12;4;18,0;13,0;18,27;12,17
72;Alcacer do Sal;202101;2021;01;1;13,0;7,0;12,77;7,61
73;Alcacer do Sal;202102;2021;02;1;15,5;11,0;15,25;10,71
74;Alcacer do Sal;202103;2021;03;1;17,0;9,0;17,68;9,77
75;Alcacer do Sal;202104;2021;04;2;19,0;13,0;19,0;12,23
76;Alcacer do Sal;202105;2021;05;2;23,0;13,0;22,61;13,1
77;Alcacer do Sal;202106;2021;06;2;25,0;15,0;24,77;15,0
78;Alcacer do Sal;202107;2021;07;3;28,0;16,0;28,0;16,26
79;Alcacer do Sal;202108;2021;08;3;28,0;17,0;28,87;16,61
80;Alcacer do Sal;202109;2021;09;3;27,5;17,0;27,0;17,37
81;Alcacer do Sal;202110;2021;10;4;26,0;16,0;25,84;16,13
82;Alcacer do Sal;202111;2021;11;4;20,0;11,0;19,13;10,83
83;Alcacer do Sal;202112;2021;12;4;18,0;11,0;17,57;11,53
84;Alcanena;202101;2021;01;1;13,0;3,0;12,58;4,94
85;Alcanena;202102;2021;02;1;16,0;8,0;15,18;7,82
