;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;qtd Hospitais particulares e publicos;qtd Farmacias;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Lisboa_Distance_Km;Porto_Distance_Km;Lisboa_Driving_hours;Lisboa_Driving_Km;Porto_Driving_hours;Porto_Driving_Km;Clima_Ranking;Ranking_Geral;Ranking_Regional
232;Município;Alentejo;Santarem;7297;35363;14594;12,7;61,8;25,5;2;26;39;35;5;9;39;7;1065,3;4,0;100,4;28,1;22;39,236363700000005;-8,686708099999999;Santarém, 2000-024, Portugal;70,45400949557012;212,52441946872509;1,0;80,5;2,2;245,7;34,0;35;36
213;Município;Alentejo;Beja;5013;20909;7538;15,0;62,5;22,5;1;13;23;15;4;6;71;1;1102,3;5,9;105,3;27,7;12;38,0154479;-7,8650368;Beja, Portugal;135,11314060458875;353,8027751681332;1,9;178,0;4,1;451,0;36,0;34;36
252;Município;Alentejo;Evora;7127;32707;12462;13,6;62,5;23,8;2;22;33;23;5;8;217;6;1122,0;5,7;117,8;20,6;23;38,5707742;-7,9092808;Évora, Portugal;107,9308817429446;292,53702436247977;1,4;133,6;3,7;406,7;32,0;36;36
207;Município;Alentejo;Santiago do Cacem;3437;17417;7861;12,0;60,7;27,4;1;11;21;17;4;4;35;1;1058,2;5,4;95,0;22,5;7;37,9379296;-8,503214368324551;Santiago do Cacém, Setúbal, Portugal;101,83108867750764;356,6819763195504;1,7;159,2;3,9;432,2;21,0;31;35
230;Município;Alentejo;Rio Maior;2664;12882;4788;13,1;63,4;23,5;0;5;9;10;2;3;82;1;1040,4;3,1;91,1;25,4;8;39,35040195000001;-8,911176402248575;Rio Maior, Santarém, Portugal;73,96639969292995;201,3932762092987;1,1;82,6;2,4;261,7;18,0;27;34
226;Município;Alentejo;Cartaxo;2996;15369;5447;12,6;64,5;22,9;0;8;8;10;2;3;9;1;1028,7;3,8;87,2;22,0;8;39,1619462;-8,786322199999999;Cartaxo, Santarém, 2070-116, Portugal;58,86205461858224;221,19388003444163;0,9;67,8;2,3;253,8;34,0;24;32
239;Município;Alentejo;Elvas;2528;13134;4747;12,4;64,4;23,3;1;10;18;12;4;5;36;0;892,0;8,7;90,5;42,5;6;38,8811828;-7,1637495;Elvas, Portalegre, Portugal;172,4680475795986;280,5133121752491;2,0;208,2;3,8;354,6;34,0;26;32
206;Município;Alentejo;Odemira;2903;15022;6747;11,8;60,9;27,3;0;12;22;17;5;6;4;1;892,9;8,3;85,6;28,6;6;37,5976;-8,6422;Odemira, Beja, Portugal;130,62263888312157;394,3453600550666;2,2;203,6;4,4;476,6;23,0;26;31
246;Município;Alentejo;Portalegre;2705;13313;6028;12,3;60,4;27,3;1;14;17;10;2;3;34;0;991,0;4,8;101,8;22,9;9;39,207609700000006;-7,721496442801111;Portalegre, Portugal;134,62404549195048;228,53083579248508;2,3;227,3;3,0;293,8;30,0;27;31
225;Município;Alentejo;Benavente;4621;20511;5534;15,1;66,9;18,0;0;7;14;9;3;4;0;0;1093,8;5,5;93,9;30,9;11;38,9741643;-8,8120694;Benavente, Santarém, Portugal;40,84754583798578;242,1442910677877;0,8;57,8;2,6;294,6;21,0;26;31
