;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;qtd Hospitais particulares e publicos;qtd Farmacias;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Lisboa_Distance_Km;Porto_Distance_Km;Lisboa_Driving_hours;Lisboa_Driving_Km;Porto_Driving_hours;Porto_Driving_Km;Clima_Ranking;Ranking_Geral;Ranking_Regional
191;Município;Area Metropolitana de Lisboa;Lisboa;85452;280124;143990;16,8;55,0;28,3;33;256;283;189;88;102;3914;67;1669,4;7,2;205,6;49,7;460;38,707750700000005;-9,1365919;Lisboa, Portugal;0,0;274,808922985862;0,0;0,0;3,0;313,4;27,0;34;34
202;Município;Area Metropolitana de Lisboa;Sintra;62583;259964;69598;16,0;66,3;17,7;4;69;182;110;29;36;111;15;1220,7;5,0;93,6;26,3;81;38,8355605;-9,352225245746451;Sintra, Lisboa, Portugal;23,504762561607503;264,6065283952276;0,5;28,7;3,0;331,8;22,0;36;31
190;Município;Area Metropolitana de Lisboa;Cascais;33385;136060;44330;15,6;63,6;20,7;6;42;113;83;31;27;243;15;1215,5;5,3;118,0;25,2;70;38,72240025;-9,396909171649876;Cascais, Lisboa, Portugal;22,698832895424943;277,73050565653176;0,5;30,9;3,1;342,4;18,0;36;30
187;Município;Area Metropolitana de Lisboa;Almada;25271;104048;39533;15,0;61,6;23,4;1;47;96;51;17;22;321;14;1160,8;6,1;109,2;34,0;53;38,676430200000006;-9,1649974;Almada, Almada, Cova da Piedade, Pragal e Cacilhas, Almada, Setúbal, 2800-128, Portugal;4,265673667298392;278,6437325289732;0,3;12,5;3,0;325,2;30,0;36;30
197;Município;Area Metropolitana de Lisboa;Oeiras;26991;106520;44091;15,2;60,0;24,8;3;50;81;45;16;17;225;20;1748,2;4,5;153,1;22,5;69;38,7124971;-9,271300382407272;Oeiras, Lisboa, Portugal;11,728615992360591;276,4082319021488;0,4;19,1;3,0;330,6;24,0;35;29
192;Município;Area Metropolitana de Lisboa;Loures;33897;133119;47313;15,8;62,1;22,1;2;53;95;63;16;22;76;7;1218,6;5,4;101,0;25,4;43;38,8308741;-9,168451199999998;Loures, Lisboa, Portugal;13,945685379609303;261,8087295865717;0,4;17,2;2,7;308,0;27,0;36;27
188;Município;Area Metropolitana de Lisboa;Amadora;29105;112117;43591;15,7;60,7;23,6;3;41;77;45;17;18;102;11;1425,5;5,4;100,1;27,1;37;38,7595162;-9,223677009460122;Amadora, Lisboa, Portugal;9,505716124807089;270,47984883972;0,3;12,6;2,8;317,3;33,0;34;25
201;Município;Area Metropolitana de Lisboa;Setubal;17461;71308;25933;15,2;62,2;22,6;4;30;58;40;10;11;212;10;1208,6;6,9;108,0;34,3;31;38,5241783;-8,8932341;Setúbal, Portugal;29,40200652688134;292,4884344147848;0,7;48,9;3,2;349,7;28,0;36;22
199;Município;Area Metropolitana de Lisboa;Seixal;25805;107794;34355;15,4;64,2;20,5;0;35;82;44;10;15;64;8;1271,7;5,4;91,2;23,4;28;38,642224600000006;-9,1072662;Seixal, Seixal, Arrentela e Aldeia de Paio Pires, Seixal, Setúbal, 2840-520, Portugal;7,708674352009371;281,60198293722414;0,5;24,4;3,1;337,2;22,0;35;20
196;Município;Area Metropolitana de Lisboa;Odivelas;27015;101093;34281;16,6;62,3;21,1;0;36;66;38;10;15;107;6;987,2;4,6;88,8;18,9;31;38,7953835;-9,187822102643633;Odivelas, Lisboa, Portugal;10,699064695212892;265,9875895343795;0,4;17,6;2,8;313,1;27,0;33;20
186;Município;Area Metropolitana de Lisboa;Alcochete;3206;13338;3317;16,1;67,2;16,7;0;5;10;7;2;1;11;0;2011,5;3,9;119,8;31,0;6;38,7560499;-8,9608437;Alcochete, Setúbal, Portugal;16,195025187973098;267,4258174876693;0,6;36,0;3,0;330,8;28,0;27;18
193;Município;Area Metropolitana de Lisboa;Mafra;13903;57284;13869;16,3;67,3;16,3;0;15;37;20;7;7;14;0;1022,0;3,3;98,3;22,9;22;38,9369782;-9,3282374;Mafra, Lisboa, Portugal;30,406233504397303;253,17504152540351;0,7;40,1;2,8;306,2;20,0;32;16
198;Município;Area Metropolitana de Lisboa;Palmela;9587;42061;12528;14,9;65,5;19,5;0;15;31;25;7;7;95;0;1408,9;4,7;100,8;32,7;14;38,569601;-8,9011653;Palmela, Setúbal, 2950-264 PALMELA, Portugal;25,599465762299197;287,52092302475177;0,6;43,1;3,2;347,5;28,0;34;16
195;Município;Area Metropolitana de Lisboa;Montijo;9774;38190;9890;16,9;66,0;17,1;1;14;30;22;5;6;20;6;1027,6;5,9;99,3;33,7;11;38,74502535;-8,628858514902682;Montijo, Setúbal, Portugal;44,34542473002379;266,97663993232106;0,6;33,1;3,0;328,0;28,0;34;15
203;Município;Area Metropolitana de Lisboa;Vila Franca de Xira;22114;93324;26522;15,6;65,7;18,7;1;28;52;38;11;10;85;0;1245,6;4,8;97,4;22,3;34;38,91236840000001;-8,988824041991643;Vila Franca de Xira, Lisboa, Portugal;26,090249649262184;250,4812778713789;0,6;36,4;2,5;283,2;30,0;34;15
200;Município;Area Metropolitana de Lisboa;Sesimbra;8194;34728;8987;15,8;66,9;17,3;0;8;24;15;5;6;68;1;1041,6;4,2;91,1;38,6;12;38,4436759;-9,099665;Pelourinho de Sesimbra, Largo do Município, Santiago, Sesimbra, Setúbal, 2970-634, Portugal;29,4903411062471;303,326399686444;0,7;39,3;3,4;352,0;28,0;33;14
189;Município;Area Metropolitana de Lisboa;Barreiro;10376;44412;20152;13,8;59,3;26,9;1;23;39;25;8;10;84;5;1107,8;7,8;100,3;39,3;13;38,6340657;-9,047856727251068;Barreiro, Setúbal, Portugal;11,249063854082916;281,77911621823984;0,7;40,9;3,2;346,9;28,0;35;14
194;Município;Area Metropolitana de Lisboa;Moita;9886;40560;13837;15,4;63,1;21,5;0;16;27;22;6;7;29;1;985,1;7,4;83,4;34,3;13;38,6523995;-8,9935314;Moita, Setúbal, Portugal;13,882300919665274;279,17893967121444;0,6;40,4;3,0;334,0;28,0;33;12
