;Cidades;202101;202102;202103;202104;202105;202106;202107;202108;202109;202110;202111;202112
0;Abrantes;12,0;16,0;19,0;20,0;25,0;30,0;31,0;33,0;29,0;27,0;18,0;17,0
1;Agueda;13,0;14,0;18,0;21,0;22,0;26,0;27,0;30,0;28,0;23,0;18,5;16,0
2;Aguiar da Beira;10,0;12,0;16,0;19,0;21,0;27,0;30,0;32,0;26,0;22,0;15,0;13,5
3;Alandroal;12,0;15,5;17,0;20,5;25,0;30,5;34,0;34,0;29,5;27,0;18,0;16,5
4;Albergaria-a-Velha;13,0;14,0;18,0;21,0;22,0;26,0;27,0;30,0;28,0;23,0;18,5;16,0
5;Albufeira;14,0;16,0;17,0;19,0;24,0;25,0;28,0;29,0;28,5;25,0;19,0;18,0
6;Alcacer do Sal;13,0;15,5;17,0;19,0;23,0;25,0;28,0;28,0;27,5;26,0;20,0;18,0
7;Alcanena;13,0;16,0;18,0;20,5;23,0;28,0;30,0;32,0;30,0;25,0;19,0;17,0
8;Alcobaca;12,0;14,5;16,0;18,5;19,0;21,0;22,0;24,0;24,0;22,0;18,0;16,0
9;Alcochete;14,0;16,0;17,0;19,5;23,0;25,0;27,0;28,0;28,0;25,0;20,0;18,0
10;Alcoutim;14,0;16,0;18,0;19,0;24,0;26,0;29,0;29,0;29,0;26,0;20,0;18,0
11;Alenquer;13,0;16,0;17,0;20,0;22,0;26,0;27,0;29,0;28,5;25,0;19,0;17,0
12;Alentejo Central;10,0;12,0;16,0;17,5;21,0;26,5;29,0;33,0;25,0;23,0;13,5;12,5
13;Alentejo Litoral;10,0;12,0;16,0;17,5;21,0;26,5;29,0;33,0;25,0;23,0;15,0;12,5
14;Alfandega da Fe;8,0;11,5;15,0;17,0;21,0;25,5;30,0;32,0;24,0;21,0;14,0;12,0
15;Algarve;13,0;16,0;16,0;18,0;21,0;22,5;25,0;25,0;25,5;24,0;19,0;18,0
16;Alijo;9,0;12,0;16,0;17,0;20,0;26,0;29,0;31,0;25,0;20,0;14,0;12,0
17;Aljezur;12,0;14,5;16,0;18,0;22,0;24,5;28,0;29,0;28,0;25,0;18,0;16,0
18;Aljustrel;12,0;15,0;18,0;20,0;22,0;26,0;28,0;30,0;29,0;24,0;18,0;16,0
19;Almada;13,0;16,0;17,0;20,0;22,0;26,0;27,0;29,0;28,5;25,0;19,0;17,0
20;Almeida;7,0;10,0;14,0;15,5;19,0;25,0;28,0;31,0;24,0;21,0;12,5;10,0
21;Almeirim;13,0;16,5;18,0;21,0;27,0;31,0;34,0;35,0;30,0;28,0;19,0;17,0
22;Almodovar;13,0;15,5;17,0;19,0;24,0;26,0;29,0;30,0;29,0;25,0;19,0;17,0
