;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;qtd Hospitais particulares e publicos;qtd Farmacias;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Lisboa_Distance_Km;Porto_Distance_Km;Lisboa_Driving_hours;Lisboa_Driving_Km;Porto_Driving_hours;Porto_Driving_Km;Clima_Ranking;Ranking_Geral;Ranking_Regional
133;Município;Centro;Leiria;16939;82714;26222;13,5;65,7;20,8;3;33;94;68;14;15;220;17;1125,7;4,0;103,2;22,4;54;39,7437902;-8,8071119;Leiria, Portugal;118,48706402973094;156,9750597581079;1,5;147,3;1,7;184,3;19,0;36;36
101;Município;Centro;Aveiro;11058;52099;16172;13,9;65,7;20,4;2;21;53;34;9;12;190;8;1243,3;5,3;121,8;29,0;39;40,640496;-8,6537841;Aveiro, Portugal;218,5501265454706;56,636440415886135;2,5;255,3;0,8;76,0;18,0;36;36
111;Município;Centro;Coimbra;17079;82438;35137;12,7;61,2;26,1;15;49;79;67;17;21;714;20;1182,4;5,3;126,3;24,3;54;40,2111931;-8,429463199999999;Coimbra, Portugal;177,66495459348874;105,31299313005488;2,0;204,4;1,3;126,0;31,0;35;36
97;Município;Centro;Torres Vedras;10763;51402;16741;13,6;65,1;21,2;3;25;51;43;9;11;129;5;1030,8;4,5;96,4;23,6;20;39,11014835;-9,276731117530929;Torres Vedras, Lisboa, Portugal;46,295870320717576;233,4414429688489;0,8;50,3;2,5;274,2;22,0;35;35
113;Município;Centro;Figueira da Foz;6804;36879;15150;11,6;62,7;25,8;1;24;35;30;4;9;36;7;1194,7;6,5;95,1;25,8;17;40,1485808;-8,855655;Figueira da Foz, Coimbra, Portugal;161,78450472751916;113,05681629376276;2,0;197,3;1,4;139,8;17,0;34;35
150;Município;Centro;Viseu;13007;63628;21042;13,3;65,1;21,5;3;26;70;57;10;13;427;13;1036,9;5,1;95,7;22,8;36;40,6574713;-7,913866400000001;Viseu, Portugal;240,54277443680283;80,2066586837106;3,0;300,6;1,3;130,0;21,0;35;35
106;Município;Centro;Ovar;6770;36594;11011;12,4;67,3;20,3;1;16;33;21;5;8;32;1;1074,0;5,5;89,3;23,3;14;40,84584435;-8,648528873790857;Ovar, São João, Aveiro, Portugal;241,04623581957145;33,865911289316315;2,7;284,2;0,5;39,1;19,0;33;34
98;Município;Centro;Agueda;5471;29443;11298;11,8;63,7;24,4;1;14;28;14;5;6;39;1;1071,4;3,9;86,6;26,9;12;40,5785006;-8,4438017;Águeda, Aveiro, Portugal;216,04813537943107;64,94891263523873;2,6;256,5;0,9;78,6;27,0;33;34
86;Município;Centro;Alcobaca;6146;34855;12649;11,5;65,0;23,6;1;16;33;25;5;6;84;1;1007,1;3,8;87,4;21,7;19;39,5519199;-8,9763396;Alcobaça, Leiria, Portugal;94,73674247968052;180,0894350440078;1,4;120,4;2,0;213,0;16,0;32;34
134;Município;Centro;Marinha Grande;5134;24747;8807;13,3;64,0;22,8;1;9;21;20;4;7;98;0;1335,3;6,2;94,9;33,2;10;39,7495952;-8,9298895;Marinha Grande, Leiria, Portugal;117,03426411367155;157,78366253746867;1,6;136,8;1,9;193,4;19,0;34;34
