date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,28,20,0.0,8.5,6,83,09:28 PM,07:45 AM,05:40 AM,07:07 PM,21,26,26,24,9,85,86,16.4,1011,28,9,181,6,"Brasil,+Marilia"
2021-01-02,30,19,0.0,12.1,6,76,10:11 PM,08:44 AM,05:40 AM,07:08 PM,19,26,26,25,15,60,75,1.4,1011,30,10,121,10,"Brasil,+Marilia"
2021-01-03,30,19,0.0,13.7,5,69,10:52 PM,09:44 AM,05:41 AM,07:08 PM,18,25,25,24,19,48,74,2.1,1009,30,10,122,13,"Brasil,+Marilia"
2021-01-04,30,17,0.0,13.7,6,62,11:31 PM,10:42 AM,05:42 AM,07:08 PM,17,24,24,23,17,15,72,1.0,1009,30,10,129,11,"Brasil,+Marilia"
2021-01-05,31,20,0.0,13.3,7,56,No moonrise,11:41 AM,05:42 AM,07:08 PM,19,27,27,25,13,32,72,3.2,1009,31,10,118,8,"Brasil,+Marilia"
2021-01-06,27,21,0.0,10.9,5,49,12:09 AM,12:39 PM,05:43 AM,07:09 PM,21,26,26,24,13,68,88,27.1,1011,27,8,306,8,"Brasil,+Marilia"
2021-01-07,30,21,0.0,12.1,6,42,12:48 AM,01:39 PM,05:44 AM,07:09 PM,21,27,27,25,13,61,82,14.4,1010,30,8,267,8,"Brasil,+Marilia"
2021-01-08,30,21,0.0,13.7,6,35,01:29 AM,02:41 PM,05:44 AM,07:09 PM,20,27,27,25,12,36,77,2.7,1010,30,9,237,8,"Brasil,+Marilia"
2021-01-09,29,20,0.0,10.9,6,28,02:13 AM,03:46 PM,05:45 AM,07:09 PM,21,27,27,25,12,56,83,18.4,1009,29,7,158,7,"Brasil,+Marilia"
2021-01-10,29,20,0.0,12.1,6,22,03:03 AM,04:51 PM,05:46 AM,07:09 PM,20,25,25,24,22,44,82,11.4,1010,29,9,122,13,"Brasil,+Marilia"
2021-01-11,31,21,0.0,13.3,6,15,03:57 AM,05:55 PM,05:46 AM,07:09 PM,21,27,27,25,17,42,79,14.0,1009,31,8,99,11,"Brasil,+Marilia"
2021-01-12,29,22,0.0,10.9,6,8,04:57 AM,06:56 PM,05:47 AM,07:09 PM,23,28,28,25,16,66,85,26.7,1009,29,7,139,9,"Brasil,+Marilia"
2021-01-13,28,22,0.0,9.7,6,1,05:59 AM,07:51 PM,05:48 AM,07:09 PM,22,27,27,25,14,73,87,25.7,1010,28,7,104,9,"Brasil,+Marilia"
