date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,6,3,0.0,7.0,1,83,07:42 PM,09:49 AM,07:51 AM,05:19 PM,2,2,5,2,18,30,87,0.0,1016,6,7,289,11,"Portugal,+Crato"
2021-01-02,7,2,0.0,8.7,1,76,08:49 PM,10:27 AM,07:51 AM,05:19 PM,1,3,4,3,9,6,81,0.0,1018,7,8,301,5,"Portugal,+Crato"
2021-01-03,7,1,0.0,8.7,2,69,09:57 PM,11:02 AM,07:51 AM,05:20 PM,-0,3,4,3,9,6,78,0.0,1020,7,9,233,5,"Portugal,+Crato"
2021-01-04,7,2,0.0,7.0,1,62,11:06 PM,11:32 AM,07:51 AM,05:21 PM,1,2,4,2,9,38,83,0.0,1017,7,6,268,5,"Portugal,+Crato"
2021-01-05,6,0,0.0,8.7,2,56,No moonrise,12:01 PM,07:51 AM,05:22 PM,-1,2,3,2,8,3,78,0.0,1014,6,9,110,5,"Portugal,+Crato"
2021-01-06,6,-1,0.0,8.7,2,49,12:14 AM,12:29 PM,07:51 AM,05:23 PM,-4,-0,2,-0,17,20,66,0.0,1013,6,10,60,10,"Portugal,+Crato"
2021-01-07,5,1,0.0,8.7,1,42,01:24 AM,12:58 PM,07:51 AM,05:24 PM,-2,-1,2,-1,18,38,73,0.0,1011,5,10,50,12,"Portugal,+Crato"
2021-01-08,5,0,0.0,8.7,2,35,02:35 AM,01:30 PM,07:51 AM,05:25 PM,-3,-1,2,-1,19,43,72,0.0,1009,5,9,31,13,"Portugal,+Crato"
2021-01-09,1,-5,2.2,3.7,1,28,03:49 AM,02:07 PM,07:50 AM,05:26 PM,-1,-2,1,-2,11,86,88,2.7,1005,1,5,190,8,"Portugal,+Crato"
2021-01-10,5,-0,2.0,7.0,1,22,05:02 AM,02:51 PM,07:50 AM,05:27 PM,1,-0,2,-0,14,59,88,2.3,1012,5,8,41,10,"Portugal,+Crato"
2021-01-11,6,-1,0.0,8.7,2,15,06:13 AM,03:43 PM,07:50 AM,05:28 PM,-3,-1,2,-1,14,5,73,0.0,1022,6,10,32,9,"Portugal,+Crato"
2021-01-12,8,-1,0.0,8.7,2,8,07:19 AM,04:42 PM,07:50 AM,05:29 PM,-2,2,3,2,6,0,71,0.0,1030,8,10,166,3,"Portugal,+Crato"
2021-01-13,9,1,0.0,8.7,3,1,08:16 AM,05:48 PM,07:50 AM,05:30 PM,-1,4,5,4,4,8,71,0.0,1031,9,10,206,2,"Portugal,+Crato"
2021-01-14,10,2,0.0,8.7,3,5,09:03 AM,06:56 PM,07:49 AM,05:31 PM,-0,4,5,4,7,18,72,0.0,1030,10,10,261,4,"Portugal,+Crato"
2021-01-15,11,3,0.0,8.7,3,12,09:42 AM,08:03 PM,07:49 AM,05:32 PM,2,5,6,5,9,5,75,0.0,1029,11,10,151,5,"Portugal,+Crato"
2021-01-16,11,2,0.0,8.7,3,19,10:14 AM,09:07 PM,07:48 AM,05:33 PM,2,5,6,5,6,2,77,0.0,1028,11,10,79,3,"Portugal,+Crato"
2021-01-17,11,3,0.0,8.7,3,26,10:42 AM,10:09 PM,07:48 AM,05:34 PM,1,6,7,6,7,11,72,0.0,1029,11,10,60,4,"Portugal,+Crato"
2021-01-18,11,3,0.0,8.7,2,33,11:07 AM,11:09 PM,07:48 AM,05:35 PM,0,6,7,6,9,14,68,0.0,1027,11,10,79,5,"Portugal,+Crato"
2021-01-19,9,3,0.0,5.4,2,39,11:31 AM,No moonset,07:47 AM,05:37 PM,4,5,6,5,12,52,85,0.2,1023,9,10,140,7,"Portugal,+Crato"
2021-01-20,10,6,0.0,5.4,2,46,11:54 AM,12:07 AM,07:47 AM,05:38 PM,8,6,9,6,34,91,92,8.4,1011,10,9,214,20,"Portugal,+Crato"
2021-01-21,11,4,0.0,3.7,2,53,12:19 PM,01:06 AM,07:46 AM,05:39 PM,9,7,10,7,36,96,95,4.3,1015,11,10,239,22,"Portugal,+Crato"
2021-01-22,10,7,0.0,3.7,2,60,12:46 PM,02:04 AM,07:45 AM,05:40 PM,8,6,9,6,38,78,89,3.7,1015,10,9,263,24,"Portugal,+Crato"
2021-01-23,10,2,0.0,3.7,2,66,01:17 PM,03:04 AM,07:45 AM,05:41 PM,7,4,7,4,33,91,94,3.0,1017,10,7,243,20,"Portugal,+Crato"
2021-01-24,10,5,0.0,3.7,2,73,01:52 PM,04:04 AM,07:44 AM,05:42 PM,9,8,9,8,19,87,95,0.9,1015,10,5,251,12,"Portugal,+Crato"
2021-01-25,12,9,0.0,3.8,3,80,02:35 PM,05:03 AM,07:43 AM,05:43 PM,10,9,11,9,26,93,96,1.4,1017,12,7,249,15,"Portugal,+Crato"
2021-01-26,14,9,0.0,3.8,3,87,03:25 PM,06:01 AM,07:43 AM,05:45 PM,12,11,13,11,21,100,97,1.1,1023,14,4,259,13,"Portugal,+Crato"
2021-01-27,15,10,0.0,5.4,3,93,04:23 PM,06:55 AM,07:42 AM,05:46 PM,12,13,13,13,9,69,93,0.0,1027,15,3,271,5,"Portugal,+Crato"
2021-01-28,18,10,0.0,8.7,3,100,05:28 PM,07:43 AM,07:41 AM,05:47 PM,11,13,13,13,5,7,88,0.0,1024,18,7,190,3,"Portugal,+Crato"
2021-01-29,13,8,0.0,3.8,3,93,06:36 PM,08:25 AM,07:40 AM,05:48 PM,9,10,11,10,9,73,92,0.0,1023,13,5,244,5,"Portugal,+Crato"
2021-01-30,12,9,0.0,5.4,3,86,07:46 PM,09:02 AM,07:40 AM,05:49 PM,8,8,10,8,31,76,87,0.8,1020,12,9,269,21,"Portugal,+Crato"
2021-01-31,12,8,0.0,3.8,3,79,08:56 PM,09:34 AM,07:39 AM,05:50 PM,9,8,10,8,29,89,93,0.5,1020,12,9,269,18,"Portugal,+Crato"
2021-02-01,13,10,0.0,7.1,3,73,10:06 PM,10:04 AM,07:38 AM,05:52 PM,9,9,11,9,20,62,90,0.2,1021,13,10,261,12,"Portugal,+Crato"
2021-02-02,12,8,0.0,3.8,3,66,11:17 PM,10:32 AM,07:37 AM,05:53 PM,9,9,11,9,16,75,91,0.3,1019,12,5,207,9,"Portugal,+Crato"
2021-02-03,12,10,0.0,3.8,3,59,No moonrise,11:01 AM,07:36 AM,05:54 PM,10,9,11,9,23,76,91,5.0,1014,12,9,215,15,"Portugal,+Crato"
2021-02-04,10,1,0.0,3.8,2,52,12:27 AM,11:32 AM,07:35 AM,05:55 PM,8,7,8,7,7,72,96,23.2,1010,10,7,189,4,"Portugal,+Crato"
2021-02-05,10,2,0.0,3.8,2,46,01:39 AM,12:06 PM,07:34 AM,05:56 PM,9,6,8,6,11,91,97,36.1,1002,10,7,95,8,"Portugal,+Crato"
2021-02-06,8,5,0.0,3.8,2,39,02:50 AM,12:46 PM,07:33 AM,05:57 PM,6,4,7,4,20,96,95,8.9,1002,8,7,287,11,"Portugal,+Crato"
2021-02-07,6,-0,0.0,7.1,1,32,04:01 AM,01:34 PM,07:32 AM,05:58 PM,5,3,5,3,18,51,93,2.0,1011,6,6,261,11,"Portugal,+Crato"
2021-02-08,10,7,0.0,6.9,2,25,05:07 AM,02:29 PM,07:31 AM,06:00 PM,7,6,8,6,29,68,90,4.7,1009,10,10,263,19,"Portugal,+Crato"
2021-02-09,9,7,0.0,6.9,2,18,06:05 AM,03:32 PM,07:30 AM,06:01 PM,7,5,8,5,40,85,91,23.6,1008,9,9,235,23,"Portugal,+Crato"
2021-02-10,10,6,0.0,8.5,2,12,06:55 AM,04:37 PM,07:28 AM,06:02 PM,7,7,9,7,18,75,91,5.7,1014,10,7,234,12,"Portugal,+Crato"
2021-02-11,13,9,0.0,5.4,3,5,07:37 AM,05:45 PM,07:27 AM,06:03 PM,12,11,12,11,18,97,96,3.8,1019,13,6,219,12,"Portugal,+Crato"
2021-02-12,12,9,0.0,8.5,3,2,08:11 AM,06:50 PM,07:26 AM,06:04 PM,9,9,11,9,14,78,91,0.5,1023,12,9,264,10,"Portugal,+Crato"
2021-02-13,14,7,0.0,10.8,3,9,08:41 AM,07:54 PM,07:25 AM,06:05 PM,6,10,10,10,7,22,79,0.0,1026,14,10,253,4,"Portugal,+Crato"
2021-02-14,15,7,0.0,10.8,4,15,09:08 AM,08:55 PM,07:24 AM,06:06 PM,6,10,11,10,10,14,75,0.0,1027,15,10,91,6,"Portugal,+Crato"
