date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,8,5,0.0,3.4,2,83,07:36 PM,10:00 AM,08:02 AM,05:12 PM,4,5,6,5,15,77,83,5.7,1016,8,9,82,9,"Portugal,+Melgaco"
2021-01-02,8,5,0.0,6.9,2,76,08:45 PM,10:37 AM,08:02 AM,05:13 PM,4,5,6,5,12,64,84,1.2,1019,8,10,77,7,"Portugal,+Melgaco"
2021-01-03,9,4,0.0,5.2,2,69,09:56 PM,11:09 AM,08:02 AM,05:14 PM,3,4,6,4,12,59,81,1.4,1020,9,10,177,7,"Portugal,+Melgaco"
2021-01-04,8,3,0.0,5.2,2,62,11:06 PM,11:38 AM,08:02 AM,05:15 PM,2,4,5,4,11,63,82,1.3,1016,8,10,124,7,"Portugal,+Melgaco"
2021-01-05,8,2,0.0,8.7,2,56,No moonrise,12:04 PM,08:02 AM,05:16 PM,1,2,4,2,14,15,80,0.0,1015,8,10,71,8,"Portugal,+Melgaco"
2021-01-06,9,2,0.0,8.7,3,49,12:17 AM,12:30 PM,08:01 AM,05:17 PM,0,2,4,2,16,4,76,0.0,1014,9,10,74,9,"Portugal,+Melgaco"
2021-01-07,8,1,0.0,8.7,2,42,01:29 AM,12:57 PM,08:01 AM,05:18 PM,0,1,4,1,19,6,77,0.0,1015,8,10,57,11,"Portugal,+Melgaco"
2021-01-08,9,1,0.0,8.7,2,35,02:42 AM,01:28 PM,08:01 AM,05:19 PM,-1,1,4,1,25,0,74,0.0,1014,9,10,52,15,"Portugal,+Melgaco"
2021-01-09,8,3,0.0,8.7,3,28,03:58 AM,02:02 PM,08:01 AM,05:20 PM,-1,1,5,1,38,26,68,0.0,1010,8,10,29,26,"Portugal,+Melgaco"
2021-01-10,10,5,0.0,8.7,3,22,05:13 AM,02:44 PM,08:01 AM,05:21 PM,0,2,6,2,38,12,67,0.0,1017,10,10,41,24,"Portugal,+Melgaco"
2021-01-11,10,2,0.0,8.7,3,15,06:26 AM,03:35 PM,08:00 AM,05:22 PM,-1,3,6,3,18,1,69,0.0,1026,10,10,66,10,"Portugal,+Melgaco"
2021-01-12,10,2,0.0,8.7,3,8,07:32 AM,04:34 PM,08:00 AM,05:23 PM,-0,4,5,4,11,1,68,0.0,1030,10,10,159,6,"Portugal,+Melgaco"
2021-01-13,10,3,0.0,8.7,3,1,08:28 AM,05:41 PM,08:00 AM,05:25 PM,0,4,6,4,10,26,70,0.0,1032,10,10,131,5,"Portugal,+Melgaco"
2021-01-14,11,4,0.0,5.3,2,5,09:14 AM,06:50 PM,07:59 AM,05:26 PM,3,6,7,6,11,40,78,0.0,1031,11,10,120,6,"Portugal,+Melgaco"
2021-01-15,13,6,0.0,8.7,3,12,09:51 AM,07:59 PM,07:59 AM,05:27 PM,6,8,8,8,12,10,83,0.0,1030,13,10,107,6,"Portugal,+Melgaco"
2021-01-16,12,4,0.0,8.7,3,19,10:21 AM,09:06 PM,07:58 AM,05:28 PM,2,6,7,6,12,6,67,0.0,1029,12,10,162,6,"Portugal,+Melgaco"
2021-01-17,13,7,0.0,8.7,3,26,10:47 AM,10:09 PM,07:58 AM,05:29 PM,5,8,9,8,10,6,76,0.0,1030,13,10,132,5,"Portugal,+Melgaco"
2021-01-18,13,7,0.0,8.7,3,33,11:11 AM,11:11 PM,07:57 AM,05:30 PM,6,9,9,9,12,8,81,0.0,1027,13,10,145,7,"Portugal,+Melgaco"
2021-01-19,11,6,0.0,7.0,2,39,11:33 AM,No moonset,07:57 AM,05:32 PM,5,6,8,6,28,50,80,0.1,1019,11,9,155,17,"Portugal,+Melgaco"
2021-01-20,12,9,0.0,3.7,3,46,11:55 AM,12:11 AM,07:56 AM,05:33 PM,9,8,11,8,50,99,90,59.9,1003,12,6,204,30,"Portugal,+Melgaco"
2021-01-21,13,11,0.0,3.7,3,53,12:17 PM,01:12 AM,07:56 AM,05:34 PM,10,9,12,9,49,90,89,26.6,1007,13,8,230,31,"Portugal,+Melgaco"
2021-01-22,11,10,0.0,3.7,3,60,12:43 PM,02:12 AM,07:55 AM,05:35 PM,7,7,10,7,62,84,78,26.5,1009,11,8,266,37,"Portugal,+Melgaco"
2021-01-23,13,8,0.0,3.7,3,66,01:12 PM,03:13 AM,07:54 AM,05:37 PM,9,8,11,8,50,98,87,52.9,1010,13,7,247,31,"Portugal,+Melgaco"
2021-01-24,12,10,0.0,3.7,3,73,01:46 PM,04:14 AM,07:53 AM,05:38 PM,9,9,11,9,27,85,88,12.7,1012,12,9,239,17,"Portugal,+Melgaco"
2021-01-25,13,10,0.0,3.7,3,80,02:27 PM,05:16 AM,07:53 AM,05:39 PM,12,11,12,11,26,100,98,25.3,1012,13,7,227,17,"Portugal,+Melgaco"
2021-01-26,14,11,0.0,3.7,3,87,03:18 PM,06:14 AM,07:52 AM,05:40 PM,13,12,13,12,17,100,99,25.7,1020,14,7,213,11,"Portugal,+Melgaco"
2021-01-27,15,13,0.0,3.7,3,93,04:16 PM,07:08 AM,07:51 AM,05:42 PM,13,13,14,13,17,93,96,2.6,1026,15,6,192,10,"Portugal,+Melgaco"
2021-01-28,14,13,0.0,3.7,3,100,05:22 PM,07:55 AM,07:50 AM,05:43 PM,13,13,14,13,21,98,94,2.1,1023,14,4,182,13,"Portugal,+Melgaco"
2021-01-29,14,9,0.0,3.7,3,93,06:31 PM,08:35 AM,07:49 AM,05:44 PM,12,11,13,11,32,97,95,4.0,1019,14,4,197,20,"Portugal,+Melgaco"
2021-01-30,11,10,0.0,3.7,3,86,07:44 PM,09:10 AM,07:48 AM,05:46 PM,8,8,11,8,53,90,82,29.7,1016,11,9,265,33,"Portugal,+Melgaco"
2021-01-31,13,9,0.0,3.8,3,79,08:56 PM,09:41 AM,07:47 AM,05:47 PM,11,10,12,10,29,97,94,12.3,1017,13,9,251,19,"Portugal,+Melgaco"
2021-02-01,13,6,0.0,3.8,3,73,10:08 PM,10:08 AM,07:46 AM,05:48 PM,12,10,12,10,28,92,95,10.1,1017,13,10,216,18,"Portugal,+Melgaco"
2021-02-02,13,9,0.0,3.8,3,66,11:21 PM,10:34 AM,07:45 AM,05:49 PM,11,10,12,10,36,96,93,25.2,1013,13,8,188,23,"Portugal,+Melgaco"
2021-02-03,12,10,0.0,3.8,3,59,No moonrise,11:01 AM,07:44 AM,05:51 PM,9,8,11,8,38,74,87,35.9,1009,12,8,214,23,"Portugal,+Melgaco"
2021-02-04,12,8,0.0,3.8,2,52,12:33 AM,11:30 AM,07:43 AM,05:52 PM,7,8,10,8,15,73,86,8.4,1009,12,10,143,9,"Portugal,+Melgaco"
2021-02-05,12,7,0.0,8.7,3,46,01:48 AM,12:02 PM,07:42 AM,05:53 PM,6,8,9,8,21,46,82,0.5,1007,12,10,38,13,"Portugal,+Melgaco"
2021-02-06,10,6,0.0,3.8,2,39,03:01 AM,12:40 PM,07:41 AM,05:54 PM,5,6,9,6,31,79,76,1.5,1006,10,8,138,22,"Portugal,+Melgaco"
2021-02-07,7,2,0.0,3.8,2,32,04:13 AM,01:27 PM,07:40 AM,05:56 PM,5,3,6,3,20,75,87,23.2,1008,7,9,130,13,"Portugal,+Melgaco"
2021-02-08,11,7,0.0,3.8,3,25,05:20 AM,02:21 PM,07:38 AM,05:57 PM,8,7,10,7,38,90,86,27.5,1004,11,8,263,24,"Portugal,+Melgaco"
2021-02-09,11,3,0.0,3.8,2,18,06:18 AM,03:24 PM,07:37 AM,05:58 PM,8,6,9,6,47,94,86,59.5,1000,11,7,242,31,"Portugal,+Melgaco"
2021-02-10,12,8,0.0,5.3,3,12,07:07 AM,04:31 PM,07:36 AM,06:00 PM,6,8,10,8,31,83,77,6.4,1010,12,8,237,20,"Portugal,+Melgaco"
2021-02-11,13,10,0.0,5.3,3,5,07:47 AM,05:40 PM,07:35 AM,06:01 PM,11,10,12,10,25,92,94,49.3,1014,13,7,172,15,"Portugal,+Melgaco"
2021-02-12,13,10,0.0,5.3,3,2,08:20 AM,06:48 PM,07:33 AM,06:02 PM,10,10,11,10,20,77,91,17.9,1021,13,8,212,12,"Portugal,+Melgaco"
2021-02-13,12,9,0.0,5.4,3,9,08:48 AM,07:54 PM,07:32 AM,06:03 PM,9,9,10,9,18,90,92,7.5,1024,12,6,152,11,"Portugal,+Melgaco"
2021-02-14,16,10,0.0,10.7,3,15,09:12 AM,08:57 PM,07:31 AM,06:05 PM,7,11,12,11,26,30,75,0.0,1025,16,10,152,14,"Portugal,+Melgaco"
2021-02-15,16,10,0.0,10.8,4,22,09:35 AM,09:58 PM,07:29 AM,06:06 PM,7,11,12,11,26,18,74,0.0,1024,16,10,157,14,"Portugal,+Melgaco"
2021-02-16,13,10,0.0,8.5,3,29,09:56 AM,10:59 PM,07:28 AM,06:07 PM,10,10,12,10,28,60,87,20.0,1023,13,9,204,17,"Portugal,+Melgaco"
2021-02-17,13,9,0.0,5.4,3,36,10:19 AM,11:59 PM,07:26 AM,06:08 PM,10,9,11,9,24,77,93,23.0,1020,13,7,167,14,"Portugal,+Melgaco"
2021-02-18,11,8,0.0,5.4,3,42,10:43 AM,No moonset,07:25 AM,06:10 PM,8,8,10,8,33,85,84,25.4,1014,11,8,229,20,"Portugal,+Melgaco"
2021-02-19,14,7,0.0,5.4,3,49,11:10 AM,01:00 AM,07:24 AM,06:11 PM,9,8,11,8,38,94,88,9.0,1010,14,10,169,24,"Portugal,+Melgaco"
2021-02-20,12,10,0.0,5.5,3,56,11:42 AM,02:01 AM,07:22 AM,06:12 PM,10,10,12,10,35,97,90,61.6,1002,12,7,174,21,"Portugal,+Melgaco"
2021-02-21,10,8,0.0,5.5,2,63,12:19 PM,03:02 AM,07:21 AM,06:13 PM,6,8,9,8,13,90,84,13.7,1006,10,7,204,9,"Portugal,+Melgaco"
2021-02-22,12,5,0.0,11.0,2,70,01:05 PM,04:01 AM,07:19 AM,06:15 PM,4,7,8,7,14,31,76,0.5,1019,12,10,143,9,"Portugal,+Melgaco"
2021-02-23,14,8,0.0,8.5,3,76,01:59 PM,04:56 AM,07:18 AM,06:16 PM,5,8,10,8,23,71,70,0.2,1025,14,10,139,13,"Portugal,+Melgaco"
2021-02-24,15,12,0.0,11.0,4,83,03:02 PM,05:46 AM,07:16 AM,06:17 PM,8,12,13,12,26,44,72,1.8,1025,15,10,161,16,"Portugal,+Melgaco"
2021-02-25,11,10,0.0,5.5,3,90,04:10 PM,06:29 AM,07:15 AM,06:18 PM,8,9,10,9,21,93,87,13.7,1026,11,6,66,14,"Portugal,+Melgaco"
2021-02-26,17,8,0.0,11.1,4,97,05:23 PM,07:07 AM,07:13 AM,06:19 PM,8,11,12,11,15,18,79,0.0,1030,17,10,100,9,"Portugal,+Melgaco"
