date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,10,8,0.0,3.6,2,83,07:44 PM,09:55 AM,07:57 AM,05:20 PM,5,6,9,6,41,88,77,13.2,1017,10,9,343,25,"Portugal,+Montemor-o-Velho"
2021-01-02,11,7,0.0,5.3,2,76,08:51 PM,10:34 AM,07:57 AM,05:21 PM,5,6,9,6,31,52,75,3.2,1019,11,10,179,19,"Portugal,+Montemor-o-Velho"
2021-01-03,10,4,0.0,8.7,2,69,10:00 PM,11:07 AM,07:57 AM,05:22 PM,4,5,7,5,17,33,76,0.1,1020,10,10,162,10,"Portugal,+Montemor-o-Velho"
2021-01-04,10,3,0.0,7.0,2,62,11:10 PM,11:38 AM,07:57 AM,05:23 PM,4,7,8,7,13,51,74,0.9,1016,10,10,208,8,"Portugal,+Montemor-o-Velho"
2021-01-05,11,4,0.0,8.7,3,56,No moonrise,12:05 PM,07:57 AM,05:24 PM,1,5,7,5,15,1,72,0.0,1014,11,10,105,8,"Portugal,+Montemor-o-Velho"
2021-01-06,10,3,0.0,8.7,3,49,12:19 AM,12:32 PM,07:57 AM,05:25 PM,-1,3,6,3,21,10,63,0.0,1013,10,10,74,12,"Portugal,+Montemor-o-Velho"
2021-01-07,9,4,0.0,8.7,3,42,01:29 AM,01:01 PM,07:57 AM,05:26 PM,-1,3,6,3,28,2,62,0.0,1013,9,10,46,17,"Portugal,+Montemor-o-Velho"
2021-01-08,10,4,0.0,7.0,2,35,02:41 AM,01:33 PM,07:57 AM,05:27 PM,-3,2,6,2,38,38,54,0.0,1011,10,10,37,25,"Portugal,+Montemor-o-Velho"
2021-01-09,8,3,0.0,5.3,2,28,03:55 AM,02:09 PM,07:57 AM,05:28 PM,-2,2,6,2,34,40,59,0.0,1007,8,10,28,22,"Portugal,+Montemor-o-Velho"
2021-01-10,10,4,0.0,8.7,3,22,05:09 AM,02:52 PM,07:57 AM,05:29 PM,0,3,7,3,37,35,65,0.0,1014,10,10,43,24,"Portugal,+Montemor-o-Velho"
2021-01-11,10,4,0.0,8.7,3,15,06:21 AM,03:44 PM,07:57 AM,05:30 PM,-1,2,6,2,29,0,60,0.0,1024,10,10,47,19,"Portugal,+Montemor-o-Velho"
2021-01-12,12,3,0.0,8.7,3,8,07:27 AM,04:43 PM,07:56 AM,05:31 PM,1,5,7,5,14,1,67,0.0,1030,12,10,123,8,"Portugal,+Montemor-o-Velho"
2021-01-13,11,4,0.0,8.7,3,1,08:23 AM,05:49 PM,07:56 AM,05:32 PM,3,5,7,5,14,25,76,0.0,1031,11,10,133,8,"Portugal,+Montemor-o-Velho"
