date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,9,5,0.0,5.3,2,83,07:45 PM,09:53 AM,07:55 AM,05:21 PM,4,4,6,4,19,55,88,2.2,1017,9,10,320,11,"Portugal,+Ourem"
2021-01-02,10,4,0.0,8.7,3,76,08:52 PM,10:32 AM,07:55 AM,05:22 PM,3,4,6,4,17,5,84,0.0,1018,10,10,329,10,"Portugal,+Ourem"
2021-01-03,10,3,0.0,7.0,2,69,10:01 PM,11:06 AM,07:55 AM,05:23 PM,3,4,6,4,12,22,84,0.2,1020,10,10,335,7,"Portugal,+Ourem"
2021-01-04,10,4,0.0,8.7,3,62,11:10 PM,11:37 AM,07:55 AM,05:24 PM,3,5,6,5,7,42,82,0.0,1016,10,10,265,5,"Portugal,+Ourem"
2021-01-05,12,3,0.0,8.7,3,56,No moonrise,12:05 PM,07:55 AM,05:25 PM,1,5,7,5,7,14,76,0.0,1014,12,10,86,4,"Portugal,+Ourem"
2021-01-06,9,2,0.0,8.7,3,49,12:18 AM,12:32 PM,07:55 AM,05:26 PM,-3,3,5,3,10,15,62,0.0,1013,9,10,66,6,"Portugal,+Ourem"
2021-01-07,11,2,0.0,8.7,3,42,01:29 AM,01:01 PM,07:55 AM,05:27 PM,-2,5,6,5,10,18,61,0.0,1012,11,10,112,6,"Portugal,+Ourem"
2021-01-08,8,1,0.0,8.7,2,35,02:40 AM,01:34 PM,07:55 AM,05:28 PM,-4,1,3,1,18,28,61,0.0,1010,8,10,105,10,"Portugal,+Ourem"
2021-01-09,6,-0,0.0,5.3,1,28,03:53 AM,02:10 PM,07:55 AM,05:29 PM,-3,-2,2,-2,26,46,70,0.0,1006,6,10,135,17,"Portugal,+Ourem"
2021-01-10,9,-1,0.0,5.3,1,22,05:07 AM,02:53 PM,07:55 AM,05:30 PM,-1,1,3,1,15,43,77,0.0,1013,9,10,14,9,"Portugal,+Ourem"
2021-01-11,11,-0,0.0,8.7,3,15,06:18 AM,03:45 PM,07:55 AM,05:31 PM,-2,3,5,3,10,0,69,0.0,1024,11,10,145,6,"Portugal,+Ourem"
2021-01-12,12,2,0.0,8.7,3,8,07:24 AM,04:45 PM,07:54 AM,05:32 PM,0,6,6,6,5,0,70,0.0,1030,12,10,151,3,"Portugal,+Ourem"
2021-01-13,12,1,0.0,8.7,3,1,08:21 AM,05:51 PM,07:54 AM,05:33 PM,1,5,6,5,9,20,78,0.0,1031,12,9,173,5,"Portugal,+Ourem"
2021-01-14,11,2,0.0,8.7,2,5,09:08 AM,06:59 PM,07:54 AM,05:34 PM,4,4,6,4,19,35,88,0.0,1031,11,9,336,11,"Portugal,+Ourem"
2021-01-15,14,5,0.0,8.7,3,12,09:47 AM,08:06 PM,07:53 AM,05:35 PM,6,8,9,8,12,19,86,0.0,1029,14,6,298,7,"Portugal,+Ourem"
2021-01-16,16,4,0.0,8.7,4,19,10:18 AM,09:11 PM,07:53 AM,05:36 PM,3,9,9,9,7,3,76,0.0,1029,16,10,224,4,"Portugal,+Ourem"
2021-01-17,17,4,0.0,8.7,4,26,10:46 AM,10:13 PM,07:53 AM,05:37 PM,2,9,10,9,5,8,71,0.0,1029,17,10,148,3,"Portugal,+Ourem"
2021-01-18,15,5,0.0,8.7,3,33,11:11 AM,11:13 PM,07:52 AM,05:38 PM,3,8,9,8,8,4,70,0.0,1027,15,10,125,5,"Portugal,+Ourem"
2021-01-19,11,3,0.0,5.4,2,39,11:35 AM,No moonset,07:52 AM,05:39 PM,5,5,7,5,20,54,84,0.0,1022,11,10,141,12,"Portugal,+Ourem"
2021-01-20,13,10,0.0,5.4,3,46,11:58 AM,12:11 AM,07:51 AM,05:41 PM,10,9,11,9,29,87,92,28.9,1009,13,8,216,19,"Portugal,+Ourem"
2021-01-21,14,10,0.0,3.7,3,53,12:22 PM,01:10 AM,07:51 AM,05:42 PM,11,10,12,10,27,89,95,4.2,1014,14,9,233,16,"Portugal,+Ourem"
2021-01-22,11,8,0.0,5.4,2,60,12:49 PM,02:09 AM,07:50 AM,05:43 PM,8,8,10,8,35,72,84,3.0,1015,11,10,272,21,"Portugal,+Ourem"
2021-01-23,13,6,0.0,3.7,3,66,01:20 PM,03:08 AM,07:49 AM,05:44 PM,9,8,10,8,30,80,93,7.7,1016,13,10,254,18,"Portugal,+Ourem"
2021-01-24,13,11,0.0,3.7,3,73,01:55 PM,04:08 AM,07:49 AM,05:45 PM,11,11,12,11,15,90,96,2.1,1015,13,5,236,9,"Portugal,+Ourem"
2021-01-25,15,10,0.0,3.7,3,80,02:37 PM,05:08 AM,07:48 AM,05:46 PM,12,12,13,12,20,94,95,3.9,1017,15,7,252,13,"Portugal,+Ourem"
2021-01-26,14,13,0.0,3.8,3,87,03:28 PM,06:06 AM,07:47 AM,05:47 PM,14,14,14,14,11,100,99,13.7,1023,14,7,263,7,"Portugal,+Ourem"
