date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,6,2,0.0,3.4,1,83,07:39 PM,09:58 AM,08:00 AM,05:15 PM,2,3,4,3,7,76,92,4.9,1016,6,9,192,4,"Portugal,+Sao+Vicente"
2021-01-02,9,2,0.0,8.7,2,76,08:47 PM,10:36 AM,08:00 AM,05:16 PM,2,3,4,3,8,18,86,0.0,1019,9,8,153,5,"Portugal,+Sao+Vicente"
2021-01-03,9,1,0.0,8.7,2,69,09:57 PM,11:09 AM,08:00 AM,05:17 PM,2,4,4,4,7,32,82,1.4,1020,9,10,167,5,"Portugal,+Sao+Vicente"
2021-01-04,8,1,0.0,5.2,1,62,11:07 PM,11:38 AM,08:00 AM,05:18 PM,1,3,4,3,7,53,85,0.0,1016,8,10,103,4,"Portugal,+Sao+Vicente"
2021-01-05,10,0,0.0,8.7,3,56,No moonrise,12:05 PM,08:00 AM,05:19 PM,-0,3,5,3,8,6,78,0.0,1015,10,10,120,4,"Portugal,+Sao+Vicente"
2021-01-06,10,1,0.0,8.7,3,49,12:18 AM,12:31 PM,08:00 AM,05:20 PM,-1,3,5,3,12,4,72,0.0,1014,10,10,72,7,"Portugal,+Sao+Vicente"
2021-01-07,9,0,0.0,8.7,2,42,01:29 AM,12:59 PM,08:00 AM,05:21 PM,-3,2,4,2,12,3,65,0.0,1014,9,10,48,6,"Portugal,+Sao+Vicente"
2021-01-08,9,-0,0.0,8.7,2,35,02:42 AM,01:30 PM,08:00 AM,05:22 PM,-4,1,3,1,14,4,62,0.0,1013,9,10,50,8,"Portugal,+Sao+Vicente"
2021-01-09,8,-1,0.0,8.7,1,28,03:57 AM,02:05 PM,08:00 AM,05:23 PM,-3,-0,2,-0,14,38,72,0.0,1009,8,10,25,9,"Portugal,+Sao+Vicente"
2021-01-10,10,0,0.0,8.7,3,22,05:12 AM,02:47 PM,08:00 AM,05:24 PM,-2,3,5,3,13,17,73,0.0,1016,10,10,38,7,"Portugal,+Sao+Vicente"
2021-01-11,11,-1,0.0,8.7,3,15,06:24 AM,03:38 PM,07:59 AM,05:25 PM,-3,3,5,3,9,0,66,0.0,1026,11,10,94,5,"Portugal,+Sao+Vicente"
2021-01-12,12,1,0.0,8.7,3,8,07:31 AM,04:37 PM,07:59 AM,05:26 PM,-1,5,6,5,7,7,67,0.0,1030,12,10,162,4,"Portugal,+Sao+Vicente"
2021-01-13,12,1,0.0,8.7,3,1,08:26 AM,05:44 PM,07:59 AM,05:27 PM,-1,5,6,5,7,44,68,0.0,1032,12,10,145,4,"Portugal,+Sao+Vicente"
2021-01-14,13,2,0.0,8.7,3,5,09:13 AM,06:53 PM,07:58 AM,05:28 PM,3,6,6,6,7,14,79,0.0,1031,13,9,159,4,"Portugal,+Sao+Vicente"
