date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,9,4,0.0,3.6,2,83,07:41 PM,09:56 AM,07:58 AM,05:17 PM,3,5,6,5,12,65,80,5.3,1016,9,10,187,8,"Portugal,+Sever+do+Vouga"
2021-01-02,10,4,0.0,8.7,3,76,08:49 PM,10:34 AM,07:58 AM,05:18 PM,3,5,6,5,11,10,79,0.0,1019,10,10,115,7,"Portugal,+Sever+do+Vouga"
2021-01-03,9,2,0.0,8.7,2,69,09:58 PM,11:07 AM,07:58 AM,05:19 PM,1,4,5,4,8,34,74,0.1,1019,9,10,167,5,"Portugal,+Sever+do+Vouga"
2021-01-04,9,3,0.0,7.0,2,62,11:08 PM,11:37 AM,07:58 AM,05:20 PM,3,5,5,5,7,53,82,0.4,1016,9,10,142,4,"Portugal,+Sever+do+Vouga"
2021-01-05,10,3,0.0,8.7,3,56,No moonrise,12:04 PM,07:58 AM,05:21 PM,0,5,6,5,6,2,69,0.0,1015,10,10,131,4,"Portugal,+Sever+do+Vouga"
2021-01-06,11,2,0.0,8.7,3,49,12:17 AM,12:31 PM,07:58 AM,05:22 PM,-3,3,5,3,13,5,59,0.0,1014,11,10,74,7,"Portugal,+Sever+do+Vouga"
2021-01-07,11,2,0.0,8.7,3,42,01:29 AM,12:59 PM,07:58 AM,05:23 PM,-2,4,6,4,12,0,60,0.0,1013,11,10,52,7,"Portugal,+Sever+do+Vouga"
2021-01-08,9,0,0.0,8.7,1,35,02:41 AM,01:31 PM,07:58 AM,05:24 PM,-6,0,3,0,21,45,53,0.0,1012,9,10,44,12,"Portugal,+Sever+do+Vouga"
2021-01-09,8,-0,0.0,8.7,1,28,03:55 AM,02:06 PM,07:57 AM,05:25 PM,-4,1,4,1,14,40,60,0.0,1007,8,10,76,9,"Portugal,+Sever+do+Vouga"
2021-01-10,10,1,0.0,7.0,2,22,05:10 AM,02:49 PM,07:57 AM,05:26 PM,-1,2,4,2,15,46,68,0.0,1015,10,10,47,9,"Portugal,+Sever+do+Vouga"
2021-01-11,13,2,0.0,8.7,3,15,06:21 AM,03:41 PM,07:57 AM,05:27 PM,-2,5,7,5,10,0,59,0.0,1025,13,10,107,6,"Portugal,+Sever+do+Vouga"
2021-01-12,13,3,0.0,8.7,3,8,07:27 AM,04:40 PM,07:57 AM,05:28 PM,-1,7,8,7,9,9,62,0.0,1030,13,10,137,5,"Portugal,+Sever+do+Vouga"
2021-01-13,11,2,0.0,8.7,3,1,08:23 AM,05:46 PM,07:56 AM,05:29 PM,-1,6,7,6,8,28,63,0.0,1031,11,10,168,5,"Portugal,+Sever+do+Vouga"
2021-01-14,13,3,0.0,8.7,3,5,09:10 AM,06:55 PM,07:56 AM,05:30 PM,3,6,7,6,9,13,75,0.0,1031,13,10,168,5,"Portugal,+Sever+do+Vouga"
2021-01-15,15,6,0.0,8.7,4,12,09:48 AM,08:02 PM,07:56 AM,05:31 PM,6,9,9,9,8,6,79,0.0,1029,15,10,128,5,"Portugal,+Sever+do+Vouga"
2021-01-16,15,5,0.0,8.7,4,19,10:19 AM,09:08 PM,07:55 AM,05:32 PM,2,9,9,9,7,1,64,0.0,1029,15,10,130,5,"Portugal,+Sever+do+Vouga"
2021-01-17,16,7,0.0,8.7,4,26,10:46 AM,10:11 PM,07:55 AM,05:33 PM,2,10,10,10,8,8,59,0.0,1030,16,10,132,4,"Portugal,+Sever+do+Vouga"
2021-01-18,16,7,0.0,8.7,4,33,11:11 AM,11:12 PM,07:54 AM,05:35 PM,5,10,10,10,7,2,70,0.0,1027,16,10,162,4,"Portugal,+Sever+do+Vouga"
2021-01-19,13,5,0.0,7.0,2,39,11:34 AM,No moonset,07:54 AM,05:36 PM,4,8,9,8,17,45,71,0.0,1021,13,10,142,11,"Portugal,+Sever+do+Vouga"
2021-01-20,12,10,0.0,3.7,3,46,11:56 AM,12:11 AM,07:53 AM,05:37 PM,10,8,11,8,35,98,91,44.5,1007,12,6,207,21,"Portugal,+Sever+do+Vouga"
2021-01-21,14,11,0.0,3.7,3,53,12:20 PM,01:10 AM,07:52 AM,05:38 PM,11,10,12,10,33,88,95,39.0,1011,14,7,231,19,"Portugal,+Sever+do+Vouga"
2021-01-22,11,9,0.0,3.7,2,60,12:46 PM,02:10 AM,07:52 AM,05:39 PM,7,7,10,7,44,84,83,26.1,1012,11,8,269,25,"Portugal,+Sever+do+Vouga"
2021-01-23,13,6,0.0,3.7,3,66,01:16 PM,03:10 AM,07:51 AM,05:40 PM,9,8,10,8,33,96,91,37.6,1013,13,8,251,20,"Portugal,+Sever+do+Vouga"
2021-01-24,13,3,0.0,5.4,3,73,01:51 PM,04:11 AM,07:50 AM,05:42 PM,10,9,11,9,16,81,93,8.1,1014,13,10,227,10,"Portugal,+Sever+do+Vouga"
2021-01-25,13,9,0.0,3.7,3,80,02:33 PM,05:11 AM,07:50 AM,05:43 PM,12,11,13,11,22,100,98,8.9,1015,13,7,241,14,"Portugal,+Sever+do+Vouga"
2021-01-26,15,13,0.0,3.7,3,87,03:23 PM,06:09 AM,07:49 AM,05:44 PM,14,14,14,14,9,100,99,7.3,1022,15,5,224,6,"Portugal,+Sever+do+Vouga"
2021-01-27,17,13,0.0,3.7,3,93,04:21 PM,07:03 AM,07:48 AM,05:45 PM,13,15,14,15,5,83,94,0.4,1026,17,4,210,4,"Portugal,+Sever+do+Vouga"
2021-01-28,16,13,0.0,5.4,3,100,05:26 PM,07:51 AM,07:47 AM,05:47 PM,12,14,14,14,10,81,91,0.0,1024,16,7,170,7,"Portugal,+Sever+do+Vouga"
2021-01-29,15,12,0.0,3.8,3,93,06:35 PM,08:32 AM,07:46 AM,05:48 PM,12,13,14,13,15,83,88,0.9,1022,15,8,186,11,"Portugal,+Sever+do+Vouga"
2021-01-30,12,6,0.0,3.8,3,86,07:47 PM,09:08 AM,07:46 AM,05:49 PM,9,8,11,8,32,85,85,21.7,1018,12,9,273,21,"Portugal,+Sever+do+Vouga"
2021-01-31,14,10,0.0,3.8,3,79,08:58 PM,09:39 AM,07:45 AM,05:50 PM,12,11,12,11,20,96,96,9.1,1018,14,9,277,13,"Portugal,+Sever+do+Vouga"
2021-02-01,15,8,0.0,3.8,3,73,10:09 PM,10:07 AM,07:44 AM,05:51 PM,12,11,13,11,16,91,93,3.8,1019,15,8,229,11,"Portugal,+Sever+do+Vouga"
2021-02-02,14,12,0.0,3.8,3,66,11:20 PM,10:35 AM,07:43 AM,05:53 PM,11,11,12,11,24,91,91,4.7,1016,14,10,187,16,"Portugal,+Sever+do+Vouga"
2021-02-03,13,10,0.0,5.4,3,59,No moonrise,11:03 AM,07:42 AM,05:54 PM,10,10,12,10,23,78,88,21.4,1011,13,9,202,15,"Portugal,+Sever+do+Vouga"
2021-02-04,14,8,0.0,5.4,3,52,12:32 AM,11:33 AM,07:41 AM,05:55 PM,8,10,11,10,10,58,84,2.5,1010,14,10,148,6,"Portugal,+Sever+do+Vouga"
2021-02-05,10,5,0.0,3.8,2,46,01:45 AM,12:06 PM,07:40 AM,05:56 PM,7,8,9,8,14,70,87,17.4,1005,10,9,81,9,"Portugal,+Sever+do+Vouga"
2021-02-06,12,7,0.0,5.5,3,39,02:58 AM,12:45 PM,07:38 AM,05:58 PM,5,7,9,7,22,70,74,3.1,1004,12,6,345,16,"Portugal,+Sever+do+Vouga"
