date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,28,19,0.0,12.0,5,37,10:56 AM,11:36 PM,05:28 AM,06:54 PM,19,24,24,23,11,44,79,4.6,1009,28,10,126,7,"Brasil,+Sao+Paulo"
2020-01-02,28,20,0.0,8.3,5,44,11:45 AM,No moonset,05:29 AM,06:54 PM,20,25,25,23,10,71,81,12.8,1008,28,9,156,6,"Brasil,+Sao+Paulo"
2020-01-03,26,19,0.0,10.8,5,51,12:33 PM,12:09 AM,05:30 AM,06:54 PM,20,24,24,23,10,66,87,22.9,1008,26,7,150,5,"Brasil,+Sao+Paulo"
2020-01-04,25,19,0.0,8.3,5,59,01:23 PM,12:42 AM,05:30 AM,06:55 PM,20,23,23,22,13,69,90,30.1,1008,25,7,159,8,"Brasil,+Sao+Paulo"
2020-01-05,25,19,0.0,8.3,5,66,02:14 PM,01:17 AM,05:31 AM,06:55 PM,20,23,23,22,11,79,88,14.4,1007,25,8,200,7,"Brasil,+Sao+Paulo"
2020-01-06,26,19,0.0,9.5,5,73,03:08 PM,01:54 AM,05:32 AM,06:55 PM,20,24,24,23,11,64,85,10.2,1009,26,6,172,6,"Brasil,+Sao+Paulo"
2020-01-07,26,19,0.0,12.0,5,80,04:04 PM,02:35 AM,05:32 AM,06:55 PM,20,24,24,22,9,44,87,10.3,1010,26,9,184,6,"Brasil,+Sao+Paulo"
2020-01-08,27,21,0.0,12.0,5,88,05:02 PM,03:21 AM,05:33 AM,06:55 PM,21,26,26,24,8,64,86,19.5,1011,27,9,146,5,"Brasil,+Sao+Paulo"
2020-01-09,26,20,0.0,12.0,5,95,06:02 PM,04:12 AM,05:34 AM,06:56 PM,21,25,25,23,10,67,89,43.2,1011,26,7,190,6,"Brasil,+Sao+Paulo"
2020-01-10,28,21,0.0,8.3,6,100,07:01 PM,05:09 AM,05:34 AM,06:56 PM,21,26,26,24,8,69,86,30.2,1011,28,8,176,4,"Brasil,+Sao+Paulo"
2020-01-11,25,21,0.0,8.3,5,100,07:57 PM,06:11 AM,05:35 AM,06:56 PM,21,25,25,23,9,69,90,27.6,1011,25,8,135,5,"Brasil,+Sao+Paulo"
2020-01-12,23,21,0.0,8.3,5,83,08:49 PM,07:15 AM,05:36 AM,06:56 PM,21,22,24,22,8,84,94,24.6,1013,23,8,70,5,"Brasil,+Sao+Paulo"
2020-01-13,26,21,0.0,8.3,5,76,09:37 PM,08:19 AM,05:36 AM,06:56 PM,21,25,25,23,7,77,89,36.7,1013,26,6,174,4,"Brasil,+Sao+Paulo"
2020-01-14,28,20,0.0,8.2,5,69,10:21 PM,09:23 AM,05:37 AM,06:56 PM,21,25,25,23,13,81,85,20.1,1013,28,7,121,8,"Brasil,+Sao+Paulo"
2020-01-15,26,20,0.0,9.5,5,61,11:03 PM,10:24 AM,05:38 AM,06:56 PM,21,25,25,23,14,76,87,22.5,1013,26,7,153,7,"Brasil,+Sao+Paulo"
2020-01-16,26,21,0.0,8.2,5,54,11:44 PM,11:24 AM,05:39 AM,06:56 PM,21,26,26,24,11,81,88,29.2,1013,26,8,176,6,"Brasil,+Sao+Paulo"
2020-01-17,25,21,0.0,8.2,5,47,No moonrise,12:23 PM,05:39 AM,06:56 PM,21,25,25,23,10,77,91,30.3,1015,25,6,157,5,"Brasil,+Sao+Paulo"
2020-01-18,24,17,0.0,8.2,5,40,12:24 AM,01:22 PM,05:40 AM,06:56 PM,19,20,22,20,9,68,89,6.2,1016,24,8,109,7,"Brasil,+Sao+Paulo"
2020-01-19,26,20,0.0,10.7,5,32,01:06 AM,02:21 PM,05:41 AM,06:56 PM,20,24,24,23,18,68,88,26.8,1014,26,8,69,11,"Brasil,+Sao+Paulo"
2020-01-20,27,19,0.0,12.0,5,25,01:51 AM,03:20 PM,05:41 AM,06:56 PM,20,24,24,22,13,58,88,12.9,1012,27,8,119,8,"Brasil,+Sao+Paulo"
2020-01-21,26,18,0.0,9.5,5,18,02:38 AM,04:18 PM,05:42 AM,06:56 PM,19,23,23,22,12,62,85,2.1,1009,26,7,104,8,"Brasil,+Sao+Paulo"
2020-01-22,26,18,0.0,12.0,5,11,03:29 AM,05:15 PM,05:43 AM,06:55 PM,19,23,23,21,16,57,87,10.3,1008,26,7,90,11,"Brasil,+Sao+Paulo"
2020-01-23,20,14,0.0,8.2,4,3,04:22 AM,06:08 PM,05:43 AM,06:55 PM,19,19,19,19,7,82,96,10.5,1007,20,7,149,4,"Brasil,+Sao+Paulo"
2020-01-24,24,16,0.0,8.2,5,0,05:17 AM,06:57 PM,05:44 AM,06:55 PM,19,20,21,20,10,87,91,18.8,1005,24,7,194,7,"Brasil,+Sao+Paulo"
2020-01-25,27,16,0.0,9.5,5,0,06:12 AM,07:42 PM,05:45 AM,06:55 PM,19,22,22,21,6,68,86,2.8,1009,27,6,160,4,"Brasil,+Sao+Paulo"
2020-01-26,27,17,0.0,13.1,6,4,07:06 AM,08:22 PM,05:45 AM,06:55 PM,17,23,23,22,9,9,77,0.0,1011,27,10,134,6,"Brasil,+Sao+Paulo"
2020-01-27,28,17,0.0,13.1,5,11,07:58 AM,09:00 PM,05:46 AM,06:54 PM,17,23,23,22,10,26,74,0.7,1012,28,10,146,6,"Brasil,+Sao+Paulo"
2020-01-28,28,18,0.0,12.0,5,18,08:48 AM,09:35 PM,05:47 AM,06:54 PM,19,24,24,23,9,45,82,11.7,1011,28,9,89,5,"Brasil,+Sao+Paulo"
2020-01-29,26,19,0.0,12.0,5,26,09:38 AM,10:08 PM,05:47 AM,06:54 PM,21,24,24,23,11,66,87,12.7,1012,26,8,150,7,"Brasil,+Sao+Paulo"
2020-01-30,25,20,0.0,8.2,5,33,10:26 AM,10:40 PM,05:48 AM,06:53 PM,21,24,24,22,15,79,91,24.2,1014,25,8,180,8,"Brasil,+Sao+Paulo"
2020-01-31,26,21,0.0,8.2,5,37,11:15 AM,11:14 PM,05:49 AM,06:53 PM,21,25,25,23,8,78,87,17.0,1014,26,8,179,5,"Brasil,+Sao+Paulo"
2020-02-01,26,20,0.0,8.2,5,49,12:04 PM,11:50 PM,05:49 AM,06:53 PM,21,24,24,23,9,69,87,12.6,1014,26,6,153,5,"Brasil,+Sao+Paulo"
2020-02-02,26,20,0.0,8.1,5,57,12:56 PM,No moonset,05:50 AM,06:52 PM,21,24,24,22,8,76,89,17.5,1014,26,9,170,5,"Brasil,+Sao+Paulo"
2020-02-03,24,20,0.0,10.7,5,64,01:50 PM,12:27 AM,05:51 AM,06:52 PM,20,23,23,22,6,66,92,24.1,1014,24,9,87,4,"Brasil,+Sao+Paulo"
2020-02-04,23,20,0.0,9.4,5,72,02:45 PM,01:10 AM,05:51 AM,06:52 PM,20,21,21,21,16,64,94,20.9,1014,23,9,71,10,"Brasil,+Sao+Paulo"
2020-02-05,27,20,0.0,10.7,5,79,03:44 PM,01:58 AM,05:52 AM,06:51 PM,21,25,25,23,12,63,88,12.9,1012,27,7,108,7,"Brasil,+Sao+Paulo"
2020-02-06,24,20,0.0,9.4,5,87,04:43 PM,02:51 AM,05:52 AM,06:51 PM,20,22,22,21,17,68,92,25.2,1013,24,5,63,9,"Brasil,+Sao+Paulo"
2020-02-07,18,17,0.0,8.1,4,95,05:41 PM,03:51 AM,05:53 AM,06:50 PM,16,18,18,18,27,77,92,8.1,1013,18,9,72,17,"Brasil,+Sao+Paulo"
2020-02-08,24,18,0.0,11.9,5,100,06:36 PM,04:54 AM,05:54 AM,06:50 PM,17,20,21,20,24,57,82,2.2,1013,24,10,53,17,"Brasil,+Sao+Paulo"
2020-02-09,22,18,0.0,9.4,5,100,07:27 PM,06:00 AM,05:54 AM,06:49 PM,18,20,20,20,22,72,92,6.4,1014,22,9,44,13,"Brasil,+Sao+Paulo"
2020-02-10,22,19,0.0,8.1,5,83,08:14 PM,07:06 AM,05:55 AM,06:49 PM,20,21,21,21,13,95,95,20.2,1014,22,8,240,8,"Brasil,+Sao+Paulo"
2020-02-11,22,18,0.0,9.4,5,75,08:58 PM,08:10 AM,05:55 AM,06:48 PM,20,20,21,20,8,85,97,89.8,1015,22,6,142,5,"Brasil,+Sao+Paulo"
2020-02-12,25,18,0.0,9.4,5,68,09:41 PM,09:13 AM,05:56 AM,06:47 PM,20,22,22,21,11,74,92,25.9,1013,25,8,127,6,"Brasil,+Sao+Paulo"
2020-02-13,25,19,0.0,8.1,5,60,10:22 PM,10:14 AM,05:56 AM,06:47 PM,20,23,23,22,11,76,93,35.3,1013,25,7,139,6,"Brasil,+Sao+Paulo"
2020-02-14,27,18,0.0,11.9,5,53,11:05 PM,11:16 AM,05:57 AM,06:46 PM,20,24,24,22,10,55,87,2.5,1013,27,6,139,7,"Brasil,+Sao+Paulo"
2020-02-15,27,19,0.0,11.9,5,45,11:49 PM,12:15 PM,05:57 AM,06:46 PM,20,24,24,23,12,67,87,11.7,1013,27,6,107,7,"Brasil,+Sao+Paulo"
2020-02-16,27,19,0.0,11.9,5,38,No moonrise,01:15 PM,05:58 AM,06:45 PM,20,25,25,23,11,47,85,8.0,1012,27,9,154,7,"Brasil,+Sao+Paulo"
2020-02-17,27,19,0.0,11.9,5,30,12:36 AM,02:14 PM,05:59 AM,06:44 PM,21,25,25,23,12,47,87,15.6,1012,27,7,111,7,"Brasil,+Sao+Paulo"
2020-02-18,27,20,0.0,10.6,5,22,01:26 AM,03:11 PM,05:59 AM,06:44 PM,21,25,25,23,16,69,89,31.0,1014,27,7,52,9,"Brasil,+Sao+Paulo"
2020-02-19,27,20,0.0,7.8,5,15,02:18 AM,04:04 PM,06:00 AM,06:43 PM,21,25,25,23,11,73,88,21.4,1013,27,9,93,6,"Brasil,+Sao+Paulo"
