date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,15,5,0.0,8.7,4,37,11:58 AM,11:31 PM,07:55 AM,05:22 PM,5,9,10,9,6,5,82,0.0,1031,15,10,114,3,"Portugal,+Alcanena"
2020-01-02,12,4,0.0,7.0,2,44,12:23 PM,No moonset,07:55 AM,05:22 PM,5,7,8,7,7,30,88,0.0,1031,12,9,132,4,"Portugal,+Alcanena"
2020-01-03,14,7,0.0,7.0,3,51,12:48 PM,12:28 AM,07:55 AM,05:23 PM,7,9,9,9,8,44,89,0.0,1033,14,9,169,4,"Portugal,+Alcanena"
2020-01-04,16,8,0.0,8.7,3,59,01:13 PM,01:26 AM,07:55 AM,05:24 PM,7,11,12,11,8,4,84,0.0,1033,16,7,129,4,"Portugal,+Alcanena"
2020-01-05,13,5,0.0,8.7,3,66,01:40 PM,02:24 AM,07:55 AM,05:25 PM,4,8,9,8,8,8,79,0.0,1030,13,10,65,5,"Portugal,+Alcanena"
2020-01-06,14,5,0.0,8.7,3,73,02:10 PM,03:25 AM,07:55 AM,05:26 PM,5,8,9,8,9,1,83,0.0,1029,14,9,141,5,"Portugal,+Alcanena"
2020-01-07,15,3,0.0,8.7,3,80,02:46 PM,04:27 AM,07:55 AM,05:27 PM,4,8,8,8,9,6,78,0.0,1032,15,10,187,4,"Portugal,+Alcanena"
2020-01-08,17,4,0.0,8.7,4,88,03:28 PM,05:32 AM,07:55 AM,05:28 PM,6,9,10,9,13,20,82,0.0,1030,17,9,299,7,"Portugal,+Alcanena"
2020-01-09,17,8,0.0,3.7,3,95,04:17 PM,06:35 AM,07:55 AM,05:29 PM,10,11,12,11,11,74,91,0.1,1028,17,8,273,7,"Portugal,+Alcanena"
2020-01-10,14,6,0.0,8.7,3,100,05:17 PM,07:37 AM,07:55 AM,05:30 PM,4,8,10,8,17,2,75,0.0,1030,14,10,185,10,"Portugal,+Alcanena"
2020-01-11,13,4,0.0,8.7,3,100,06:23 PM,08:32 AM,07:55 AM,05:31 PM,3,7,8,7,7,4,73,0.0,1031,13,10,56,4,"Portugal,+Alcanena"
2020-01-12,13,3,0.0,8.7,3,83,07:34 PM,09:22 AM,07:54 AM,05:32 PM,3,7,8,7,5,4,78,0.0,1030,13,10,163,2,"Portugal,+Alcanena"
2020-01-13,12,3,0.0,7.0,2,76,08:47 PM,10:04 AM,07:54 AM,05:33 PM,4,6,7,6,9,64,85,0.0,1026,12,10,135,5,"Portugal,+Alcanena"
