date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,11,3,0.0,8.7,3,37,11:53 AM,11:23 PM,07:54 AM,05:09 PM,1,6,6,6,5,12,73,0.0,1031,11,10,114,2,"Portugal,+Alfandega+da+Fe"
2020-01-02,9,3,0.0,5.3,2,44,12:17 PM,No moonset,07:54 AM,05:10 PM,-0,5,5,5,6,51,71,0.0,1031,9,10,139,3,"Portugal,+Alfandega+da+Fe"
2020-01-03,10,2,0.0,8.7,3,51,12:40 PM,12:21 AM,07:54 AM,05:11 PM,1,5,5,5,5,24,78,0.0,1034,10,10,164,3,"Portugal,+Alfandega+da+Fe"
2020-01-04,10,3,0.0,8.7,3,59,01:05 PM,01:20 AM,07:54 AM,05:12 PM,3,3,5,3,12,19,86,0.0,1035,10,9,58,7,"Portugal,+Alfandega+da+Fe"
2020-01-05,11,1,0.0,8.7,3,66,01:31 PM,02:19 AM,07:54 AM,05:12 PM,0,5,6,5,8,0,75,0.0,1031,11,10,108,4,"Portugal,+Alfandega+da+Fe"
2020-01-06,9,1,0.0,8.7,3,73,02:00 PM,03:21 AM,07:54 AM,05:13 PM,1,4,5,4,4,1,79,0.0,1030,9,10,214,3,"Portugal,+Alfandega+da+Fe"
2020-01-07,11,2,0.0,8.7,3,80,02:34 PM,04:24 AM,07:54 AM,05:14 PM,-0,5,6,5,6,8,71,0.0,1033,11,10,106,3,"Portugal,+Alfandega+da+Fe"
2020-01-08,12,3,0.0,8.7,3,88,03:15 PM,05:30 AM,07:54 AM,05:15 PM,1,6,6,6,5,19,70,0.0,1030,12,10,128,2,"Portugal,+Alfandega+da+Fe"
2020-01-09,12,4,0.0,5.3,2,95,04:04 PM,06:34 AM,07:54 AM,05:16 PM,4,5,7,5,16,48,85,0.3,1027,12,10,245,10,"Portugal,+Alfandega+da+Fe"
2020-01-10,8,1,0.0,8.7,2,100,05:03 PM,07:36 AM,07:54 AM,05:17 PM,-1,2,4,2,13,6,75,0.0,1032,8,10,81,8,"Portugal,+Alfandega+da+Fe"
2020-01-11,9,1,0.0,8.7,2,100,06:10 PM,08:31 AM,07:53 AM,05:19 PM,-0,3,4,3,6,11,76,0.0,1032,9,10,160,3,"Portugal,+Alfandega+da+Fe"
2020-01-12,10,0,0.0,8.7,3,83,07:22 PM,09:20 AM,07:53 AM,05:20 PM,-0,4,4,4,3,5,77,0.0,1031,10,10,117,2,"Portugal,+Alfandega+da+Fe"
2020-01-13,9,1,0.0,7.0,1,76,08:36 PM,10:01 AM,07:53 AM,05:21 PM,-0,2,3,2,10,46,78,0.0,1025,9,10,195,6,"Portugal,+Alfandega+da+Fe"
2020-01-14,8,1,0.0,3.6,2,69,09:50 PM,10:36 AM,07:52 AM,05:22 PM,3,2,5,2,22,78,88,0.0,1019,8,7,190,14,"Portugal,+Alfandega+da+Fe"
2020-01-15,11,6,0.0,3.6,2,61,11:03 PM,11:08 AM,07:52 AM,05:23 PM,7,6,8,6,27,94,91,10.0,1018,11,8,197,18,"Portugal,+Alfandega+da+Fe"
2020-01-16,10,8,0.0,3.6,2,54,No moonrise,11:38 AM,07:52 AM,05:24 PM,7,6,9,6,35,91,87,13.1,1021,10,9,194,25,"Portugal,+Alfandega+da+Fe"
2020-01-17,8,4,0.0,8.7,2,47,12:14 AM,12:07 PM,07:51 AM,05:25 PM,3,3,5,3,17,58,85,4.5,1030,8,10,241,11,"Portugal,+Alfandega+da+Fe"
2020-01-18,10,4,0.0,3.7,2,40,01:25 AM,12:37 PM,07:51 AM,05:26 PM,5,4,6,4,19,93,91,4.6,1025,10,9,183,12,"Portugal,+Alfandega+da+Fe"
2020-01-19,7,1,0.0,8.7,2,32,02:34 AM,01:10 PM,07:50 AM,05:28 PM,-2,-0,3,-0,26,15,71,0.0,1028,7,9,104,17,"Portugal,+Alfandega+da+Fe"
2020-01-20,5,0,0.0,8.7,2,25,03:44 AM,01:47 PM,07:49 AM,05:29 PM,-6,-4,2,-4,45,6,57,0.0,1029,5,10,58,31,"Portugal,+Alfandega+da+Fe"
2020-01-21,9,1,0.0,8.7,3,18,04:50 AM,02:29 PM,07:49 AM,05:30 PM,-2,-1,4,-1,51,26,66,0.0,1024,9,10,57,35,"Portugal,+Alfandega+da+Fe"
2020-01-22,9,5,0.0,5.4,2,11,05:53 AM,03:17 PM,07:48 AM,05:31 PM,2,2,6,2,41,57,74,0.1,1018,9,10,66,27,"Portugal,+Alfandega+da+Fe"
2020-01-23,9,-1,0.0,8.7,2,3,06:49 AM,04:11 PM,07:48 AM,05:32 PM,1,2,4,2,11,37,82,0.0,1017,9,10,87,6,"Portugal,+Alfandega+da+Fe"
2020-01-24,8,5,0.0,3.7,2,0,07:39 AM,05:10 PM,07:47 AM,05:34 PM,4,5,6,5,9,93,88,8.1,1018,8,7,83,6,"Portugal,+Alfandega+da+Fe"
2020-01-25,8,4,0.0,3.7,2,0,08:21 AM,06:10 PM,07:46 AM,05:35 PM,3,5,5,5,8,70,87,0.6,1018,8,9,103,5,"Portugal,+Alfandega+da+Fe"
2020-01-26,9,1,0.0,5.4,2,4,08:57 AM,07:12 PM,07:45 AM,05:36 PM,3,3,5,3,12,63,88,0.2,1022,9,7,226,8,"Portugal,+Alfandega+da+Fe"
2020-01-27,9,6,0.0,3.7,2,11,09:28 AM,08:12 PM,07:45 AM,05:37 PM,6,4,7,4,29,95,92,10.2,1019,9,7,214,19,"Portugal,+Alfandega+da+Fe"
2020-01-28,11,9,0.0,3.7,2,18,09:54 AM,09:11 PM,07:44 AM,05:39 PM,9,7,10,7,28,94,95,3.2,1021,11,5,230,19,"Portugal,+Alfandega+da+Fe"
2020-01-29,11,8,0.0,3.7,2,26,10:19 AM,10:10 PM,07:43 AM,05:40 PM,8,7,9,7,23,92,94,5.9,1022,11,7,209,14,"Portugal,+Alfandega+da+Fe"
2020-01-30,11,5,0.0,3.7,2,33,10:43 AM,11:08 PM,07:42 AM,05:41 PM,7,6,8,6,20,94,94,0.9,1023,11,3,208,13,"Portugal,+Alfandega+da+Fe"
2020-01-31,13,7,0.0,3.8,3,37,11:06 AM,No moonset,07:41 AM,05:42 PM,10,9,11,9,15,94,95,2.7,1022,13,7,218,10,"Portugal,+Alfandega+da+Fe"
2020-02-01,15,10,0.0,3.8,3,49,11:31 AM,12:07 AM,07:40 AM,05:44 PM,11,11,12,11,19,80,94,5.8,1023,15,7,226,12,"Portugal,+Alfandega+da+Fe"
2020-02-02,16,10,0.0,7.1,3,57,11:58 AM,01:06 AM,07:39 AM,05:45 PM,10,12,12,12,11,49,90,0.3,1027,16,5,207,7,"Portugal,+Alfandega+da+Fe"
2020-02-03,17,8,0.0,8.7,3,64,12:29 PM,02:08 AM,07:38 AM,05:46 PM,9,12,12,12,5,17,85,0.0,1030,17,7,165,3,"Portugal,+Alfandega+da+Fe"
2020-02-04,16,7,0.0,8.7,4,72,01:06 PM,03:11 AM,07:37 AM,05:47 PM,6,11,11,11,4,14,75,0.0,1030,16,10,203,2,"Portugal,+Alfandega+da+Fe"
2020-02-05,12,5,0.0,8.7,3,79,01:50 PM,04:14 AM,07:36 AM,05:49 PM,3,6,8,6,20,5,75,0.0,1028,12,10,69,12,"Portugal,+Alfandega+da+Fe"
2020-02-06,14,3,0.0,8.7,3,87,02:43 PM,05:17 AM,07:35 AM,05:50 PM,2,7,8,7,8,23,69,0.0,1022,14,10,143,5,"Portugal,+Alfandega+da+Fe"
2020-02-07,13,5,0.0,8.7,3,95,03:47 PM,06:15 AM,07:34 AM,05:51 PM,6,8,8,8,10,19,85,0.0,1022,13,10,214,6,"Portugal,+Alfandega+da+Fe"
2020-02-08,12,7,0.0,5.4,2,100,04:57 PM,07:08 AM,07:33 AM,05:52 PM,7,7,9,7,14,66,89,5.2,1023,12,7,229,10,"Portugal,+Alfandega+da+Fe"
2020-02-09,11,3,0.0,8.7,2,100,06:13 PM,07:53 AM,07:31 AM,05:54 PM,4,5,6,5,12,40,84,0.0,1029,11,8,229,8,"Portugal,+Alfandega+da+Fe"
2020-02-10,14,8,0.0,7.1,3,83,07:30 PM,08:32 AM,07:30 AM,05:55 PM,8,9,10,9,19,56,89,0.0,1031,14,6,245,13,"Portugal,+Alfandega+da+Fe"
2020-02-11,15,7,0.0,7.1,3,75,08:45 PM,09:07 AM,07:29 AM,05:56 PM,7,9,10,9,11,68,84,0.1,1027,15,7,246,7,"Portugal,+Alfandega+da+Fe"
2020-02-12,14,7,0.0,5.5,3,68,10:00 PM,09:39 AM,07:28 AM,05:57 PM,7,9,10,9,8,53,82,0.1,1022,14,10,144,5,"Portugal,+Alfandega+da+Fe"
2020-02-13,13,8,0.0,3.9,3,60,11:14 PM,10:08 AM,07:26 AM,05:59 PM,7,8,9,8,16,69,88,0.3,1022,13,7,236,11,"Portugal,+Alfandega+da+Fe"
2020-02-14,14,5,0.0,10.0,2,53,No moonrise,10:39 AM,07:25 AM,06:00 PM,6,8,9,8,8,38,84,0.0,1026,14,8,238,5,"Portugal,+Alfandega+da+Fe"
2020-02-15,15,5,0.0,10.8,4,45,12:25 AM,11:12 AM,07:24 AM,06:01 PM,6,9,9,9,10,13,81,0.0,1025,15,10,225,7,"Portugal,+Alfandega+da+Fe"
2020-02-16,15,7,0.0,10.1,3,38,01:36 AM,11:48 AM,07:22 AM,06:02 PM,7,9,10,9,22,47,84,0.2,1025,15,8,219,15,"Portugal,+Alfandega+da+Fe"
2020-02-17,12,5,0.0,8.5,3,30,02:44 AM,12:28 PM,07:21 AM,06:03 PM,6,7,9,7,24,56,78,1.6,1027,12,9,217,16,"Portugal,+Alfandega+da+Fe"
2020-02-18,11,2,0.0,10.9,3,22,03:48 AM,01:14 PM,07:20 AM,06:05 PM,1,4,6,4,14,12,72,0.0,1033,11,10,49,9,"Portugal,+Alfandega+da+Fe"
2020-02-19,13,1,0.0,10.1,2,15,04:45 AM,02:05 PM,07:18 AM,06:06 PM,-0,5,7,5,10,25,67,0.0,1031,13,10,76,6,"Portugal,+Alfandega+da+Fe"
2020-02-20,14,2,0.0,10.9,3,7,05:36 AM,03:02 PM,07:17 AM,06:07 PM,0,7,8,7,6,3,64,0.0,1025,14,10,185,4,"Portugal,+Alfandega+da+Fe"
2020-02-21,15,3,0.0,10.9,3,0,06:20 AM,04:01 PM,07:15 AM,06:08 PM,2,6,8,6,17,2,68,0.0,1029,15,10,58,10,"Portugal,+Alfandega+da+Fe"
2020-02-22,18,5,0.0,11.0,4,0,06:57 AM,05:02 PM,07:14 AM,06:09 PM,3,10,11,10,7,0,61,0.0,1032,18,10,68,4,"Portugal,+Alfandega+da+Fe"
2020-02-23,19,6,0.0,11.0,4,0,07:29 AM,06:03 PM,07:13 AM,06:11 PM,2,11,12,11,6,1,57,0.0,1032,19,10,105,4,"Portugal,+Alfandega+da+Fe"
2020-02-24,18,6,0.0,11.0,4,0,07:57 AM,07:02 PM,07:11 AM,06:12 PM,3,12,12,12,10,12,59,0.0,1028,18,10,159,6,"Portugal,+Alfandega+da+Fe"
2020-02-25,13,6,0.0,10.1,2,8,08:22 AM,08:01 PM,07:10 AM,06:13 PM,4,6,8,6,20,46,74,0.1,1023,13,10,255,13,"Portugal,+Alfandega+da+Fe"
2020-02-26,12,2,0.0,11.1,3,15,08:46 AM,09:00 PM,07:08 AM,06:14 PM,0,3,6,3,19,8,70,0.0,1025,12,10,285,12,"Portugal,+Alfandega+da+Fe"
