date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,12,3,0.0,8.7,3,37,11:52 AM,11:21 PM,07:55 AM,05:06 PM,1,7,7,7,5,12,71,0.0,1031,12,10,109,3,"Portugal,+Braganca"
2020-01-02,10,2,0.0,7.0,2,44,12:16 PM,No moonset,07:55 AM,05:07 PM,-0,6,7,6,6,44,70,0.0,1030,10,10,144,4,"Portugal,+Braganca"
2020-01-03,11,1,0.0,8.7,3,51,12:39 PM,12:20 AM,07:55 AM,05:08 PM,-0,4,5,4,6,13,73,0.0,1034,11,10,196,3,"Portugal,+Braganca"
2020-01-04,10,1,0.0,8.7,3,59,01:03 PM,01:19 AM,07:55 AM,05:09 PM,2,4,6,4,9,12,85,0.0,1035,10,10,55,5,"Portugal,+Braganca"
2020-01-05,11,0,0.0,8.7,3,66,01:29 PM,02:19 AM,07:55 AM,05:10 PM,-1,5,6,5,5,0,69,0.0,1031,11,10,113,3,"Portugal,+Braganca"
2020-01-06,10,0,0.0,8.7,3,73,01:58 PM,03:21 AM,07:55 AM,05:11 PM,-1,4,5,4,4,1,71,0.0,1030,10,10,211,3,"Portugal,+Braganca"
2020-01-07,11,0,0.0,8.7,3,80,02:32 PM,04:25 AM,07:55 AM,05:12 PM,-2,5,6,5,6,6,64,0.0,1033,11,10,104,3,"Portugal,+Braganca"
2020-01-08,13,2,0.0,8.7,3,88,03:13 PM,05:30 AM,07:54 AM,05:13 PM,1,7,8,7,5,25,70,0.0,1030,13,10,128,3,"Portugal,+Braganca"
2020-01-09,11,4,0.0,3.6,2,95,04:02 PM,06:35 AM,07:54 AM,05:14 PM,5,7,8,7,17,61,88,0.3,1027,11,8,267,10,"Portugal,+Braganca"
2020-01-10,9,-1,0.0,8.7,2,100,05:01 PM,07:37 AM,07:54 AM,05:15 PM,-2,2,4,2,13,5,73,0.0,1032,9,10,121,8,"Portugal,+Braganca"
2020-01-11,9,-1,0.0,8.7,2,100,06:07 PM,08:32 AM,07:54 AM,05:16 PM,-1,3,4,3,7,15,77,0.0,1032,9,10,137,4,"Portugal,+Braganca"
2020-01-12,10,-0,0.0,8.7,3,83,07:20 PM,09:20 AM,07:54 AM,05:17 PM,-1,4,4,4,5,4,72,0.0,1031,10,10,164,3,"Portugal,+Braganca"
2020-01-13,9,0,0.0,8.7,2,76,08:34 PM,10:01 AM,07:53 AM,05:18 PM,-0,3,4,3,7,31,77,0.0,1024,9,10,210,5,"Portugal,+Braganca"
2020-01-14,7,2,0.0,3.6,2,69,09:49 PM,10:36 AM,07:53 AM,05:20 PM,3,2,4,2,14,95,92,0.3,1018,7,6,184,9,"Portugal,+Braganca"
2020-01-15,10,4,0.0,3.6,2,61,11:02 PM,11:08 AM,07:52 AM,05:21 PM,6,5,7,5,16,97,96,20.8,1017,10,7,186,10,"Portugal,+Braganca"
