date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,15,10,0.0,8.7,4,37,11:55 AM,11:32 PM,07:48 AM,05:27 PM,9,12,12,12,10,0,79,0.0,1030,15,10,79,6,"Portugal,+Lagoa+[R.A.A.]"
2020-01-02,15,10,0.0,5.4,3,44,12:21 PM,No moonset,07:48 AM,05:28 PM,10,12,13,12,10,47,83,0.0,1030,15,10,100,6,"Portugal,+Lagoa+[R.A.A.]"
2020-01-03,15,12,0.0,8.7,3,51,12:47 PM,12:27 AM,07:48 AM,05:29 PM,9,12,13,12,14,49,76,0.0,1032,15,10,165,9,"Portugal,+Lagoa+[R.A.A.]"
2020-01-04,15,10,0.0,8.7,4,59,01:14 PM,01:24 AM,07:48 AM,05:30 PM,8,11,12,11,17,3,78,0.0,1031,15,10,109,10,"Portugal,+Lagoa+[R.A.A.]"
2020-01-05,14,10,0.0,8.7,4,66,01:42 PM,02:21 AM,07:48 AM,05:31 PM,9,11,12,11,15,31,80,0.0,1028,14,10,83,9,"Portugal,+Lagoa+[R.A.A.]"
2020-01-06,16,9,0.0,8.7,4,73,02:14 PM,03:20 AM,07:48 AM,05:31 PM,8,11,12,11,14,0,77,0.0,1028,16,10,85,8,"Portugal,+Lagoa+[R.A.A.]"
2020-01-07,18,9,0.0,8.7,4,80,02:50 PM,04:21 AM,07:48 AM,05:32 PM,7,11,12,11,16,0,70,0.0,1030,18,10,85,8,"Portugal,+Lagoa+[R.A.A.]"
2020-01-08,16,10,0.0,8.7,4,88,03:33 PM,05:25 AM,07:48 AM,05:33 PM,6,11,12,11,21,12,66,0.0,1029,16,10,124,11,"Portugal,+Lagoa+[R.A.A.]"
2020-01-09,17,11,0.0,8.7,4,95,04:24 PM,06:27 AM,07:48 AM,05:34 PM,11,13,13,13,18,31,85,0.0,1027,17,10,330,11,"Portugal,+Lagoa+[R.A.A.]"
2020-01-10,13,9,0.0,8.7,4,100,05:23 PM,07:29 AM,07:48 AM,05:35 PM,7,9,11,9,27,6,76,0.0,1028,13,10,284,17,"Portugal,+Lagoa+[R.A.A.]"
2020-01-11,14,8,0.0,8.7,4,100,06:28 PM,08:25 AM,07:48 AM,05:36 PM,5,9,11,9,24,1,69,0.0,1028,14,10,58,14,"Portugal,+Lagoa+[R.A.A.]"
2020-01-12,16,9,0.0,8.7,4,83,07:39 PM,09:15 AM,07:48 AM,05:37 PM,5,10,11,10,13,0,66,0.0,1029,16,10,97,7,"Portugal,+Lagoa+[R.A.A.]"
2020-01-13,13,7,0.0,3.7,3,76,08:50 PM,09:59 AM,07:47 AM,05:38 PM,5,9,10,9,10,55,68,0.0,1026,13,10,102,6,"Portugal,+Lagoa+[R.A.A.]"
2020-01-14,14,10,0.0,3.7,3,69,10:01 PM,10:37 AM,07:47 AM,05:39 PM,9,12,13,12,26,69,75,1.4,1022,14,10,195,16,"Portugal,+Lagoa+[R.A.A.]"
2020-01-15,16,13,0.0,7.0,4,61,11:11 PM,11:12 AM,07:47 AM,05:40 PM,12,14,15,14,37,57,85,2.9,1021,16,10,206,23,"Portugal,+Lagoa+[R.A.A.]"
2020-01-16,17,12,0.0,8.7,4,54,No moonrise,11:44 AM,07:47 AM,05:41 PM,12,13,15,13,32,29,82,0.1,1025,17,10,191,20,"Portugal,+Lagoa+[R.A.A.]"
2020-01-17,16,12,0.0,8.7,3,47,12:19 AM,12:16 PM,07:46 AM,05:42 PM,11,13,14,13,17,47,81,0.4,1030,16,10,160,10,"Portugal,+Lagoa+[R.A.A.]"
2020-01-18,16,13,0.0,3.7,4,40,01:27 AM,12:49 PM,07:46 AM,05:43 PM,14,15,15,15,26,71,93,0.5,1029,16,9,234,16,"Portugal,+Lagoa+[R.A.A.]"
2020-01-19,13,9,0.0,8.7,4,32,02:33 AM,01:25 PM,07:45 AM,05:44 PM,6,9,12,9,39,9,71,0.0,1024,13,10,227,26,"Portugal,+Lagoa+[R.A.A.]"
2020-01-20,11,6,0.0,8.7,3,25,03:40 AM,02:03 PM,07:45 AM,05:45 PM,-1,4,8,4,48,13,52,0.0,1018,11,10,33,33,"Portugal,+Lagoa+[R.A.A.]"
2020-01-21,13,8,0.0,8.7,4,18,04:44 AM,02:47 PM,07:45 AM,05:46 PM,4,7,10,7,34,15,66,0.0,1014,13,10,30,22,"Portugal,+Lagoa+[R.A.A.]"
2020-01-22,13,8,0.0,8.7,3,11,05:46 AM,03:37 PM,07:44 AM,05:47 PM,6,8,10,8,19,55,76,0.2,1012,13,10,188,12,"Portugal,+Lagoa+[R.A.A.]"
2020-01-23,13,10,0.0,7.1,3,3,06:42 AM,04:31 PM,07:44 AM,05:48 PM,7,11,11,11,10,47,77,0.9,1013,13,10,187,6,"Portugal,+Lagoa+[R.A.A.]"
2020-01-24,13,10,0.0,5.4,3,0,07:33 AM,05:29 PM,07:43 AM,05:49 PM,8,11,11,11,13,49,82,0.7,1015,13,10,171,9,"Portugal,+Lagoa+[R.A.A.]"
2020-01-25,16,12,0.0,5.4,3,0,08:16 AM,06:27 PM,07:42 AM,05:50 PM,9,13,13,13,10,50,80,2.0,1016,16,10,178,6,"Portugal,+Lagoa+[R.A.A.]"
2020-01-26,14,10,0.0,7.1,3,4,08:53 AM,07:27 PM,07:42 AM,05:52 PM,8,11,12,11,15,41,81,0.1,1024,14,10,247,9,"Portugal,+Lagoa+[R.A.A.]"
2020-01-27,15,11,0.0,3.8,3,11,09:26 AM,08:24 PM,07:41 AM,05:53 PM,9,12,13,12,16,68,79,0.0,1025,15,10,224,10,"Portugal,+Lagoa+[R.A.A.]"
2020-01-28,15,12,0.0,8.7,4,18,09:56 AM,09:22 PM,07:40 AM,05:54 PM,10,13,13,13,8,30,80,0.0,1025,15,10,206,5,"Portugal,+Lagoa+[R.A.A.]"
2020-01-29,15,12,0.0,5.4,3,26,10:22 AM,10:17 PM,07:40 AM,05:55 PM,10,13,13,13,9,58,82,0.0,1025,15,10,154,6,"Portugal,+Lagoa+[R.A.A.]"
2020-01-30,16,13,0.0,8.7,4,33,10:48 AM,11:13 PM,07:39 AM,05:56 PM,11,14,14,14,10,9,85,0.0,1025,16,10,181,6,"Portugal,+Lagoa+[R.A.A.]"
2020-01-31,17,13,0.0,8.7,4,37,11:15 AM,No moonset,07:38 AM,05:57 PM,12,15,14,15,9,25,85,0.0,1026,17,10,147,6,"Portugal,+Lagoa+[R.A.A.]"
2020-02-01,18,14,0.0,8.7,4,49,11:42 AM,12:09 AM,07:37 AM,05:58 PM,11,16,15,16,5,26,78,0.0,1026,18,10,149,4,"Portugal,+Lagoa+[R.A.A.]"
2020-02-02,19,13,0.0,8.7,5,57,12:11 PM,01:07 AM,07:37 AM,05:59 PM,12,16,16,16,14,1,78,0.0,1027,19,10,88,8,"Portugal,+Lagoa+[R.A.A.]"
2020-02-03,19,14,0.0,10.0,4,64,12:44 PM,02:06 AM,07:36 AM,06:00 PM,12,16,16,16,14,36,77,0.0,1027,19,10,84,8,"Portugal,+Lagoa+[R.A.A.]"
2020-02-04,21,14,0.0,10.7,5,72,01:23 PM,03:07 AM,07:35 AM,06:01 PM,11,16,17,16,20,0,70,0.0,1028,21,10,11,10,"Portugal,+Lagoa+[R.A.A.]"
2020-02-05,18,13,0.0,10.7,5,79,02:09 PM,04:08 AM,07:34 AM,06:02 PM,10,15,15,15,23,0,70,0.0,1023,18,10,66,13,"Portugal,+Lagoa+[R.A.A.]"
2020-02-06,16,13,0.0,8.5,3,87,03:03 PM,05:10 AM,07:33 AM,06:03 PM,12,13,14,13,35,54,87,0.0,1020,16,10,124,23,"Portugal,+Lagoa+[R.A.A.]"
