date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,15,11,0.0,9.8,4,37,12:55 PM,No moonset,08:48 AM,06:28 PM,9,13,13,13,11,0,78,0.0,1030,15,10,78,7,"Portugal,+Lagos"
2020-01-02,15,11,0.0,8.3,3,44,01:22 PM,12:32 AM,08:48 AM,06:29 PM,10,12,13,12,11,37,81,0.0,1030,15,10,139,6,"Portugal,+Lagos"
2020-01-03,15,12,0.0,9.8,3,51,01:48 PM,01:29 AM,08:48 AM,06:29 PM,9,13,14,13,13,58,73,0.0,1032,15,10,94,9,"Portugal,+Lagos"
2020-01-04,16,11,0.0,9.8,4,59,02:14 PM,02:24 AM,08:48 AM,06:30 PM,9,12,13,12,17,2,76,0.0,1032,16,10,66,10,"Portugal,+Lagos"
2020-01-05,15,11,0.0,8.3,3,66,02:43 PM,03:22 AM,08:49 AM,06:31 PM,9,11,12,11,18,35,78,0.2,1028,15,10,88,11,"Portugal,+Lagos"
2020-01-06,17,10,0.0,9.8,4,73,03:15 PM,04:21 AM,08:49 AM,06:32 PM,8,11,12,11,15,0,75,0.0,1028,17,10,95,9,"Portugal,+Lagos"
2020-01-07,17,10,0.0,9.8,4,80,03:51 PM,05:22 AM,08:49 AM,06:33 PM,7,12,12,12,16,0,69,0.0,1030,17,10,100,9,"Portugal,+Lagos"
2020-01-08,16,10,0.0,9.9,4,88,04:34 PM,06:25 AM,08:49 AM,06:34 PM,6,11,12,11,19,11,65,0.0,1029,16,10,125,11,"Portugal,+Lagos"
2020-01-09,18,12,0.0,9.9,4,95,05:25 PM,07:29 AM,08:48 AM,06:35 PM,12,13,14,13,19,34,86,0.0,1028,18,10,257,12,"Portugal,+Lagos"
2020-01-10,14,10,0.0,9.9,4,100,06:23 PM,08:29 AM,08:48 AM,06:36 PM,7,10,12,10,27,13,74,0.1,1028,14,10,242,19,"Portugal,+Lagos"
2020-01-11,14,9,0.0,9.9,4,100,07:30 PM,09:26 AM,08:48 AM,06:37 PM,5,9,11,9,26,1,68,0.0,1028,14,10,65,16,"Portugal,+Lagos"
2020-01-12,15,10,0.0,9.9,4,83,08:39 PM,10:16 AM,08:48 AM,06:38 PM,5,11,12,11,15,0,65,0.0,1029,15,10,118,8,"Portugal,+Lagos"
2020-01-13,14,9,0.0,6.6,3,76,09:51 PM,10:59 AM,08:48 AM,06:39 PM,4,11,11,11,9,57,65,0.0,1026,14,10,116,5,"Portugal,+Lagos"
2020-01-14,15,11,0.0,6.6,3,69,11:02 PM,11:38 AM,08:48 AM,06:40 PM,9,13,14,13,28,63,73,1.5,1021,15,10,201,19,"Portugal,+Lagos"
2020-01-15,17,13,0.0,8.3,4,61,No moonrise,12:12 PM,08:47 AM,06:41 PM,13,15,15,15,38,53,83,2.6,1021,17,10,207,24,"Portugal,+Lagos"
2020-01-16,17,13,0.0,10.0,5,54,12:11 AM,12:45 PM,08:47 AM,06:42 PM,12,14,15,14,34,26,81,0.1,1024,17,10,192,22,"Portugal,+Lagos"
2020-01-17,17,13,0.0,10.0,3,47,01:20 AM,01:17 PM,08:47 AM,06:43 PM,11,14,14,14,17,46,80,0.5,1030,17,10,169,10,"Portugal,+Lagos"
2020-01-18,17,14,0.0,5.0,4,40,02:27 AM,01:50 PM,08:46 AM,06:44 PM,14,15,15,15,29,70,93,1.2,1029,17,10,239,19,"Portugal,+Lagos"
2020-01-19,14,10,0.0,10.0,3,32,03:35 AM,02:25 PM,08:46 AM,06:45 PM,7,10,13,10,39,24,68,0.2,1025,14,10,229,27,"Portugal,+Lagos"
2020-01-20,12,7,0.0,10.0,3,25,04:40 AM,03:04 PM,08:45 AM,06:46 PM,-0,5,9,5,47,10,52,0.0,1018,12,10,35,34,"Portugal,+Lagos"
2020-01-21,13,8,0.0,10.0,4,18,05:46 AM,03:49 PM,08:45 AM,06:47 PM,4,7,10,7,34,16,65,0.0,1015,13,10,33,23,"Portugal,+Lagos"
2020-01-22,13,8,0.0,10.0,3,11,06:47 AM,04:38 PM,08:44 AM,06:48 PM,6,9,10,9,18,44,75,0.0,1012,13,10,106,11,"Portugal,+Lagos"
2020-01-23,14,10,0.0,8.3,3,3,07:43 AM,05:32 PM,08:44 AM,06:49 PM,7,11,12,11,13,65,75,1.2,1013,14,10,202,8,"Portugal,+Lagos"
2020-01-24,14,10,0.0,5.0,3,0,08:33 AM,06:29 PM,08:43 AM,06:50 PM,8,11,12,11,13,55,80,1.6,1015,14,10,141,9,"Portugal,+Lagos"
2020-01-25,16,12,0.0,6.7,3,0,09:17 AM,07:29 PM,08:43 AM,06:51 PM,10,13,13,13,14,64,79,2.7,1016,16,10,196,8,"Portugal,+Lagos"
2020-01-26,15,11,0.0,6.7,3,4,09:54 AM,08:27 PM,08:42 AM,06:52 PM,9,12,13,12,16,53,79,0.3,1024,15,10,249,10,"Portugal,+Lagos"
2020-01-27,15,12,0.0,10.0,3,11,10:27 AM,09:26 PM,08:41 AM,06:53 PM,10,13,13,13,19,61,79,0.0,1025,15,10,222,13,"Portugal,+Lagos"
2020-01-28,16,13,0.0,10.1,4,18,10:56 AM,10:22 PM,08:41 AM,06:54 PM,10,14,14,14,11,30,79,0.0,1025,16,10,209,7,"Portugal,+Lagos"
2020-01-29,16,12,0.0,8.3,3,26,11:24 AM,11:19 PM,08:40 AM,06:56 PM,10,14,14,14,11,52,80,0.0,1025,16,10,157,7,"Portugal,+Lagos"
2020-01-30,17,13,0.0,10.2,4,33,11:50 AM,No moonset,08:39 AM,06:57 PM,12,14,14,14,13,8,84,0.0,1025,17,10,182,8,"Portugal,+Lagos"
2020-01-31,17,14,0.0,10.2,5,37,12:15 PM,12:14 AM,08:38 AM,06:58 PM,12,15,15,15,10,24,83,0.0,1026,17,10,151,7,"Portugal,+Lagos"
2020-02-01,18,14,0.0,10.2,5,49,12:42 PM,01:10 AM,08:38 AM,06:59 PM,12,16,16,16,6,20,78,0.0,1026,18,10,151,4,"Portugal,+Lagos"
2020-02-02,19,14,0.0,10.6,5,57,01:12 PM,02:07 AM,08:37 AM,07:00 PM,12,16,16,16,16,1,79,0.0,1027,19,10,97,9,"Portugal,+Lagos"
2020-02-03,18,15,0.0,6.9,4,64,01:45 PM,03:07 AM,08:36 AM,07:01 PM,12,16,16,16,17,41,78,0.0,1027,18,10,86,10,"Portugal,+Lagos"
2020-02-04,22,15,0.0,10.7,5,72,02:24 PM,04:07 AM,08:35 AM,07:02 PM,11,17,17,17,16,0,69,0.0,1028,22,10,59,8,"Portugal,+Lagos"
2020-02-05,18,14,0.0,10.7,5,79,03:10 PM,05:09 AM,08:34 AM,07:03 PM,10,15,15,15,23,1,69,0.0,1023,18,10,71,13,"Portugal,+Lagos"
2020-02-06,17,15,0.0,8.5,4,87,04:04 PM,06:11 AM,08:33 AM,07:04 PM,13,15,15,15,37,54,86,0.0,1020,17,10,122,26,"Portugal,+Lagos"
2020-02-07,18,14,0.0,8.5,4,95,05:07 PM,07:10 AM,08:32 AM,07:06 PM,14,16,16,16,9,51,88,0.4,1022,18,8,167,6,"Portugal,+Lagos"
2020-02-08,15,13,0.0,6.9,3,100,06:16 PM,08:03 AM,08:31 AM,07:07 PM,12,13,14,13,17,56,86,0.7,1026,15,10,312,11,"Portugal,+Lagos"
2020-02-09,16,11,0.0,10.8,4,100,07:29 PM,08:50 AM,08:30 AM,07:08 PM,9,12,13,12,15,26,75,0.1,1029,16,10,99,10,"Portugal,+Lagos"
