date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,14,7,0.0,8.7,4,37,11:59 AM,11:32 PM,07:56 AM,05:21 PM,6,9,10,9,7,7,81,0.0,1031,14,10,130,4,"Portugal,+Leiria"
2020-01-02,13,6,0.0,5.3,2,44,12:23 PM,No moonset,07:57 AM,05:22 PM,6,8,9,8,14,44,85,0.0,1030,13,10,148,8,"Portugal,+Leiria"
2020-01-03,14,9,0.0,7.0,3,51,12:48 PM,12:28 AM,07:57 AM,05:23 PM,8,10,11,10,9,62,85,0.0,1033,14,10,149,6,"Portugal,+Leiria"
2020-01-04,16,9,0.0,8.7,4,59,01:13 PM,01:27 AM,07:57 AM,05:24 PM,8,11,12,11,9,4,84,0.0,1033,16,9,48,5,"Portugal,+Leiria"
2020-01-05,16,7,0.0,8.7,4,66,01:41 PM,02:25 AM,07:57 AM,05:25 PM,6,11,11,11,7,5,77,0.0,1030,16,10,144,4,"Portugal,+Leiria"
2020-01-06,13,7,0.0,8.7,3,73,02:10 PM,03:26 AM,07:57 AM,05:26 PM,6,8,9,8,9,2,83,0.0,1029,13,10,132,5,"Portugal,+Leiria"
2020-01-07,14,5,0.0,8.7,3,80,02:45 PM,04:28 AM,07:57 AM,05:27 PM,5,9,9,9,8,2,77,0.0,1032,14,10,163,4,"Portugal,+Leiria"
2020-01-08,15,6,0.0,8.7,3,88,03:27 PM,05:33 AM,07:57 AM,05:27 PM,7,9,9,9,10,43,83,0.0,1030,15,8,136,6,"Portugal,+Leiria"
2020-01-09,16,11,0.0,5.3,3,95,04:17 PM,06:37 AM,07:56 AM,05:28 PM,11,12,12,12,13,73,92,0.2,1028,16,7,239,9,"Portugal,+Leiria"
2020-01-10,13,6,0.0,8.7,3,100,05:16 PM,07:38 AM,07:56 AM,05:29 PM,4,6,8,6,19,4,76,0.0,1030,13,10,108,12,"Portugal,+Leiria"
2020-01-11,14,6,0.0,8.7,3,100,06:22 PM,08:34 AM,07:56 AM,05:30 PM,4,8,9,8,8,6,71,0.0,1031,14,10,155,4,"Portugal,+Leiria"
2020-01-12,13,6,0.0,8.7,4,83,07:34 PM,09:23 AM,07:56 AM,05:32 PM,4,9,9,9,7,3,74,0.0,1030,13,10,201,4,"Portugal,+Leiria"
2020-01-13,13,5,0.0,7.0,2,76,08:47 PM,10:05 AM,07:56 AM,05:33 PM,5,6,8,6,15,65,81,0.0,1025,13,10,153,9,"Portugal,+Leiria"
2020-01-14,13,7,0.0,3.7,3,69,10:00 PM,10:42 AM,07:55 AM,05:34 PM,8,8,10,8,27,75,88,1.4,1019,13,7,155,16,"Portugal,+Leiria"
2020-01-15,16,11,0.0,3.7,3,61,11:11 PM,11:15 AM,07:55 AM,05:35 PM,12,12,13,12,26,77,91,3.2,1018,16,10,168,16,"Portugal,+Leiria"
2020-01-16,15,12,0.0,3.7,3,54,No moonrise,11:46 AM,07:55 AM,05:36 PM,11,11,13,11,35,95,90,2.7,1021,15,10,188,22,"Portugal,+Leiria"
2020-01-17,14,9,0.0,5.4,3,47,12:21 AM,12:16 PM,07:54 AM,05:37 PM,7,10,11,10,12,64,78,0.8,1030,14,10,144,6,"Portugal,+Leiria"
2020-01-18,16,10,0.0,3.7,3,40,01:31 AM,12:47 PM,07:54 AM,05:38 PM,11,11,13,11,32,92,93,32.9,1026,16,8,240,20,"Portugal,+Leiria"
2020-01-19,12,6,0.0,8.7,2,32,02:39 AM,01:21 PM,07:53 AM,05:39 PM,4,6,9,6,34,28,70,0.8,1027,12,10,142,21,"Portugal,+Leiria"
2020-01-20,11,3,0.0,8.7,3,25,03:47 AM,01:59 PM,07:53 AM,05:40 PM,-3,2,6,2,30,5,55,0.0,1025,11,10,40,18,"Portugal,+Leiria"
2020-01-21,13,2,0.0,8.7,3,18,04:53 AM,02:41 PM,07:52 AM,05:41 PM,0,5,7,5,16,14,67,0.0,1019,13,10,39,9,"Portugal,+Leiria"
2020-01-22,13,6,0.0,5.4,2,11,05:55 AM,03:30 PM,07:52 AM,05:43 PM,5,7,9,7,20,63,77,1.5,1015,13,10,65,13,"Portugal,+Leiria"
