date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,13,6,0.0,8.7,3,37,11:58 AM,11:28 PM,07:59 AM,05:14 PM,3,9,9,9,6,29,69,0.0,1031,13,10,138,3,"Portugal,+Lousada"
2020-01-02,12,6,0.0,3.6,2,44,12:22 PM,No moonset,07:59 AM,05:15 PM,3,8,8,8,8,57,71,0.0,1030,12,10,132,4,"Portugal,+Lousada"
2020-01-03,13,6,0.0,8.7,3,51,12:46 PM,12:26 AM,07:59 AM,05:16 PM,7,9,10,9,6,49,82,0.0,1033,13,10,100,4,"Portugal,+Lousada"
2020-01-04,15,8,0.0,8.7,3,59,01:10 PM,01:25 AM,07:59 AM,05:17 PM,8,10,11,10,9,7,84,0.0,1034,15,8,83,6,"Portugal,+Lousada"
2020-01-05,17,8,0.0,8.7,4,66,01:36 PM,02:25 AM,07:59 AM,05:18 PM,6,10,11,10,6,0,74,0.0,1030,17,10,92,5,"Portugal,+Lousada"
2020-01-06,14,5,0.0,8.7,4,73,02:05 PM,03:27 AM,07:59 AM,05:19 PM,6,9,10,9,4,3,75,0.0,1030,14,10,169,3,"Portugal,+Lousada"
2020-01-07,17,6,0.0,8.7,4,80,02:39 PM,04:30 AM,07:59 AM,05:20 PM,4,10,11,10,7,4,68,0.0,1032,17,10,71,4,"Portugal,+Lousada"
2020-01-08,15,5,0.0,8.7,3,88,03:21 PM,05:35 AM,07:59 AM,05:21 PM,5,9,9,9,6,47,70,0.0,1030,15,10,138,4,"Portugal,+Lousada"
2020-01-09,13,7,0.0,3.6,3,95,04:10 PM,06:39 AM,07:59 AM,05:22 PM,8,10,10,10,12,74,87,1.5,1027,13,9,221,7,"Portugal,+Lousada"
2020-01-10,12,5,0.0,8.7,3,100,05:09 PM,07:41 AM,07:58 AM,05:23 PM,3,7,8,7,10,6,73,0.0,1031,12,10,60,7,"Portugal,+Lousada"
2020-01-11,13,5,0.0,8.7,3,100,06:16 PM,08:36 AM,07:58 AM,05:24 PM,2,7,8,7,7,17,67,0.0,1031,13,10,140,4,"Portugal,+Lousada"
2020-01-12,13,6,0.0,8.7,3,83,07:28 PM,09:25 AM,07:58 AM,05:25 PM,3,8,9,8,5,4,71,0.0,1030,13,10,149,3,"Portugal,+Lousada"
2020-01-13,12,3,0.0,7.0,2,76,08:42 PM,10:06 AM,07:58 AM,05:26 PM,3,6,8,6,12,61,73,0.0,1024,12,10,154,8,"Portugal,+Lousada"
2020-01-14,12,9,0.0,3.6,3,69,09:56 PM,10:42 AM,07:57 AM,05:27 PM,6,8,10,8,20,89,80,0.4,1017,12,10,166,12,"Portugal,+Lousada"
2020-01-15,14,10,0.0,3.6,3,61,11:08 PM,11:14 AM,07:57 AM,05:28 PM,10,10,11,10,19,87,90,35.2,1016,14,8,173,11,"Portugal,+Lousada"
2020-01-16,12,1,0.0,3.6,3,54,No moonrise,11:44 AM,07:57 AM,05:30 PM,10,8,10,8,25,90,92,57.5,1019,12,8,184,14,"Portugal,+Lousada"
2020-01-17,11,8,0.0,7.0,2,47,12:19 AM,12:12 PM,07:56 AM,05:31 PM,5,8,9,8,9,65,78,8.3,1030,11,9,207,5,"Portugal,+Lousada"
