date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,13,10,0.0,8.7,4,37,12:00 PM,11:30 PM,08:00 AM,05:16 PM,5,11,11,11,7,25,66,0.0,1031,13,10,141,5,"Portugal,+Matosinhos"
2020-01-02,12,3,0.0,5.2,3,44,12:24 PM,No moonset,08:00 AM,05:17 PM,6,9,10,9,17,61,70,0.0,1030,12,10,157,12,"Portugal,+Matosinhos"
2020-01-03,14,11,0.0,6.9,3,51,12:47 PM,12:28 AM,08:00 AM,05:18 PM,8,12,12,12,10,54,76,0.0,1033,14,10,147,7,"Portugal,+Matosinhos"
2020-01-04,17,12,0.0,8.7,4,59,01:12 PM,01:27 AM,08:00 AM,05:19 PM,10,13,14,13,11,4,79,0.0,1034,17,10,57,8,"Portugal,+Matosinhos"
2020-01-05,16,11,0.0,8.7,4,66,01:38 PM,02:26 AM,08:00 AM,05:20 PM,7,13,13,13,9,0,66,0.0,1030,16,10,140,7,"Portugal,+Matosinhos"
2020-01-06,12,9,0.0,8.7,4,73,02:07 PM,03:28 AM,08:00 AM,05:21 PM,7,11,12,11,8,7,70,0.0,1030,12,10,151,6,"Portugal,+Matosinhos"
2020-01-07,16,9,0.0,8.7,4,80,02:41 PM,04:31 AM,08:00 AM,05:22 PM,5,12,12,12,8,5,62,0.0,1032,16,10,135,6,"Portugal,+Matosinhos"
2020-01-08,14,9,0.0,3.5,3,88,03:23 PM,05:37 AM,08:00 AM,05:23 PM,6,12,12,12,8,69,65,0.0,1030,14,10,130,5,"Portugal,+Matosinhos"
2020-01-09,14,11,0.0,3.5,3,95,04:12 PM,06:41 AM,08:00 AM,05:24 PM,10,11,13,11,28,68,83,2.0,1027,14,9,186,18,"Portugal,+Matosinhos"
2020-01-10,13,8,0.0,8.7,4,100,05:11 PM,07:43 AM,08:00 AM,05:25 PM,3,8,10,8,20,16,63,0.1,1031,13,10,36,14,"Portugal,+Matosinhos"
2020-01-11,13,9,0.0,8.7,4,100,06:18 PM,08:38 AM,08:00 AM,05:26 PM,3,10,11,10,9,20,59,0.0,1031,13,10,136,6,"Portugal,+Matosinhos"
2020-01-12,13,10,0.0,8.7,4,83,07:30 PM,09:27 AM,07:59 AM,05:27 PM,6,11,11,11,6,5,69,0.0,1030,13,10,151,5,"Portugal,+Matosinhos"
2020-01-13,12,5,0.0,7.0,3,76,08:44 PM,10:08 AM,07:59 AM,05:28 PM,6,8,10,8,30,69,72,0.2,1024,12,10,170,21,"Portugal,+Matosinhos"
2020-01-14,13,5,0.0,3.6,3,69,09:58 PM,10:43 AM,07:59 AM,05:29 PM,9,9,12,9,53,86,78,0.6,1016,13,10,177,37,"Portugal,+Matosinhos"
2020-01-15,15,13,0.0,3.6,3,61,11:10 PM,11:16 AM,07:58 AM,05:30 PM,11,11,13,11,42,77,88,35.9,1016,15,8,183,28,"Portugal,+Matosinhos"
2020-01-16,14,13,0.0,3.7,3,54,No moonrise,11:45 AM,07:58 AM,05:32 PM,11,11,14,11,52,88,86,45.2,1018,14,8,200,34,"Portugal,+Matosinhos"
2020-01-17,13,11,0.0,5.3,3,47,12:21 AM,12:14 PM,07:57 AM,05:33 PM,6,11,12,11,16,73,65,2.5,1030,13,10,232,10,"Portugal,+Matosinhos"
2020-01-18,14,11,0.0,3.7,3,40,01:32 AM,12:44 PM,07:57 AM,05:34 PM,9,10,12,10,34,89,83,19.6,1025,14,9,208,23,"Portugal,+Matosinhos"
2020-01-19,13,9,0.0,8.7,4,32,02:41 AM,01:18 PM,07:56 AM,05:35 PM,4,8,10,8,30,12,65,0.7,1029,13,10,109,20,"Portugal,+Matosinhos"
2020-01-20,12,6,0.0,8.7,3,25,03:50 AM,01:54 PM,07:56 AM,05:36 PM,-2,6,9,6,32,2,47,0.0,1028,12,10,44,22,"Portugal,+Matosinhos"
2020-01-21,14,8,0.0,8.7,4,18,04:57 AM,02:36 PM,07:55 AM,05:37 PM,1,7,10,7,41,16,52,0.0,1022,14,10,56,28,"Portugal,+Matosinhos"
2020-01-22,14,9,0.0,7.0,3,11,06:00 AM,03:25 PM,07:55 AM,05:39 PM,4,9,11,9,33,35,63,0.1,1017,14,10,52,21,"Portugal,+Matosinhos"
2020-01-23,13,9,0.0,3.7,3,3,06:56 AM,04:19 PM,07:54 AM,05:40 PM,5,9,11,9,23,55,66,0.2,1016,13,10,95,15,"Portugal,+Matosinhos"
2020-01-24,14,10,0.0,7.0,3,0,07:46 AM,05:18 PM,07:53 AM,05:41 PM,6,11,12,11,12,61,71,0.4,1017,14,10,153,8,"Portugal,+Matosinhos"
2020-01-25,13,9,0.0,8.7,4,0,08:27 AM,06:18 PM,07:53 AM,05:42 PM,6,11,11,11,9,15,72,0.0,1018,13,10,181,6,"Portugal,+Matosinhos"
2020-01-26,13,9,0.0,5.4,3,4,09:03 AM,07:19 PM,07:52 AM,05:43 PM,8,9,11,9,29,62,80,0.9,1021,13,10,168,19,"Portugal,+Matosinhos"
2020-01-27,13,12,0.0,3.7,3,11,09:34 AM,08:19 PM,07:51 AM,05:45 PM,11,11,13,11,42,94,90,45.3,1019,13,7,213,28,"Portugal,+Matosinhos"
2020-01-28,14,13,0.0,3.7,3,18,10:01 AM,09:19 PM,07:50 AM,05:46 PM,12,12,13,12,28,82,94,18.2,1021,14,9,208,17,"Portugal,+Matosinhos"
2020-01-29,14,8,0.0,3.7,3,26,10:26 AM,10:17 PM,07:49 AM,05:47 PM,12,11,13,11,45,98,92,5.1,1021,14,10,183,29,"Portugal,+Matosinhos"
2020-01-30,13,7,0.0,3.7,3,33,10:50 AM,11:15 PM,07:49 AM,05:48 PM,12,10,13,10,44,97,90,14.5,1022,13,9,181,30,"Portugal,+Matosinhos"
2020-01-31,15,13,0.0,3.8,3,37,11:14 AM,No moonset,07:48 AM,05:50 PM,14,13,14,13,38,95,96,20.0,1021,15,8,186,24,"Portugal,+Matosinhos"
2020-02-01,16,10,0.0,3.8,3,49,11:38 AM,12:14 AM,07:47 AM,05:51 PM,14,13,15,13,31,98,95,9.6,1023,16,7,199,19,"Portugal,+Matosinhos"
