date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,14,5,0.0,8.7,3,37,11:58 AM,11:28 PM,07:59 AM,05:14 PM,4,8,9,8,7,13,71,0.0,1031,14,10,109,4,"Portugal,+Mesao+Frio"
2020-01-02,11,3,0.0,5.2,2,44,12:22 PM,No moonset,08:00 AM,05:15 PM,2,6,7,6,9,56,71,0.0,1030,11,10,125,4,"Portugal,+Mesao+Frio"
2020-01-03,14,6,0.0,8.7,3,51,12:46 PM,12:26 AM,08:00 AM,05:16 PM,7,9,9,9,6,47,84,0.0,1033,14,10,134,3,"Portugal,+Mesao+Frio"
2020-01-04,15,8,0.0,8.7,3,59,01:10 PM,01:25 AM,08:00 AM,05:16 PM,8,10,10,10,9,11,86,0.0,1034,15,7,82,6,"Portugal,+Mesao+Frio"
2020-01-05,16,6,0.0,8.7,4,66,01:36 PM,02:25 AM,08:00 AM,05:17 PM,5,10,11,10,8,0,75,0.0,1030,16,10,96,5,"Portugal,+Mesao+Frio"
2020-01-06,14,6,0.0,8.7,3,73,02:05 PM,03:27 AM,08:00 AM,05:18 PM,5,8,9,8,5,3,77,0.0,1030,14,10,151,3,"Portugal,+Mesao+Frio"
2020-01-07,16,4,0.0,8.7,4,80,02:39 PM,04:30 AM,07:59 AM,05:19 PM,3,9,10,9,9,5,71,0.0,1032,16,10,109,5,"Portugal,+Mesao+Frio"
2020-01-08,15,5,0.0,7.0,3,88,03:20 PM,05:36 AM,07:59 AM,05:20 PM,5,9,9,9,7,43,75,0.0,1030,15,10,140,4,"Portugal,+Mesao+Frio"
2020-01-09,13,7,0.0,3.6,3,95,04:09 PM,06:40 AM,07:59 AM,05:21 PM,9,10,11,10,10,77,90,1.3,1027,13,10,211,7,"Portugal,+Mesao+Frio"
2020-01-10,12,5,0.0,8.7,3,100,05:08 PM,07:42 AM,07:59 AM,05:22 PM,4,7,8,7,10,6,76,0.0,1032,12,10,64,6,"Portugal,+Mesao+Frio"
2020-01-11,13,5,0.0,8.7,3,100,06:15 PM,08:37 AM,07:59 AM,05:23 PM,2,7,9,7,9,22,70,0.0,1031,13,10,132,5,"Portugal,+Mesao+Frio"
2020-01-12,13,4,0.0,8.7,3,83,07:28 PM,09:26 AM,07:58 AM,05:25 PM,3,8,8,8,6,7,74,0.0,1030,13,10,153,4,"Portugal,+Mesao+Frio"
2020-01-13,12,5,0.0,5.3,2,76,08:41 PM,10:06 AM,07:58 AM,05:26 PM,3,7,7,7,10,66,76,0.1,1024,12,10,146,7,"Portugal,+Mesao+Frio"
2020-01-14,12,8,0.0,3.6,3,69,09:56 PM,10:42 AM,07:58 AM,05:27 PM,7,8,10,8,16,99,82,0.9,1016,12,10,158,11,"Portugal,+Mesao+Frio"
2020-01-15,13,10,0.0,3.6,3,61,11:08 PM,11:14 AM,07:57 AM,05:28 PM,10,10,11,10,15,91,92,41.6,1016,13,8,168,9,"Portugal,+Mesao+Frio"
2020-01-16,11,2,0.0,3.6,3,54,No moonrise,11:44 AM,07:57 AM,05:29 PM,10,8,10,8,23,93,93,54.9,1018,11,8,182,13,"Portugal,+Mesao+Frio"
2020-01-17,11,5,0.0,8.7,2,47,12:19 AM,12:12 PM,07:57 AM,05:30 PM,5,7,8,7,9,71,84,10.7,1030,11,9,206,5,"Portugal,+Mesao+Frio"
2020-01-18,12,7,0.0,3.7,2,40,01:30 AM,12:42 PM,07:56 AM,05:31 PM,7,7,8,7,21,83,90,18.9,1025,12,6,178,12,"Portugal,+Mesao+Frio"
2020-01-19,13,4,0.0,8.7,3,32,02:40 AM,01:15 PM,07:55 AM,05:33 PM,3,6,7,6,11,13,77,0.6,1029,13,9,68,7,"Portugal,+Mesao+Frio"
2020-01-20,10,3,0.0,8.7,3,25,03:49 AM,01:52 PM,07:55 AM,05:34 PM,-3,3,5,3,18,1,57,0.0,1029,10,10,44,11,"Portugal,+Mesao+Frio"
2020-01-21,12,2,0.0,8.7,3,18,04:56 AM,02:34 PM,07:54 AM,05:35 PM,-0,4,6,4,22,11,63,0.0,1023,12,10,65,12,"Portugal,+Mesao+Frio"
2020-01-22,12,5,0.0,5.4,2,11,05:59 AM,03:23 PM,07:54 AM,05:36 PM,3,6,8,6,18,34,74,0.0,1018,12,10,47,10,"Portugal,+Mesao+Frio"
2020-01-23,12,4,0.0,7.0,3,3,06:55 AM,04:16 PM,07:53 AM,05:37 PM,3,5,7,5,17,35,78,0.0,1016,12,10,88,10,"Portugal,+Mesao+Frio"
2020-01-24,13,6,0.0,7.0,2,0,07:45 AM,05:15 PM,07:52 AM,05:39 PM,6,8,9,8,10,52,81,0.5,1017,13,10,92,6,"Portugal,+Mesao+Frio"
2020-01-25,13,5,0.0,7.0,2,0,08:26 AM,06:15 PM,07:52 AM,05:40 PM,6,8,8,8,8,37,83,0.8,1018,13,10,143,5,"Portugal,+Mesao+Frio"
2020-01-26,12,5,0.0,3.7,2,4,09:02 AM,07:17 PM,07:51 AM,05:41 PM,6,7,8,7,11,74,86,1.4,1021,12,10,147,7,"Portugal,+Mesao+Frio"
2020-01-27,12,5,0.0,3.7,3,11,09:33 AM,08:17 PM,07:50 AM,05:42 PM,9,8,9,8,18,100,95,51.8,1019,12,7,206,11,"Portugal,+Mesao+Frio"
2020-01-28,12,4,0.0,3.7,3,18,10:00 AM,09:17 PM,07:49 AM,05:44 PM,11,10,11,10,12,97,98,26.8,1021,12,8,211,8,"Portugal,+Mesao+Frio"
2020-01-29,13,11,0.0,3.7,3,26,10:24 AM,10:15 PM,07:48 AM,05:45 PM,11,11,12,11,13,94,95,4.7,1021,13,9,179,9,"Portugal,+Mesao+Frio"
2020-01-30,12,3,0.0,3.7,3,33,10:48 AM,11:14 PM,07:47 AM,05:46 PM,11,9,11,9,10,100,96,14.4,1022,12,9,172,7,"Portugal,+Mesao+Frio"
2020-01-31,16,12,0.0,3.8,3,37,11:12 AM,No moonset,07:46 AM,05:47 PM,13,13,13,13,13,99,96,26.3,1021,16,5,178,8,"Portugal,+Mesao+Frio"
2020-02-01,16,10,0.0,3.8,3,49,11:36 AM,12:12 AM,07:46 AM,05:49 PM,14,13,14,13,12,100,98,19.6,1023,16,8,214,8,"Portugal,+Mesao+Frio"
2020-02-02,20,13,0.0,8.7,4,57,12:03 PM,01:12 AM,07:45 AM,05:50 PM,13,16,16,16,6,25,86,0.7,1026,20,8,152,5,"Portugal,+Mesao+Frio"
2020-02-03,22,13,0.0,8.7,5,64,12:34 PM,02:13 AM,07:44 AM,05:51 PM,13,17,17,17,7,0,81,0.0,1029,22,10,145,5,"Portugal,+Mesao+Frio"
2020-02-04,20,11,0.0,8.7,5,72,01:11 PM,03:17 AM,07:42 AM,05:52 PM,9,14,15,14,8,28,75,0.0,1030,20,10,142,4,"Portugal,+Mesao+Frio"
2020-02-05,17,10,0.0,8.7,4,79,01:55 PM,04:20 AM,07:41 AM,05:54 PM,8,12,13,12,17,1,71,0.0,1025,17,10,87,10,"Portugal,+Mesao+Frio"
2020-02-06,18,8,0.0,8.7,3,87,02:49 PM,05:23 AM,07:40 AM,05:55 PM,5,11,12,11,10,25,65,0.0,1021,18,10,121,6,"Portugal,+Mesao+Frio"
