date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,12,1,0.0,7.0,2,37,11:57 AM,11:26 PM,07:59 AM,05:11 PM,1,5,5,5,2,21,81,0.0,1031,12,10,222,1,"Portugal,+Montalegre"
2020-01-02,10,0,0.0,5.3,2,44,12:20 PM,No moonset,07:59 AM,05:12 PM,1,4,4,4,3,64,82,0.0,1030,10,10,144,2,"Portugal,+Montalegre"
2020-01-03,13,1,0.0,8.7,3,51,12:44 PM,12:24 AM,07:59 AM,05:12 PM,3,5,6,5,5,15,87,0.0,1034,13,9,180,2,"Portugal,+Montalegre"
2020-01-04,11,1,0.0,8.7,2,59,01:08 PM,01:24 AM,07:59 AM,05:13 PM,3,5,5,5,5,23,88,0.0,1035,11,7,157,3,"Portugal,+Montalegre"
2020-01-05,11,-0,0.0,8.7,3,66,01:34 PM,02:23 AM,07:59 AM,05:14 PM,1,4,4,4,3,1,82,0.0,1031,11,10,228,2,"Portugal,+Montalegre"
2020-01-06,11,-1,0.0,8.7,3,73,02:02 PM,03:26 AM,07:59 AM,05:15 PM,-0,4,5,4,3,2,78,0.0,1030,11,10,224,2,"Portugal,+Montalegre"
2020-01-07,11,-1,0.0,8.7,3,80,02:36 PM,04:29 AM,07:59 AM,05:16 PM,-0,4,4,4,3,4,78,0.0,1033,11,10,156,2,"Portugal,+Montalegre"
2020-01-08,13,1,0.0,7.0,2,88,03:17 PM,05:35 AM,07:59 AM,05:17 PM,3,6,6,6,3,47,78,0.0,1030,13,10,174,2,"Portugal,+Montalegre"
2020-01-09,12,5,0.0,5.3,2,95,04:06 PM,06:39 AM,07:58 AM,05:18 PM,6,7,8,7,11,74,91,0.8,1027,12,7,231,7,"Portugal,+Montalegre"
2020-01-10,10,-1,0.0,8.7,1,100,05:05 PM,07:41 AM,07:58 AM,05:19 PM,-0,2,3,2,9,8,80,0.0,1032,10,9,256,5,"Portugal,+Montalegre"
2020-01-11,10,-1,0.0,8.7,2,100,06:12 PM,08:36 AM,07:58 AM,05:20 PM,-0,3,4,3,3,19,80,0.0,1032,10,10,162,2,"Portugal,+Montalegre"
2020-01-12,11,-1,0.0,8.7,3,83,07:25 PM,09:25 AM,07:58 AM,05:22 PM,-0,4,5,4,3,5,79,0.0,1030,11,10,184,2,"Portugal,+Montalegre"
2020-01-13,10,-1,0.0,7.0,1,76,08:39 PM,10:05 AM,07:57 AM,05:23 PM,-0,3,4,3,4,50,82,0.0,1024,10,10,157,3,"Portugal,+Montalegre"
2020-01-14,8,2,0.0,3.6,1,69,09:53 PM,10:41 AM,07:57 AM,05:24 PM,3,3,4,3,11,98,92,0.0,1017,8,8,132,7,"Portugal,+Montalegre"
2020-01-15,12,4,0.0,3.6,2,61,11:06 PM,11:12 AM,07:57 AM,05:25 PM,7,6,7,6,12,98,95,21.3,1017,12,5,139,7,"Portugal,+Montalegre"
2020-01-16,10,4,0.0,3.6,2,54,No moonrise,11:42 AM,07:56 AM,05:26 PM,8,6,8,6,17,95,96,28.2,1019,10,4,153,11,"Portugal,+Montalegre"
2020-01-17,10,1,0.0,7.0,2,47,12:18 AM,12:10 PM,07:56 AM,05:27 PM,2,4,5,4,9,63,85,4.3,1030,10,10,235,5,"Portugal,+Montalegre"
2020-01-18,13,3,0.0,3.6,2,40,01:29 AM,12:40 PM,07:55 AM,05:28 PM,5,5,6,5,13,91,92,4.9,1025,13,8,183,9,"Portugal,+Montalegre"
2020-01-19,9,1,0.0,8.7,1,32,02:39 AM,01:13 PM,07:55 AM,05:30 PM,-0,1,4,1,19,12,76,0.0,1029,9,8,172,11,"Portugal,+Montalegre"
2020-01-20,9,-3,0.0,8.7,2,25,03:48 AM,01:49 PM,07:54 AM,05:31 PM,-6,-1,2,-1,19,4,61,0.0,1029,9,10,166,11,"Portugal,+Montalegre"
2020-01-21,12,-2,0.0,8.7,2,18,04:55 AM,02:31 PM,07:53 AM,05:32 PM,-3,2,4,2,20,26,68,0.0,1024,12,10,89,12,"Portugal,+Montalegre"
2020-01-22,10,-0,0.0,5.4,2,11,05:58 AM,03:19 PM,07:53 AM,05:33 PM,1,2,4,2,20,48,80,0.1,1018,10,10,39,12,"Portugal,+Montalegre"
2020-01-23,10,-1,0.0,8.7,2,3,06:55 AM,04:13 PM,07:52 AM,05:35 PM,1,3,4,3,6,31,85,0.0,1017,10,10,108,3,"Portugal,+Montalegre"
2020-01-24,10,3,0.0,3.7,2,0,07:44 AM,05:12 PM,07:51 AM,05:36 PM,4,5,5,5,5,93,89,0.9,1018,10,7,105,3,"Portugal,+Montalegre"
2020-01-25,12,2,0.0,7.0,2,0,08:26 AM,06:12 PM,07:51 AM,05:37 PM,3,5,5,5,5,51,85,0.2,1018,12,10,139,3,"Portugal,+Montalegre"
2020-01-26,10,-0,0.0,5.4,2,4,09:01 AM,07:14 PM,07:50 AM,05:38 PM,3,4,4,4,7,60,89,0.2,1022,10,8,196,4,"Portugal,+Montalegre"
2020-01-27,10,4,0.0,3.7,2,11,09:32 AM,08:14 PM,07:49 AM,05:40 PM,6,6,7,6,11,97,95,30.3,1019,10,6,175,7,"Portugal,+Montalegre"
