date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,16,9,0.0,8.7,4,37,11:59 AM,11:34 PM,07:55 AM,05:26 PM,7,11,11,11,8,5,72,0.0,1031,16,10,49,5,"Portugal,+Odivelas"
2020-01-02,14,8,0.0,8.7,4,44,12:25 PM,No moonset,07:55 AM,05:26 PM,8,11,11,11,6,19,79,0.0,1030,14,10,129,5,"Portugal,+Odivelas"
2020-01-03,14,10,0.0,8.7,4,51,12:50 PM,12:30 AM,07:55 AM,05:27 PM,8,12,12,12,8,47,78,0.0,1033,14,10,148,5,"Portugal,+Odivelas"
2020-01-04,16,10,0.0,8.7,4,59,01:16 PM,01:28 AM,07:55 AM,05:28 PM,9,12,13,12,14,5,78,0.0,1032,16,10,78,9,"Portugal,+Odivelas"
2020-01-05,14,8,0.0,8.7,4,66,01:43 PM,02:26 AM,07:55 AM,05:29 PM,6,9,11,9,15,5,71,0.0,1029,14,10,45,10,"Portugal,+Odivelas"
2020-01-06,15,9,0.0,8.7,4,73,02:14 PM,03:26 AM,07:55 AM,05:30 PM,7,10,11,10,11,0,74,0.0,1029,15,10,73,8,"Portugal,+Odivelas"
2020-01-07,15,8,0.0,8.7,4,80,02:49 PM,04:28 AM,07:55 AM,05:31 PM,5,10,11,10,11,4,68,0.0,1031,15,10,67,7,"Portugal,+Odivelas"
2020-01-08,16,8,0.0,8.7,4,88,03:32 PM,05:32 AM,07:55 AM,05:32 PM,8,10,11,10,14,29,78,0.0,1030,16,10,138,9,"Portugal,+Odivelas"
2020-01-09,17,12,0.0,5.3,3,95,04:22 PM,06:35 AM,07:55 AM,05:33 PM,12,14,14,14,16,52,86,0.3,1028,17,10,266,10,"Portugal,+Odivelas"
2020-01-10,13,10,0.0,8.7,4,100,05:21 PM,07:37 AM,07:55 AM,05:34 PM,5,9,11,9,25,6,67,0.0,1030,13,10,189,16,"Portugal,+Odivelas"
2020-01-11,15,7,0.0,8.7,4,100,06:27 PM,08:32 AM,07:55 AM,05:35 PM,3,9,10,9,14,4,64,0.0,1030,15,10,41,9,"Portugal,+Odivelas"
2020-01-12,14,8,0.0,8.7,4,83,07:38 PM,09:22 AM,07:55 AM,05:36 PM,4,10,10,10,9,3,67,0.0,1030,14,10,81,6,"Portugal,+Odivelas"
2020-01-13,14,8,0.0,8.7,3,76,08:50 PM,10:05 AM,07:54 AM,05:37 PM,6,9,10,9,12,50,73,0.0,1026,14,10,139,8,"Portugal,+Odivelas"
2020-01-14,15,13,0.0,3.7,3,69,10:02 PM,10:42 AM,07:54 AM,05:38 PM,9,13,14,13,32,80,74,2.7,1019,15,8,197,21,"Portugal,+Odivelas"
2020-01-15,17,14,0.0,3.7,4,61,11:13 PM,11:16 AM,07:54 AM,05:39 PM,12,14,15,14,33,84,81,7.0,1019,17,10,203,21,"Portugal,+Odivelas"
2020-01-16,17,14,0.0,5.4,4,54,No moonrise,11:47 AM,07:54 AM,05:40 PM,12,14,15,14,41,80,83,12.1,1022,17,9,205,27,"Portugal,+Odivelas"
2020-01-17,14,12,0.0,8.7,3,47,12:22 AM,12:18 PM,07:53 AM,05:41 PM,8,13,13,13,12,60,73,2.9,1030,14,10,158,8,"Portugal,+Odivelas"
2020-01-18,17,14,0.0,5.4,4,40,01:31 AM,12:50 PM,07:53 AM,05:42 PM,13,14,15,14,36,67,87,9.3,1027,17,9,253,24,"Portugal,+Odivelas"
2020-01-19,14,9,0.0,8.7,3,32,02:39 AM,01:24 PM,07:52 AM,05:43 PM,5,9,12,9,34,30,63,0.3,1026,14,10,186,23,"Portugal,+Odivelas"
2020-01-20,11,6,0.0,8.7,3,25,03:47 AM,02:02 PM,07:52 AM,05:44 PM,-2,4,8,4,44,11,48,0.0,1023,11,10,37,31,"Portugal,+Odivelas"
