date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,13,4,0.0,8.7,3,37,01:01 PM,No moonset,09:05 AM,06:11 PM,3,7,8,7,8,19,75,0.0,1031,13,10,119,4,"Portugal,+Oeste"
2020-01-02,12,5,0.0,6.9,2,44,01:25 PM,12:28 AM,09:05 AM,06:12 PM,3,7,8,7,12,45,73,0.0,1028,12,10,154,7,"Portugal,+Oeste"
2020-01-03,15,7,0.0,8.7,3,51,01:47 PM,01:28 AM,09:05 AM,06:13 PM,8,10,10,10,8,59,84,0.0,1033,15,9,151,4,"Portugal,+Oeste"
2020-01-04,16,6,0.0,8.7,4,59,02:10 PM,02:27 AM,09:05 AM,06:14 PM,7,9,10,9,10,2,88,0.0,1035,16,9,67,5,"Portugal,+Oeste"
2020-01-05,16,5,0.0,8.7,4,66,02:36 PM,03:28 AM,09:05 AM,06:15 PM,5,9,11,9,8,1,79,0.0,1030,16,10,133,4,"Portugal,+Oeste"
2020-01-06,12,5,0.0,8.7,3,73,03:04 PM,04:30 AM,09:05 AM,06:16 PM,5,8,8,8,8,14,84,0.0,1030,12,10,138,4,"Portugal,+Oeste"
2020-01-07,15,5,0.0,8.7,4,80,03:38 PM,05:35 AM,09:05 AM,06:17 PM,5,8,9,8,7,12,78,0.0,1032,15,10,133,4,"Portugal,+Oeste"
2020-01-08,15,8,0.0,3.4,3,88,04:18 PM,06:41 AM,09:05 AM,06:18 PM,9,11,11,11,8,93,86,0.4,1030,15,9,157,4,"Portugal,+Oeste"
2020-01-09,13,6,0.0,5.2,3,95,05:07 PM,07:46 AM,09:05 AM,06:19 PM,9,9,10,9,17,67,92,2.9,1026,13,7,202,10,"Portugal,+Oeste"
2020-01-10,12,4,0.0,8.7,3,100,06:06 PM,08:47 AM,09:04 AM,06:20 PM,4,6,8,6,13,15,82,0.0,1032,12,10,48,8,"Portugal,+Oeste"
2020-01-11,13,4,0.0,8.7,3,100,07:13 PM,09:43 AM,09:04 AM,06:21 PM,2,6,7,6,9,37,77,0.0,1031,13,10,141,5,"Portugal,+Oeste"
2020-01-12,12,4,0.0,6.9,3,83,08:26 PM,10:30 AM,09:04 AM,06:22 PM,3,6,7,6,9,37,79,0.1,1030,12,10,151,5,"Portugal,+Oeste"
2020-01-13,10,4,0.0,3.4,2,76,09:41 PM,11:11 AM,09:04 AM,06:23 PM,6,6,8,6,20,100,87,7.4,1021,10,9,169,12,"Portugal,+Oeste"
2020-01-14,12,7,0.0,3.5,3,69,10:56 PM,11:46 AM,09:03 AM,06:24 PM,9,8,10,8,36,100,89,4.9,1012,12,6,181,23,"Portugal,+Oeste"
2020-01-15,13,9,0.0,7.0,3,61,No moonrise,12:16 PM,09:03 AM,06:26 PM,8,10,11,10,19,70,89,29.3,1014,13,9,204,11,"Portugal,+Oeste"
2020-01-16,13,7,0.0,3.5,3,54,12:09 AM,12:45 PM,09:02 AM,06:27 PM,10,9,11,9,28,94,95,92.8,1015,13,7,192,16,"Portugal,+Oeste"
2020-01-17,11,6,0.0,5.2,2,47,01:22 AM,01:13 PM,09:02 AM,06:28 PM,5,7,8,7,14,75,80,5.9,1030,11,10,204,8,"Portugal,+Oeste"
2020-01-18,12,6,0.0,5.2,2,40,02:33 AM,01:43 PM,09:01 AM,06:29 PM,7,7,8,7,18,72,90,6.8,1024,12,10,191,10,"Portugal,+Oeste"
2020-01-19,10,5,0.0,8.7,2,32,03:44 AM,02:14 PM,09:01 AM,06:30 PM,3,5,7,5,22,8,78,0.5,1031,10,8,46,15,"Portugal,+Oeste"
2020-01-20,9,4,0.0,9.3,3,25,04:54 AM,02:50 PM,09:00 AM,06:32 PM,0,2,6,2,28,1,66,0.0,1032,9,10,37,20,"Portugal,+Oeste"
2020-01-21,11,4,0.0,9.7,3,18,06:01 AM,03:32 PM,08:59 AM,06:33 PM,2,4,7,4,24,6,72,0.0,1026,11,10,53,17,"Portugal,+Oeste"
2020-01-22,13,6,0.0,9.8,3,11,07:05 AM,04:20 PM,08:59 AM,06:34 PM,5,6,9,6,24,29,76,0.0,1020,13,10,49,15,"Portugal,+Oeste"
2020-01-23,13,4,0.0,9.8,3,3,08:01 AM,05:14 PM,08:58 AM,06:35 PM,3,6,8,6,13,11,80,0.0,1016,13,10,94,7,"Portugal,+Oeste"
2020-01-24,13,5,0.0,4.9,2,0,08:50 AM,06:12 PM,08:57 AM,06:37 PM,5,8,9,8,8,67,80,0.4,1017,13,10,115,5,"Portugal,+Oeste"
2020-01-25,13,4,0.0,9.8,2,0,09:32 AM,07:14 PM,08:56 AM,06:38 PM,4,8,9,8,9,40,82,0.0,1018,13,10,138,5,"Portugal,+Oeste"
2020-01-26,11,5,0.0,4.9,2,4,10:07 AM,08:15 PM,08:55 AM,06:39 PM,6,6,8,6,17,78,89,1.1,1020,11,10,157,10,"Portugal,+Oeste"
2020-01-27,12,8,0.0,4.9,3,11,10:37 AM,09:17 PM,08:55 AM,06:41 PM,9,8,10,8,24,97,95,21.3,1017,12,8,221,15,"Portugal,+Oeste"
2020-01-28,12,8,0.0,4.9,3,18,11:03 AM,10:17 PM,08:54 AM,06:42 PM,11,10,11,10,14,98,98,38.8,1020,12,7,216,10,"Portugal,+Oeste"
2020-01-29,12,9,0.0,5.0,3,26,11:27 AM,11:17 PM,08:53 AM,06:43 PM,11,9,11,9,28,100,97,27.7,1019,12,7,186,16,"Portugal,+Oeste"
2020-01-30,13,8,0.0,5.0,3,33,11:50 AM,No moonset,08:52 AM,06:45 PM,11,9,11,9,27,100,97,25.2,1019,13,8,187,16,"Portugal,+Oeste"
2020-01-31,15,11,0.0,5.0,3,37,12:12 PM,12:15 AM,08:51 AM,06:46 PM,12,12,13,12,22,98,97,23.1,1020,15,9,188,12,"Portugal,+Oeste"
2020-02-01,15,13,0.0,5.0,3,49,12:36 PM,01:15 AM,08:50 AM,06:47 PM,13,12,13,12,24,99,98,30.7,1021,15,9,207,14,"Portugal,+Oeste"
2020-02-02,18,12,0.0,10.0,3,57,01:03 PM,02:16 AM,08:49 AM,06:49 PM,12,14,15,14,19,44,88,1.3,1024,18,7,172,11,"Portugal,+Oeste"
2020-02-03,19,12,0.0,10.0,4,64,01:33 PM,03:18 AM,08:48 AM,06:50 PM,12,14,15,14,11,2,87,0.0,1028,19,8,158,6,"Portugal,+Oeste"
2020-02-04,18,9,0.0,8.3,3,72,02:09 PM,04:22 AM,08:46 AM,06:51 PM,10,13,13,13,8,79,84,0.0,1030,18,10,130,4,"Portugal,+Oeste"
2020-02-05,20,9,0.0,10.1,3,79,02:53 PM,05:26 AM,08:45 AM,06:53 PM,10,13,14,13,11,5,83,0.0,1026,20,9,93,6,"Portugal,+Oeste"
2020-02-06,16,7,0.0,10.1,3,87,03:46 PM,06:29 AM,08:44 AM,06:54 PM,6,10,11,10,13,28,74,0.0,1020,16,9,146,7,"Portugal,+Oeste"
2020-02-07,15,8,0.0,5.1,3,95,04:49 PM,07:28 AM,08:43 AM,06:55 PM,9,10,11,10,13,76,86,1.1,1021,15,10,178,8,"Portugal,+Oeste"
2020-02-08,12,8,0.0,10.2,3,100,06:01 PM,08:19 AM,08:42 AM,06:57 PM,7,10,10,10,9,47,85,9.9,1025,12,9,235,6,"Portugal,+Oeste"
2020-02-09,12,5,0.0,5.1,2,100,07:17 PM,09:04 AM,08:40 AM,06:58 PM,6,6,8,6,17,79,86,2.8,1027,12,9,167,10,"Portugal,+Oeste"
2020-02-10,14,9,0.0,5.1,3,83,08:35 PM,09:42 AM,08:39 AM,06:59 PM,11,11,12,11,19,89,95,3.5,1030,14,8,220,11,"Portugal,+Oeste"
2020-02-11,14,9,0.0,8.5,3,75,09:52 PM,10:15 AM,08:38 AM,07:01 PM,10,11,11,11,5,72,91,0.0,1028,14,5,114,3,"Portugal,+Oeste"
2020-02-12,13,10,0.0,5.3,3,68,11:08 PM,10:46 AM,08:37 AM,07:02 PM,10,11,11,11,8,80,91,0.3,1022,13,8,161,5,"Portugal,+Oeste"
2020-02-13,14,10,0.0,5.3,3,60,No moonrise,11:15 AM,08:35 AM,07:03 PM,11,11,12,11,17,87,95,8.9,1022,14,8,211,10,"Portugal,+Oeste"
2020-02-14,15,9,0.0,5.4,3,53,12:22 AM,11:45 AM,08:34 AM,07:05 PM,10,11,11,11,11,81,91,2.4,1025,15,9,175,7,"Portugal,+Oeste"
2020-02-15,15,8,0.0,8.5,3,45,01:35 AM,12:16 PM,08:32 AM,07:06 PM,9,10,11,10,19,60,88,0.0,1023,15,8,170,12,"Portugal,+Oeste"
2020-02-16,15,9,0.0,5.4,3,38,02:46 AM,12:51 PM,08:31 AM,07:07 PM,11,10,12,10,29,96,91,5.7,1021,15,8,190,18,"Portugal,+Oeste"
2020-02-17,12,7,0.0,10.0,3,30,03:55 AM,01:31 PM,08:30 AM,07:09 PM,8,10,11,10,18,56,81,8.1,1028,12,9,271,13,"Portugal,+Oeste"
2020-02-18,12,4,0.0,10.8,3,22,04:59 AM,02:16 PM,08:28 AM,07:10 PM,3,6,7,6,13,15,76,0.0,1035,12,10,118,8,"Portugal,+Oeste"
2020-02-19,14,3,0.0,10.8,3,15,05:57 AM,03:08 PM,08:27 AM,07:11 PM,3,7,9,7,9,13,77,0.0,1032,14,10,152,5,"Portugal,+Oeste"
2020-02-20,14,5,0.0,10.1,2,7,06:48 AM,04:05 PM,08:25 AM,07:12 PM,6,8,9,8,10,35,82,0.0,1025,14,10,147,7,"Portugal,+Oeste"
2020-02-21,20,7,0.0,10.9,3,0,07:31 AM,05:05 PM,08:24 AM,07:14 PM,8,12,14,12,11,3,78,0.0,1029,20,9,123,7,"Portugal,+Oeste"
2020-02-22,20,8,0.0,10.9,4,0,08:08 AM,06:06 PM,08:22 AM,07:15 PM,8,13,14,13,8,0,72,0.0,1032,20,10,170,5,"Portugal,+Oeste"
2020-02-23,22,9,0.0,11.0,5,0,08:39 AM,07:07 PM,08:21 AM,07:16 PM,7,14,16,14,9,0,68,0.0,1032,22,10,158,5,"Portugal,+Oeste"
2020-02-24,16,9,0.0,8.5,3,0,09:06 AM,08:08 PM,08:19 AM,07:18 PM,6,12,13,12,8,33,69,0.0,1028,16,10,160,5,"Portugal,+Oeste"
2020-02-25,13,8,0.0,7.0,3,8,09:31 AM,09:08 PM,08:18 AM,07:19 PM,8,9,10,9,12,80,87,9.7,1025,13,8,254,8,"Portugal,+Oeste"
2020-02-26,13,7,0.0,11.0,3,15,09:53 AM,10:07 PM,08:16 AM,07:20 PM,5,9,9,9,6,46,75,0.0,1027,13,10,182,4,"Portugal,+Oeste"
2020-02-27,13,6,0.0,5.5,3,23,10:16 AM,11:06 PM,08:15 AM,07:21 PM,7,8,9,8,14,90,85,0.6,1023,13,10,183,9,"Portugal,+Oeste"
2020-02-28,13,9,0.0,5.6,3,30,10:39 AM,No moonset,08:13 AM,07:23 PM,9,9,11,9,25,96,91,17.9,1015,13,9,204,16,"Portugal,+Oeste"
2020-02-29,12,9,0.0,5.6,3,38,11:04 AM,12:06 AM,08:11 AM,07:24 PM,7,7,10,7,36,90,82,29.6,1011,12,8,243,22,"Portugal,+Oeste"
2020-03-01,11,8,0.0,5.6,3,44,11:32 AM,01:07 AM,08:10 AM,07:25 PM,8,7,10,7,32,98,90,17.7,1011,11,9,234,20,"Portugal,+Oeste"
2020-03-02,11,7,0.0,7.1,3,51,12:04 PM,02:08 AM,08:08 AM,07:26 PM,8,8,10,8,27,77,85,26.5,1011,11,9,290,19,"Portugal,+Oeste"
2020-03-03,14,8,0.0,5.6,3,58,12:43 PM,03:11 AM,08:07 AM,07:28 PM,10,9,11,9,30,98,95,21.3,1018,14,8,233,18,"Portugal,+Oeste"
2020-03-04,14,9,0.0,5.6,3,65,01:31 PM,04:13 AM,08:05 AM,07:29 PM,12,11,12,11,24,98,96,7.2,1019,14,9,211,15,"Portugal,+Oeste"
2020-03-05,13,9,0.0,8.6,3,73,02:27 PM,05:12 AM,08:03 AM,07:30 PM,9,9,11,9,29,72,88,32.4,1015,13,9,266,20,"Portugal,+Oeste"
2020-03-06,11,6,0.0,7.1,2,80,03:34 PM,06:06 AM,08:02 AM,07:31 PM,5,6,9,6,23,70,76,0.8,1025,11,10,301,16,"Portugal,+Oeste"
2020-03-07,15,6,0.0,11.3,3,87,04:47 PM,06:53 AM,08:00 AM,07:32 PM,6,9,10,9,8,33,78,0.0,1028,15,10,174,5,"Portugal,+Oeste"
2020-03-08,12,7,0.0,5.9,2,95,06:05 PM,07:34 AM,07:58 AM,07:34 PM,8,8,9,8,14,83,90,7.5,1027,12,8,219,9,"Portugal,+Oeste"
2020-03-09,15,5,0.0,11.6,4,100,07:24 PM,08:10 AM,07:57 AM,07:35 PM,6,10,10,10,8,20,76,0.0,1031,15,10,151,5,"Portugal,+Oeste"
