date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,18,14,0.0,3.7,4,37,12:05 PM,11:43 PM,07:58 AM,05:35 PM,16,17,17,17,43,76,88,13.6,1020,18,9,222,30,"Portugal,+Ponta+Delgada"
2020-01-02,16,12,0.0,8.7,5,44,12:31 PM,No moonset,07:58 AM,05:35 PM,9,14,15,14,14,25,66,1.3,1026,16,10,275,10,"Portugal,+Ponta+Delgada"
2020-01-03,17,14,0.0,8.7,4,51,12:57 PM,12:39 AM,07:58 AM,05:36 PM,11,15,15,15,14,29,75,0.1,1028,17,10,137,10,"Portugal,+Ponta+Delgada"
2020-01-04,18,13,0.0,7.0,4,59,01:24 PM,01:36 AM,07:58 AM,05:37 PM,14,16,17,16,27,53,84,1.3,1028,18,10,165,20,"Portugal,+Ponta+Delgada"
2020-01-05,18,14,0.0,5.4,4,66,01:52 PM,02:33 AM,07:58 AM,05:38 PM,15,17,17,17,35,75,85,1.2,1025,18,10,204,26,"Portugal,+Ponta+Delgada"
2020-01-06,18,15,0.0,3.7,4,73,02:23 PM,03:33 AM,07:58 AM,05:39 PM,17,18,18,18,31,77,93,3.1,1026,18,10,221,23,"Portugal,+Ponta+Delgada"
2020-01-07,18,16,0.0,3.7,4,80,03:00 PM,04:34 AM,07:58 AM,05:40 PM,17,18,18,18,23,74,93,4.0,1029,18,10,223,17,"Portugal,+Ponta+Delgada"
2020-01-08,18,17,0.0,5.4,4,88,03:43 PM,05:38 AM,07:58 AM,05:41 PM,16,17,17,17,24,64,88,0.6,1031,18,10,201,17,"Portugal,+Ponta+Delgada"
2020-01-09,17,14,0.0,8.7,5,95,04:33 PM,06:41 AM,07:58 AM,05:41 PM,13,15,16,15,18,38,81,0.5,1034,17,10,79,13,"Portugal,+Ponta+Delgada"
2020-01-10,18,13,0.0,3.7,4,100,05:33 PM,07:42 AM,07:58 AM,05:42 PM,15,16,17,16,34,80,84,1.1,1030,18,10,207,26,"Portugal,+Ponta+Delgada"
