date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,15,12,0.0,10.0,4,37,12:26 PM,No moonset,08:10 AM,06:13 PM,10,14,14,14,17,32,76,0.0,1028,15,10,145,10,"Portugal,+Ponta+do+Sol"
2020-01-02,15,12,0.0,5.0,3,44,12:55 PM,12:10 AM,08:11 AM,06:14 PM,7,13,13,13,19,96,68,0.0,1028,15,10,180,10,"Portugal,+Ponta+do+Sol"
2020-01-03,14,10,0.0,10.0,3,51,01:23 PM,01:04 AM,08:11 AM,06:14 PM,7,11,12,11,24,36,72,0.0,1031,14,10,140,13,"Portugal,+Ponta+do+Sol"
2020-01-04,13,5,0.0,10.0,4,59,01:52 PM,01:58 AM,08:11 AM,06:15 PM,9,10,12,10,24,45,82,0.1,1031,13,10,88,13,"Portugal,+Ponta+do+Sol"
2020-01-05,13,7,0.0,10.1,3,66,02:23 PM,02:53 AM,08:11 AM,06:16 PM,8,10,11,10,14,36,79,0.1,1029,13,10,75,8,"Portugal,+Ponta+do+Sol"
2020-01-06,13,10,0.0,10.1,3,73,02:57 PM,03:50 AM,08:11 AM,06:17 PM,9,11,12,11,21,36,78,0.2,1029,13,10,59,13,"Portugal,+Ponta+do+Sol"
2020-01-07,13,6,0.0,8.3,3,80,03:36 PM,04:49 AM,08:11 AM,06:18 PM,10,11,12,11,20,40,78,0.2,1030,13,10,55,14,"Portugal,+Ponta+do+Sol"
2020-01-08,14,7,0.0,10.1,4,88,04:20 PM,05:50 AM,08:11 AM,06:18 PM,9,11,13,11,14,5,76,0.0,1031,14,10,29,10,"Portugal,+Ponta+do+Sol"
2020-01-09,14,8,0.0,10.0,3,95,05:12 PM,06:52 AM,08:11 AM,06:19 PM,9,11,12,11,21,24,79,0.0,1031,14,10,174,12,"Portugal,+Ponta+do+Sol"
2020-01-10,13,8,0.0,10.0,3,100,06:11 PM,07:52 AM,08:11 AM,06:20 PM,9,10,12,10,25,44,83,0.4,1030,13,10,69,13,"Portugal,+Ponta+do+Sol"
2020-01-11,12,5,0.0,10.1,4,100,07:16 PM,08:49 AM,08:11 AM,06:21 PM,8,9,11,9,19,18,79,0.0,1029,12,10,28,12,"Portugal,+Ponta+do+Sol"
2020-01-12,12,4,0.0,10.1,4,83,08:24 PM,09:41 AM,08:11 AM,06:22 PM,9,9,11,9,19,32,79,0.0,1027,12,10,55,13,"Portugal,+Ponta+do+Sol"
2020-01-13,13,6,0.0,10.1,4,76,09:34 PM,10:26 AM,08:11 AM,06:23 PM,8,11,12,11,11,33,74,0.0,1025,13,10,137,7,"Portugal,+Ponta+do+Sol"
2020-01-14,14,8,0.0,10.1,4,69,10:41 PM,11:07 AM,08:11 AM,06:24 PM,7,10,11,10,20,18,75,0.1,1019,14,10,209,10,"Portugal,+Ponta+do+Sol"
2020-01-15,14,11,0.0,10.1,3,61,11:48 PM,11:45 AM,08:11 AM,06:25 PM,9,11,13,11,25,30,80,0.3,1020,14,10,232,14,"Portugal,+Ponta+do+Sol"
2020-01-16,15,11,0.0,10.0,3,54,No moonrise,12:19 PM,08:10 AM,06:25 PM,11,12,13,12,23,59,81,0.6,1023,15,10,243,13,"Portugal,+Ponta+do+Sol"
2020-01-17,15,7,0.0,10.2,4,47,12:54 AM,12:54 PM,08:10 AM,06:26 PM,10,13,13,13,9,13,77,0.0,1029,15,10,179,5,"Portugal,+Ponta+do+Sol"
2020-01-18,15,11,0.0,10.2,4,40,01:58 AM,01:30 PM,08:10 AM,06:27 PM,6,13,13,13,9,2,60,0.0,1031,15,10,148,5,"Portugal,+Ponta+do+Sol"
2020-01-19,15,11,0.0,10.2,4,32,03:03 AM,02:07 PM,08:10 AM,06:28 PM,6,12,12,12,17,9,67,0.1,1028,15,10,49,8,"Portugal,+Ponta+do+Sol"
2020-01-20,12,8,0.0,10.2,4,25,04:07 AM,02:49 PM,08:09 AM,06:29 PM,6,7,10,7,38,5,75,0.0,1022,12,10,24,20,"Portugal,+Ponta+do+Sol"
2020-01-21,10,3,0.0,5.1,2,18,05:10 AM,03:35 PM,08:09 AM,06:30 PM,4,5,8,5,33,73,74,2.5,1018,10,10,19,17,"Portugal,+Ponta+do+Sol"
