date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,14,8,0.0,8.7,4,37,11:59 AM,11:34 PM,07:54 AM,05:26 PM,6,10,10,10,10,17,76,0.0,1031,14,10,86,5,"Portugal,+Setubal"
2020-01-02,13,9,0.0,7.0,3,44,12:24 PM,No moonset,07:54 AM,05:27 PM,8,10,11,10,8,33,81,0.0,1030,13,10,125,5,"Portugal,+Setubal"
2020-01-03,14,10,0.0,8.7,3,51,12:50 PM,12:30 AM,07:54 AM,05:28 PM,8,11,11,11,11,40,83,0.0,1033,14,10,108,7,"Portugal,+Setubal"
2020-01-04,15,10,0.0,8.7,4,59,01:16 PM,01:27 AM,07:54 AM,05:29 PM,8,11,12,11,17,6,82,0.0,1032,15,10,80,10,"Portugal,+Setubal"
2020-01-05,14,7,0.0,8.7,4,66,01:43 PM,02:25 AM,07:54 AM,05:30 PM,6,9,10,9,16,1,77,0.0,1029,14,10,37,9,"Portugal,+Setubal"
2020-01-06,13,7,0.0,8.7,3,73,02:14 PM,03:25 AM,07:54 AM,05:31 PM,6,8,9,8,17,0,80,0.0,1029,13,10,64,10,"Portugal,+Setubal"
2020-01-07,14,6,0.0,8.7,3,80,02:50 PM,04:27 AM,07:54 AM,05:31 PM,5,7,9,7,19,4,76,0.0,1031,14,10,19,10,"Portugal,+Setubal"
2020-01-08,15,6,0.0,8.7,4,88,03:32 PM,05:31 AM,07:54 AM,05:32 PM,7,9,10,9,19,20,80,0.0,1030,15,10,126,11,"Portugal,+Setubal"
2020-01-09,17,12,0.0,8.7,3,95,04:22 PM,06:34 AM,07:54 AM,05:33 PM,12,13,14,13,13,47,89,0.4,1028,17,8,264,8,"Portugal,+Setubal"
2020-01-10,13,9,0.0,8.7,4,100,05:22 PM,07:35 AM,07:54 AM,05:34 PM,6,8,11,8,31,5,72,0.0,1029,13,10,202,20,"Portugal,+Setubal"
2020-01-11,14,7,0.0,8.7,3,100,06:27 PM,08:31 AM,07:54 AM,05:35 PM,4,7,9,7,20,2,69,0.0,1030,14,10,34,11,"Portugal,+Setubal"
2020-01-12,12,6,0.0,8.7,3,83,07:38 PM,09:21 AM,07:53 AM,05:36 PM,4,7,9,7,13,1,72,0.0,1030,12,10,27,8,"Portugal,+Setubal"
2020-01-13,13,7,0.0,7.0,2,76,08:50 PM,10:04 AM,07:53 AM,05:37 PM,5,8,9,8,13,42,76,0.0,1026,13,10,141,7,"Portugal,+Setubal"
2020-01-14,16,11,0.0,3.7,3,69,10:02 PM,10:41 AM,07:53 AM,05:38 PM,10,12,14,12,35,76,75,2.5,1020,16,8,194,23,"Portugal,+Setubal"
2020-01-15,17,14,0.0,3.7,4,61,11:13 PM,11:15 AM,07:53 AM,05:39 PM,12,14,15,14,41,72,84,11.3,1019,17,9,204,25,"Portugal,+Setubal"
2020-01-16,16,11,0.0,7.0,4,54,No moonrise,11:47 AM,07:52 AM,05:40 PM,12,13,15,13,46,67,84,5.9,1023,16,9,191,30,"Portugal,+Setubal"
2020-01-17,15,11,0.0,8.7,4,47,12:22 AM,12:18 PM,07:52 AM,05:41 PM,9,12,13,12,14,41,79,3.3,1030,15,10,114,8,"Portugal,+Setubal"
2020-01-18,17,13,0.0,5.4,4,40,01:31 AM,12:50 PM,07:52 AM,05:43 PM,13,14,15,14,36,62,86,5.0,1027,17,10,245,23,"Portugal,+Setubal"
2020-01-19,14,9,0.0,8.7,3,32,02:38 AM,01:25 PM,07:51 AM,05:44 PM,5,8,11,8,44,29,65,0.3,1026,14,10,196,27,"Portugal,+Setubal"
2020-01-20,11,5,0.0,8.7,3,25,03:46 AM,02:03 PM,07:51 AM,05:45 PM,-2,3,7,3,51,8,51,0.0,1022,11,10,35,32,"Portugal,+Setubal"
2020-01-21,12,5,0.0,8.7,3,18,04:51 AM,02:46 PM,07:50 AM,05:46 PM,1,5,8,5,35,17,62,0.0,1017,12,10,58,21,"Portugal,+Setubal"
2020-01-22,11,8,0.0,7.0,2,11,05:53 AM,03:36 PM,07:50 AM,05:47 PM,5,7,9,7,28,58,78,1.7,1013,11,10,39,17,"Portugal,+Setubal"
2020-01-23,13,8,0.0,3.7,3,3,06:49 AM,04:29 PM,07:49 AM,05:48 PM,7,8,10,8,23,75,86,9.7,1013,13,9,127,14,"Portugal,+Setubal"
2020-01-24,14,8,0.0,5.4,3,0,07:39 AM,05:28 PM,07:48 AM,05:49 PM,7,9,10,9,16,68,84,1.3,1015,14,10,124,10,"Portugal,+Setubal"
2020-01-25,14,8,0.0,8.7,4,0,08:22 AM,06:27 PM,07:48 AM,05:50 PM,8,10,11,10,15,25,84,0.5,1016,14,10,116,9,"Portugal,+Setubal"
2020-01-26,15,9,0.0,7.1,3,4,08:59 AM,07:27 PM,07:47 AM,05:51 PM,9,11,11,11,15,48,85,0.2,1023,15,10,222,10,"Portugal,+Setubal"
