date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,18,10,0.0,8.7,4,37,12:00 PM,11:35 PM,07:56 AM,05:26 PM,7,12,13,12,7,6,68,0.0,1031,18,10,121,5,"Portugal,+Sintra"
2020-01-02,14,10,0.0,7.0,3,44,12:25 PM,No moonset,07:56 AM,05:27 PM,9,12,13,12,12,36,78,0.0,1030,14,10,141,8,"Portugal,+Sintra"
2020-01-03,15,11,0.0,8.7,4,51,12:51 PM,12:31 AM,07:56 AM,05:28 PM,9,13,13,13,9,50,75,0.0,1033,15,10,220,6,"Portugal,+Sintra"
2020-01-04,19,13,0.0,8.7,5,59,01:17 PM,01:29 AM,07:56 AM,05:29 PM,11,15,15,15,8,3,78,0.0,1032,19,10,124,7,"Portugal,+Sintra"
2020-01-05,17,9,0.0,8.7,4,66,01:44 PM,02:26 AM,07:56 AM,05:30 PM,7,13,13,13,11,6,67,0.0,1029,17,10,61,8,"Portugal,+Sintra"
2020-01-06,16,12,0.0,8.7,4,73,02:14 PM,03:27 AM,07:56 AM,05:31 PM,8,13,13,13,12,0,72,0.0,1029,16,10,75,9,"Portugal,+Sintra"
2020-01-07,16,9,0.0,8.7,4,80,02:50 PM,04:29 AM,07:56 AM,05:32 PM,7,12,13,12,13,4,66,0.0,1031,16,10,22,10,"Portugal,+Sintra"
2020-01-08,16,10,0.0,8.7,3,88,03:33 PM,05:33 AM,07:56 AM,05:32 PM,10,11,12,11,20,31,81,0.0,1030,16,10,136,13,"Portugal,+Sintra"
2020-01-09,17,13,0.0,5.3,4,95,04:22 PM,06:36 AM,07:56 AM,05:33 PM,13,15,15,15,18,55,88,0.0,1028,17,8,341,13,"Portugal,+Sintra"
2020-01-10,13,6,0.0,8.7,4,100,05:22 PM,07:38 AM,07:56 AM,05:34 PM,6,9,11,9,32,10,67,0.0,1030,13,10,145,21,"Portugal,+Sintra"
2020-01-11,16,9,0.0,8.7,4,100,06:27 PM,08:33 AM,07:56 AM,05:35 PM,5,12,12,12,12,5,59,0.0,1030,16,10,101,8,"Portugal,+Sintra"
2020-01-12,15,11,0.0,8.7,4,83,07:39 PM,09:23 AM,07:56 AM,05:36 PM,5,12,12,12,8,3,62,0.0,1030,15,10,133,7,"Portugal,+Sintra"
2020-01-13,14,7,0.0,8.7,3,76,08:51 PM,10:06 AM,07:55 AM,05:37 PM,6,10,11,10,15,56,70,0.0,1026,14,10,163,10,"Portugal,+Sintra"
2020-01-14,16,13,0.0,5.4,3,69,10:03 PM,10:43 AM,07:55 AM,05:38 PM,10,12,14,12,42,81,75,2.7,1019,16,9,201,27,"Portugal,+Sintra"
2020-01-15,17,14,0.0,5.4,4,61,11:14 PM,11:17 AM,07:55 AM,05:40 PM,12,14,15,14,44,69,83,8.9,1018,17,10,202,26,"Portugal,+Sintra"
2020-01-16,17,14,0.0,7.0,4,54,No moonrise,11:48 AM,07:54 AM,05:41 PM,12,14,15,14,48,78,84,17.0,1022,17,9,207,32,"Portugal,+Sintra"
2020-01-17,15,12,0.0,8.7,3,47,12:23 AM,12:19 PM,07:54 AM,05:42 PM,8,13,13,13,14,66,71,1.5,1030,15,10,169,9,"Portugal,+Sintra"
2020-01-18,16,14,0.0,5.4,4,40,01:32 AM,12:51 PM,07:54 AM,05:43 PM,13,13,15,13,46,68,90,7.4,1027,16,9,257,28,"Portugal,+Sintra"
2020-01-19,14,10,0.0,8.7,4,32,02:40 AM,01:25 PM,07:53 AM,05:44 PM,5,9,12,9,44,23,62,0.1,1027,14,10,141,29,"Portugal,+Sintra"
2020-01-20,11,6,0.0,8.7,3,25,03:48 AM,02:03 PM,07:53 AM,05:45 PM,-2,5,9,5,49,11,47,0.0,1023,11,10,41,34,"Portugal,+Sintra"
2020-01-21,14,7,0.0,8.7,4,18,04:53 AM,02:46 PM,07:52 AM,05:46 PM,2,7,10,7,30,12,57,0.0,1018,14,10,77,20,"Portugal,+Sintra"
2020-01-22,13,9,0.0,5.4,3,11,05:55 AM,03:36 PM,07:52 AM,05:47 PM,6,8,11,8,27,69,72,2.1,1014,13,9,48,18,"Portugal,+Sintra"
2020-01-23,14,8,0.0,3.7,3,3,06:51 AM,04:29 PM,07:51 AM,05:48 PM,8,8,11,8,25,87,82,15.5,1013,14,7,125,17,"Portugal,+Sintra"
2020-01-24,14,9,0.0,7.0,3,0,07:41 AM,05:28 PM,07:50 AM,05:49 PM,8,10,12,10,15,55,79,0.9,1015,14,10,149,11,"Portugal,+Sintra"
2020-01-25,15,9,0.0,8.7,3,0,08:24 AM,06:27 PM,07:50 AM,05:51 PM,9,11,12,11,16,24,80,0.7,1017,15,9,163,11,"Portugal,+Sintra"
2020-01-26,16,11,0.0,5.4,3,4,09:01 AM,07:27 PM,07:49 AM,05:52 PM,10,12,13,12,18,59,82,0.4,1023,16,10,236,13,"Portugal,+Sintra"
2020-01-27,15,9,0.0,3.8,3,11,09:33 AM,08:26 PM,07:48 AM,05:53 PM,12,12,14,12,40,91,88,4.3,1023,15,9,221,26,"Portugal,+Sintra"
2020-01-28,16,14,0.0,3.8,4,18,10:01 AM,09:24 PM,07:48 AM,05:54 PM,13,13,15,13,32,81,92,7.0,1024,16,10,213,21,"Portugal,+Sintra"
2020-01-29,15,13,0.0,5.4,3,26,10:27 AM,10:21 PM,07:47 AM,05:55 PM,12,12,14,12,29,72,89,0.4,1023,15,10,194,19,"Portugal,+Sintra"
2020-01-30,15,13,0.0,3.8,3,33,10:52 AM,11:18 PM,07:46 AM,05:56 PM,12,13,14,13,29,97,87,0.2,1024,15,10,199,17,"Portugal,+Sintra"
2020-01-31,15,14,0.0,3.8,3,37,11:18 AM,No moonset,07:45 AM,05:57 PM,13,13,15,13,30,93,92,3.6,1024,15,10,196,17,"Portugal,+Sintra"
2020-02-01,17,15,0.0,7.1,4,49,11:44 AM,12:14 AM,07:44 AM,05:58 PM,14,15,15,15,19,58,92,0.2,1025,17,8,197,12,"Portugal,+Sintra"
2020-02-02,19,13,0.0,10.6,5,57,12:12 PM,01:13 AM,07:43 AM,06:00 PM,12,14,15,14,16,11,81,0.0,1027,19,8,148,11,"Portugal,+Sintra"
2020-02-03,23,14,0.0,10.6,5,64,12:44 PM,02:13 AM,07:43 AM,06:01 PM,14,18,19,18,13,1,77,0.0,1028,23,10,117,8,"Portugal,+Sintra"
2020-02-04,22,16,0.0,10.6,5,72,01:23 PM,03:15 AM,07:42 AM,06:02 PM,12,18,19,18,10,0,69,0.0,1029,22,10,136,7,"Portugal,+Sintra"
2020-02-05,18,9,0.0,10.6,5,79,02:08 PM,04:17 AM,07:41 AM,06:03 PM,11,15,15,15,12,1,69,0.0,1023,18,10,102,9,"Portugal,+Sintra"
2020-02-06,17,12,0.0,10.6,4,87,03:02 PM,05:19 AM,07:40 AM,06:04 PM,11,13,14,13,23,27,81,0.0,1019,17,10,135,16,"Portugal,+Sintra"
2020-02-07,18,12,0.0,10.7,5,95,04:05 PM,06:17 AM,07:39 AM,06:05 PM,12,14,15,14,15,32,84,0.2,1022,18,10,181,10,"Portugal,+Sintra"
2020-02-08,14,11,0.0,8.5,3,100,05:15 PM,07:11 AM,07:38 AM,06:06 PM,9,11,13,11,27,67,79,1.1,1026,14,9,313,18,"Portugal,+Sintra"
2020-02-09,15,9,0.0,10.7,4,100,06:28 PM,07:57 AM,07:37 AM,06:08 PM,8,12,12,12,10,22,72,0.0,1030,15,10,180,7,"Portugal,+Sintra"
2020-02-10,17,13,0.0,10.0,3,83,07:44 PM,08:38 AM,07:35 AM,06:09 PM,12,14,14,14,8,31,86,0.0,1032,17,10,228,6,"Portugal,+Sintra"
2020-02-11,17,13,0.0,10.8,5,75,08:57 PM,09:14 AM,07:34 AM,06:10 PM,12,14,15,14,12,38,87,0.0,1028,17,10,292,9,"Portugal,+Sintra"
2020-02-12,17,13,0.0,5.4,4,68,10:10 PM,09:48 AM,07:33 AM,06:11 PM,12,15,15,15,9,74,84,0.9,1024,17,10,228,7,"Portugal,+Sintra"
2020-02-13,18,13,0.0,10.8,5,60,11:22 PM,10:19 AM,07:32 AM,06:12 PM,13,16,16,16,10,28,86,0.1,1024,18,10,275,7,"Portugal,+Sintra"
2020-02-14,20,15,0.0,10.1,4,53,No moonrise,10:52 AM,07:31 AM,06:13 PM,12,16,16,16,7,18,77,0.0,1026,20,10,133,6,"Portugal,+Sintra"
2020-02-15,20,14,0.0,10.8,5,45,12:32 AM,11:26 AM,07:30 AM,06:14 PM,13,17,17,17,7,5,75,0.0,1026,20,10,181,6,"Portugal,+Sintra"
2020-02-16,17,13,0.0,10.9,5,38,01:41 AM,12:03 PM,07:28 AM,06:15 PM,13,15,15,15,18,29,88,0.0,1027,17,10,200,12,"Portugal,+Sintra"
2020-02-17,15,12,0.0,8.5,3,30,02:47 AM,12:45 PM,07:27 AM,06:16 PM,10,12,14,12,34,58,80,0.5,1029,15,9,134,22,"Portugal,+Sintra"
2020-02-18,13,6,0.0,10.9,4,22,03:50 AM,01:32 PM,07:26 AM,06:18 PM,6,8,11,8,51,3,69,0.0,1032,13,10,180,35,"Portugal,+Sintra"
2020-02-19,19,10,0.0,10.9,4,15,04:47 AM,02:24 PM,07:25 AM,06:19 PM,7,12,13,12,25,3,64,0.0,1029,19,10,26,15,"Portugal,+Sintra"
2020-02-20,17,12,0.0,11.0,4,7,05:38 AM,03:20 PM,07:23 AM,06:20 PM,8,13,14,13,19,4,69,0.0,1023,17,10,34,14,"Portugal,+Sintra"
2020-02-21,22,11,0.0,11.0,5,0,06:22 AM,04:18 PM,07:22 AM,06:21 PM,9,14,16,14,24,2,66,0.0,1025,22,10,48,14,"Portugal,+Sintra"
