date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,15,6,0.0,8.7,4,37,11:57 AM,11:30 PM,07:54 AM,05:20 PM,5,9,10,9,5,7,79,0.0,1031,15,10,125,3,"Portugal,+Tomar"
2020-01-02,13,6,0.0,5.3,2,44,12:22 PM,No moonset,07:55 AM,05:21 PM,6,8,9,8,7,49,86,0.0,1031,13,10,137,4,"Portugal,+Tomar"
2020-01-03,14,7,0.0,8.7,4,51,12:46 PM,12:27 AM,07:55 AM,05:22 PM,7,9,9,9,8,36,88,0.0,1033,14,9,204,5,"Portugal,+Tomar"
2020-01-04,18,8,0.0,8.7,3,59,01:12 PM,01:25 AM,07:55 AM,05:23 PM,8,12,12,12,7,3,82,0.0,1033,18,7,133,4,"Portugal,+Tomar"
2020-01-05,15,6,0.0,8.7,4,66,01:39 PM,02:23 AM,07:55 AM,05:24 PM,5,10,10,10,7,5,77,0.0,1030,15,10,73,4,"Portugal,+Tomar"
2020-01-06,15,6,0.0,8.7,4,73,02:09 PM,03:24 AM,07:55 AM,05:24 PM,6,10,11,10,8,1,81,0.0,1029,15,9,187,5,"Portugal,+Tomar"
2020-01-07,16,5,0.0,8.7,4,80,02:44 PM,04:26 AM,07:55 AM,05:25 PM,4,10,10,10,7,5,75,0.0,1032,16,10,188,4,"Portugal,+Tomar"
2020-01-08,16,5,0.0,8.7,4,88,03:26 PM,05:31 AM,07:55 AM,05:26 PM,6,9,10,9,13,24,79,0.0,1030,16,9,252,7,"Portugal,+Tomar"
2020-01-09,17,9,0.0,3.6,3,95,04:16 PM,06:35 AM,07:54 AM,05:27 PM,10,11,12,11,12,71,90,0.1,1028,17,7,294,7,"Portugal,+Tomar"
2020-01-10,14,5,0.0,8.7,3,100,05:15 PM,07:36 AM,07:54 AM,05:28 PM,4,7,9,7,14,3,76,0.0,1030,14,10,188,8,"Portugal,+Tomar"
2020-01-11,14,6,0.0,8.7,3,100,06:21 PM,08:32 AM,07:54 AM,05:29 PM,3,9,9,9,6,4,71,0.0,1031,14,10,67,4,"Portugal,+Tomar"
2020-01-12,14,5,0.0,8.7,3,83,07:33 PM,09:21 AM,07:54 AM,05:30 PM,4,9,10,9,5,3,77,0.0,1030,14,10,185,3,"Portugal,+Tomar"
2020-01-13,12,4,0.0,8.7,2,76,08:45 PM,10:03 AM,07:54 AM,05:31 PM,4,6,7,6,8,55,84,0.0,1026,12,10,134,5,"Portugal,+Tomar"
2020-01-14,12,7,0.0,3.7,2,69,09:58 PM,10:40 AM,07:53 AM,05:32 PM,7,8,9,8,18,87,87,0.6,1020,12,9,139,11,"Portugal,+Tomar"
2020-01-15,16,11,0.0,3.7,3,61,11:10 PM,11:13 AM,07:53 AM,05:34 PM,11,11,13,11,22,90,93,4.5,1019,16,7,173,14,"Portugal,+Tomar"
2020-01-16,14,6,0.0,3.7,3,54,No moonrise,11:44 AM,07:53 AM,05:35 PM,11,10,12,10,28,93,91,4.5,1022,14,10,179,18,"Portugal,+Tomar"
2020-01-17,14,8,0.0,7.0,3,47,12:19 AM,12:14 PM,07:52 AM,05:36 PM,7,10,10,10,7,60,80,2.4,1030,14,8,240,4,"Portugal,+Tomar"
2020-01-18,15,10,0.0,3.7,3,40,01:29 AM,12:45 PM,07:52 AM,05:37 PM,11,11,12,11,20,79,94,27.6,1026,15,8,226,12,"Portugal,+Tomar"
2020-01-19,13,7,0.0,8.7,4,32,02:37 AM,01:20 PM,07:51 AM,05:38 PM,4,8,10,8,20,6,74,0.0,1026,13,10,176,12,"Portugal,+Tomar"
2020-01-20,11,3,0.0,8.7,3,25,03:45 AM,01:57 PM,07:51 AM,05:39 PM,-3,3,6,3,23,11,55,0.0,1024,11,10,73,14,"Portugal,+Tomar"
2020-01-21,13,3,0.0,8.7,3,18,04:51 AM,02:40 PM,07:50 AM,05:40 PM,1,5,7,5,18,15,64,0.0,1018,13,10,33,10,"Portugal,+Tomar"
2020-01-22,12,7,0.0,5.4,2,11,05:53 AM,03:29 PM,07:50 AM,05:41 PM,5,7,9,7,20,64,80,1.7,1015,12,9,55,12,"Portugal,+Tomar"
2020-01-23,11,7,0.0,3.7,2,3,06:50 AM,04:23 PM,07:49 AM,05:43 PM,7,6,8,6,20,85,90,4.8,1014,11,9,91,13,"Portugal,+Tomar"
2020-01-24,13,6,0.0,5.4,2,0,07:40 AM,05:21 PM,07:48 AM,05:44 PM,7,8,9,8,12,74,93,1.5,1016,13,6,103,7,"Portugal,+Tomar"
2020-01-25,14,7,0.0,3.7,3,0,08:22 AM,06:21 PM,07:48 AM,05:45 PM,8,10,10,10,9,61,88,1.6,1017,14,7,151,6,"Portugal,+Tomar"
2020-01-26,13,6,0.0,5.4,2,4,08:59 AM,07:21 PM,07:47 AM,05:46 PM,7,8,9,8,10,52,89,0.4,1023,13,8,210,6,"Portugal,+Tomar"
2020-01-27,14,8,0.0,3.8,3,11,09:30 AM,08:20 PM,07:46 AM,05:47 PM,10,10,11,10,20,91,95,18.4,1022,14,4,202,12,"Portugal,+Tomar"
2020-01-28,15,11,0.0,3.8,3,18,09:58 AM,09:19 PM,07:46 AM,05:48 PM,12,12,13,12,14,98,96,7.2,1023,15,8,214,9,"Portugal,+Tomar"
2020-01-29,14,10,0.0,3.8,3,26,10:24 AM,10:16 PM,07:45 AM,05:50 PM,11,12,12,12,15,97,94,0.5,1023,14,5,183,10,"Portugal,+Tomar"
2020-01-30,13,9,0.0,3.8,3,33,10:48 AM,11:14 PM,07:44 AM,05:51 PM,11,11,11,11,12,99,95,0.6,1024,13,4,161,8,"Portugal,+Tomar"
2020-01-31,16,13,0.0,3.8,3,37,11:13 AM,No moonset,07:43 AM,05:52 PM,14,14,14,14,15,100,96,0.3,1024,16,3,188,10,"Portugal,+Tomar"
2020-02-01,18,14,0.0,3.8,4,49,11:39 AM,12:11 AM,07:42 AM,05:53 PM,15,15,15,15,11,88,96,0.7,1025,18,3,195,8,"Portugal,+Tomar"
2020-02-02,20,11,0.0,8.7,4,57,12:07 PM,01:10 AM,07:41 AM,05:54 PM,13,14,15,14,10,45,89,0.0,1027,20,4,127,7,"Portugal,+Tomar"
2020-02-03,22,12,0.0,8.7,4,64,12:39 PM,02:10 AM,07:40 AM,05:55 PM,12,15,16,15,9,8,84,0.0,1028,22,7,105,5,"Portugal,+Tomar"
2020-02-04,22,12,0.0,8.7,5,72,01:17 PM,03:12 AM,07:39 AM,05:57 PM,11,17,17,17,9,0,77,0.0,1029,22,10,191,5,"Portugal,+Tomar"
2020-02-05,19,11,0.0,8.7,5,79,02:01 PM,04:15 AM,07:38 AM,05:58 PM,9,14,15,14,15,1,72,0.0,1024,19,10,79,9,"Portugal,+Tomar"
2020-02-06,18,8,0.0,8.7,4,87,02:55 PM,05:18 AM,07:37 AM,05:59 PM,8,12,12,12,14,29,76,0.0,1021,18,10,121,9,"Portugal,+Tomar"
2020-02-07,15,10,0.0,8.5,3,95,03:58 PM,06:16 AM,07:36 AM,06:00 PM,10,12,12,12,9,55,86,0.0,1023,15,8,189,6,"Portugal,+Tomar"
2020-02-08,14,8,0.0,10.0,3,100,05:08 PM,07:09 AM,07:35 AM,06:01 PM,9,10,11,10,12,64,90,1.5,1025,14,7,262,8,"Portugal,+Tomar"
2020-02-09,16,6,0.0,10.7,4,100,06:22 PM,07:55 AM,07:34 AM,06:02 PM,7,10,10,10,8,20,82,0.0,1029,16,9,237,4,"Portugal,+Tomar"
2020-02-10,17,10,0.0,8.5,3,83,07:38 PM,08:35 AM,07:33 AM,06:04 PM,11,13,13,13,7,61,89,0.0,1032,17,7,317,5,"Portugal,+Tomar"
2020-02-11,17,10,0.0,10.0,3,75,08:53 PM,09:11 AM,07:32 AM,06:05 PM,10,12,13,12,10,55,87,0.0,1028,17,6,323,6,"Portugal,+Tomar"
2020-02-12,16,9,0.0,10.8,3,68,10:06 PM,09:44 AM,07:31 AM,06:06 PM,9,12,12,12,7,50,84,0.0,1023,16,7,290,5,"Portugal,+Tomar"
2020-02-13,17,9,0.0,8.5,3,60,11:18 PM,10:15 AM,07:29 AM,06:07 PM,10,12,12,12,7,56,89,0.4,1024,17,6,243,4,"Portugal,+Tomar"
2020-02-14,19,9,0.0,10.8,3,53,No moonrise,10:47 AM,07:28 AM,06:08 PM,9,13,13,13,6,17,81,0.0,1026,19,7,236,4,"Portugal,+Tomar"
2020-02-15,19,10,0.0,10.8,4,45,12:29 AM,11:21 AM,07:27 AM,06:09 PM,10,13,13,13,5,8,79,0.0,1026,19,10,190,3,"Portugal,+Tomar"
