date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,15,8,0.0,3.6,3,26,03:26 AM,02:23 PM,07:57 AM,05:23 PM,1,10,10,10,11,47,54,0.0,1032,15,10,104,6,Alcobaca
2019-01-02,14,8,0.0,8.7,4,19,04:28 AM,02:58 PM,07:57 AM,05:24 PM,6,9,10,9,15,0,77,0.0,1030,14,10,132,8,Alcobaca
2019-01-03,14,6,0.0,8.7,3,11,05:29 AM,03:37 PM,07:57 AM,05:24 PM,3,8,9,8,13,0,69,0.0,1027,14,10,97,7,Alcobaca
2019-01-04,14,6,0.0,7.0,2,4,06:27 AM,04:20 PM,07:57 AM,05:25 PM,3,7,8,7,15,15,71,0.0,1030,14,10,105,8,Alcobaca
2019-01-05,16,7,0.0,8.7,4,0,07:21 AM,05:07 PM,07:57 AM,05:26 PM,2,9,9,9,11,1,63,0.0,1034,16,10,70,6,Alcobaca
2019-01-06,17,7,0.0,8.7,4,0,08:10 AM,05:59 PM,07:57 AM,05:27 PM,2,10,10,10,10,0,60,0.0,1032,17,10,141,5,Alcobaca
2019-01-07,17,7,0.0,8.7,4,3,08:55 AM,06:53 PM,07:57 AM,05:28 PM,-1,10,10,10,11,0,48,0.0,1030,17,10,55,6,Alcobaca
2019-01-08,17,7,0.0,8.7,4,10,09:34 AM,07:49 PM,07:57 AM,05:29 PM,0,10,11,10,12,1,49,0.0,1029,17,10,129,6,Alcobaca
2019-01-09,16,9,0.0,8.7,4,18,10:08 AM,08:45 PM,07:57 AM,05:30 PM,4,11,11,11,9,2,63,0.0,1023,16,10,142,5,Alcobaca
2019-01-10,15,8,0.0,8.7,4,25,10:40 AM,09:43 PM,07:56 AM,05:31 PM,3,9,10,9,17,1,65,0.0,1020,15,10,97,9,Alcobaca
2019-01-11,13,6,0.0,8.7,3,32,11:09 AM,10:40 PM,07:56 AM,05:32 PM,-3,7,8,7,20,1,44,0.0,1026,13,10,76,11,Alcobaca
2019-01-12,15,5,0.0,8.7,3,39,11:36 AM,11:38 PM,07:56 AM,05:33 PM,1,7,8,7,14,0,63,0.0,1030,15,10,106,7,Alcobaca
2019-01-13,14,6,0.0,8.7,3,47,12:03 PM,No moonset,07:56 AM,05:34 PM,3,8,9,8,11,1,69,0.0,1029,14,10,111,6,Alcobaca
2019-01-14,14,7,0.0,8.7,4,54,12:31 PM,12:36 AM,07:55 AM,05:35 PM,4,9,9,9,8,14,73,0.0,1025,14,10,169,5,Alcobaca
2019-01-15,14,8,0.0,7.0,3,61,01:01 PM,01:38 AM,07:55 AM,05:36 PM,6,10,10,10,8,38,76,0.0,1021,14,10,180,4,Alcobaca
2019-01-16,12,8,0.0,3.7,2,69,01:36 PM,02:41 AM,07:55 AM,05:37 PM,8,9,9,9,12,76,90,1.0,1019,12,8,228,6,Alcobaca
2019-01-17,12,8,0.0,8.7,3,76,02:15 PM,03:47 AM,07:54 AM,05:38 PM,6,7,9,7,28,20,78,0.1,1021,12,10,137,17,Alcobaca
2019-01-18,12,6,0.0,5.4,2,83,03:02 PM,04:55 AM,07:54 AM,05:40 PM,6,8,9,8,12,52,83,1.4,1021,12,9,125,7,Alcobaca
2019-01-19,13,9,0.0,3.7,3,90,03:58 PM,06:02 AM,07:53 AM,05:41 PM,11,10,11,10,27,91,94,15.3,1016,13,6,231,15,Alcobaca
2019-01-20,13,10,0.0,8.7,4,98,05:03 PM,07:06 AM,07:53 AM,05:42 PM,7,9,11,9,40,33,76,2.0,1019,13,10,345,27,Alcobaca
2019-01-21,12,9,0.0,8.7,4,100,06:14 PM,08:04 AM,07:52 AM,05:43 PM,6,8,10,8,26,10,76,0.0,1024,12,10,266,17,Alcobaca
2019-01-22,12,9,0.0,3.7,3,88,07:29 PM,08:54 AM,07:52 AM,05:44 PM,8,8,10,8,29,83,82,1.1,1023,12,9,331,19,Alcobaca
2019-01-23,13,11,0.0,3.7,3,81,08:43 PM,09:38 AM,07:51 AM,05:45 PM,10,10,12,10,39,95,84,1.7,1020,13,8,331,26,Alcobaca
2019-01-24,14,12,0.0,5.4,3,73,09:56 PM,10:15 AM,07:50 AM,05:46 PM,11,11,13,11,37,69,90,0.7,1018,14,7,260,25,Alcobaca
2019-01-25,18,9,0.0,8.7,4,66,11:06 PM,10:49 AM,07:50 AM,05:48 PM,8,11,12,11,19,3,79,0.0,1020,18,10,21,11,Alcobaca
