date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,31,26,0.0,11.6,6,26,02:54 AM,03:22 PM,06:35 AM,06:51 PM,23,31,31,28,15,33,76,5.0,1011,31,9,85,10,Alter+do+Chao
2019-01-02,31,26,0.0,10.2,6,19,03:42 AM,04:10 PM,06:36 AM,06:52 PM,23,32,32,28,22,47,76,11.4,1011,31,9,70,14,Alter+do+Chao
2019-01-03,31,26,0.0,8.8,6,11,04:29 AM,05:00 PM,06:36 AM,06:52 PM,23,33,33,29,22,57,73,4.9,1011,31,10,78,15,Alter+do+Chao
2019-01-04,31,27,0.0,8.8,6,4,05:19 AM,05:51 PM,06:37 AM,06:53 PM,23,33,33,29,21,60,74,1.9,1012,31,10,54,15,Alter+do+Chao
2019-01-05,31,27,0.0,11.6,6,0,06:09 AM,06:40 PM,06:37 AM,06:53 PM,23,32,32,28,18,35,75,8.2,1012,31,10,78,12,Alter+do+Chao
2019-01-06,31,26,0.0,11.6,6,0,06:58 AM,07:30 PM,06:38 AM,06:53 PM,23,32,32,28,18,39,74,10.6,1011,31,9,41,12,Alter+do+Chao
2019-01-07,30,26,0.0,6.1,6,3,07:47 AM,08:17 PM,06:38 AM,06:54 PM,23,31,31,28,27,82,76,20.9,1011,30,9,61,16,Alter+do+Chao
2019-01-08,29,25,0.0,7.5,6,10,08:34 AM,09:03 PM,06:38 AM,06:54 PM,22,29,29,27,19,68,77,6.2,1012,29,9,122,13,Alter+do+Chao
2019-01-09,31,25,0.0,10.2,6,18,09:21 AM,09:47 PM,06:39 AM,06:55 PM,22,30,30,27,10,47,73,0.8,1011,31,10,58,7,Alter+do+Chao
2019-01-10,28,25,0.0,7.5,6,25,10:05 AM,10:29 PM,06:39 AM,06:55 PM,23,29,29,26,20,69,81,28.8,1012,28,8,55,12,Alter+do+Chao
2019-01-11,26,24,0.0,7.5,6,32,10:48 AM,11:11 PM,06:40 AM,06:55 PM,23,28,28,25,8,74,85,7.4,1013,26,9,146,6,Alter+do+Chao
2019-01-12,29,25,0.0,10.2,6,39,11:32 AM,11:53 PM,06:40 AM,06:56 PM,22,29,29,27,15,56,76,0.1,1012,29,10,67,11,Alter+do+Chao
2019-01-13,32,26,0.0,10.2,6,47,12:15 PM,No moonset,06:41 AM,06:56 PM,22,31,31,28,17,35,72,8.4,1012,32,9,99,11,Alter+do+Chao
2019-01-14,29,25,0.0,11.6,6,54,01:00 PM,12:35 AM,06:41 AM,06:56 PM,22,29,29,26,12,47,77,4.1,1013,29,10,65,9,Alter+do+Chao
