date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,24,18,0.0,5.4,5,26,03:16 AM,02:53 PM,07:12 AM,06:01 PM,15,20,21,20,11,85,73,0.8,1015,24,10,206,9,Barrancos
2019-01-02,23,15,0.0,5.4,5,19,04:10 AM,03:36 PM,07:12 AM,06:01 PM,17,20,20,20,11,99,82,0.5,1016,23,7,128,11,Barrancos
2019-01-03,19,16,0.0,5.5,4,11,05:05 AM,04:20 PM,07:12 AM,06:02 PM,13,17,17,17,12,88,76,0.1,1015,19,10,92,12,Barrancos
2019-01-04,23,15,0.0,10.1,4,4,05:58 AM,05:08 PM,07:13 AM,06:02 PM,10,18,18,18,10,46,59,0.0,1019,23,10,217,6,Barrancos
2019-01-05,25,15,0.0,10.9,6,0,06:49 AM,05:57 PM,07:13 AM,06:03 PM,13,20,20,20,10,17,68,0.0,1020,25,10,181,7,Barrancos
2019-01-06,25,17,0.0,10.9,6,0,07:39 AM,06:47 PM,07:13 AM,06:04 PM,17,21,21,21,13,48,79,0.1,1019,25,10,165,7,Barrancos
2019-01-07,27,20,0.0,10.9,6,3,08:24 AM,07:39 PM,07:13 AM,06:04 PM,19,24,24,23,16,40,80,0.3,1018,27,10,132,7,Barrancos
2019-01-08,28,20,0.0,10.9,6,10,09:07 AM,08:29 PM,07:13 AM,06:05 PM,19,24,24,23,14,18,79,0.1,1020,28,10,120,8,Barrancos
2019-01-09,25,20,0.0,10.9,5,18,09:47 AM,09:20 PM,07:14 AM,06:06 PM,18,23,23,22,12,31,80,2.1,1025,25,10,119,8,Barrancos
2019-01-10,25,17,0.0,8.5,5,25,10:24 AM,10:10 PM,07:14 AM,06:06 PM,17,21,21,21,13,50,79,0.0,1023,25,10,161,7,Barrancos
2019-01-11,27,18,0.0,10.9,5,32,11:00 AM,10:59 PM,07:14 AM,06:07 PM,18,22,22,22,14,31,82,0.0,1016,27,8,152,8,Barrancos
2019-01-12,27,20,0.0,10.1,5,39,11:35 AM,11:50 PM,07:14 AM,06:08 PM,19,24,24,23,10,48,83,2.5,1017,27,9,150,8,Barrancos
2019-01-13,20,17,0.0,5.5,4,47,12:09 PM,No moonset,07:14 AM,06:08 PM,17,19,19,19,19,81,90,21.6,1023,20,8,193,13,Barrancos
2019-01-14,20,17,0.0,5.5,4,54,12:46 PM,12:41 AM,07:14 AM,06:09 PM,17,18,18,18,20,89,91,6.0,1025,20,7,319,10,Barrancos
2019-01-15,23,16,0.0,7.0,4,61,01:25 PM,01:34 AM,07:14 AM,06:10 PM,16,19,19,19,15,81,86,1.5,1023,23,10,219,7,Barrancos
2019-01-16,23,18,0.0,5.5,5,69,02:08 PM,02:30 AM,07:14 AM,06:11 PM,18,20,21,20,9,85,88,0.2,1022,23,8,162,6,Barrancos
2019-01-17,25,18,0.0,7.0,5,76,02:56 PM,03:29 AM,07:14 AM,06:11 PM,19,22,22,21,9,88,86,0.1,1021,25,7,209,7,Barrancos
2019-01-18,27,19,0.0,10.1,5,83,03:51 PM,04:31 AM,07:14 AM,06:12 PM,19,24,24,22,12,51,84,0.1,1017,27,8,176,9,Barrancos
2019-01-19,25,19,0.0,11.0,5,90,04:51 PM,05:35 AM,07:14 AM,06:13 PM,14,22,22,21,21,18,66,0.0,1017,25,8,127,10,Barrancos
2019-01-20,22,15,0.0,11.0,5,98,05:56 PM,06:37 AM,07:14 AM,06:13 PM,4,17,18,17,14,2,41,0.0,1028,22,10,81,9,Barrancos
2019-01-21,23,12,0.0,11.0,5,100,07:03 PM,07:38 AM,07:14 AM,06:14 PM,10,17,17,17,15,2,67,0.0,1021,23,10,170,8,Barrancos
2019-01-22,26,16,0.0,11.0,6,88,08:10 PM,08:32 AM,07:14 AM,06:15 PM,16,20,20,20,16,16,80,0.0,1013,26,10,186,9,Barrancos
2019-01-23,22,16,0.0,11.0,5,81,09:15 PM,09:23 AM,07:13 AM,06:15 PM,11,19,19,19,20,10,62,0.0,1017,22,10,117,12,Barrancos
2019-01-24,22,12,0.0,11.0,5,73,10:17 PM,10:09 AM,07:13 AM,06:16 PM,7,17,17,17,11,7,54,0.0,1020,22,10,156,8,Barrancos
2019-01-25,18,17,0.0,5.5,4,66,11:17 PM,10:52 AM,07:13 AM,06:17 PM,15,18,18,18,10,100,86,1.4,1022,18,7,307,8,Barrancos
