date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,26,19,0.0,12.8,5,26,02:04 AM,02:41 PM,05:49 AM,06:24 PM,20,23,23,22,7,26,89,11.9,1014,26,8,219,4,Beira+Baixa
2019-01-02,28,19,0.0,10.6,5,19,02:50 AM,03:32 PM,05:50 AM,06:25 PM,20,23,23,22,8,65,90,23.0,1014,28,8,193,4,Beira+Baixa
2019-01-03,27,19,0.0,12.8,5,11,03:37 AM,04:23 PM,05:50 AM,06:25 PM,20,24,24,22,6,65,90,14.7,1013,27,9,222,3,Beira+Baixa
2019-01-04,29,19,0.0,11.9,5,4,04:24 AM,05:14 PM,05:51 AM,06:26 PM,21,24,24,23,6,56,89,17.5,1013,29,6,137,4,Beira+Baixa
2019-01-05,31,19,0.0,12.8,6,0,05:14 AM,06:04 PM,05:51 AM,06:26 PM,20,24,24,23,6,50,84,11.0,1013,31,7,196,4,Beira+Baixa
2019-01-06,26,18,0.0,11.9,5,0,06:03 AM,06:53 PM,05:52 AM,06:26 PM,20,22,22,21,9,62,92,28.0,1014,26,8,205,5,Beira+Baixa
2019-01-07,28,19,0.0,12.8,5,3,06:53 AM,07:41 PM,05:52 AM,06:27 PM,20,23,23,22,8,63,89,16.4,1012,28,8,218,6,Beira+Baixa
2019-01-08,26,20,0.0,8.0,5,10,07:42 AM,08:25 PM,05:53 AM,06:27 PM,21,23,23,22,7,85,92,19.5,1012,26,8,228,4,Beira+Baixa
2019-01-09,27,19,0.0,9.3,5,18,08:29 AM,09:08 PM,05:53 AM,06:27 PM,20,23,23,22,6,78,91,6.2,1012,27,7,248,4,Beira+Baixa
2019-01-10,27,20,0.0,12.7,5,25,09:15 AM,09:49 PM,05:54 AM,06:28 PM,20,23,23,22,7,54,88,9.1,1012,27,7,238,5,Beira+Baixa
2019-01-11,27,19,0.0,12.7,5,32,10:00 AM,10:29 PM,05:54 AM,06:28 PM,21,24,24,22,6,51,90,13.0,1012,27,5,214,4,Beira+Baixa
2019-01-12,27,19,0.0,12.7,5,39,10:45 AM,11:09 PM,05:55 AM,06:28 PM,20,23,23,22,8,60,92,20.4,1012,27,7,204,5,Beira+Baixa
2019-01-13,26,19,0.0,11.9,5,47,11:31 AM,11:49 PM,05:55 AM,06:28 PM,20,21,21,21,7,74,94,4.7,1013,26,6,228,5,Beira+Baixa
2019-01-14,25,19,0.0,10.6,5,54,12:17 PM,No moonset,05:56 AM,06:29 PM,19,21,21,21,5,70,94,5.8,1013,25,6,292,3,Beira+Baixa
2019-01-15,28,19,0.0,12.7,5,61,01:06 PM,12:31 AM,05:56 AM,06:29 PM,19,23,23,22,6,59,87,3.6,1013,28,5,243,4,Beira+Baixa
2019-01-16,27,18,0.0,12.7,5,69,01:57 PM,01:16 AM,05:57 AM,06:29 PM,20,23,23,22,6,51,89,8.2,1013,27,6,213,3,Beira+Baixa
2019-01-17,30,18,0.0,12.7,5,76,02:53 PM,02:04 AM,05:57 AM,06:29 PM,19,23,23,23,6,41,83,4.0,1013,30,7,217,4,Beira+Baixa
2019-01-18,28,19,0.0,12.7,5,83,03:52 PM,02:57 AM,05:58 AM,06:30 PM,20,23,23,22,8,53,86,7.7,1013,28,7,234,5,Beira+Baixa
2019-01-19,25,19,0.0,11.9,5,90,04:54 PM,03:55 AM,05:58 AM,06:30 PM,20,22,22,21,7,73,91,7.5,1014,25,9,242,4,Beira+Baixa
2019-01-20,26,19,0.0,12.7,5,98,05:57 PM,04:57 AM,05:59 AM,06:30 PM,20,23,23,22,6,54,90,16.8,1014,26,6,230,4,Beira+Baixa
2019-01-21,28,20,0.0,12.7,5,100,06:59 PM,06:02 AM,05:59 AM,06:30 PM,20,23,23,22,7,47,90,12.6,1014,28,8,237,4,Beira+Baixa
2019-01-22,26,20,0.0,12.3,5,88,07:57 PM,07:06 AM,06:00 AM,06:30 PM,20,23,23,22,9,47,93,27.5,1013,26,6,220,5,Beira+Baixa
2019-01-23,25,19,0.0,12.3,5,81,08:52 PM,08:07 AM,06:00 AM,06:30 PM,20,22,22,21,8,65,93,13.2,1013,25,6,247,5,Beira+Baixa
2019-01-24,29,18,0.0,12.3,5,73,09:43 PM,09:06 AM,06:00 AM,06:30 PM,18,23,23,22,7,47,82,0.3,1012,29,7,262,5,Beira+Baixa
2019-01-25,30,18,0.0,11.6,7,66,10:31 PM,10:02 AM,06:01 AM,06:30 PM,18,24,24,23,7,17,77,0.2,1012,30,10,248,5,Beira+Baixa
2019-01-26,31,18,0.0,11.6,6,59,11:17 PM,10:56 AM,06:01 AM,06:30 PM,20,24,24,23,7,49,85,6.4,1014,31,8,221,5,Beira+Baixa
2019-01-27,30,20,0.0,11.6,6,51,No moonrise,11:48 AM,06:01 AM,06:30 PM,20,24,24,23,9,53,82,7.8,1013,30,9,214,6,Beira+Baixa
2019-01-28,30,20,0.0,11.6,6,44,12:03 AM,12:38 PM,06:02 AM,06:31 PM,20,24,24,23,7,57,82,3.8,1012,30,6,243,5,Beira+Baixa
2019-01-29,31,20,0.0,11.6,6,37,12:48 AM,01:29 PM,06:02 AM,06:31 PM,20,25,25,24,6,50,80,4.8,1012,31,7,204,4,Beira+Baixa
2019-01-30,26,19,0.0,6.1,5,30,01:35 AM,02:19 PM,06:03 AM,06:31 PM,21,24,24,22,7,79,92,22.0,1012,26,7,203,4,Beira+Baixa
2019-01-31,26,20,0.0,6.1,5,26,02:22 AM,03:10 PM,06:03 AM,06:30 PM,20,23,23,22,5,77,93,18.4,1012,26,7,244,3,Beira+Baixa
2019-02-01,28,19,0.0,6.1,5,8,03:10 AM,04:00 PM,06:03 AM,06:30 PM,20,23,23,22,7,78,89,19.2,1013,28,5,198,4,Beira+Baixa
2019-02-02,28,19,0.0,11.6,5,1,03:59 AM,04:49 PM,06:04 AM,06:30 PM,19,23,23,23,8,60,83,3.4,1013,28,8,211,5,Beira+Baixa
2019-02-03,26,19,0.0,8.9,5,0,04:49 AM,05:37 PM,06:04 AM,06:30 PM,20,22,22,21,9,47,91,13.0,1011,26,8,127,5,Beira+Baixa
2019-02-04,26,18,0.0,11.6,5,0,05:38 AM,06:23 PM,06:04 AM,06:30 PM,20,22,22,22,8,47,91,12.4,1012,26,6,206,5,Beira+Baixa
2019-02-05,29,20,0.0,10.2,5,0,06:25 AM,07:06 PM,06:04 AM,06:30 PM,20,24,24,23,9,74,89,13.4,1012,29,6,253,6,Beira+Baixa
2019-02-06,30,19,0.0,11.6,6,7,07:12 AM,07:48 PM,06:05 AM,06:30 PM,20,24,24,23,4,40,82,5.9,1012,30,9,186,3,Beira+Baixa
2019-02-07,31,19,0.0,11.6,6,14,07:58 AM,08:28 PM,06:05 AM,06:30 PM,19,25,25,24,7,33,78,7.0,1011,31,8,171,5,Beira+Baixa
2019-02-08,33,20,0.0,11.6,6,22,08:43 AM,09:08 PM,06:05 AM,06:30 PM,20,27,27,25,8,29,78,2.5,1010,33,10,231,5,Beira+Baixa
2019-02-09,28,20,0.0,11.6,5,29,09:28 AM,09:48 PM,06:05 AM,06:29 PM,21,25,25,23,7,54,87,13.4,1010,28,9,196,5,Beira+Baixa
2019-02-10,30,20,0.0,11.6,6,37,10:13 AM,10:28 PM,06:06 AM,06:29 PM,19,25,25,24,5,45,78,1.5,1011,30,10,203,3,Beira+Baixa
2019-02-11,33,20,0.0,11.6,7,44,11:00 AM,11:10 PM,06:06 AM,06:29 PM,19,26,26,25,7,33,74,0.2,1010,33,10,173,4,Beira+Baixa
2019-02-12,30,20,0.0,11.6,6,52,11:49 AM,11:56 PM,06:06 AM,06:29 PM,21,25,25,24,8,30,87,17.4,1010,30,9,158,5,Beira+Baixa
2019-02-13,27,19,0.0,7.5,5,60,12:40 PM,No moonset,06:06 AM,06:29 PM,20,23,23,22,7,71,90,7.7,1013,27,7,244,5,Beira+Baixa
2019-02-14,30,19,0.0,11.6,5,67,01:36 PM,12:44 AM,06:06 AM,06:28 PM,21,24,24,23,6,51,89,22.6,1014,30,5,165,3,Beira+Baixa
2019-02-15,32,19,0.0,11.6,6,75,02:34 PM,01:38 AM,06:07 AM,06:28 PM,20,24,24,23,8,51,84,9.9,1014,32,8,133,4,Beira+Baixa
2019-02-16,33,19,0.0,11.6,6,82,03:36 PM,02:36 AM,06:07 AM,06:28 PM,20,25,25,24,7,58,83,2.8,1013,33,6,221,4,Beira+Baixa
2019-02-17,29,20,0.0,11.6,5,90,04:37 PM,03:39 AM,06:07 AM,06:28 PM,21,24,24,23,8,47,89,25.1,1013,29,4,212,4,Beira+Baixa
2019-02-18,31,20,0.0,11.6,6,97,05:37 PM,04:42 AM,06:07 AM,06:27 PM,19,24,24,23,7,29,80,3.4,1012,31,9,214,4,Beira+Baixa
2019-02-19,30,19,0.0,11.6,5,100,06:34 PM,05:46 AM,06:07 AM,06:27 PM,20,24,24,23,6,44,86,14.7,1011,30,6,179,4,Beira+Baixa
2019-02-20,28,19,0.0,11.6,5,88,07:28 PM,06:47 AM,06:07 AM,06:27 PM,20,24,24,23,6,41,86,5.1,1011,28,10,180,4,Beira+Baixa
2019-02-21,27,19,0.0,7.5,5,80,08:19 PM,07:46 AM,06:07 AM,06:26 PM,20,22,22,22,10,73,91,20.2,1014,27,6,203,6,Beira+Baixa
2019-02-22,24,19,0.0,6.1,5,73,09:08 PM,08:42 AM,06:07 AM,06:26 PM,19,20,21,20,9,92,94,31.8,1016,24,6,246,6,Beira+Baixa
2019-02-23,28,18,0.0,11.6,5,65,09:56 PM,09:37 AM,06:08 AM,06:26 PM,18,23,23,22,10,67,82,1.1,1013,28,8,157,6,Beira+Baixa
2019-02-24,31,18,0.0,11.6,6,57,10:43 PM,10:30 AM,06:08 AM,06:25 PM,19,24,24,23,8,22,82,8.4,1011,31,6,184,5,Beira+Baixa
2019-02-25,33,19,0.0,11.6,6,50,11:30 PM,11:23 AM,06:08 AM,06:25 PM,20,25,25,24,7,50,81,0.0,1010,33,5,210,4,Beira+Baixa
2019-02-26,29,20,0.0,11.6,5,42,No moonrise,12:15 PM,06:08 AM,06:25 PM,20,25,25,23,7,48,87,8.1,1011,29,7,215,4,Beira+Baixa
2019-02-27,27,20,0.0,10.2,5,35,12:18 AM,01:06 PM,06:08 AM,06:24 PM,21,24,24,23,9,63,89,22.2,1012,27,8,229,5,Beira+Baixa
2019-02-28,27,19,0.0,10.2,5,27,01:07 AM,01:57 PM,06:08 AM,06:24 PM,20,23,23,22,8,69,87,7.1,1013,27,7,244,5,Beira+Baixa
2019-03-01,28,19,0.0,10.2,5,26,01:56 AM,02:46 PM,06:08 AM,06:23 PM,20,23,23,22,7,59,90,16.7,1013,28,7,259,4,Beira+Baixa
2019-03-02,29,18,0.0,11.6,5,19,02:45 AM,03:35 PM,06:08 AM,06:23 PM,20,23,23,22,8,66,88,9.3,1014,29,4,216,5,Beira+Baixa
2019-03-03,28,20,0.0,11.6,5,12,03:34 AM,04:20 PM,06:08 AM,06:22 PM,20,24,24,23,8,59,85,4.3,1014,28,6,220,5,Beira+Baixa
2019-03-04,29,19,0.0,11.6,5,4,04:22 AM,05:05 PM,06:08 AM,06:22 PM,20,23,23,22,6,61,88,13.6,1012,29,6,236,4,Beira+Baixa
2019-03-05,27,19,0.0,8.8,5,0,05:10 AM,05:47 PM,06:08 AM,06:22 PM,18,21,22,21,4,63,88,5.8,1014,27,9,176,2,Beira+Baixa
2019-03-06,30,18,0.0,11.6,7,0,05:56 AM,06:28 PM,06:08 AM,06:21 PM,18,24,24,23,8,26,76,0.0,1014,30,8,212,5,Beira+Baixa
2019-03-07,30,18,0.0,11.6,6,3,06:41 AM,07:08 PM,06:08 AM,06:21 PM,19,24,24,23,9,34,79,0.3,1013,30,8,223,6,Beira+Baixa
2019-03-08,30,20,0.0,11.6,6,10,07:26 AM,07:48 PM,06:08 AM,06:20 PM,19,24,24,23,7,57,82,6.5,1012,30,9,186,5,Beira+Baixa
2019-03-09,30,19,0.0,11.6,5,17,08:11 AM,08:27 PM,06:08 AM,06:20 PM,20,23,23,22,7,54,88,14.2,1013,30,5,192,4,Beira+Baixa
2019-03-10,32,18,0.0,10.2,7,24,08:57 AM,09:09 PM,06:08 AM,06:19 PM,18,25,25,24,9,28,74,0.0,1012,32,8,197,5,Beira+Baixa
2019-03-11,31,19,0.0,11.6,6,32,09:45 AM,09:53 PM,06:08 AM,06:19 PM,19,25,25,24,9,27,78,4.8,1012,31,9,213,5,Beira+Baixa
2019-03-12,32,19,0.0,10.2,6,39,10:35 AM,10:39 PM,06:08 AM,06:18 PM,20,25,25,24,7,48,80,11.6,1012,32,8,125,4,Beira+Baixa
2019-03-13,32,19,0.0,11.6,6,46,11:28 AM,11:30 PM,06:08 AM,06:18 PM,19,24,24,23,9,44,79,9.3,1012,32,7,213,5,Beira+Baixa
2019-03-14,31,19,0.0,11.6,7,54,12:24 PM,No moonset,06:08 AM,06:17 PM,19,26,26,24,9,25,75,0.1,1011,31,9,98,5,Beira+Baixa
2019-03-15,32,19,0.0,11.6,7,61,01:22 PM,12:24 AM,06:08 AM,06:17 PM,19,26,26,25,9,38,73,0.7,1011,32,9,146,5,Beira+Baixa
2019-03-16,33,20,0.0,10.2,6,68,02:21 PM,01:23 AM,06:08 AM,06:16 PM,19,26,26,25,10,49,76,18.7,1011,33,8,225,6,Beira+Baixa
2019-03-17,30,20,0.0,11.6,6,75,03:20 PM,02:23 AM,06:08 AM,06:16 PM,19,25,25,24,8,40,79,26.5,1011,30,9,244,5,Beira+Baixa
2019-03-18,32,19,0.0,11.6,6,83,04:17 PM,03:25 AM,06:08 AM,06:15 PM,20,25,25,24,9,33,81,5.4,1011,32,6,171,5,Beira+Baixa
2019-03-19,31,19,0.0,11.6,6,90,05:12 PM,04:26 AM,06:08 AM,06:15 PM,20,25,25,24,10,44,81,10.1,1011,31,10,179,5,Beira+Baixa
2019-03-20,29,19,0.0,10.2,5,97,06:04 PM,05:26 AM,06:07 AM,06:14 PM,20,24,24,23,8,59,88,14.2,1011,29,6,203,5,Beira+Baixa
2019-03-21,32,19,0.0,11.6,6,100,06:54 PM,06:24 AM,06:07 AM,06:14 PM,18,26,26,24,10,26,72,2.2,1010,32,9,108,6,Beira+Baixa
2019-03-22,33,19,0.0,11.6,6,88,07:43 PM,07:20 AM,06:07 AM,06:13 PM,19,26,26,25,7,28,76,9.8,1010,33,9,109,4,Beira+Baixa
2019-03-23,28,20,0.0,10.2,6,81,08:31 PM,08:15 AM,06:07 AM,06:13 PM,20,25,25,24,8,52,84,19.2,1011,28,7,199,4,Beira+Baixa
2019-03-24,29,21,0.0,10.2,6,74,09:20 PM,09:10 AM,06:07 AM,06:12 PM,21,25,25,24,6,67,87,11.6,1011,29,7,221,4,Beira+Baixa
2019-03-25,29,19,0.0,11.6,5,66,10:10 PM,10:04 AM,06:07 AM,06:12 PM,20,24,24,23,8,46,86,15.5,1012,29,7,220,5,Beira+Baixa
2019-03-26,26,19,0.0,10.2,5,59,11:00 PM,10:58 AM,06:07 AM,06:11 PM,20,23,23,22,8,71,92,9.7,1013,26,6,219,5,Beira+Baixa
2019-03-27,32,20,0.0,11.6,7,52,11:50 PM,11:50 AM,06:07 AM,06:11 PM,18,26,26,25,10,32,71,0.0,1013,32,9,101,6,Beira+Baixa
2019-03-28,32,20,0.0,11.6,7,45,No moonrise,12:41 PM,06:07 AM,06:10 PM,18,26,26,25,8,13,70,0.8,1013,32,10,79,5,Beira+Baixa
2019-03-29,29,20,0.0,11.6,6,37,12:40 AM,01:31 PM,06:07 AM,06:09 PM,20,25,25,23,8,44,82,5.2,1013,29,7,170,5,Beira+Baixa
2019-03-30,32,20,0.0,11.6,6,30,01:30 AM,02:17 PM,06:07 AM,06:09 PM,20,26,26,25,8,48,76,5.7,1011,32,9,161,5,Beira+Baixa
2019-03-31,32,20,0.0,11.6,6,26,02:18 AM,03:02 PM,06:07 AM,06:08 PM,20,25,25,24,8,40,81,16.0,1012,32,9,186,5,Beira+Baixa
2019-04-01,35,20,0.0,11.6,7,9,03:06 AM,03:45 PM,06:07 AM,06:08 PM,19,27,27,26,8,33,71,0.0,1011,35,10,143,4,Beira+Baixa
2019-04-02,32,20,0.0,11.6,6,1,03:52 AM,04:26 PM,06:07 AM,06:07 PM,19,28,28,26,9,27,69,0.6,1010,32,10,108,5,Beira+Baixa
2019-04-03,33,20,0.0,11.6,7,0,04:37 AM,05:07 PM,06:06 AM,06:07 PM,19,27,27,25,6,32,72,2.3,1010,33,10,113,4,Beira+Baixa
2019-04-04,33,21,0.0,11.6,6,0,05:23 AM,05:47 PM,06:06 AM,06:06 PM,20,27,27,25,9,29,76,4.6,1009,33,9,166,5,Beira+Baixa
2019-04-05,28,20,0.0,11.6,5,0,06:08 AM,06:26 PM,06:06 AM,06:06 PM,20,25,25,23,9,36,83,10.4,1010,28,9,109,5,Beira+Baixa
2019-04-06,35,19,0.0,11.6,7,6,06:55 AM,07:08 PM,06:06 AM,06:05 PM,19,26,26,25,10,39,76,5.9,1011,35,9,189,6,Beira+Baixa
2019-04-07,24,20,0.0,8.8,5,14,07:43 AM,07:52 PM,06:06 AM,06:05 PM,21,21,23,21,8,71,95,19.2,1013,24,7,225,4,Beira+Baixa
2019-04-08,31,19,0.0,11.6,6,21,08:32 AM,08:37 PM,06:06 AM,06:04 PM,19,25,25,24,7,40,77,0.7,1013,31,8,189,4,Beira+Baixa
2019-04-09,34,19,0.0,11.6,6,29,09:25 AM,09:27 PM,06:06 AM,06:04 PM,19,26,26,25,9,47,76,0.3,1011,34,7,143,6,Beira+Baixa
2019-04-10,33,20,0.0,11.6,6,36,10:19 AM,10:20 PM,06:06 AM,06:04 PM,20,26,26,24,7,49,80,6.0,1010,33,6,223,4,Beira+Baixa
2019-04-11,25,20,0.0,8.8,5,44,11:16 AM,11:16 PM,06:06 AM,06:03 PM,21,24,24,22,10,77,91,20.2,1011,25,7,200,6,Beira+Baixa
2019-04-12,31,19,0.0,10.2,6,52,12:13 PM,No moonset,06:06 AM,06:03 PM,19,25,25,24,7,59,80,0.1,1011,31,6,219,4,Beira+Baixa
2019-04-13,32,20,0.0,11.6,6,59,01:11 PM,12:14 AM,06:06 AM,06:02 PM,20,26,26,24,8,50,83,20.6,1011,32,4,210,5,Beira+Baixa
2019-04-14,30,21,0.0,11.6,6,67,02:06 PM,01:14 AM,06:06 AM,06:02 PM,21,26,26,24,7,54,83,5.0,1011,30,8,231,4,Beira+Baixa
2019-04-15,28,20,0.0,7.4,5,74,03:00 PM,02:13 AM,06:06 AM,06:01 PM,21,24,24,23,7,72,89,24.5,1012,28,7,253,4,Beira+Baixa
2019-04-16,29,20,0.0,10.2,5,82,03:52 PM,03:11 AM,06:06 AM,06:01 PM,21,25,25,23,6,42,87,19.4,1012,29,7,213,3,Beira+Baixa
2019-04-17,32,19,0.0,11.6,6,89,04:41 PM,04:08 AM,06:06 AM,06:00 PM,20,25,25,24,7,37,81,2.4,1012,32,9,188,4,Beira+Baixa
2019-04-18,30,20,0.0,11.6,7,97,05:30 PM,05:04 AM,06:06 AM,06:00 PM,19,26,26,24,10,30,77,0.7,1011,30,8,99,5,Beira+Baixa
2019-04-19,32,20,0.0,11.6,6,100,06:18 PM,05:59 AM,06:06 AM,06:00 PM,19,26,26,25,8,25,76,1.5,1011,32,10,125,5,Beira+Baixa
2019-04-20,32,20,0.0,8.7,6,88,07:08 PM,06:54 AM,06:06 AM,05:59 PM,19,27,27,25,8,35,73,3.7,1011,32,10,139,5,Beira+Baixa
