date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,30,23,0.0,12.6,6,26,02:12 AM,02:43 PM,05:51 AM,06:13 PM,24,29,29,25,7,45,92,12.1,1011,30,7,104,4,Borba
2019-01-02,31,23,0.0,12.6,6,19,02:58 AM,03:32 PM,05:51 AM,06:13 PM,23,29,29,26,7,39,86,4.4,1011,31,7,84,4,Borba
2019-01-03,29,23,0.0,12.6,6,11,03:46 AM,04:22 PM,05:52 AM,06:14 PM,24,29,29,26,7,41,90,15.4,1011,29,7,84,4,Borba
2019-01-04,32,23,0.0,12.6,6,4,04:35 AM,05:13 PM,05:52 AM,06:14 PM,24,30,30,27,6,36,86,11.7,1011,32,9,119,3,Borba
2019-01-05,31,23,0.0,12.6,6,0,05:25 AM,06:03 PM,05:53 AM,06:15 PM,24,30,30,26,5,43,86,12.3,1012,31,8,93,3,Borba
2019-01-06,30,23,0.0,12.6,6,0,06:14 AM,06:52 PM,05:53 AM,06:15 PM,24,29,29,26,6,51,88,23.0,1011,30,8,130,3,Borba
2019-01-07,28,23,0.0,12.6,6,3,07:04 AM,07:39 PM,05:54 AM,06:15 PM,24,29,29,25,7,59,94,15.6,1011,28,6,76,4,Borba
2019-01-08,29,23,0.0,11.9,6,10,07:51 AM,08:24 PM,05:54 AM,06:16 PM,24,28,28,25,8,65,91,18.9,1012,29,7,87,4,Borba
2019-01-09,30,22,0.0,12.6,6,18,08:37 AM,09:08 PM,05:55 AM,06:16 PM,23,28,28,25,7,63,90,15.2,1011,30,5,77,5,Borba
2019-01-10,25,22,0.0,9.2,5,25,09:23 AM,09:50 PM,05:55 AM,06:16 PM,23,26,26,23,7,78,97,13.4,1012,25,6,121,4,Borba
2019-01-11,30,22,0.0,12.6,6,32,10:07 AM,10:31 PM,05:56 AM,06:17 PM,22,28,28,25,8,61,86,0.6,1012,30,5,91,5,Borba
2019-01-12,32,23,0.0,12.6,6,39,10:50 AM,11:12 PM,05:56 AM,06:17 PM,22,29,29,26,9,46,80,0.4,1011,32,7,69,6,Borba
2019-01-13,30,23,0.0,12.6,6,47,11:35 AM,11:54 PM,05:57 AM,06:17 PM,23,29,29,25,7,44,89,25.9,1012,30,7,66,4,Borba
2019-01-14,30,23,0.0,11.9,6,54,12:20 PM,No moonset,05:57 AM,06:18 PM,23,28,28,25,4,55,86,18.8,1012,30,8,115,3,Borba
2019-01-15,32,22,0.0,12.6,6,61,01:08 PM,12:37 AM,05:57 AM,06:18 PM,23,30,30,26,9,30,82,3.2,1011,32,9,85,6,Borba
2019-01-16,33,23,0.0,12.6,6,69,01:59 PM,01:24 AM,05:58 AM,06:18 PM,23,30,30,26,9,37,86,20.7,1012,33,6,88,5,Borba
2019-01-17,31,23,0.0,12.6,6,76,02:54 PM,02:14 AM,05:58 AM,06:19 PM,24,30,30,26,6,47,87,11.3,1012,31,7,106,3,Borba
2019-01-18,31,23,0.0,12.6,6,83,03:54 PM,03:09 AM,05:59 AM,06:19 PM,23,30,30,26,6,45,85,13.8,1011,31,8,88,3,Borba
2019-01-19,30,23,0.0,12.6,6,90,04:56 PM,04:09 AM,05:59 AM,06:19 PM,24,29,29,26,3,58,91,37.0,1012,30,5,129,2,Borba
2019-01-20,32,23,0.0,12.6,6,98,05:59 PM,05:12 AM,05:59 AM,06:19 PM,23,30,30,27,6,44,84,7.5,1011,32,7,105,4,Borba
2019-01-21,28,23,0.0,12.2,6,100,07:01 PM,06:15 AM,06:00 AM,06:19 PM,24,30,30,26,7,40,94,43.5,1012,28,7,64,4,Borba
2019-01-22,32,24,0.0,12.2,6,88,07:59 PM,07:18 AM,06:00 AM,06:20 PM,24,30,30,26,6,49,88,35.6,1012,32,8,130,3,Borba
2019-01-23,28,23,0.0,12.2,6,81,08:55 PM,08:18 AM,06:00 AM,06:20 PM,24,29,29,25,7,54,94,20.8,1012,28,7,97,4,Borba
2019-01-24,29,23,0.0,11.6,6,73,09:47 PM,09:15 AM,06:01 AM,06:20 PM,24,29,29,25,7,58,93,31.3,1012,29,8,95,4,Borba
2019-01-25,30,23,0.0,10.2,6,66,10:35 PM,10:09 AM,06:01 AM,06:20 PM,23,28,28,25,7,58,87,14.6,1012,30,9,85,5,Borba
2019-01-26,33,23,0.0,11.6,6,59,11:23 PM,11:00 AM,06:01 AM,06:20 PM,23,30,30,27,7,41,80,7.5,1011,33,7,105,4,Borba
2019-01-27,32,23,0.0,11.6,6,51,No moonrise,11:51 AM,06:02 AM,06:20 PM,23,30,30,26,9,35,84,10.6,1010,32,8,87,5,Borba
2019-01-28,31,22,0.0,11.6,6,44,12:10 AM,12:40 PM,06:02 AM,06:20 PM,23,30,30,26,8,44,84,5.5,1010,31,7,84,5,Borba
2019-01-29,32,23,0.0,8.8,6,37,12:57 AM,01:30 PM,06:02 AM,06:20 PM,23,31,31,27,9,51,79,5.6,1010,32,8,92,6,Borba
2019-01-30,29,23,0.0,7.5,6,30,01:44 AM,02:19 PM,06:02 AM,06:21 PM,24,30,30,26,8,79,90,13.7,1010,29,7,107,5,Borba
2019-01-31,33,24,0.0,7.5,6,26,02:32 AM,03:10 PM,06:03 AM,06:21 PM,23,31,31,28,9,62,80,9.8,1010,33,8,89,5,Borba
2019-02-01,31,24,0.0,6.1,6,8,03:22 AM,03:59 PM,06:03 AM,06:21 PM,24,30,30,26,8,58,86,21.2,1010,31,8,92,5,Borba
2019-02-02,30,23,0.0,8.8,6,1,04:11 AM,04:48 PM,06:03 AM,06:21 PM,24,30,30,26,8,64,88,6.4,1011,30,6,96,5,Borba
2019-02-03,29,24,0.0,11.6,6,0,05:00 AM,05:36 PM,06:03 AM,06:21 PM,24,30,30,26,7,42,89,18.7,1011,29,9,88,4,Borba
2019-02-04,32,23,0.0,11.6,6,0,05:48 AM,06:22 PM,06:04 AM,06:21 PM,24,30,30,26,9,39,88,23.1,1010,32,6,66,5,Borba
