date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,16,8,0.0,5.3,3,26,03:26 AM,02:24 PM,07:56 AM,05:24 PM,2,10,11,10,14,37,56,0.0,1032,16,10,108,7,Cadaval
2019-01-02,15,9,0.0,8.7,4,19,04:28 AM,02:59 PM,07:56 AM,05:25 PM,7,10,11,10,18,1,77,0.0,1030,15,10,176,10,Cadaval
2019-01-03,16,6,0.0,8.7,4,11,05:29 AM,03:38 PM,07:56 AM,05:26 PM,4,9,10,9,13,0,69,0.0,1027,16,10,88,8,Cadaval
2019-01-04,15,6,0.0,8.7,4,4,06:26 AM,04:21 PM,07:56 AM,05:27 PM,4,8,9,8,18,7,73,0.0,1030,15,10,105,10,Cadaval
2019-01-05,17,7,0.0,8.7,4,0,07:21 AM,05:09 PM,07:56 AM,05:28 PM,3,10,10,10,14,1,63,0.0,1033,17,10,71,8,Cadaval
2019-01-06,17,9,0.0,8.7,4,0,08:10 AM,06:00 PM,07:56 AM,05:28 PM,3,11,11,11,11,0,59,0.0,1032,17,10,94,6,Cadaval
2019-01-07,18,8,0.0,8.7,4,3,08:54 AM,06:54 PM,07:56 AM,05:29 PM,1,10,11,10,14,0,50,0.0,1030,18,10,52,7,Cadaval
2019-01-08,19,8,0.0,8.7,4,10,09:34 AM,07:50 PM,07:56 AM,05:30 PM,1,11,12,11,15,1,50,0.0,1029,19,10,81,8,Cadaval
2019-01-09,18,9,0.0,8.7,4,18,10:08 AM,08:46 PM,07:56 AM,05:31 PM,5,12,12,12,11,2,63,0.0,1023,18,10,136,6,Cadaval
2019-01-10,16,8,0.0,8.7,4,25,10:40 AM,09:44 PM,07:56 AM,05:32 PM,4,10,11,10,21,1,66,0.0,1020,16,10,94,12,Cadaval
2019-01-11,13,6,0.0,8.7,3,32,11:09 AM,10:40 PM,07:56 AM,05:33 PM,-2,7,9,7,27,0,47,0.0,1026,13,10,78,15,Cadaval
2019-01-12,15,5,0.0,8.7,3,39,11:37 AM,11:38 PM,07:56 AM,05:34 PM,2,8,9,8,19,0,62,0.0,1030,15,10,63,10,Cadaval
2019-01-13,15,7,0.0,8.7,4,47,12:04 PM,No moonset,07:55 AM,05:35 PM,4,9,10,9,14,1,68,0.0,1029,15,10,64,8,Cadaval
2019-01-14,15,8,0.0,8.7,4,54,12:32 PM,12:37 AM,07:55 AM,05:36 PM,6,10,10,10,9,11,73,0.0,1025,15,10,167,5,Cadaval
2019-01-15,15,8,0.0,8.7,4,61,01:02 PM,01:38 AM,07:55 AM,05:38 PM,6,10,10,10,8,40,76,0.0,1021,15,10,181,5,Cadaval
2019-01-16,13,8,0.0,3.7,3,69,01:37 PM,02:41 AM,07:54 AM,05:39 PM,8,9,10,9,13,73,87,1.2,1019,13,10,236,8,Cadaval
2019-01-17,13,8,0.0,8.7,3,76,02:16 PM,03:47 AM,07:54 AM,05:40 PM,6,7,10,7,32,18,76,0.2,1021,13,10,49,21,Cadaval
2019-01-18,13,7,0.0,5.4,2,83,03:04 PM,04:55 AM,07:53 AM,05:41 PM,6,8,9,8,17,52,81,2.9,1021,13,9,167,10,Cadaval
2019-01-19,14,10,0.0,3.7,3,90,04:00 PM,06:02 AM,07:53 AM,05:42 PM,11,11,12,11,29,85,92,6.8,1016,14,9,259,18,Cadaval
2019-01-20,14,11,0.0,8.7,4,98,05:04 PM,07:06 AM,07:52 AM,05:43 PM,8,9,12,9,45,34,76,1.0,1019,14,10,346,30,Cadaval
2019-01-21,13,9,0.0,8.7,4,100,06:15 PM,08:04 AM,07:52 AM,05:44 PM,6,8,10,8,33,10,75,0.0,1024,13,10,178,21,Cadaval
