date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,30,23,0.0,12.6,6,26,02:09 AM,02:39 PM,05:51 AM,06:11 PM,24,29,29,26,8,51,89,17.7,1012,30,9,35,5,Cantanhede
2019-01-02,32,23,0.0,11.8,6,19,02:56 AM,03:29 PM,05:52 AM,06:11 PM,23,31,31,27,12,46,82,13.1,1012,32,8,51,7,Cantanhede
2019-01-03,32,24,0.0,12.6,6,11,03:45 AM,04:18 PM,05:52 AM,06:12 PM,23,31,31,27,13,31,83,9.7,1011,32,9,47,8,Cantanhede
2019-01-04,33,23,0.0,11.8,6,4,04:33 AM,05:09 PM,05:53 AM,06:12 PM,23,31,31,27,12,43,81,14.9,1011,33,9,47,7,Cantanhede
2019-01-05,30,24,0.0,12.6,6,0,05:23 AM,05:59 PM,05:53 AM,06:13 PM,24,30,30,26,12,26,88,25.1,1011,30,8,46,7,Cantanhede
2019-01-06,31,23,0.0,12.6,6,0,06:13 AM,06:48 PM,05:54 AM,06:13 PM,23,29,29,26,9,46,88,23.1,1011,31,7,61,6,Cantanhede
2019-01-07,29,23,0.0,9.2,6,3,07:02 AM,07:35 PM,05:54 AM,06:13 PM,23,28,28,25,5,78,91,8.0,1012,29,8,142,3,Cantanhede
2019-01-08,31,23,0.0,10.5,6,10,07:50 AM,08:21 PM,05:55 AM,06:14 PM,23,29,29,26,5,74,86,3.4,1012,31,7,121,3,Cantanhede
2019-01-09,28,23,0.0,10.5,6,18,08:36 AM,09:05 PM,05:55 AM,06:14 PM,24,28,28,25,6,70,94,29.0,1011,28,6,152,3,Cantanhede
2019-01-10,29,22,0.0,12.6,6,25,09:21 AM,09:47 PM,05:56 AM,06:14 PM,23,29,29,25,9,49,91,37.7,1011,29,6,68,5,Cantanhede
2019-01-11,30,22,0.0,11.8,6,32,10:04 AM,10:28 PM,05:56 AM,06:15 PM,23,29,29,25,5,48,89,9.4,1012,30,6,159,3,Cantanhede
2019-01-12,29,23,0.0,12.6,6,39,10:48 AM,11:09 PM,05:56 AM,06:15 PM,23,28,28,25,7,69,91,10.8,1012,29,8,181,4,Cantanhede
2019-01-13,29,23,0.0,11.8,6,47,11:32 AM,11:51 PM,05:57 AM,06:15 PM,24,29,29,25,7,71,91,27.7,1012,29,6,76,4,Cantanhede
2019-01-14,29,23,0.0,12.6,6,54,12:17 PM,No moonset,05:57 AM,06:16 PM,24,29,29,25,7,51,93,19.9,1012,29,7,42,4,Cantanhede
2019-01-15,31,23,0.0,12.6,6,61,01:05 PM,12:35 AM,05:58 AM,06:16 PM,24,29,29,26,6,53,88,29.0,1013,31,7,74,4,Cantanhede
2019-01-16,32,23,0.0,11.8,6,69,01:55 PM,01:22 AM,05:58 AM,06:16 PM,23,30,30,26,7,66,87,8.1,1013,32,7,81,4,Cantanhede
2019-01-17,29,23,0.0,10.5,6,76,02:50 PM,02:12 AM,05:59 AM,06:17 PM,24,29,29,26,8,70,92,18.9,1013,29,6,43,5,Cantanhede
2019-01-18,29,23,0.0,12.6,6,83,03:49 PM,03:07 AM,05:59 AM,06:17 PM,24,29,29,26,9,55,91,22.6,1012,29,6,32,5,Cantanhede
2019-01-19,29,22,0.0,12.6,6,90,04:51 PM,04:07 AM,05:59 AM,06:17 PM,24,30,30,26,8,50,90,25.3,1012,29,5,51,5,Cantanhede
2019-01-20,30,23,0.0,12.2,6,98,05:54 PM,05:09 AM,06:00 AM,06:17 PM,24,30,30,26,8,55,91,4.9,1012,30,5,46,5,Cantanhede
2019-01-21,30,23,0.0,12.2,6,100,06:56 PM,06:13 AM,06:00 AM,06:18 PM,24,30,30,26,9,45,92,21.7,1012,30,5,63,5,Cantanhede
2019-01-22,28,23,0.0,12.2,6,88,07:56 PM,07:16 AM,06:00 AM,06:18 PM,24,30,30,26,9,54,93,18.8,1012,28,6,38,5,Cantanhede
2019-01-23,32,23,0.0,11.6,6,81,08:51 PM,08:16 AM,06:01 AM,06:18 PM,24,30,30,26,7,39,87,5.7,1012,32,9,30,5,Cantanhede
2019-01-24,31,23,0.0,11.6,6,73,09:43 PM,09:12 AM,06:01 AM,06:18 PM,24,30,30,26,7,63,89,8.9,1012,31,5,49,4,Cantanhede
2019-01-25,29,23,0.0,11.6,6,66,10:33 PM,10:06 AM,06:01 AM,06:18 PM,24,29,29,26,7,60,92,18.3,1012,29,7,32,5,Cantanhede
2019-01-26,30,23,0.0,10.2,6,59,11:21 PM,10:57 AM,06:02 AM,06:18 PM,23,28,28,25,7,61,90,27.6,1013,30,8,82,4,Cantanhede
2019-01-27,30,23,0.0,11.6,6,51,No moonrise,11:47 AM,06:02 AM,06:19 PM,23,28,28,25,8,56,91,12.6,1012,30,9,74,5,Cantanhede
2019-01-28,32,23,0.0,10.2,6,44,12:08 AM,12:36 PM,06:02 AM,06:19 PM,23,30,30,26,9,43,87,11.2,1012,32,7,55,6,Cantanhede
2019-01-29,33,23,0.0,10.2,6,37,12:55 AM,01:26 PM,06:02 AM,06:19 PM,23,31,31,28,8,56,85,3.3,1011,33,7,61,5,Cantanhede
2019-01-30,31,23,0.0,7.5,6,30,01:43 AM,02:15 PM,06:03 AM,06:19 PM,24,30,30,26,8,75,90,14.0,1011,31,6,90,5,Cantanhede
2019-01-31,31,23,0.0,7.5,6,26,02:30 AM,03:06 PM,06:03 AM,06:19 PM,24,30,30,26,8,74,91,16.4,1011,31,9,39,5,Cantanhede
2019-02-01,28,23,0.0,7.5,6,8,03:20 AM,03:55 PM,06:03 AM,06:19 PM,24,29,29,25,8,81,95,15.4,1012,28,6,34,5,Cantanhede
2019-02-02,30,23,0.0,7.5,6,1,04:09 AM,04:44 PM,06:03 AM,06:19 PM,24,29,29,25,7,79,92,9.2,1012,30,7,76,4,Cantanhede
2019-02-03,30,23,0.0,10.2,6,0,04:58 AM,05:32 PM,06:03 AM,06:19 PM,24,29,29,26,8,73,88,8.7,1011,30,6,42,5,Cantanhede
2019-02-04,30,23,0.0,10.2,6,0,05:46 AM,06:18 PM,06:04 AM,06:19 PM,24,30,30,26,8,58,90,8.2,1011,30,7,43,5,Cantanhede
2019-02-05,32,23,0.0,11.6,6,0,06:33 AM,07:02 PM,06:04 AM,06:19 PM,25,31,31,26,8,48,91,19.0,1011,32,7,39,5,Cantanhede
2019-02-06,30,24,0.0,10.2,6,7,07:18 AM,07:45 PM,06:04 AM,06:19 PM,25,30,30,26,6,50,93,28.5,1010,30,5,50,4,Cantanhede
2019-02-07,29,23,0.0,10.2,6,14,08:02 AM,08:27 PM,06:04 AM,06:19 PM,25,30,30,26,7,64,93,11.4,1009,29,7,41,4,Cantanhede
2019-02-08,28,24,0.0,10.2,6,22,08:46 AM,09:08 PM,06:04 AM,06:19 PM,24,29,29,25,6,78,95,14.9,1009,28,5,58,4,Cantanhede
2019-02-09,31,23,0.0,11.6,6,29,09:29 AM,09:49 PM,06:04 AM,06:19 PM,24,30,30,26,9,51,89,1.5,1009,31,6,57,6,Cantanhede
2019-02-10,31,23,0.0,10.2,6,37,10:13 AM,10:31 PM,06:05 AM,06:19 PM,24,30,30,26,8,44,89,11.8,1010,31,8,45,5,Cantanhede
2019-02-11,29,23,0.0,11.6,6,44,10:59 AM,11:15 PM,06:05 AM,06:19 PM,25,30,30,26,7,36,93,22.3,1011,29,8,52,4,Cantanhede
2019-02-12,29,24,0.0,11.6,6,52,11:47 AM,No moonset,06:05 AM,06:19 PM,25,30,30,26,9,41,93,17.4,1011,29,9,37,5,Cantanhede
2019-02-13,29,24,0.0,11.6,6,60,12:37 PM,12:02 AM,06:05 AM,06:18 PM,24,29,29,26,7,44,93,27.2,1012,29,7,36,5,Cantanhede
2019-02-14,28,23,0.0,10.2,6,67,01:33 PM,12:53 AM,06:05 AM,06:18 PM,24,29,29,25,6,53,94,20.3,1012,28,8,61,4,Cantanhede
2019-02-15,30,23,0.0,10.2,6,75,02:31 PM,01:49 AM,06:05 AM,06:18 PM,24,30,30,26,6,69,91,5.1,1012,30,7,103,4,Cantanhede
2019-02-16,29,23,0.0,11.6,6,82,03:32 PM,02:48 AM,06:05 AM,06:18 PM,24,29,29,25,8,57,95,27.1,1011,29,5,95,5,Cantanhede
2019-02-17,30,24,0.0,10.2,6,90,04:34 PM,03:50 AM,06:05 AM,06:18 PM,25,30,30,26,8,63,94,40.9,1012,30,7,70,4,Cantanhede
2019-02-18,30,24,0.0,8.8,6,97,05:35 PM,04:53 AM,06:05 AM,06:18 PM,25,30,30,26,7,65,94,40.5,1012,30,7,103,4,Cantanhede
2019-02-19,28,24,0.0,10.2,6,100,06:33 PM,05:55 AM,06:05 AM,06:17 PM,24,29,29,25,6,68,94,11.6,1012,28,6,284,4,Cantanhede
2019-02-20,34,23,0.0,11.6,6,88,07:28 PM,06:54 AM,06:05 AM,06:17 PM,24,31,31,26,5,49,90,11.6,1011,34,6,79,3,Cantanhede
