date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,17,11,0.0,8.7,4,26,03:27 AM,02:26 PM,07:56 AM,05:27 PM,6,14,14,14,15,8,57,0.0,1032,17,10,133,11,Cascais
2019-01-02,16,13,0.0,8.7,4,19,04:28 AM,03:02 PM,07:56 AM,05:28 PM,9,13,14,13,23,4,72,0.0,1030,16,10,176,15,Cascais
2019-01-03,17,10,0.0,8.7,4,11,05:29 AM,03:41 PM,07:56 AM,05:29 PM,8,13,14,13,12,0,68,0.0,1027,17,10,142,9,Cascais
2019-01-04,15,10,0.0,8.7,4,4,06:26 AM,04:24 PM,07:56 AM,05:29 PM,8,11,12,11,17,23,76,0.0,1029,15,10,90,13,Cascais
2019-01-05,17,10,0.0,8.7,4,0,07:21 AM,05:12 PM,07:56 AM,05:30 PM,6,12,13,12,16,1,63,0.0,1033,17,10,59,12,Cascais
2019-01-06,18,12,0.0,8.7,4,0,08:10 AM,06:03 PM,07:56 AM,05:31 PM,5,14,14,14,12,0,55,0.0,1032,18,10,167,10,Cascais
2019-01-07,18,11,0.0,8.7,4,3,08:54 AM,06:57 PM,07:56 AM,05:32 PM,4,13,14,13,17,0,52,0.0,1029,18,10,39,12,Cascais
2019-01-08,19,11,0.0,8.7,4,10,09:34 AM,07:53 PM,07:56 AM,05:33 PM,4,14,15,14,19,0,49,0.0,1029,19,10,104,13,Cascais
2019-01-09,18,13,0.0,8.7,5,18,10:09 AM,08:49 PM,07:56 AM,05:34 PM,7,15,15,15,12,3,58,0.0,1023,18,10,120,9,Cascais
2019-01-10,16,11,0.0,8.7,4,25,10:40 AM,09:46 PM,07:56 AM,05:35 PM,8,12,14,12,22,1,68,0.0,1019,16,10,76,16,Cascais
2019-01-11,13,9,0.0,8.7,4,32,11:10 AM,10:42 PM,07:56 AM,05:36 PM,2,9,11,9,29,0,54,0.0,1025,13,10,75,21,Cascais
2019-01-12,15,9,0.0,8.7,4,39,11:38 AM,11:40 PM,07:55 AM,05:37 PM,3,10,12,10,24,0,54,0.0,1029,15,10,57,17,Cascais
2019-01-13,15,9,0.0,8.7,4,47,12:05 PM,No moonset,07:55 AM,05:38 PM,5,11,12,11,19,1,61,0.0,1029,15,10,48,14,Cascais
2019-01-14,15,12,0.0,8.7,4,54,12:33 PM,12:38 AM,07:55 AM,05:39 PM,8,13,14,13,10,3,67,0.0,1025,15,10,161,8,Cascais
2019-01-15,14,12,0.0,5.4,3,61,01:04 PM,01:39 AM,07:55 AM,05:40 PM,9,13,13,13,13,57,77,0.2,1021,14,10,255,9,Cascais
2019-01-16,14,12,0.0,3.7,3,69,01:39 PM,02:41 AM,07:54 AM,05:41 PM,10,13,13,13,13,86,79,2.6,1020,14,10,221,9,Cascais
2019-01-17,13,12,0.0,8.7,4,76,02:19 PM,03:47 AM,07:54 AM,05:42 PM,7,10,12,10,38,16,71,0.2,1021,13,10,48,27,Cascais
2019-01-18,13,11,0.0,5.4,3,83,03:06 PM,04:55 AM,07:53 AM,05:43 PM,8,10,12,10,24,48,73,3.7,1022,13,9,194,16,Cascais
2019-01-19,15,14,0.0,5.4,3,90,04:02 PM,06:02 AM,07:53 AM,05:44 PM,12,12,14,12,40,63,87,5.3,1017,15,10,295,26,Cascais
2019-01-20,14,13,0.0,8.7,4,98,05:07 PM,07:06 AM,07:52 AM,05:46 PM,9,11,13,11,53,25,74,1.1,1020,14,10,344,37,Cascais
2019-01-21,14,12,0.0,8.7,4,100,06:18 PM,08:04 AM,07:52 AM,05:47 PM,8,10,13,10,43,6,72,0.0,1025,14,10,267,30,Cascais
2019-01-22,14,12,0.0,3.7,3,88,07:33 PM,08:54 AM,07:51 AM,05:48 PM,8,10,13,10,41,72,75,0.8,1024,14,10,335,28,Cascais
2019-01-23,14,13,0.0,7.0,3,81,08:46 PM,09:38 AM,07:51 AM,05:49 PM,10,11,14,11,48,76,79,1.2,1022,14,10,334,34,Cascais
2019-01-24,15,14,0.0,7.1,3,73,09:58 PM,10:16 AM,07:50 AM,05:50 PM,12,12,14,12,50,54,86,0.6,1019,15,10,306,34,Cascais
2019-01-25,17,13,0.0,8.7,4,66,11:08 PM,10:51 AM,07:49 AM,05:51 PM,10,13,15,13,26,0,76,0.0,1020,17,10,19,16,Cascais
2019-01-26,17,13,0.0,8.7,4,59,No moonrise,11:24 AM,07:49 AM,05:52 PM,10,14,15,14,16,6,73,0.0,1021,17,10,154,11,Cascais
2019-01-27,13,12,0.0,8.7,3,51,12:14 AM,11:56 AM,07:48 AM,05:53 PM,9,10,13,10,44,23,76,0.3,1023,13,10,353,31,Cascais
2019-01-28,14,13,0.0,8.7,4,44,01:19 AM,12:28 PM,07:47 AM,05:55 PM,10,11,13,11,40,27,80,0.0,1026,14,10,339,28,Cascais
2019-01-29,14,10,0.0,7.1,3,37,02:22 AM,01:03 PM,07:47 AM,05:56 PM,11,11,13,11,37,60,84,0.8,1023,14,9,310,25,Cascais
2019-01-30,15,10,0.0,3.8,3,30,03:23 AM,01:41 PM,07:46 AM,05:57 PM,11,12,14,12,35,91,86,3.2,1017,15,10,282,24,Cascais
2019-01-31,15,14,0.0,3.8,3,26,04:21 AM,02:22 PM,07:45 AM,05:58 PM,12,12,15,12,52,89,87,7.2,1009,15,10,261,33,Cascais
2019-02-01,14,12,0.0,3.8,3,8,05:16 AM,03:08 PM,07:44 AM,05:59 PM,7,10,13,10,66,75,66,2.7,1005,14,10,299,48,Cascais
2019-02-02,13,11,0.0,10.6,3,1,06:07 AM,03:58 PM,07:43 AM,06:00 PM,4,9,12,9,49,33,60,0.9,1020,13,10,344,35,Cascais
2019-02-03,13,11,0.0,10.6,4,0,06:52 AM,04:51 PM,07:42 AM,06:01 PM,5,9,11,9,26,9,64,0.0,1029,13,10,181,18,Cascais
2019-02-04,14,10,0.0,10.6,4,0,07:34 AM,05:46 PM,07:41 AM,06:02 PM,3,11,12,11,15,6,54,0.0,1030,14,10,124,11,Cascais
2019-02-05,16,11,0.0,10.6,4,0,08:10 AM,06:42 PM,07:40 AM,06:04 PM,4,12,13,12,13,7,55,0.0,1029,16,10,120,9,Cascais
2019-02-06,16,13,0.0,10.7,4,7,08:42 AM,07:39 PM,07:39 AM,06:05 PM,7,13,14,13,12,12,65,0.0,1027,16,10,166,9,Cascais
2019-02-07,14,13,0.0,10.7,4,14,09:12 AM,08:36 PM,07:38 AM,06:06 PM,10,12,13,12,19,8,80,0.0,1026,14,10,220,13,Cascais
2019-02-08,16,13,0.0,10.0,3,22,09:41 AM,09:33 PM,07:37 AM,06:07 PM,10,14,14,14,11,19,76,0.2,1025,16,10,158,9,Cascais
2019-02-09,14,13,0.0,10.7,3,29,10:08 AM,10:30 PM,07:36 AM,06:08 PM,10,12,13,12,14,28,81,0.6,1024,14,10,213,10,Cascais
2019-02-10,15,13,0.0,8.5,3,37,10:35 AM,11:29 PM,07:35 AM,06:09 PM,12,13,14,13,30,58,88,1.1,1025,15,8,243,19,Cascais
2019-02-11,14,11,0.0,10.8,4,44,11:04 AM,No moonset,07:34 AM,06:10 PM,8,11,12,11,23,1,73,0.1,1029,14,10,143,16,Cascais
2019-02-12,19,11,0.0,10.8,4,52,11:36 AM,12:29 AM,07:33 AM,06:11 PM,9,14,15,14,17,0,69,0.0,1028,19,10,126,13,Cascais
2019-02-13,20,12,0.0,10.8,5,60,12:12 PM,01:32 AM,07:32 AM,06:13 PM,11,16,16,16,10,0,72,0.0,1027,20,10,106,8,Cascais
2019-02-14,17,13,0.0,10.8,4,67,12:54 PM,02:36 AM,07:31 AM,06:14 PM,11,14,15,14,36,1,76,0.0,1024,17,10,132,23,Cascais
2019-02-15,17,12,0.0,10.1,3,75,01:45 PM,03:41 AM,07:29 AM,06:15 PM,10,13,14,13,26,52,76,0.0,1023,17,10,128,17,Cascais
2019-02-16,18,12,0.0,10.9,4,82,02:43 PM,04:45 AM,07:28 AM,06:16 PM,9,14,15,14,20,8,68,0.0,1022,18,10,127,14,Cascais
2019-02-17,15,13,0.0,8.5,3,90,03:50 PM,05:45 AM,07:27 AM,06:17 PM,10,13,14,13,11,60,80,0.0,1020,15,10,169,8,Cascais
2019-02-18,13,12,0.0,5.5,3,97,05:03 PM,06:39 AM,07:26 AM,06:18 PM,9,10,12,10,35,91,81,4.3,1017,13,10,84,26,Cascais
