date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,17,11,0.0,8.7,4,26,03:26 AM,02:18 PM,08:00 AM,05:16 PM,2,13,13,13,6,7,49,0.0,1032,17,10,187,5,Gondomar
2019-01-02,19,9,0.0,8.7,4,19,04:29 AM,02:53 PM,08:00 AM,05:17 PM,6,13,13,13,5,15,63,0.0,1031,19,10,121,3,Gondomar
2019-01-03,19,9,0.0,8.7,4,11,05:31 AM,03:31 PM,08:00 AM,05:18 PM,3,13,13,13,6,0,54,0.0,1028,19,10,88,5,Gondomar
2019-01-04,16,8,0.0,8.7,4,4,06:29 AM,04:13 PM,08:00 AM,05:19 PM,0,11,11,11,7,4,46,0.0,1031,16,10,119,5,Gondomar
2019-01-05,19,9,0.0,8.7,4,0,07:24 AM,05:01 PM,08:00 AM,05:20 PM,-1,12,13,12,6,0,40,0.0,1035,19,10,115,5,Gondomar
2019-01-06,20,10,0.0,8.7,4,0,08:13 AM,05:52 PM,08:00 AM,05:21 PM,-1,13,13,13,7,0,39,0.0,1033,20,10,79,5,Gondomar
2019-01-07,20,10,0.0,8.7,4,3,08:57 AM,06:46 PM,08:00 AM,05:22 PM,-0,13,13,13,9,0,39,0.0,1031,20,10,85,6,Gondomar
2019-01-08,19,9,0.0,8.7,4,10,09:36 AM,07:43 PM,07:59 AM,05:23 PM,2,12,13,12,9,2,49,0.0,1030,19,10,76,6,Gondomar
2019-01-09,20,10,0.0,8.7,4,18,10:10 AM,08:40 PM,07:59 AM,05:24 PM,5,13,14,13,8,1,55,0.0,1025,20,10,73,6,Gondomar
2019-01-10,15,9,0.0,8.7,4,25,10:40 AM,09:39 PM,07:59 AM,05:25 PM,4,11,12,11,13,1,62,0.0,1022,15,10,88,11,Gondomar
2019-01-11,17,7,0.0,8.7,4,32,11:08 AM,10:37 PM,07:59 AM,05:26 PM,2,10,11,10,10,1,53,0.0,1028,17,10,81,9,Gondomar
2019-01-12,16,8,0.0,8.7,4,39,11:35 AM,11:36 PM,07:59 AM,05:27 PM,4,11,11,11,8,1,62,0.0,1031,16,10,70,7,Gondomar
2019-01-13,16,7,0.0,8.7,4,47,12:01 PM,No moonset,07:58 AM,05:28 PM,4,11,11,11,7,2,62,0.0,1030,16,10,106,6,Gondomar
2019-01-14,15,8,0.0,8.7,4,54,12:28 PM,12:35 AM,07:58 AM,05:29 PM,2,11,11,11,7,21,56,0.0,1025,15,10,173,4,Gondomar
2019-01-15,15,9,0.0,5.3,3,61,12:58 PM,01:38 AM,07:58 AM,05:30 PM,4,10,11,10,8,52,63,0.0,1021,15,10,154,5,Gondomar
2019-01-16,11,8,0.0,3.7,2,69,01:31 PM,02:41 AM,07:57 AM,05:31 PM,7,9,9,9,8,73,87,0.6,1019,11,7,172,6,Gondomar
2019-01-17,13,7,0.0,8.7,4,76,02:09 PM,03:49 AM,07:57 AM,05:32 PM,5,9,10,9,11,19,77,0.0,1021,13,10,143,9,Gondomar
2019-01-18,9,6,0.0,3.7,2,83,02:56 PM,04:57 AM,07:56 AM,05:34 PM,4,7,7,7,7,62,79,2.0,1021,9,8,127,5,Gondomar
2019-01-19,13,7,0.0,3.7,3,90,03:52 PM,06:05 AM,07:56 AM,05:35 PM,8,8,10,8,18,89,92,27.4,1014,13,8,214,12,Gondomar
2019-01-20,13,8,0.0,8.7,4,98,04:56 PM,07:09 AM,07:55 AM,05:36 PM,7,8,10,8,19,14,80,1.4,1019,13,10,298,13,Gondomar
2019-01-21,13,7,0.0,8.7,3,100,06:08 PM,08:06 AM,07:54 AM,05:37 PM,6,9,10,9,10,12,77,0.0,1025,13,10,142,8,Gondomar
2019-01-22,11,7,0.0,3.7,2,88,07:24 PM,08:56 AM,07:54 AM,05:38 PM,7,7,9,7,14,80,88,6.9,1022,11,9,313,9,Gondomar
2019-01-23,12,10,0.0,3.7,3,81,08:39 PM,09:39 AM,07:53 AM,05:40 PM,10,9,11,9,29,100,90,1.3,1018,12,7,319,20,Gondomar
2019-01-24,16,12,0.0,5.4,3,73,09:53 PM,10:15 AM,07:52 AM,05:41 PM,11,12,13,12,17,60,89,1.6,1018,16,6,337,12,Gondomar
2019-01-25,18,10,0.0,8.7,4,66,11:04 PM,10:48 AM,07:52 AM,05:42 PM,8,13,13,13,10,13,73,0.0,1021,18,10,118,7,Gondomar
2019-01-26,17,9,0.0,7.0,3,59,No moonrise,11:19 AM,07:51 AM,05:43 PM,6,12,12,12,10,44,69,0.0,1021,17,10,200,6,Gondomar
2019-01-27,13,9,0.0,8.7,4,51,12:12 AM,11:50 AM,07:50 AM,05:44 PM,6,9,10,9,19,30,74,0.4,1022,13,9,335,14,Gondomar
2019-01-28,13,9,0.0,3.7,3,44,01:19 AM,12:21 PM,07:49 AM,05:46 PM,8,9,11,9,14,76,87,1.0,1024,13,10,318,10,Gondomar
2019-01-29,12,9,0.0,3.7,3,37,02:23 AM,12:55 PM,07:48 AM,05:47 PM,8,9,10,9,19,86,87,3.1,1020,12,9,265,13,Gondomar
2019-01-30,11,6,0.0,3.8,2,30,03:25 AM,01:32 PM,07:48 AM,05:48 PM,8,7,9,7,20,88,88,34.7,1013,11,8,236,13,Gondomar
2019-01-31,13,11,0.0,3.8,3,26,04:24 AM,02:12 PM,07:47 AM,05:49 PM,11,10,12,10,38,100,92,86.5,1002,13,7,259,26,Gondomar
2019-02-01,10,8,0.0,3.8,2,8,05:20 AM,02:57 PM,07:46 AM,05:51 PM,4,6,10,6,50,71,66,16.6,998,10,9,290,32,Gondomar
2019-02-02,11,7,0.0,8.7,3,1,06:10 AM,03:47 PM,07:45 AM,05:52 PM,1,6,8,6,24,30,62,0.1,1018,11,10,342,18,Gondomar
2019-02-03,13,6,0.0,8.7,3,0,06:56 AM,04:40 PM,07:44 AM,05:53 PM,2,9,9,9,6,16,62,0.0,1029,13,10,158,5,Gondomar
2019-02-04,14,6,0.0,8.7,4,0,07:36 AM,05:37 PM,07:43 AM,05:54 PM,0,9,9,9,6,14,53,0.0,1030,14,10,174,4,Gondomar
2019-02-05,17,8,0.0,8.7,4,0,08:11 AM,06:34 PM,07:42 AM,05:56 PM,7,12,12,12,6,10,71,0.0,1030,17,10,161,4,Gondomar
2019-02-06,16,10,0.0,8.7,4,7,08:43 AM,07:32 PM,07:40 AM,05:57 PM,7,12,12,12,5,7,72,0.0,1027,16,10,180,4,Gondomar
2019-02-07,15,10,0.0,8.7,3,14,09:12 AM,08:30 PM,07:39 AM,05:58 PM,8,12,12,12,6,44,78,0.2,1026,15,9,192,5,Gondomar
2019-02-08,13,8,0.0,5.5,3,22,09:39 AM,09:28 PM,07:38 AM,05:59 PM,8,10,10,10,10,58,83,0.3,1024,13,10,153,7,Gondomar
2019-02-09,14,10,0.0,5.3,3,29,10:04 AM,10:27 PM,07:37 AM,06:00 PM,8,10,11,10,21,86,81,0.7,1022,14,9,183,15,Gondomar
2019-02-10,16,10,0.0,8.5,3,37,10:30 AM,11:27 PM,07:36 AM,06:02 PM,10,11,12,11,22,62,83,15.6,1023,16,9,253,15,Gondomar
2019-02-11,19,10,0.0,10.7,4,44,10:58 AM,No moonset,07:35 AM,06:03 PM,6,13,13,13,6,3,65,0.0,1030,19,10,148,5,Gondomar
2019-02-12,19,8,0.0,10.7,4,52,11:29 AM,12:29 AM,07:33 AM,06:04 PM,3,12,13,12,9,19,52,0.0,1030,19,10,147,6,Gondomar
2019-02-13,22,11,0.0,10.7,5,60,12:04 PM,01:33 AM,07:32 AM,06:05 PM,5,15,15,15,7,3,52,0.0,1029,22,10,154,6,Gondomar
2019-02-14,22,11,0.0,10.8,5,67,12:44 PM,02:38 AM,07:31 AM,06:07 PM,7,15,16,15,13,3,56,0.0,1026,22,10,123,9,Gondomar
2019-02-15,20,11,0.0,6.9,4,75,01:34 PM,03:44 AM,07:30 AM,06:08 PM,6,15,15,15,12,41,56,0.0,1025,20,10,162,7,Gondomar
2019-02-16,24,11,0.0,10.8,5,82,02:32 PM,04:48 AM,07:28 AM,06:09 PM,6,16,17,16,9,19,52,0.0,1023,24,10,151,5,Gondomar
2019-02-17,16,12,0.0,10.1,3,90,03:40 PM,05:48 AM,07:27 AM,06:10 PM,7,13,13,13,12,41,66,1.0,1020,16,10,192,9,Gondomar
