date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,29,23,0.0,7.5,5,26,02:37 AM,03:03 PM,06:15 AM,06:29 PM,23,29,29,25,9,71,90,68.3,1010,29,5,234,5,Ilha+Graciosa
2019-01-02,30,23,0.0,7.5,6,19,03:25 AM,03:53 PM,06:16 AM,06:30 PM,24,29,29,26,8,79,88,34.8,1010,30,7,252,5,Ilha+Graciosa
2019-01-03,29,22,0.0,7.5,5,11,04:13 AM,04:42 PM,06:16 AM,06:30 PM,23,28,28,25,5,84,88,16.0,1011,29,7,140,4,Ilha+Graciosa
2019-01-04,28,23,0.0,6.1,5,4,05:03 AM,05:32 PM,06:17 AM,06:31 PM,24,28,28,25,7,71,92,47.8,1013,28,5,183,4,Ilha+Graciosa
2019-01-05,29,23,0.0,8.8,5,0,05:52 AM,06:22 PM,06:17 AM,06:31 PM,24,29,29,25,7,67,92,84.2,1013,29,4,154,4,Ilha+Graciosa
2019-01-06,29,23,0.0,6.1,5,0,06:42 AM,07:11 PM,06:18 AM,06:31 PM,24,28,28,25,8,88,92,59.0,1014,29,6,165,5,Ilha+Graciosa
2019-01-07,27,22,0.0,7.5,5,3,07:31 AM,07:59 PM,06:18 AM,06:32 PM,23,27,27,24,8,90,94,54.8,1015,27,6,133,4,Ilha+Graciosa
2019-01-08,28,21,0.0,7.4,5,10,08:18 AM,08:44 PM,06:19 AM,06:32 PM,22,27,27,24,4,87,90,62.2,1016,28,6,233,3,Ilha+Graciosa
2019-01-09,31,21,0.0,11.6,5,18,09:04 AM,09:29 PM,06:19 AM,06:33 PM,20,28,28,25,5,40,76,3.2,1015,31,10,166,3,Ilha+Graciosa
2019-01-10,33,21,0.0,11.6,6,25,09:48 AM,10:11 PM,06:20 AM,06:33 PM,20,29,29,26,5,39,75,5.7,1015,33,10,160,3,Ilha+Graciosa
2019-01-11,32,21,0.0,11.6,5,32,10:31 AM,10:53 PM,06:20 AM,06:33 PM,20,28,28,25,5,43,76,7.8,1015,32,10,177,3,Ilha+Graciosa
2019-01-12,32,21,0.0,10.2,5,39,11:14 AM,11:35 PM,06:20 AM,06:34 PM,21,28,28,25,5,48,78,3.9,1014,32,8,193,3,Ilha+Graciosa
2019-01-13,31,22,0.0,7.4,5,47,11:57 AM,No moonset,06:21 AM,06:34 PM,23,29,29,25,5,75,86,35.3,1014,31,8,176,3,Ilha+Graciosa
2019-01-14,29,22,0.0,6.1,5,54,12:42 PM,12:17 AM,06:21 AM,06:34 PM,22,27,27,24,8,64,89,15.1,1014,29,6,116,5,Ilha+Graciosa
2019-01-15,29,22,0.0,6.1,5,61,01:30 PM,01:02 AM,06:22 AM,06:35 PM,23,28,28,25,7,87,91,76.3,1013,29,4,193,4,Ilha+Graciosa
2019-01-16,30,22,0.0,7.4,5,69,02:20 PM,01:50 AM,06:22 AM,06:35 PM,23,29,29,25,5,73,90,79.8,1014,30,6,208,3,Ilha+Graciosa
