date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,32,23,0.0,13.3,6,26,02:21 AM,03:25 PM,05:46 AM,07:09 PM,23,30,30,27,15,35,79,12.8,1011,32,9,111,9,Ilha+Terceira
2019-01-02,32,23,0.0,13.6,6,19,03:03 AM,04:19 PM,05:47 AM,07:10 PM,22,30,30,27,18,34,75,1.2,1013,32,10,210,12,Ilha+Terceira
2019-01-03,34,24,0.0,13.6,8,11,03:47 AM,05:13 PM,05:48 AM,07:10 PM,21,32,32,29,15,22,65,0.0,1011,34,10,180,10,Ilha+Terceira
2019-01-04,31,24,0.0,13.6,6,4,04:32 AM,06:06 PM,05:48 AM,07:10 PM,23,30,30,27,18,30,77,29.7,1012,31,8,151,9,Ilha+Terceira
2019-01-05,26,23,0.0,9.7,6,0,05:21 AM,06:56 PM,05:49 AM,07:10 PM,22,27,27,24,16,67,89,22.7,1013,26,8,131,10,Ilha+Terceira
2019-01-06,31,22,0.0,9.7,6,0,06:10 AM,07:44 PM,05:50 AM,07:11 PM,22,28,28,25,18,63,82,2.4,1011,31,9,25,12,Ilha+Terceira
2019-01-07,32,23,0.0,13.6,6,3,07:01 AM,08:29 PM,05:50 AM,07:11 PM,22,30,30,27,24,28,75,3.6,1011,32,10,48,16,Ilha+Terceira
2019-01-08,32,23,0.0,12.1,6,10,07:52 AM,09:11 PM,05:51 AM,07:11 PM,22,30,30,27,11,29,73,3.6,1013,32,10,197,6,Ilha+Terceira
2019-01-09,32,24,0.0,13.6,6,18,08:42 AM,09:50 PM,05:52 AM,07:11 PM,22,31,31,28,17,26,68,7.2,1012,32,9,81,10,Ilha+Terceira
2019-01-10,33,24,0.0,13.6,7,25,09:33 AM,10:27 PM,05:52 AM,07:11 PM,20,30,30,28,15,18,65,0.9,1012,33,10,35,10,Ilha+Terceira
2019-01-11,32,24,0.0,13.6,6,32,10:22 AM,11:03 PM,05:53 AM,07:11 PM,20,30,30,28,12,32,63,1.2,1013,32,10,72,8,Ilha+Terceira
2019-01-12,32,23,0.0,13.6,6,39,11:11 AM,11:38 PM,05:54 AM,07:11 PM,20,30,30,28,13,33,65,3.4,1013,32,10,42,8,Ilha+Terceira
