date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,26,24,0.0,8.7,6,26,02:59 AM,02:45 PM,06:56 AM,05:59 PM,20,27,27,25,25,21,74,1.6,1018,26,9,69,14,Ilha+de+Santa+Maria
2019-01-02,26,23,0.0,11.4,6,19,03:53 AM,03:29 PM,06:57 AM,06:00 PM,20,26,26,25,25,40,77,2.2,1018,26,9,73,17,Ilha+de+Santa+Maria
2019-01-03,27,24,0.0,11.4,6,11,04:46 AM,04:14 PM,06:57 AM,06:01 PM,21,27,27,25,23,22,75,0.8,1018,27,10,89,16,Ilha+de+Santa+Maria
2019-01-04,27,24,0.0,11.4,7,4,05:39 AM,05:02 PM,06:57 AM,06:01 PM,21,27,27,25,21,20,76,0.3,1018,27,10,105,14,Ilha+de+Santa+Maria
2019-01-05,27,24,0.0,11.4,7,0,06:30 AM,05:51 PM,06:58 AM,06:02 PM,21,27,27,25,22,18,75,0.8,1018,27,10,100,14,Ilha+de+Santa+Maria
2019-01-06,27,23,0.0,11.4,6,0,07:19 AM,06:41 PM,06:58 AM,06:02 PM,21,27,27,25,19,32,78,0.4,1018,27,10,101,14,Ilha+de+Santa+Maria
2019-01-07,27,24,0.0,11.5,6,3,08:06 AM,07:32 PM,06:58 AM,06:03 PM,21,27,27,25,18,26,78,1.0,1018,27,10,93,11,Ilha+de+Santa+Maria
2019-01-08,27,24,0.0,11.5,6,10,08:49 AM,08:22 PM,06:58 AM,06:04 PM,20,26,26,25,19,18,76,0.6,1018,27,10,71,11,Ilha+de+Santa+Maria
2019-01-09,26,23,0.0,11.5,5,18,09:31 AM,09:12 PM,06:59 AM,06:04 PM,20,26,26,24,16,38,78,1.7,1016,26,10,81,10,Ilha+de+Santa+Maria
2019-01-10,27,23,0.0,11.5,6,25,10:09 AM,10:00 PM,06:59 AM,06:05 PM,20,27,27,25,12,24,74,6.0,1014,27,9,149,6,Ilha+de+Santa+Maria
2019-01-11,27,23,0.0,11.5,6,32,10:46 AM,10:48 PM,06:59 AM,06:06 PM,20,27,27,25,8,24,74,1.6,1016,27,10,156,5,Ilha+de+Santa+Maria
2019-01-12,26,24,0.0,11.5,6,39,11:23 AM,11:37 PM,06:59 AM,06:06 PM,20,27,27,25,11,16,76,1.0,1018,26,10,87,8,Ilha+de+Santa+Maria
2019-01-13,27,24,0.0,11.5,6,47,11:59 AM,No moonset,06:59 AM,06:07 PM,21,27,27,25,18,28,77,1.8,1018,27,10,67,12,Ilha+de+Santa+Maria
2019-01-14,27,24,0.0,11.5,7,54,12:36 PM,12:27 AM,06:59 AM,06:07 PM,19,27,27,25,15,10,73,0.0,1018,27,10,73,10,Ilha+de+Santa+Maria
2019-01-15,27,23,0.0,11.5,7,61,01:17 PM,01:18 AM,06:59 AM,06:08 PM,19,26,26,25,13,6,70,0.0,1017,27,10,98,7,Ilha+de+Santa+Maria
2019-01-16,27,23,0.0,11.5,6,69,02:00 PM,02:12 AM,06:59 AM,06:09 PM,20,27,27,25,11,14,74,0.7,1018,27,10,101,4,Ilha+de+Santa+Maria
2019-01-17,26,24,0.0,10.1,5,76,02:49 PM,03:10 AM,06:59 AM,06:09 PM,20,26,26,24,9,35,75,1.6,1018,26,10,111,6,Ilha+de+Santa+Maria
