date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,16,11,0.0,8.7,3,26,03:19 AM,02:22 PM,07:47 AM,05:24 PM,5,12,13,12,13,31,61,0.0,1031,16,10,105,7,Ilha+do+Corvo
2019-01-02,17,11,0.0,8.7,4,19,04:20 AM,02:58 PM,07:47 AM,05:25 PM,5,12,13,12,14,13,59,0.0,1030,17,10,130,7,Ilha+do+Corvo
2019-01-03,15,10,0.0,8.7,4,11,05:20 AM,03:38 PM,07:47 AM,05:26 PM,6,11,12,11,14,8,68,0.0,1026,15,10,121,8,Ilha+do+Corvo
2019-01-04,15,11,0.0,8.7,4,4,06:17 AM,04:21 PM,07:47 AM,05:27 PM,8,11,12,11,18,26,76,0.1,1028,15,10,88,11,Ilha+do+Corvo
2019-01-05,15,10,0.0,8.7,4,0,07:11 AM,05:09 PM,07:47 AM,05:28 PM,5,10,12,10,17,0,66,0.0,1032,15,10,51,9,Ilha+do+Corvo
2019-01-06,16,9,0.0,8.7,4,0,08:01 AM,06:00 PM,07:47 AM,05:29 PM,2,11,12,11,13,0,53,0.0,1030,16,10,108,7,Ilha+do+Corvo
2019-01-07,16,8,0.0,8.7,4,3,08:45 AM,06:53 PM,07:47 AM,05:29 PM,2,11,12,11,13,0,53,0.0,1028,16,10,87,7,Ilha+do+Corvo
2019-01-08,16,11,0.0,8.7,4,10,09:25 AM,07:49 PM,07:47 AM,05:30 PM,2,12,12,12,14,0,50,0.0,1028,16,10,85,8,Ilha+do+Corvo
2019-01-09,16,10,0.0,8.7,4,18,10:01 AM,08:45 PM,07:47 AM,05:31 PM,3,12,12,12,14,2,54,0.0,1022,16,10,118,7,Ilha+do+Corvo
2019-01-10,15,10,0.0,8.7,4,25,10:33 AM,09:41 PM,07:47 AM,05:32 PM,6,11,12,11,19,0,65,0.0,1018,15,10,70,12,Ilha+do+Corvo
2019-01-11,14,9,0.0,8.7,4,32,11:03 AM,10:37 PM,07:47 AM,05:33 PM,-1,8,11,8,32,0,45,0.0,1024,14,10,63,19,Ilha+do+Corvo
2019-01-12,13,7,0.0,8.7,4,39,11:31 AM,11:34 PM,07:47 AM,05:34 PM,0,7,10,7,25,0,52,0.0,1027,13,10,56,14,Ilha+do+Corvo
2019-01-13,16,9,0.0,8.7,4,47,11:59 AM,No moonset,07:47 AM,05:35 PM,2,10,11,10,16,0,54,0.0,1028,16,10,80,9,Ilha+do+Corvo
2019-01-14,15,9,0.0,8.7,4,54,12:28 PM,12:32 AM,07:46 AM,05:36 PM,3,11,12,11,11,0,57,0.0,1024,15,10,146,6,Ilha+do+Corvo
2019-01-15,14,9,0.0,8.7,4,61,01:00 PM,01:32 AM,07:46 AM,05:37 PM,5,11,11,11,11,7,66,0.0,1021,14,10,174,6,Ilha+do+Corvo
2019-01-16,14,10,0.0,8.7,3,69,01:35 PM,02:34 AM,07:46 AM,05:38 PM,8,11,11,11,9,28,78,0.5,1020,14,10,177,6,Ilha+do+Corvo
2019-01-17,13,10,0.0,8.7,4,76,02:15 PM,03:39 AM,07:45 AM,05:39 PM,7,9,11,9,16,39,79,0.5,1019,13,10,107,10,Ilha+do+Corvo
2019-01-18,14,7,0.0,8.7,3,83,03:03 PM,04:46 AM,07:45 AM,05:40 PM,4,8,10,8,20,29,68,0.3,1021,14,9,235,12,Ilha+do+Corvo
2019-01-19,15,12,0.0,5.4,3,90,03:59 PM,05:53 AM,07:44 AM,05:41 PM,11,12,13,12,26,83,87,2.1,1019,15,9,289,17,Ilha+do+Corvo
2019-01-20,15,11,0.0,8.7,4,98,05:04 PM,06:57 AM,07:44 AM,05:42 PM,8,10,12,10,36,20,74,0.1,1018,15,10,322,24,Ilha+do+Corvo
2019-01-21,14,8,0.0,8.7,4,100,06:15 PM,07:55 AM,07:44 AM,05:44 PM,5,8,10,8,25,3,71,0.0,1023,14,10,305,16,Ilha+do+Corvo
2019-01-22,13,7,0.0,7.1,3,88,07:29 PM,08:46 AM,07:43 AM,05:45 PM,6,8,10,8,27,53,74,0.0,1024,13,10,326,17,Ilha+do+Corvo
2019-01-23,15,10,0.0,8.7,4,81,08:42 PM,09:31 AM,07:42 AM,05:46 PM,8,10,12,10,34,18,77,0.0,1020,15,10,318,22,Ilha+do+Corvo
2019-01-24,18,13,0.0,8.7,5,73,09:53 PM,10:09 AM,07:42 AM,05:47 PM,11,13,15,13,31,19,80,0.0,1016,18,10,336,20,Ilha+do+Corvo
2019-01-25,18,12,0.0,8.7,5,66,11:02 PM,10:45 AM,07:41 AM,05:48 PM,10,13,14,13,20,0,74,0.0,1018,18,10,51,11,Ilha+do+Corvo
2019-01-26,18,13,0.0,8.7,5,59,No moonrise,11:18 AM,07:41 AM,05:49 PM,9,14,14,14,15,2,70,0.0,1020,18,10,115,8,Ilha+do+Corvo
2019-01-27,14,10,0.0,8.7,4,51,12:08 AM,11:51 AM,07:40 AM,05:50 PM,7,10,12,10,25,17,75,0.0,1022,14,10,336,16,Ilha+do+Corvo
2019-01-28,15,9,0.0,8.7,4,44,01:12 AM,12:24 PM,07:39 AM,05:51 PM,7,9,11,9,33,9,75,0.0,1025,15,10,338,21,Ilha+do+Corvo
2019-01-29,14,10,0.0,7.1,3,37,02:14 AM,12:59 PM,07:38 AM,05:52 PM,9,10,12,10,24,35,83,0.1,1023,14,10,311,15,Ilha+do+Corvo
