date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,34,22,0.0,12.8,7,26,02:02 AM,02:42 PM,05:36 AM,06:13 PM,20,29,29,26,7,32,73,0.0,1010,34,10,244,4,Leziria+do+Tejo
2019-01-02,32,22,0.0,12.8,6,19,02:47 AM,03:33 PM,05:36 AM,06:14 PM,22,28,28,25,7,39,85,13.3,1011,32,9,150,4,Leziria+do+Tejo
2019-01-03,32,21,0.0,12.8,6,11,03:34 AM,04:23 PM,05:37 AM,06:14 PM,22,28,28,25,8,44,85,5.2,1011,32,6,252,4,Leziria+do+Tejo
2019-01-04,30,20,0.0,12.8,6,4,04:22 AM,05:15 PM,05:37 AM,06:15 PM,22,27,27,24,7,42,88,10.1,1013,30,8,289,4,Leziria+do+Tejo
2019-01-05,34,21,0.0,12.8,6,0,05:12 AM,06:05 PM,05:38 AM,06:15 PM,21,28,28,26,4,35,76,0.1,1013,34,8,200,2,Leziria+do+Tejo
2019-01-06,35,22,0.0,12.8,7,0,06:01 AM,06:53 PM,05:38 AM,06:15 PM,20,30,30,27,8,29,70,0.0,1011,35,10,291,5,Leziria+do+Tejo
2019-01-07,35,22,0.0,12.8,8,3,06:51 AM,07:40 PM,05:39 AM,06:16 PM,20,30,30,28,9,29,67,0.0,1010,35,10,101,6,Leziria+do+Tejo
2019-01-08,28,23,0.0,11.9,6,10,07:39 AM,08:24 PM,05:39 AM,06:16 PM,23,27,27,24,8,52,91,27.2,1011,28,8,117,4,Leziria+do+Tejo
2019-01-09,29,22,0.0,12.8,6,18,08:26 AM,09:07 PM,05:40 AM,06:16 PM,23,28,28,25,8,64,88,6.9,1010,29,6,260,5,Leziria+do+Tejo
2019-01-10,32,21,0.0,12.8,6,25,09:13 AM,09:47 PM,05:40 AM,06:16 PM,21,29,29,26,7,52,79,0.6,1009,32,6,20,5,Leziria+do+Tejo
2019-01-11,30,22,0.0,11.9,6,32,09:58 AM,10:26 PM,05:41 AM,06:17 PM,22,28,28,25,7,59,88,25.5,1011,30,7,73,4,Leziria+do+Tejo
2019-01-12,29,22,0.0,12.8,6,39,10:43 AM,11:06 PM,05:41 AM,06:17 PM,22,27,27,24,3,57,87,19.1,1013,29,9,120,2,Leziria+do+Tejo
2019-01-13,32,20,0.0,12.8,6,47,11:29 AM,11:46 PM,05:42 AM,06:17 PM,21,28,28,25,5,43,81,3.1,1012,32,6,180,3,Leziria+do+Tejo
2019-01-14,31,21,0.0,12.8,6,54,12:16 PM,No moonset,05:42 AM,06:17 PM,23,28,28,25,6,35,89,25.2,1012,31,7,60,3,Leziria+do+Tejo
2019-01-15,29,22,0.0,11.9,6,61,01:06 PM,12:28 AM,05:43 AM,06:18 PM,23,27,27,24,4,62,91,26.9,1012,29,7,263,2,Leziria+do+Tejo
2019-01-16,29,22,0.0,12.8,6,69,01:59 PM,01:14 AM,05:43 AM,06:18 PM,23,28,28,25,5,52,91,34.3,1013,29,6,277,3,Leziria+do+Tejo
2019-01-17,31,22,0.0,12.7,6,76,02:55 PM,02:03 AM,05:44 AM,06:18 PM,23,28,28,25,4,53,90,17.6,1014,31,7,267,2,Leziria+do+Tejo
2019-01-18,31,21,0.0,12.7,6,83,03:56 PM,02:57 AM,05:44 AM,06:18 PM,22,29,29,26,4,51,80,1.5,1013,31,8,200,2,Leziria+do+Tejo
2019-01-19,28,22,0.0,12.7,6,90,04:58 PM,03:56 AM,05:45 AM,06:18 PM,23,28,28,25,5,41,88,10.3,1012,28,7,228,3,Leziria+do+Tejo
2019-01-20,28,22,0.0,12.7,6,98,06:01 PM,04:59 AM,05:45 AM,06:19 PM,24,28,28,25,6,49,94,24.2,1012,28,4,207,3,Leziria+do+Tejo
2019-01-21,28,22,0.0,11.9,6,100,07:02 PM,06:03 AM,05:46 AM,06:19 PM,24,28,28,25,5,68,94,33.0,1012,28,4,207,3,Leziria+do+Tejo
2019-01-22,27,22,0.0,11.9,6,88,07:59 PM,07:07 AM,05:46 AM,06:19 PM,23,27,27,24,6,48,92,27.3,1013,27,8,146,3,Leziria+do+Tejo
2019-01-23,29,22,0.0,12.7,6,81,08:52 PM,08:08 AM,05:46 AM,06:19 PM,22,27,27,24,5,46,87,4.2,1013,29,9,160,3,Leziria+do+Tejo
2019-01-24,29,22,0.0,12.7,6,73,09:43 PM,09:07 AM,05:47 AM,06:19 PM,23,29,29,25,5,43,90,18.1,1012,29,8,234,3,Leziria+do+Tejo
2019-01-25,27,22,0.0,11.9,5,66,10:29 PM,10:03 AM,05:47 AM,06:19 PM,23,27,27,24,5,74,95,14.4,1012,27,4,124,3,Leziria+do+Tejo
2019-01-26,32,21,0.0,12.7,6,59,11:15 PM,10:56 AM,05:48 AM,06:19 PM,23,29,29,25,6,53,88,12.8,1011,32,4,157,3,Leziria+do+Tejo
2019-01-27,30,22,0.0,12.7,6,51,No moonrise,11:48 AM,05:48 AM,06:19 PM,23,29,29,26,6,46,89,14.5,1010,30,6,239,3,Leziria+do+Tejo
