date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,32,22,0.0,11.6,6,26,02:54 AM,03:31 PM,06:29 AM,07:02 PM,22,28,28,25,6,44,86,5.3,1011,32,7,213,3,Macao
2019-01-02,30,22,0.0,11.6,6,19,03:40 AM,04:21 PM,06:30 AM,07:03 PM,23,28,28,25,8,56,88,17.3,1012,30,6,149,5,Macao
2019-01-03,33,21,0.0,11.6,6,11,04:27 AM,05:13 PM,06:30 AM,07:03 PM,23,28,28,25,7,43,89,14.7,1012,33,9,102,4,Macao
2019-01-04,29,21,0.0,10.3,6,4,05:16 AM,06:03 PM,06:31 AM,07:03 PM,23,28,28,24,7,65,93,30.6,1013,29,6,278,5,Macao
2019-01-05,32,22,0.0,11.6,6,0,06:05 AM,06:53 PM,06:31 AM,07:04 PM,21,28,28,25,7,41,81,17.3,1013,32,9,271,4,Macao
2019-01-06,34,22,0.0,11.6,7,0,06:55 AM,07:42 PM,06:32 AM,07:04 PM,21,29,29,27,8,23,73,0.0,1011,34,9,330,5,Macao
2019-01-07,33,22,0.0,11.6,7,3,07:44 AM,08:28 PM,06:32 AM,07:05 PM,21,29,29,27,9,34,71,0.0,1010,33,10,103,5,Macao
2019-01-08,30,22,0.0,9.0,6,10,08:32 AM,09:14 PM,06:33 AM,07:05 PM,22,29,29,26,9,57,82,8.7,1011,30,10,121,6,Macao
2019-01-09,30,21,0.0,11.6,6,18,09:20 AM,09:56 PM,06:33 AM,07:05 PM,22,28,28,25,7,54,86,7.7,1011,30,7,253,4,Macao
2019-01-10,30,22,0.0,11.6,6,25,10:05 AM,10:37 PM,06:34 AM,07:06 PM,22,28,28,25,8,45,82,4.9,1010,30,7,62,5,Macao
2019-01-11,31,21,0.0,11.6,6,32,10:50 AM,11:17 PM,06:34 AM,07:06 PM,22,28,28,25,9,53,85,16.0,1011,31,7,52,5,Macao
2019-01-12,28,22,0.0,9.0,5,39,11:35 AM,11:57 PM,06:35 AM,07:06 PM,22,26,26,23,5,70,92,40.5,1013,28,7,235,3,Macao
2019-01-13,30,21,0.0,11.6,6,47,12:20 PM,No moonset,06:35 AM,07:06 PM,21,28,28,25,6,41,82,4.1,1012,30,7,279,4,Macao
2019-01-14,30,21,0.0,11.6,6,54,01:07 PM,12:38 AM,06:36 AM,07:07 PM,23,28,28,25,6,47,89,17.6,1012,30,6,28,3,Macao
2019-01-15,31,22,0.0,11.6,6,61,01:56 PM,01:21 AM,06:36 AM,07:07 PM,23,28,28,25,5,37,92,52.4,1012,31,6,234,2,Macao
2019-01-16,30,21,0.0,11.6,6,69,02:48 PM,02:06 AM,06:37 AM,07:07 PM,23,28,28,24,5,49,93,51.1,1014,30,4,210,3,Macao
2019-01-17,30,21,0.0,11.6,6,76,03:44 PM,02:56 AM,06:37 AM,07:07 PM,23,28,28,25,5,53,90,16.7,1014,30,5,291,2,Macao
2019-01-18,34,21,0.0,11.6,6,83,04:44 PM,03:50 AM,06:37 AM,07:08 PM,20,29,29,26,5,35,74,2.0,1013,34,10,258,3,Macao
2019-01-19,28,22,0.0,11.6,6,90,05:47 PM,04:49 AM,06:38 AM,07:08 PM,23,28,28,25,4,31,90,21.6,1013,28,8,197,2,Macao
2019-01-20,30,22,0.0,11.6,6,98,06:49 PM,05:52 AM,06:38 AM,07:08 PM,23,29,29,25,4,48,88,21.0,1013,30,6,146,2,Macao
2019-01-21,27,22,0.0,11.6,6,100,07:51 PM,06:57 AM,06:39 AM,07:08 PM,24,28,28,25,4,54,95,40.8,1013,27,6,233,2,Macao
2019-01-22,31,22,0.0,11.6,6,88,08:48 PM,08:00 AM,06:39 AM,07:08 PM,22,28,28,25,8,69,86,6.1,1014,31,6,20,5,Macao
2019-01-23,29,22,0.0,10.3,6,81,09:43 PM,09:01 AM,06:40 AM,07:08 PM,22,27,27,24,6,45,90,12.7,1014,29,9,104,4,Macao
2019-01-24,35,21,0.0,11.6,6,73,10:33 PM,09:59 AM,06:40 AM,07:08 PM,21,29,29,26,7,45,77,0.8,1013,35,7,278,3,Macao
