date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,29,23,0.0,12.6,6,26,02:13 AM,02:42 PM,05:55 AM,06:14 PM,23,29,29,26,7,59,88,11.0,1012,29,8,77,4,Moncao
2019-01-02,33,23,0.0,11.8,6,19,03:00 AM,03:32 PM,05:55 AM,06:14 PM,23,30,30,27,11,56,81,1.4,1012,33,7,117,7,Moncao
2019-01-03,31,23,0.0,11.8,6,11,03:48 AM,04:21 PM,05:56 AM,06:15 PM,23,30,30,26,11,53,85,6.2,1011,31,7,52,7,Moncao
2019-01-04,33,23,0.0,12.6,6,4,04:37 AM,05:12 PM,05:56 AM,06:15 PM,23,30,30,27,12,36,83,12.4,1012,33,9,49,7,Moncao
2019-01-05,31,23,0.0,12.6,6,0,05:27 AM,06:02 PM,05:57 AM,06:16 PM,24,30,30,26,11,39,86,9.9,1012,31,7,40,7,Moncao
2019-01-06,32,23,0.0,12.6,6,0,06:16 AM,06:51 PM,05:57 AM,06:16 PM,23,29,29,26,10,54,87,21.6,1012,32,7,48,6,Moncao
2019-01-07,27,22,0.0,7.9,5,3,07:06 AM,07:39 PM,05:58 AM,06:16 PM,23,27,27,24,4,92,94,10.2,1013,27,6,115,3,Moncao
2019-01-08,28,23,0.0,9.2,6,10,07:53 AM,08:24 PM,05:58 AM,06:17 PM,23,28,28,25,4,76,92,15.0,1012,28,7,116,3,Moncao
2019-01-09,27,23,0.0,10.5,6,18,08:39 AM,09:08 PM,05:59 AM,06:17 PM,23,27,27,24,7,69,95,25.0,1011,27,9,209,5,Moncao
2019-01-10,29,22,0.0,12.6,6,25,09:25 AM,09:50 PM,05:59 AM,06:18 PM,23,28,28,25,7,39,90,7.4,1011,29,9,102,5,Moncao
2019-01-11,30,22,0.0,12.2,6,32,10:08 AM,10:31 PM,06:00 AM,06:18 PM,23,29,29,25,6,48,87,5.7,1012,30,5,130,3,Moncao
2019-01-12,29,22,0.0,12.2,6,39,10:51 AM,11:13 PM,06:00 AM,06:18 PM,23,28,28,25,8,64,89,0.9,1012,29,6,168,5,Moncao
2019-01-13,30,22,0.0,12.2,6,47,11:36 AM,11:55 PM,06:00 AM,06:19 PM,23,29,29,25,8,61,90,14.9,1012,30,8,73,5,Moncao
2019-01-14,29,22,0.0,10.2,6,54,12:20 PM,No moonset,06:01 AM,06:19 PM,23,29,29,25,9,71,89,16.7,1012,29,7,120,6,Moncao
2019-01-15,32,23,0.0,11.6,6,61,01:08 PM,12:38 AM,06:01 AM,06:19 PM,23,29,29,26,5,59,85,6.7,1013,32,8,86,3,Moncao
2019-01-16,32,23,0.0,8.8,6,69,01:59 PM,01:25 AM,06:02 AM,06:20 PM,23,30,30,26,8,66,85,11.1,1013,32,8,64,5,Moncao
2019-01-17,32,23,0.0,10.2,6,76,02:53 PM,02:16 AM,06:02 AM,06:20 PM,24,30,30,26,8,66,88,11.0,1013,32,6,43,5,Moncao
2019-01-18,31,23,0.0,11.6,6,83,03:52 PM,03:11 AM,06:02 AM,06:20 PM,24,30,30,26,8,52,88,26.2,1012,31,7,31,5,Moncao
2019-01-19,30,22,0.0,11.6,6,90,04:54 PM,04:10 AM,06:03 AM,06:20 PM,24,30,30,26,8,43,89,16.6,1012,30,6,37,5,Moncao
2019-01-20,31,23,0.0,11.6,6,98,05:57 PM,05:13 AM,06:03 AM,06:21 PM,24,30,30,26,9,37,89,23.9,1012,31,8,57,6,Moncao
2019-01-21,30,23,0.0,11.6,6,100,07:00 PM,06:17 AM,06:04 AM,06:21 PM,24,30,30,26,10,54,90,7.0,1012,30,5,67,5,Moncao
2019-01-22,30,23,0.0,10.2,6,88,07:59 PM,07:20 AM,06:04 AM,06:21 PM,24,30,30,26,8,66,91,8.0,1012,30,6,163,5,Moncao
2019-01-23,31,23,0.0,10.2,6,81,08:54 PM,08:19 AM,06:04 AM,06:21 PM,24,30,30,26,8,60,89,4.7,1012,31,7,155,5,Moncao
2019-01-24,30,22,0.0,10.2,6,73,09:47 PM,09:16 AM,06:04 AM,06:21 PM,24,29,29,26,8,56,89,18.5,1012,30,8,79,5,Moncao
2019-01-25,29,23,0.0,11.6,6,66,10:36 PM,10:09 AM,06:05 AM,06:21 PM,24,29,29,25,9,51,92,28.4,1012,29,8,100,5,Moncao
2019-01-26,29,22,0.0,7.5,6,59,11:24 PM,11:01 AM,06:05 AM,06:22 PM,23,28,28,25,6,78,90,13.5,1013,29,8,69,4,Moncao
2019-01-27,31,23,0.0,10.2,6,51,No moonrise,11:51 AM,06:05 AM,06:22 PM,23,28,28,25,9,49,88,10.1,1012,31,6,84,5,Moncao
2019-01-28,31,22,0.0,11.6,6,44,12:11 AM,12:40 PM,06:06 AM,06:22 PM,23,30,30,26,9,43,86,2.6,1012,31,8,58,6,Moncao
2019-01-29,32,23,0.0,10.2,6,37,12:58 AM,01:30 PM,06:06 AM,06:22 PM,24,30,30,26,7,70,87,3.8,1012,32,7,72,5,Moncao
2019-01-30,31,23,0.0,8.8,6,30,01:46 AM,02:19 PM,06:06 AM,06:22 PM,24,30,30,26,8,73,88,11.1,1012,31,7,53,5,Moncao
2019-01-31,30,23,0.0,8.8,6,26,02:34 AM,03:09 PM,06:06 AM,06:22 PM,24,29,29,26,8,65,90,11.3,1012,30,9,26,5,Moncao
