date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,15,10,0.0,5.3,3,26,03:26 AM,02:21 PM,07:57 AM,05:20 PM,3,11,12,11,13,38,54,0.0,1032,15,10,94,7,Montemor-o-Velho
2019-01-02,15,11,0.0,8.7,4,19,04:28 AM,02:56 PM,07:57 AM,05:20 PM,7,12,12,12,10,1,72,0.0,1030,15,10,146,6,Montemor-o-Velho
2019-01-03,15,8,0.0,8.7,4,11,05:29 AM,03:34 PM,07:57 AM,05:21 PM,4,10,11,10,14,0,61,0.0,1028,15,10,68,8,Montemor-o-Velho
2019-01-04,15,9,0.0,8.7,4,4,06:27 AM,04:17 PM,07:57 AM,05:22 PM,3,10,11,10,15,6,60,0.0,1030,15,10,80,8,Montemor-o-Velho
2019-01-05,15,9,0.0,8.7,4,0,07:22 AM,05:04 PM,07:57 AM,05:23 PM,2,10,11,10,15,2,56,0.0,1034,15,10,103,9,Montemor-o-Velho
2019-01-06,15,9,0.0,8.7,4,0,08:11 AM,05:56 PM,07:57 AM,05:24 PM,1,10,11,10,15,0,52,0.0,1032,15,10,137,9,Montemor-o-Velho
2019-01-07,16,9,0.0,8.7,4,3,08:55 AM,06:50 PM,07:57 AM,05:25 PM,1,10,12,10,23,0,48,0.0,1030,16,10,49,12,Montemor-o-Velho
2019-01-08,18,10,0.0,8.7,4,10,09:34 AM,07:46 PM,07:57 AM,05:26 PM,3,11,12,11,22,2,54,0.0,1029,18,10,62,12,Montemor-o-Velho
2019-01-09,16,11,0.0,8.7,4,18,10:08 AM,08:43 PM,07:57 AM,05:27 PM,5,11,12,11,19,2,62,0.0,1024,16,10,131,11,Montemor-o-Velho
2019-01-10,15,10,0.0,8.7,4,25,10:39 AM,09:41 PM,07:57 AM,05:28 PM,5,10,12,10,28,1,62,0.0,1020,15,10,72,16,Montemor-o-Velho
2019-01-11,13,7,0.0,8.7,4,32,11:08 AM,10:38 PM,07:57 AM,05:29 PM,0,8,10,8,27,1,52,0.0,1027,13,10,65,17,Montemor-o-Velho
2019-01-12,14,7,0.0,8.7,4,39,11:35 AM,11:37 PM,07:56 AM,05:30 PM,3,8,10,8,22,1,65,0.0,1030,14,10,54,13,Montemor-o-Velho
2019-01-13,13,8,0.0,8.7,4,47,12:02 PM,No moonset,07:56 AM,05:31 PM,4,9,10,9,19,1,67,0.0,1029,13,10,137,11,Montemor-o-Velho
2019-01-14,14,9,0.0,8.7,4,54,12:29 PM,12:35 AM,07:56 AM,05:32 PM,4,10,11,10,9,19,65,0.0,1025,14,10,127,6,Montemor-o-Velho
2019-01-15,14,10,0.0,5.3,3,61,12:59 PM,01:37 AM,07:55 AM,05:33 PM,6,11,12,11,10,53,71,0.0,1021,14,10,167,6,Montemor-o-Velho
2019-01-16,13,10,0.0,3.7,3,69,01:33 PM,02:41 AM,07:55 AM,05:34 PM,9,10,11,10,15,73,85,1.4,1019,13,9,177,9,Montemor-o-Velho
