date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,12,8,0.0,8.7,4,26,02:37 AM,02:01 PM,07:10 AM,05:17 PM,2,9,10,9,12,24,60,6.5,1021,12,10,136,8,Murca
2019-01-02,12,5,0.0,8.7,3,19,03:36 AM,02:39 PM,07:10 AM,05:18 PM,-4,8,9,8,8,9,44,0.0,1025,12,10,121,5,Murca
2019-01-03,15,7,0.0,8.7,4,11,04:34 AM,03:20 PM,07:10 AM,05:19 PM,-5,10,11,10,11,13,31,0.0,1022,15,10,89,6,Murca
2019-01-04,17,8,0.0,8.7,3,4,05:30 AM,04:04 PM,07:10 AM,05:20 PM,-3,11,12,11,28,29,35,0.1,1015,17,10,164,19,Murca
2019-01-05,11,4,0.0,8.7,3,0,06:24 AM,04:52 PM,07:10 AM,05:20 PM,-5,7,8,7,9,1,43,0.0,1022,11,10,180,6,Murca
2019-01-06,12,3,0.0,8.7,3,0,07:14 AM,05:42 PM,07:10 AM,05:21 PM,-8,7,7,7,10,7,33,0.0,1023,12,10,125,5,Murca
2019-01-07,14,5,0.0,7.1,3,3,08:01 AM,06:34 PM,07:10 AM,05:22 PM,-11,9,10,9,14,48,23,0.0,1018,14,10,84,7,Murca
2019-01-08,14,8,0.0,8.7,4,10,08:43 AM,07:28 PM,07:11 AM,05:23 PM,-7,11,11,11,13,12,28,0.0,1019,14,10,145,7,Murca
2019-01-09,14,6,0.0,8.7,4,18,09:21 AM,08:21 PM,07:11 AM,05:24 PM,-6,10,10,10,13,15,33,0.0,1020,14,10,96,7,Murca
2019-01-10,15,9,0.0,8.7,4,25,09:56 AM,09:15 PM,07:11 AM,05:24 PM,-4,11,12,11,12,10,33,0.1,1014,15,10,137,7,Murca
2019-01-11,13,6,0.0,8.7,3,32,10:29 AM,10:08 PM,07:11 AM,05:25 PM,-5,7,9,7,21,4,40,0.0,1018,13,10,203,14,Murca
2019-01-12,9,2,0.0,8.7,3,39,11:00 AM,11:02 PM,07:10 AM,05:26 PM,-7,5,5,5,8,4,42,0.0,1024,9,10,184,5,Murca
2019-01-13,11,1,0.0,8.7,3,47,11:31 AM,11:57 PM,07:10 AM,05:27 PM,-15,5,6,5,9,1,22,0.0,1025,11,10,116,5,Murca
2019-01-14,14,5,0.0,8.7,4,54,12:03 PM,No moonset,07:10 AM,05:28 PM,-17,8,9,8,10,15,14,0.0,1022,14,10,89,5,Murca
2019-01-15,17,7,0.0,8.7,4,61,12:36 PM,12:53 AM,07:10 AM,05:29 PM,-14,12,12,12,9,21,15,0.0,1018,17,10,108,5,Murca
2019-01-16,17,8,0.0,8.7,4,69,01:14 PM,01:52 AM,07:10 AM,05:30 PM,-7,13,13,13,5,6,26,0.0,1018,17,10,138,3,Murca
2019-01-17,16,8,0.0,8.7,4,76,01:56 PM,02:53 AM,07:10 AM,05:30 PM,-7,12,12,12,15,39,25,0.0,1017,16,10,73,8,Murca
2019-01-18,16,10,0.0,8.7,3,83,02:44 PM,03:57 AM,07:09 AM,05:31 PM,3,12,13,12,18,38,50,7.7,1013,16,10,111,11,Murca
2019-01-19,15,9,0.0,8.7,3,90,03:40 PM,05:03 AM,07:09 AM,05:32 PM,6,11,12,11,17,15,67,12.0,1012,15,10,113,11,Murca
2019-01-20,9,6,0.0,8.7,3,98,04:43 PM,06:07 AM,07:09 AM,05:33 PM,-5,5,7,5,23,1,43,2.0,1016,9,10,194,16,Murca
2019-01-21,6,2,0.0,8.7,2,100,05:52 PM,07:07 AM,07:09 AM,05:34 PM,-9,4,4,4,5,2,38,0.0,1020,6,10,184,4,Murca
2019-01-22,5,1,0.0,8.7,2,88,07:02 PM,08:02 AM,07:08 AM,05:35 PM,-8,3,4,3,5,3,41,0.0,1019,5,10,208,4,Murca
2019-01-23,7,1,0.0,8.7,3,81,08:13 PM,08:51 AM,07:08 AM,05:36 PM,-9,4,5,4,5,10,37,0.0,1022,7,10,147,4,Murca
2019-01-24,9,2,0.0,8.7,3,73,09:21 PM,09:34 AM,07:07 AM,05:37 PM,-10,4,5,4,12,3,33,0.0,1025,9,10,77,7,Murca
2019-01-25,9,2,0.0,8.7,3,66,10:26 PM,10:13 AM,07:07 AM,05:38 PM,-12,4,6,4,10,5,28,0.0,1023,9,10,113,6,Murca
2019-01-26,8,3,0.0,8.7,3,59,11:30 PM,10:50 AM,07:07 AM,05:39 PM,-9,4,6,4,15,20,34,0.0,1024,8,10,59,9,Murca
2019-01-27,11,3,0.0,8.7,3,51,No moonrise,11:26 AM,07:06 AM,05:40 PM,-6,6,7,6,12,1,42,0.0,1026,11,10,157,7,Murca
2019-01-28,13,4,0.0,8.7,3,44,12:31 AM,12:02 PM,07:06 AM,05:41 PM,-7,8,8,8,8,11,34,0.0,1025,13,10,87,5,Murca
2019-01-29,15,7,0.0,7.1,3,37,01:31 AM,12:40 PM,07:05 AM,05:41 PM,-5,11,11,11,10,51,32,0.3,1019,15,9,95,6,Murca
2019-01-30,12,9,0.0,3.9,3,30,02:29 AM,01:20 PM,07:04 AM,05:42 PM,3,10,11,10,19,84,60,16.3,1013,12,8,149,11,Murca
2019-01-31,11,6,0.0,8.7,3,26,03:26 AM,02:03 PM,07:04 AM,05:43 PM,-2,8,8,8,7,7,51,0.3,1018,11,10,164,5,Murca
2019-02-01,11,5,0.0,8.7,3,8,04:19 AM,02:48 PM,07:03 AM,05:44 PM,-3,9,9,9,5,10,46,0.0,1021,11,10,119,3,Murca
2019-02-02,15,6,0.0,8.7,4,1,05:11 AM,03:38 PM,07:03 AM,05:45 PM,-4,10,10,10,10,20,37,0.0,1020,15,10,89,6,Murca
2019-02-03,15,8,0.0,8.7,4,0,05:58 AM,04:29 PM,07:02 AM,05:46 PM,-3,11,12,11,16,21,35,0.0,1019,15,10,91,10,Murca
2019-02-04,7,7,0.0,3.9,2,0,06:41 AM,05:22 PM,07:01 AM,05:47 PM,3,6,8,6,17,67,71,35.5,1017,7,7,103,12,Murca
2019-02-05,7,4,0.0,8.7,2,0,07:21 AM,06:15 PM,07:00 AM,05:48 PM,-0,3,5,3,16,27,70,0.9,1022,7,9,200,13,Murca
