date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,32,24,0.0,11.6,6,26,01:29 AM,02:05 PM,05:08 AM,05:42 PM,21,30,30,28,18,30,70,1.0,1014,32,10,134,14,Nazare
2019-01-02,32,25,0.0,8.9,6,19,02:14 AM,02:56 PM,05:08 AM,05:42 PM,21,30,30,27,19,37,69,1.9,1015,32,10,123,14,Nazare
2019-01-03,32,24,0.0,11.6,6,11,03:01 AM,03:47 PM,05:09 AM,05:42 PM,20,29,29,27,17,18,68,0.4,1014,32,10,133,13,Nazare
2019-01-04,31,24,0.0,11.6,7,4,03:49 AM,04:37 PM,05:09 AM,05:43 PM,21,29,29,27,16,36,70,0.0,1015,31,10,137,12,Nazare
2019-01-05,30,24,0.0,11.6,6,0,04:38 AM,05:28 PM,05:10 AM,05:43 PM,21,29,29,27,19,49,72,3.8,1014,30,9,129,15,Nazare
2019-01-06,31,24,0.0,10.2,6,0,05:28 AM,06:16 PM,05:10 AM,05:44 PM,21,29,29,27,16,47,70,1.8,1014,31,10,128,12,Nazare
2019-01-07,31,24,0.0,11.6,6,3,06:17 AM,07:03 PM,05:11 AM,05:44 PM,21,29,29,27,16,29,70,0.7,1014,31,10,141,12,Nazare
2019-01-08,31,24,0.0,11.6,6,10,07:06 AM,07:48 PM,05:11 AM,05:44 PM,21,29,29,27,21,46,72,2.2,1013,31,10,139,14,Nazare
2019-01-09,31,24,0.0,11.6,6,18,07:53 AM,08:31 PM,05:12 AM,05:45 PM,20,29,29,27,20,40,70,1.7,1013,31,10,130,15,Nazare
2019-01-10,31,24,0.0,11.6,6,25,08:39 AM,09:12 PM,05:12 AM,05:45 PM,20,29,29,27,18,35,66,0.6,1013,31,10,135,14,Nazare
2019-01-11,32,24,0.0,11.6,6,32,09:25 AM,09:52 PM,05:13 AM,05:45 PM,20,29,29,27,20,24,67,1.3,1013,32,10,152,15,Nazare
2019-01-12,31,24,0.0,8.9,6,39,10:09 AM,10:32 PM,05:13 AM,05:45 PM,21,29,29,27,23,60,73,15.6,1013,31,9,157,14,Nazare
