date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,18,17,0.0,8.7,5,26,03:31 AM,02:32 PM,07:56 AM,05:32 PM,14,17,17,17,26,21,83,0.1,1018,18,10,169,19,Nordeste
2019-01-02,18,18,0.0,5.3,4,19,04:32 AM,03:08 PM,07:57 AM,05:33 PM,16,18,18,18,54,73,86,9.9,1019,18,9,168,38,Nordeste
2019-01-03,17,17,0.0,8.7,4,11,05:32 AM,03:48 PM,07:57 AM,05:34 PM,13,17,17,17,14,34,78,11.8,1019,17,9,199,11,Nordeste
2019-01-04,18,17,0.0,8.7,4,4,06:29 AM,04:31 PM,07:57 AM,05:35 PM,16,18,18,18,31,56,89,40.8,1020,18,8,172,20,Nordeste
2019-01-05,18,18,0.0,8.7,4,0,07:23 AM,05:19 PM,07:57 AM,05:36 PM,15,18,18,18,41,48,86,0.3,1023,18,10,152,30,Nordeste
2019-01-06,18,17,0.0,3.7,4,0,08:12 AM,06:10 PM,07:57 AM,05:37 PM,15,18,18,18,51,86,85,2.3,1021,18,9,144,37,Nordeste
2019-01-07,18,17,0.0,8.7,5,3,08:57 AM,07:04 PM,07:57 AM,05:38 PM,15,18,18,18,42,24,83,0.2,1025,18,10,135,30,Nordeste
2019-01-08,17,16,0.0,8.7,5,10,09:37 AM,08:00 PM,07:57 AM,05:39 PM,13,16,16,16,33,37,78,0.1,1027,17,10,127,25,Nordeste
2019-01-09,17,16,0.0,8.7,5,18,10:11 AM,08:56 PM,07:57 AM,05:39 PM,12,16,16,16,32,49,77,0.0,1023,17,10,145,25,Nordeste
2019-01-10,17,16,0.0,7.0,4,25,10:43 AM,09:52 PM,07:56 AM,05:40 PM,13,16,16,16,43,75,80,42.9,1016,17,7,264,31,Nordeste
2019-01-11,16,16,0.0,7.0,4,32,11:13 AM,10:48 PM,07:56 AM,05:41 PM,12,16,16,16,38,61,78,0.9,1021,16,10,88,29,Nordeste
2019-01-12,17,16,0.0,7.0,4,39,11:41 AM,11:46 PM,07:56 AM,05:42 PM,12,16,16,16,37,48,76,1.5,1026,17,10,75,28,Nordeste
2019-01-13,17,16,0.0,7.0,4,47,12:09 PM,No moonset,07:56 AM,05:43 PM,12,16,16,16,35,60,76,0.3,1027,17,10,91,27,Nordeste
2019-01-14,17,16,0.0,8.7,4,54,12:38 PM,12:43 AM,07:56 AM,05:44 PM,12,16,16,16,21,38,76,0.6,1026,17,10,101,16,Nordeste
2019-01-15,17,16,0.0,8.7,5,61,01:10 PM,01:44 AM,07:55 AM,05:45 PM,12,17,17,17,9,23,73,0.2,1026,17,10,194,6,Nordeste
2019-01-16,16,15,0.0,8.7,5,69,01:45 PM,02:46 AM,07:55 AM,05:46 PM,11,16,16,16,18,26,74,0.2,1029,16,10,123,13,Nordeste
2019-01-17,15,14,0.0,8.7,4,76,02:25 PM,03:51 AM,07:55 AM,05:47 PM,7,15,15,15,7,2,59,0.0,1032,15,10,139,5,Nordeste
2019-01-18,17,16,0.0,8.7,5,83,03:14 PM,04:58 AM,07:54 AM,05:49 PM,13,16,16,16,21,20,80,0.0,1030,17,10,243,16,Nordeste
2019-01-19,17,15,0.0,5.4,4,90,04:10 PM,06:05 AM,07:54 AM,05:50 PM,14,16,16,16,24,44,83,0.3,1030,17,10,210,18,Nordeste
2019-01-20,17,15,0.0,8.7,5,98,05:16 PM,07:09 AM,07:53 AM,05:51 PM,11,16,16,16,8,18,73,0.0,1033,17,10,125,6,Nordeste
2019-01-21,17,15,0.0,7.0,4,100,06:26 PM,08:07 AM,07:53 AM,05:52 PM,13,16,16,16,28,65,81,0.9,1032,17,10,169,21,Nordeste
2019-01-22,16,15,0.0,7.1,4,88,07:40 PM,08:57 AM,07:52 AM,05:53 PM,12,15,15,15,27,72,79,0.1,1033,16,10,33,22,Nordeste
2019-01-23,17,16,0.0,8.7,4,81,08:54 PM,09:42 AM,07:52 AM,05:54 PM,14,16,16,16,24,36,83,0.7,1030,17,10,117,18,Nordeste
2019-01-24,17,16,0.0,8.7,5,73,10:05 PM,10:20 AM,07:51 AM,05:55 PM,12,17,17,17,27,15,77,0.2,1024,17,10,156,20,Nordeste
2019-01-25,17,16,0.0,8.7,4,66,11:14 PM,10:55 AM,07:50 AM,05:56 PM,13,16,16,16,29,28,82,0.3,1022,17,10,133,22,Nordeste
2019-01-26,16,16,0.0,5.4,4,59,No moonrise,11:29 AM,07:50 AM,05:57 PM,11,16,16,16,21,52,74,0.2,1027,16,10,77,16,Nordeste
