date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,35,21,0.0,12.7,6,26,01:57 AM,02:33 PM,05:37 AM,06:08 PM,20,30,30,27,7,30,68,1.7,1012,35,9,182,4,Oeiras
2019-01-02,35,22,0.0,12.7,8,19,02:43 AM,03:24 PM,05:37 AM,06:08 PM,18,30,30,29,11,31,56,0.0,1013,35,10,127,7,Oeiras
2019-01-03,36,24,0.0,12.7,8,11,03:31 AM,04:14 PM,05:38 AM,06:08 PM,17,31,31,29,14,27,50,0.0,1011,36,10,93,9,Oeiras
2019-01-04,35,23,0.0,12.7,7,4,04:19 AM,05:05 PM,05:38 AM,06:09 PM,17,30,30,28,10,41,50,0.0,1012,35,10,79,6,Oeiras
2019-01-05,35,23,0.0,12.7,7,0,05:08 AM,05:55 PM,05:39 AM,06:09 PM,18,30,30,28,9,26,54,0.0,1012,35,10,94,6,Oeiras
2019-01-06,32,22,0.0,9.3,6,0,05:58 AM,06:44 PM,05:39 AM,06:10 PM,19,29,29,27,9,58,65,4.7,1012,32,9,156,5,Oeiras
2019-01-07,32,22,0.0,11.9,6,3,06:47 AM,07:31 PM,05:40 AM,06:10 PM,20,28,28,26,9,55,73,5.5,1013,32,10,117,5,Oeiras
2019-01-08,31,21,0.0,12.7,6,10,07:36 AM,08:15 PM,05:40 AM,06:10 PM,20,27,27,25,12,43,75,8.6,1012,31,10,124,7,Oeiras
2019-01-09,32,22,0.0,12.7,6,18,08:22 AM,08:59 PM,05:41 AM,06:11 PM,21,28,28,26,13,47,76,19.9,1011,32,8,89,7,Oeiras
2019-01-10,30,22,0.0,11.9,6,25,09:08 AM,09:40 PM,05:41 AM,06:11 PM,21,27,27,25,8,46,81,3.5,1012,30,9,143,5,Oeiras
2019-01-11,34,22,0.0,12.7,7,32,09:53 AM,10:20 PM,05:42 AM,06:11 PM,19,29,29,27,12,22,62,0.0,1012,34,10,124,8,Oeiras
2019-01-12,34,22,0.0,12.7,7,39,10:38 AM,11:00 PM,05:42 AM,06:12 PM,18,29,29,27,8,29,59,0.0,1012,34,10,80,5,Oeiras
2019-01-13,34,21,0.0,12.7,6,47,11:23 AM,11:41 PM,05:43 AM,06:12 PM,20,30,30,28,8,27,68,0.9,1012,34,9,179,4,Oeiras
2019-01-14,32,23,0.0,10.6,6,54,12:09 PM,No moonset,05:43 AM,06:12 PM,22,29,29,26,8,49,78,11.9,1012,32,10,106,5,Oeiras
2019-01-15,33,23,0.0,12.7,6,61,12:58 PM,12:23 AM,05:44 AM,06:12 PM,22,30,30,27,9,44,79,14.1,1013,33,9,121,5,Oeiras
