date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,8,5,0.0,4.8,2,26,03:39 AM,01:39 PM,08:44 AM,04:12 PM,2,1,7,1,67,76,74,1.6,1020,8,8,295,43,Oeste
2019-01-02,4,1,0.0,7.7,2,19,04:52 AM,02:04 PM,08:44 AM,04:13 PM,-4,-1,3,-1,44,7,57,0.0,1031,4,10,320,26,Oeste
2019-01-03,4,1,0.0,7.7,2,11,06:02 AM,02:33 PM,08:44 AM,04:14 PM,-2,-1,2,-1,21,19,75,0.0,1036,4,10,322,11,Oeste
2019-01-04,6,3,0.0,2.9,2,4,07:07 AM,03:10 PM,08:43 AM,04:15 PM,3,1,5,1,44,100,86,0.8,1030,6,9,312,27,Oeste
2019-01-05,8,6,0.0,6.8,2,0,08:05 AM,03:55 PM,08:43 AM,04:16 PM,6,4,7,4,41,85,92,2.6,1024,8,7,328,26,Oeste
2019-01-06,6,4,0.0,2.9,2,0,08:55 AM,04:47 PM,08:43 AM,04:18 PM,4,3,5,3,20,83,94,1.0,1029,6,3,330,12,Oeste
2019-01-07,7,5,0.0,4.8,2,3,09:36 AM,05:46 PM,08:42 AM,04:19 PM,5,2,6,2,38,88,92,6.8,1023,7,7,268,24,Oeste
2019-01-08,7,4,0.1,2.9,2,10,10:08 AM,06:49 PM,08:42 AM,04:21 PM,2,1,6,1,68,93,77,4.7,1004,7,9,307,42,Oeste
2019-01-09,4,1,0.0,7.8,2,18,10:34 AM,07:56 PM,08:41 AM,04:22 PM,-3,-3,2,-3,50,37,69,0.0,1016,4,10,149,31,Oeste
2019-01-10,3,1,0.1,2.9,1,25,10:56 AM,09:03 PM,08:40 AM,04:24 PM,-1,-2,2,-2,21,89,79,2.0,1024,3,9,209,13,Oeste
2019-01-11,7,4,0.0,2.9,2,32,11:15 AM,10:10 PM,08:39 AM,04:25 PM,4,1,6,1,40,84,92,2.0,1018,7,7,296,24,Oeste
2019-01-12,7,5,0.0,3.0,2,39,11:33 AM,11:19 PM,08:39 AM,04:27 PM,4,2,6,2,51,96,88,5.0,1010,7,8,288,31,Oeste
2019-01-13,8,6,0.0,3.0,2,47,11:49 AM,No moonset,08:38 AM,04:28 PM,5,2,7,2,60,88,88,3.6,996,8,10,289,37,Oeste
2019-01-14,4,3,0.2,4.9,1,54,12:07 PM,12:29 AM,08:37 AM,04:30 PM,-2,-2,4,-2,59,58,65,1.1,1005,4,6,323,37,Oeste
