date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,15,10,0.0,8.7,4,26,04:29 AM,03:14 PM,09:06 AM,06:08 PM,7,11,12,11,9,2,71,0.0,1033,15,10,184,6,Oleiros
2019-01-02,12,8,0.0,8.7,3,19,05:33 AM,03:47 PM,09:06 AM,06:09 PM,7,7,10,7,21,2,83,0.0,1033,12,10,72,14,Oleiros
2019-01-03,15,8,0.0,8.7,4,11,06:35 AM,04:24 PM,09:06 AM,06:10 PM,5,9,10,9,14,1,73,0.0,1029,15,10,104,8,Oleiros
2019-01-04,16,8,0.0,8.7,4,4,07:35 AM,05:06 PM,09:06 AM,06:10 PM,3,10,11,10,11,5,60,0.0,1031,16,10,123,6,Oleiros
2019-01-05,15,8,0.0,8.7,4,0,08:30 AM,05:53 PM,09:06 AM,06:11 PM,3,10,11,10,10,0,58,0.0,1035,15,10,175,6,Oleiros
2019-01-06,13,7,0.0,8.7,3,0,09:20 AM,06:44 PM,09:06 AM,06:12 PM,3,8,9,8,16,5,63,0.0,1034,13,10,100,9,Oleiros
2019-01-07,12,8,0.0,8.7,3,3,10:03 AM,07:40 PM,09:06 AM,06:13 PM,5,7,9,7,21,4,75,0.0,1034,12,10,71,13,Oleiros
2019-01-08,13,8,0.0,8.7,4,10,10:41 AM,08:37 PM,09:05 AM,06:14 PM,6,7,10,7,24,5,80,0.0,1033,13,10,66,15,Oleiros
2019-01-09,12,9,0.0,8.7,3,18,11:14 AM,09:36 PM,09:05 AM,06:16 PM,8,8,10,8,26,28,85,0.0,1029,12,10,49,17,Oleiros
2019-01-10,11,9,0.0,8.7,3,25,11:43 AM,10:34 PM,09:05 AM,06:17 PM,5,6,9,6,33,8,73,0.0,1026,11,10,61,23,Oleiros
2019-01-11,12,8,0.0,8.7,3,32,12:10 PM,11:34 PM,09:05 AM,06:18 PM,4,6,9,6,30,3,71,0.0,1030,12,10,69,20,Oleiros
2019-01-12,12,8,0.0,8.7,4,39,12:35 PM,No moonset,09:04 AM,06:19 PM,6,7,10,7,26,10,79,0.0,1034,12,10,58,17,Oleiros
2019-01-13,13,9,0.0,8.7,4,47,01:00 PM,12:34 AM,09:04 AM,06:20 PM,7,9,10,9,17,20,83,0.0,1032,13,10,52,11,Oleiros
2019-01-14,13,10,0.0,8.7,3,54,01:26 PM,01:36 AM,09:03 AM,06:21 PM,8,10,11,10,14,42,85,0.3,1027,13,10,55,9,Oleiros
2019-01-15,14,9,0.0,6.9,3,61,01:54 PM,02:38 AM,09:03 AM,06:22 PM,7,9,10,9,12,35,78,0.0,1021,14,10,172,7,Oleiros
2019-01-16,12,9,0.0,7.0,3,69,02:25 PM,03:45 AM,09:02 AM,06:24 PM,8,9,10,9,17,76,85,4.7,1018,12,9,210,11,Oleiros
2019-01-17,11,8,0.0,8.7,2,76,03:03 PM,04:53 AM,09:02 AM,06:25 PM,5,8,9,8,12,30,76,3.1,1023,11,10,178,8,Oleiros
2019-01-18,10,7,0.0,3.5,2,83,03:49 PM,06:02 AM,09:01 AM,06:26 PM,7,6,9,6,22,87,87,5.3,1020,10,9,202,15,Oleiros
2019-01-19,12,10,0.0,3.5,3,90,04:43 PM,07:11 AM,09:01 AM,06:27 PM,9,8,10,8,24,97,92,35.7,1011,12,7,215,16,Oleiros
2019-01-20,11,10,0.0,9.3,3,98,05:49 PM,08:15 AM,09:00 AM,06:29 PM,8,8,10,8,29,40,85,9.2,1020,11,10,266,19,Oleiros
2019-01-21,12,9,0.0,9.7,3,100,07:01 PM,09:12 AM,08:59 AM,06:30 PM,7,9,10,9,13,41,80,0.8,1026,12,10,112,9,Oleiros
2019-01-22,11,9,0.0,4.9,2,88,08:18 PM,10:00 AM,08:59 AM,06:31 PM,8,7,10,7,27,100,85,22.5,1021,11,8,292,18,Oleiros
2019-01-23,12,11,0.0,4.9,3,81,09:35 PM,10:41 AM,08:58 AM,06:32 PM,11,9,12,9,36,100,93,21.6,1017,12,8,312,24,Oleiros
2019-01-24,12,12,0.0,4.9,3,73,10:50 PM,11:17 AM,08:57 AM,06:34 PM,11,10,12,10,28,91,95,6.7,1020,12,6,227,18,Oleiros
2019-01-25,12,9,0.0,9.8,3,66,No moonrise,11:48 AM,08:56 AM,06:35 PM,8,9,11,9,15,49,86,1.0,1025,12,10,27,10,Oleiros
2019-01-26,12,8,0.0,9.8,2,59,12:03 AM,12:17 PM,08:55 AM,06:36 PM,7,9,10,9,14,55,84,0.3,1022,12,9,176,9,Oleiros
2019-01-27,11,10,0.0,6.6,3,51,01:13 AM,12:47 PM,08:54 AM,06:38 PM,7,8,11,8,29,84,77,3.7,1022,11,9,308,20,Oleiros
2019-01-28,11,9,0.0,4.9,3,44,02:20 AM,01:17 PM,08:53 AM,06:39 PM,8,8,11,8,23,88,86,4.6,1023,11,9,291,15,Oleiros
2019-01-29,12,9,0.0,4.9,3,37,03:26 AM,01:49 PM,08:53 AM,06:40 PM,7,7,10,7,34,95,83,15.5,1017,12,8,271,22,Oleiros
2019-01-30,10,4,0.0,5.0,2,30,04:29 AM,02:24 PM,08:52 AM,06:42 PM,7,5,8,5,29,85,86,18.4,1010,10,8,231,19,Oleiros
2019-01-31,13,9,0.0,5.0,3,26,05:30 AM,03:05 PM,08:50 AM,06:43 PM,10,9,11,9,39,96,91,30.3,997,13,8,256,26,Oleiros
2019-02-01,9,8,0.0,5.0,2,8,06:25 AM,03:50 PM,08:49 AM,06:44 PM,5,4,8,4,63,82,77,31.2,992,9,7,286,38,Oleiros
2019-02-02,9,7,0.0,5.0,2,1,07:17 AM,04:39 PM,08:48 AM,06:46 PM,3,4,8,4,34,75,72,12.4,1017,9,9,313,22,Oleiros
2019-02-03,11,5,0.0,10.0,3,0,08:02 AM,05:33 PM,08:47 AM,06:47 PM,3,6,8,6,12,24,70,0.5,1029,11,10,168,8,Oleiros
2019-02-04,12,8,0.0,5.0,3,0,08:41 AM,06:30 PM,08:46 AM,06:49 PM,6,6,10,6,29,63,78,0.0,1028,12,10,196,19,Oleiros
2019-02-05,13,10,0.0,10.0,3,0,09:16 AM,07:28 PM,08:45 AM,06:50 PM,9,10,11,10,21,49,88,0.0,1028,13,10,193,14,Oleiros
2019-02-06,13,10,0.0,8.3,3,7,09:46 AM,08:27 PM,08:44 AM,06:51 PM,8,8,11,8,25,53,86,1.0,1025,13,10,196,16,Oleiros
2019-02-07,12,8,0.0,10.1,3,14,10:13 AM,09:27 PM,08:42 AM,06:53 PM,7,9,10,9,16,49,80,2.6,1025,12,10,228,10,Oleiros
2019-02-08,12,8,0.0,5.1,3,22,10:39 AM,10:26 PM,08:41 AM,06:54 PM,8,7,10,7,30,79,85,1.2,1020,12,8,204,19,Oleiros
2019-02-09,13,11,0.0,5.1,3,29,11:04 AM,11:27 PM,08:40 AM,06:55 PM,9,9,12,9,32,83,85,6.0,1018,13,9,224,20,Oleiros
2019-02-10,12,9,0.0,10.2,3,37,11:29 AM,No moonset,08:39 AM,06:57 PM,7,9,11,9,29,46,77,12.2,1020,12,8,270,19,Oleiros
2019-02-11,12,7,0.0,10.2,3,44,11:55 AM,12:28 AM,08:37 AM,06:58 PM,5,8,9,8,12,9,75,0.0,1031,12,10,116,8,Oleiros
2019-02-12,16,8,0.0,10.6,4,52,12:24 PM,01:31 AM,08:36 AM,07:00 PM,6,10,11,10,12,7,72,0.0,1030,16,10,154,7,Oleiros
2019-02-13,17,9,0.0,10.7,4,60,12:58 PM,02:36 AM,08:34 AM,07:01 PM,7,11,12,11,13,1,72,0.0,1028,17,10,172,7,Oleiros
2019-02-14,19,9,0.0,10.7,4,67,01:38 PM,03:43 AM,08:33 AM,07:02 PM,8,12,13,12,18,1,70,0.0,1025,19,10,148,10,Oleiros
2019-02-15,16,11,0.0,6.9,3,75,02:26 PM,04:50 AM,08:32 AM,07:04 PM,7,12,13,12,19,47,71,0.0,1024,16,10,184,9,Oleiros
2019-02-16,18,10,0.0,10.8,4,82,03:25 PM,05:55 AM,08:30 AM,07:05 PM,8,12,13,12,15,7,73,0.0,1023,18,10,174,8,Oleiros
2019-02-17,13,8,0.0,6.9,3,90,04:32 PM,06:54 AM,08:29 AM,07:06 PM,7,9,11,9,20,74,80,10.5,1018,13,8,186,12,Oleiros
2019-02-18,11,8,0.0,10.1,2,97,05:47 PM,07:47 AM,08:27 AM,07:08 PM,6,9,9,9,5,45,83,9.2,1020,11,9,241,4,Oleiros
2019-02-19,12,7,0.0,10.8,3,100,07:05 PM,08:31 AM,08:26 AM,07:09 PM,6,9,9,9,8,13,80,0.3,1021,12,10,140,5,Oleiros
2019-02-20,14,7,0.0,10.9,3,88,08:23 PM,09:10 AM,08:24 AM,07:10 PM,5,8,10,8,16,32,72,0.0,1021,14,10,184,10,Oleiros
2019-02-21,17,9,0.0,10.1,3,80,09:40 PM,09:44 AM,08:23 AM,07:12 PM,7,11,12,11,23,28,71,0.0,1023,17,10,160,13,Oleiros
2019-02-22,18,11,0.0,8.5,3,73,10:53 PM,10:15 AM,08:21 AM,07:13 PM,8,13,14,13,19,27,68,0.0,1026,18,10,152,10,Oleiros
2019-02-23,17,11,0.0,10.9,3,65,No moonrise,10:45 AM,08:20 AM,07:14 PM,9,13,13,13,18,19,76,0.0,1029,17,10,168,10,Oleiros
2019-02-24,19,12,0.0,10.1,4,57,12:05 AM,11:16 AM,08:18 AM,07:16 PM,10,14,14,14,14,19,73,0.0,1029,19,10,109,7,Oleiros
2019-02-25,19,12,0.0,11.0,5,50,01:14 AM,11:49 AM,08:17 AM,07:17 PM,10,14,15,14,13,11,75,0.0,1029,19,10,167,7,Oleiros
2019-02-26,20,12,0.0,11.0,5,42,02:20 AM,12:24 PM,08:15 AM,07:18 PM,10,15,15,15,13,2,72,0.0,1025,20,10,159,8,Oleiros
2019-02-27,14,11,0.0,10.1,3,35,03:23 AM,01:03 PM,08:13 AM,07:19 PM,8,11,13,11,24,26,73,0.5,1026,14,10,183,14,Oleiros
2019-02-28,15,9,0.0,11.1,4,27,04:21 AM,01:47 PM,08:12 AM,07:21 PM,9,10,12,10,16,18,84,0.0,1031,15,10,223,10,Oleiros
2019-03-01,15,10,0.0,10.1,3,26,05:14 AM,02:35 PM,08:10 AM,07:22 PM,10,11,12,11,18,41,87,0.5,1027,15,8,204,10,Oleiros
2019-03-02,16,11,0.0,11.2,4,19,06:01 AM,03:28 PM,08:08 AM,07:23 PM,10,11,13,11,21,36,85,0.3,1026,16,9,209,14,Oleiros
2019-03-03,13,11,0.0,7.1,3,12,06:41 AM,04:23 PM,08:07 AM,07:25 PM,10,10,12,10,46,58,83,6.3,1016,13,10,207,28,Oleiros
