date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,17,13,0.0,8.7,3,26,03:18 AM,02:22 PM,07:45 AM,05:25 PM,6,13,14,13,17,33,59,0.0,1030,17,10,96,10,Olhao
2019-01-02,17,12,0.0,8.7,4,19,04:18 AM,02:59 PM,07:45 AM,05:26 PM,6,13,14,13,16,10,57,0.0,1030,17,10,240,9,Olhao
2019-01-03,15,11,0.0,8.7,4,11,05:18 AM,03:38 PM,07:45 AM,05:27 PM,7,12,13,12,17,9,67,0.0,1026,15,10,130,10,Olhao
2019-01-04,15,12,0.0,8.7,4,4,06:15 AM,04:22 PM,07:45 AM,05:28 PM,9,13,14,13,22,19,73,0.1,1028,15,10,83,15,Olhao
2019-01-05,15,12,0.0,8.7,4,0,07:09 AM,05:10 PM,07:45 AM,05:29 PM,6,12,13,12,21,0,64,0.0,1032,15,10,49,13,Olhao
2019-01-06,17,11,0.0,8.7,4,0,07:59 AM,06:01 PM,07:45 AM,05:29 PM,4,12,13,12,17,0,53,0.0,1030,17,10,100,9,Olhao
2019-01-07,16,10,0.0,8.7,4,3,08:43 AM,06:54 PM,07:45 AM,05:30 PM,4,12,13,12,15,0,53,0.0,1028,16,10,95,8,Olhao
2019-01-08,16,12,0.0,8.7,4,10,09:24 AM,07:50 PM,07:45 AM,05:31 PM,4,13,14,13,18,0,51,0.0,1028,16,10,91,10,Olhao
2019-01-09,16,12,0.0,8.7,4,18,09:59 AM,08:45 PM,07:45 AM,05:32 PM,4,13,14,13,17,2,52,0.0,1022,16,10,111,9,Olhao
2019-01-10,16,12,0.0,8.7,4,25,10:31 AM,09:41 PM,07:45 AM,05:33 PM,6,12,14,12,25,0,62,0.0,1018,16,10,111,16,Olhao
2019-01-11,15,11,0.0,8.7,4,32,11:01 AM,10:37 PM,07:45 AM,05:34 PM,1,10,12,10,40,0,44,0.0,1023,15,10,65,27,Olhao
2019-01-12,14,10,0.0,8.7,4,39,11:30 AM,11:34 PM,07:45 AM,05:35 PM,2,9,12,9,30,0,53,0.0,1027,14,10,58,20,Olhao
2019-01-13,16,11,0.0,8.7,4,47,11:59 AM,No moonset,07:45 AM,05:36 PM,3,12,13,12,22,0,52,0.0,1027,16,10,80,13,Olhao
2019-01-14,16,11,0.0,8.7,4,54,12:28 PM,12:31 AM,07:44 AM,05:37 PM,4,12,13,12,14,0,56,0.0,1024,16,10,131,8,Olhao
2019-01-15,15,11,0.0,8.7,4,61,01:00 PM,01:31 AM,07:44 AM,05:38 PM,6,12,13,12,12,6,64,0.0,1021,15,10,208,8,Olhao
2019-01-16,15,11,0.0,7.0,3,69,01:35 PM,02:32 AM,07:44 AM,05:39 PM,8,12,13,12,11,28,75,0.3,1020,15,10,152,7,Olhao
2019-01-17,14,11,0.0,7.0,3,76,02:16 PM,03:37 AM,07:43 AM,05:40 PM,8,11,13,11,18,43,75,0.4,1019,14,10,153,13,Olhao
2019-01-18,15,10,0.0,8.7,4,83,03:04 PM,04:44 AM,07:43 AM,05:41 PM,5,10,12,10,22,27,65,0.3,1021,15,9,235,14,Olhao
2019-01-19,16,13,0.0,5.4,3,90,04:00 PM,05:51 AM,07:43 AM,05:42 PM,12,13,14,13,29,82,83,2.8,1019,16,9,291,20,Olhao
2019-01-20,16,12,0.0,8.7,4,98,05:05 PM,06:54 AM,07:42 AM,05:43 PM,9,12,14,12,39,16,71,0.1,1018,16,10,320,28,Olhao
2019-01-21,15,10,0.0,8.7,4,100,06:15 PM,07:53 AM,07:42 AM,05:44 PM,6,10,12,10,27,3,68,0.0,1022,15,10,308,19,Olhao
2019-01-22,14,9,0.0,7.1,3,88,07:29 PM,08:44 AM,07:41 AM,05:45 PM,7,10,12,10,30,50,70,0.0,1023,14,10,324,21,Olhao
2019-01-23,16,12,0.0,8.7,4,81,08:42 PM,09:29 AM,07:41 AM,05:46 PM,9,12,14,12,38,14,74,0.0,1020,16,10,316,26,Olhao
2019-01-24,18,14,0.0,8.7,5,73,09:53 PM,10:08 AM,07:40 AM,05:47 PM,12,15,16,15,33,14,78,0.0,1016,18,10,334,21,Olhao
2019-01-25,18,13,0.0,8.7,5,66,11:01 PM,10:44 AM,07:40 AM,05:49 PM,10,15,15,15,26,0,72,0.0,1018,18,10,50,15,Olhao
2019-01-26,17,14,0.0,8.7,5,59,No moonrise,11:18 AM,07:39 AM,05:50 PM,9,15,15,15,19,2,68,0.0,1020,17,10,101,10,Olhao
2019-01-27,15,12,0.0,8.7,4,51,12:07 AM,11:51 AM,07:38 AM,05:51 PM,8,12,13,12,26,13,72,0.0,1021,15,10,332,18,Olhao
2019-01-28,16,11,0.0,8.7,4,44,01:11 AM,12:24 PM,07:38 AM,05:52 PM,8,11,13,11,34,7,71,0.0,1025,16,10,338,24,Olhao
2019-01-29,15,12,0.0,7.1,3,37,02:12 AM,01:00 PM,07:37 AM,05:53 PM,10,12,13,12,25,32,79,0.1,1023,15,10,306,17,Olhao
2019-01-30,16,12,0.0,3.8,3,30,03:13 AM,01:39 PM,07:36 AM,05:54 PM,11,13,14,13,32,74,83,0.4,1019,16,9,282,22,Olhao
2019-01-31,16,13,0.0,5.5,4,26,04:10 AM,02:20 PM,07:35 AM,05:55 PM,12,14,15,14,44,71,82,0.6,1012,16,9,261,31,Olhao
2019-02-01,15,12,0.0,8.7,3,8,05:05 AM,03:06 PM,07:35 AM,05:56 PM,9,12,14,12,58,58,73,13.5,1006,15,9,280,42,Olhao
2019-02-02,13,11,0.0,8.7,4,1,05:56 AM,03:56 PM,07:34 AM,05:57 PM,4,9,12,9,39,3,61,0.0,1018,13,10,325,28,Olhao
2019-02-03,14,9,0.0,8.7,4,0,06:41 AM,04:48 PM,07:33 AM,05:58 PM,2,8,11,8,27,2,56,0.0,1028,14,10,197,19,Olhao
2019-02-04,15,9,0.0,8.7,4,0,07:23 AM,05:43 PM,07:32 AM,05:59 PM,2,10,12,10,23,3,52,0.0,1029,15,10,31,14,Olhao
2019-02-05,17,11,0.0,10.7,4,0,08:00 AM,06:39 PM,07:31 AM,06:00 PM,5,13,14,13,17,6,54,0.0,1028,17,10,97,9,Olhao
2019-02-06,17,13,0.0,10.7,4,7,08:33 AM,07:35 PM,07:30 AM,06:01 PM,8,14,14,14,16,11,64,0.0,1026,17,10,165,9,Olhao
2019-02-07,17,12,0.0,10.7,4,14,09:04 AM,08:31 PM,07:29 AM,06:02 PM,7,13,14,13,18,7,63,0.0,1025,17,10,161,10,Olhao
