date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,22,10,0.0,10.9,5,26,03:25 AM,03:04 PM,07:20 AM,06:12 PM,5,16,16,16,8,4,51,0.0,1015,22,10,178,6,Paredes
2019-01-02,22,7,0.0,10.9,5,19,04:19 AM,03:47 PM,07:20 AM,06:13 PM,7,14,15,14,12,16,65,0.0,1016,22,10,151,6,Paredes
2019-01-03,21,10,0.0,10.9,5,11,05:14 AM,04:32 PM,07:21 AM,06:13 PM,3,15,15,15,12,11,44,0.0,1016,21,10,235,7,Paredes
2019-01-04,23,10,0.0,10.9,5,4,06:06 AM,05:20 PM,07:21 AM,06:14 PM,3,16,16,16,8,11,43,0.0,1017,23,10,206,5,Paredes
2019-01-05,23,11,0.0,10.9,5,0,06:58 AM,06:09 PM,07:21 AM,06:14 PM,6,16,16,16,12,6,55,0.0,1018,23,10,60,5,Paredes
2019-01-06,24,6,0.0,10.9,5,0,07:47 AM,06:59 PM,07:21 AM,06:15 PM,6,17,17,17,6,5,54,0.0,1018,24,10,139,5,Paredes
2019-01-07,24,13,0.0,10.9,5,3,08:33 AM,07:50 PM,07:22 AM,06:16 PM,8,18,18,18,16,6,55,0.0,1018,24,10,101,5,Paredes
2019-01-08,22,8,0.0,10.9,5,10,09:16 AM,08:41 PM,07:22 AM,06:16 PM,3,13,14,13,17,6,56,0.0,1021,22,10,40,8,Paredes
2019-01-09,18,7,0.0,11.0,4,18,09:56 AM,09:31 PM,07:22 AM,06:17 PM,5,10,11,10,20,15,68,0.0,1024,18,10,50,11,Paredes
2019-01-10,21,8,0.0,11.0,5,25,10:33 AM,10:20 PM,07:22 AM,06:18 PM,6,13,13,13,11,18,66,0.0,1022,21,10,83,6,Paredes
2019-01-11,22,9,0.0,11.0,5,32,11:09 AM,11:10 PM,07:22 AM,06:18 PM,7,15,15,15,13,15,64,0.0,1017,22,10,186,6,Paredes
2019-01-12,22,10,0.0,11.0,5,39,11:45 AM,12:00 AM,07:22 AM,06:19 PM,7,15,15,15,10,13,63,1.0,1018,22,10,195,4,Paredes
2019-01-13,16,10,0.0,11.0,4,47,12:20 PM,No moonset,07:22 AM,06:20 PM,8,12,13,12,18,34,76,0.8,1021,16,10,64,9,Paredes
2019-01-14,18,9,0.0,11.0,4,54,12:57 PM,12:50 AM,07:22 AM,06:20 PM,6,11,12,11,19,22,70,0.0,1023,18,10,50,8,Paredes
2019-01-15,20,7,0.0,11.0,4,61,01:36 PM,01:44 AM,07:22 AM,06:21 PM,6,12,13,12,11,34,67,0.0,1022,20,10,74,5,Paredes
2019-01-16,20,10,0.0,11.0,5,69,02:19 PM,02:39 AM,07:22 AM,06:22 PM,6,14,15,14,11,13,60,0.0,1021,20,10,54,5,Paredes
2019-01-17,21,10,0.0,11.0,5,76,03:08 PM,03:38 AM,07:22 AM,06:22 PM,5,14,15,14,15,11,56,0.0,1020,21,10,50,5,Paredes
2019-01-18,21,9,0.0,11.0,5,83,04:02 PM,04:40 AM,07:22 AM,06:23 PM,7,15,15,15,13,15,61,0.1,1018,21,10,148,7,Paredes
2019-01-19,22,11,0.0,11.0,5,90,05:03 PM,05:43 AM,07:22 AM,06:24 PM,6,16,16,16,16,8,54,0.2,1018,22,10,106,7,Paredes
