date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,38,25,0.0,11.6,8,26,01:40 AM,02:15 PM,05:20 AM,05:50 PM,16,31,31,30,26,13,45,0.5,1013,38,10,89,20,Pombal
2019-01-02,37,24,0.0,11.6,8,19,02:25 AM,03:05 PM,05:20 AM,05:51 PM,16,31,31,30,29,16,47,0.0,1013,37,10,94,22,Pombal
2019-01-03,37,22,0.0,11.6,8,11,03:13 AM,03:56 PM,05:21 AM,05:51 PM,15,30,30,29,25,12,45,0.0,1012,37,10,85,18,Pombal
2019-01-04,36,23,0.0,11.6,8,4,04:01 AM,04:46 PM,05:21 AM,05:51 PM,17,30,30,29,23,19,48,0.2,1013,36,10,75,17,Pombal
2019-01-05,37,24,0.0,11.6,8,0,04:51 AM,05:37 PM,05:22 AM,05:52 PM,17,31,31,30,23,21,49,3.1,1013,37,10,89,17,Pombal
2019-01-06,34,24,0.0,11.6,8,0,05:41 AM,06:25 PM,05:22 AM,05:52 PM,17,29,29,28,24,34,53,2.6,1013,34,10,85,18,Pombal
2019-01-07,33,23,0.0,10.2,6,3,06:29 AM,07:13 PM,05:23 AM,05:52 PM,17,29,29,28,13,50,54,1.9,1013,33,9,117,10,Pombal
2019-01-08,33,23,0.0,10.2,6,10,07:18 AM,07:58 PM,05:23 AM,05:53 PM,18,29,29,28,16,54,56,1.2,1012,33,9,121,12,Pombal
2019-01-09,34,24,0.0,11.6,7,18,08:05 AM,08:40 PM,05:24 AM,05:53 PM,19,30,30,28,19,41,58,3.3,1011,34,10,96,14,Pombal
2019-01-10,35,24,0.0,11.6,8,25,08:51 AM,09:22 PM,05:24 AM,05:53 PM,17,30,30,29,22,20,51,0.0,1011,35,10,89,17,Pombal
2019-01-11,35,22,0.0,11.6,8,32,09:36 AM,10:02 PM,05:25 AM,05:54 PM,16,30,30,29,15,22,48,0.0,1012,35,10,115,11,Pombal
2019-01-12,36,23,0.0,11.6,8,39,10:20 AM,10:42 PM,05:25 AM,05:54 PM,16,30,30,29,13,19,46,3.6,1012,36,10,138,9,Pombal
2019-01-13,32,23,0.0,10.2,6,47,11:05 AM,11:23 PM,05:26 AM,05:54 PM,19,30,30,28,17,48,61,4.5,1012,32,10,72,12,Pombal
2019-01-14,33,23,0.0,11.6,6,54,11:51 AM,No moonset,05:26 AM,05:55 PM,19,30,30,28,18,39,61,2.6,1013,33,9,63,12,Pombal
2019-01-15,36,21,0.0,11.6,8,61,12:39 PM,12:06 AM,05:27 AM,05:55 PM,17,29,29,28,17,21,54,3.1,1013,36,10,68,11,Pombal
2019-01-16,35,23,0.0,10.2,7,69,01:32 PM,12:51 AM,05:27 AM,05:55 PM,18,30,30,29,13,59,57,10.6,1014,35,9,129,9,Pombal
2019-01-17,33,25,0.0,8.9,7,76,02:27 PM,01:41 AM,05:27 AM,05:55 PM,20,31,31,29,12,50,61,3.6,1013,33,10,99,9,Pombal
2019-01-18,33,23,0.0,10.2,6,83,03:27 PM,02:35 AM,05:28 AM,05:55 PM,20,30,30,28,15,52,63,17.1,1012,33,9,94,10,Pombal
2019-01-19,34,22,0.0,11.6,6,90,04:28 PM,03:34 AM,05:28 AM,05:56 PM,19,29,29,28,19,42,61,24.0,1012,34,8,72,12,Pombal
2019-01-20,34,24,0.0,11.6,8,98,05:32 PM,04:36 AM,05:29 AM,05:56 PM,20,30,30,28,19,42,63,8.8,1013,34,9,82,12,Pombal
2019-01-21,36,22,0.0,11.6,8,100,06:33 PM,05:41 AM,05:29 AM,05:56 PM,17,30,30,29,23,16,54,1.4,1013,36,10,91,16,Pombal
2019-01-22,36,21,0.0,11.6,8,88,07:32 PM,06:44 AM,05:30 AM,05:56 PM,15,29,29,28,19,10,49,0.0,1013,36,10,96,13,Pombal
2019-01-23,34,22,0.0,10.2,6,81,08:26 PM,07:45 AM,05:30 AM,05:56 PM,18,29,29,28,13,44,59,6.6,1013,34,10,86,9,Pombal
2019-01-24,36,23,0.0,11.6,8,73,09:17 PM,08:43 AM,05:30 AM,05:56 PM,17,30,30,29,16,35,53,7.6,1012,36,9,77,11,Pombal
2019-01-25,35,25,0.0,11.6,7,66,10:05 PM,09:38 AM,05:31 AM,05:56 PM,18,31,31,30,12,34,52,0.6,1012,35,10,76,8,Pombal
2019-01-26,33,24,0.0,10.2,6,59,10:52 PM,10:30 AM,05:31 AM,05:57 PM,19,30,30,28,23,42,59,1.4,1014,33,10,79,17,Pombal
2019-01-27,34,22,0.0,11.6,7,51,11:38 PM,11:22 AM,05:31 AM,05:57 PM,19,30,30,28,20,30,59,0.5,1013,34,10,85,14,Pombal
2019-01-28,35,21,0.0,11.6,7,44,No moonrise,12:12 PM,05:32 AM,05:57 PM,17,29,29,28,14,15,55,0.2,1013,35,10,111,10,Pombal
2019-01-29,35,22,0.0,11.6,7,37,12:24 AM,01:02 PM,05:32 AM,05:57 PM,18,30,30,28,12,31,56,1.4,1013,35,10,115,8,Pombal
2019-01-30,35,24,0.0,11.6,8,30,01:11 AM,01:53 PM,05:32 AM,05:57 PM,18,31,31,29,8,47,54,7.7,1012,35,9,108,5,Pombal
2019-01-31,34,25,0.0,10.2,7,26,01:59 AM,02:43 PM,05:33 AM,05:57 PM,20,31,31,29,12,58,58,8.0,1012,34,10,99,8,Pombal
