date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,32,22,0.0,10.2,6,26,02:37 AM,03:04 PM,06:20 AM,06:34 PM,23,29,29,26,9,58,87,13.7,1012,32,8,43,6,Portel
2019-01-02,31,23,0.0,10.2,6,19,03:25 AM,03:53 PM,06:20 AM,06:34 PM,24,30,30,26,9,62,89,8.0,1012,31,6,47,6,Portel
2019-01-03,30,23,0.0,10.2,6,11,04:13 AM,04:42 PM,06:20 AM,06:35 PM,24,30,30,26,10,58,91,17.8,1011,30,8,40,6,Portel
2019-01-04,31,23,0.0,10.2,6,4,05:03 AM,05:33 PM,06:21 AM,06:35 PM,24,29,29,26,10,61,89,5.8,1012,31,6,46,6,Portel
2019-01-05,33,23,0.0,10.2,6,0,05:53 AM,06:22 PM,06:21 AM,06:35 PM,23,30,30,26,10,53,86,11.4,1012,33,8,37,6,Portel
2019-01-06,30,23,0.0,8.8,6,0,06:42 AM,07:12 PM,06:22 AM,06:36 PM,24,29,29,26,10,58,92,36.8,1011,30,8,51,6,Portel
2019-01-07,31,23,0.0,10.2,6,3,07:31 AM,07:59 PM,06:22 AM,06:36 PM,24,29,29,25,10,60,91,25.2,1012,31,8,77,6,Portel
2019-01-08,31,22,0.0,10.2,6,10,08:18 AM,08:45 PM,06:23 AM,06:37 PM,22,28,28,25,9,64,87,12.1,1012,31,9,81,6,Portel
2019-01-09,30,22,0.0,11.6,6,18,09:04 AM,09:30 PM,06:23 AM,06:37 PM,23,28,28,25,7,56,90,18.1,1011,30,5,29,4,Portel
2019-01-10,30,22,0.0,10.2,6,25,09:49 AM,10:12 PM,06:24 AM,06:37 PM,23,28,28,25,8,71,92,26.7,1011,30,4,41,5,Portel
2019-01-11,28,22,0.0,8.8,6,32,10:32 AM,10:54 PM,06:24 AM,06:38 PM,23,27,27,24,3,67,95,20.1,1013,28,6,154,2,Portel
2019-01-12,28,22,0.0,8.8,6,39,11:15 AM,11:36 PM,06:25 AM,06:38 PM,23,27,27,24,7,69,93,36.2,1012,28,8,70,4,Portel
2019-01-13,31,22,0.0,11.6,6,47,11:58 AM,No moonset,06:25 AM,06:38 PM,23,28,28,25,8,56,91,15.1,1012,31,5,103,5,Portel
2019-01-14,27,22,0.0,11.6,6,54,12:43 PM,12:18 AM,06:25 AM,06:39 PM,24,28,28,25,7,55,94,18.3,1013,27,7,73,4,Portel
2019-01-15,30,22,0.0,7.4,6,61,01:30 PM,01:02 AM,06:26 AM,06:39 PM,24,29,29,25,8,64,91,33.5,1013,30,8,41,5,Portel
2019-01-16,30,22,0.0,11.6,6,69,02:20 PM,01:50 AM,06:26 AM,06:39 PM,24,29,29,25,8,51,91,12.3,1013,30,6,53,5,Portel
2019-01-17,32,23,0.0,11.6,6,76,03:15 PM,02:41 AM,06:26 AM,06:40 PM,24,30,30,26,8,55,88,7.3,1013,32,6,33,5,Portel
2019-01-18,29,23,0.0,11.6,6,83,04:13 PM,03:37 AM,06:27 AM,06:40 PM,24,29,29,25,8,58,93,18.3,1012,29,5,26,4,Portel
2019-01-19,29,23,0.0,10.2,6,90,05:15 PM,04:36 AM,06:27 AM,06:40 PM,24,29,29,25,9,57,95,7.3,1012,29,6,32,5,Portel
