date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,17,10,0.0,8.7,4,26,03:26 AM,02:26 PM,07:55 AM,05:27 PM,5,13,14,13,13,10,58,0.0,1032,17,10,128,9,"Portugal,+Oeiras"
2019-01-02,16,12,0.0,8.7,4,19,04:28 AM,03:01 PM,07:56 AM,05:27 PM,8,13,14,13,18,4,72,0.0,1030,16,10,173,12,"Portugal,+Oeiras"
2019-01-03,17,9,0.0,8.7,4,11,05:28 AM,03:41 PM,07:56 AM,05:28 PM,7,12,13,12,10,0,69,0.0,1027,17,10,139,8,"Portugal,+Oeiras"
2019-01-04,15,9,0.0,7.0,3,4,06:26 AM,04:23 PM,07:56 AM,05:29 PM,8,10,12,10,14,24,77,0.0,1029,15,10,83,10,"Portugal,+Oeiras"
2019-01-05,17,10,0.0,8.7,4,0,07:20 AM,05:11 PM,07:56 AM,05:30 PM,6,11,13,11,14,1,64,0.0,1033,17,10,54,10,"Portugal,+Oeiras"
2019-01-06,18,10,0.0,8.7,4,0,08:09 AM,06:02 PM,07:56 AM,05:31 PM,4,13,13,13,10,0,55,0.0,1032,18,10,118,8,"Portugal,+Oeiras"
2019-01-07,18,10,0.0,8.7,4,3,08:54 AM,06:56 PM,07:56 AM,05:32 PM,3,12,13,12,15,0,51,0.0,1029,18,10,37,11,"Portugal,+Oeiras"
2019-01-08,19,10,0.0,8.7,4,10,09:34 AM,07:52 PM,07:56 AM,05:33 PM,3,13,14,13,16,0,49,0.0,1029,19,10,100,11,"Portugal,+Oeiras"
2019-01-09,19,12,0.0,8.7,4,18,10:08 AM,08:48 PM,07:55 AM,05:34 PM,6,14,14,14,11,3,59,0.0,1023,19,10,161,8,"Portugal,+Oeiras"
2019-01-10,16,10,0.0,8.7,4,25,10:40 AM,09:45 PM,07:55 AM,05:35 PM,7,12,13,12,18,1,68,0.0,1019,16,10,72,14,"Portugal,+Oeiras"
2019-01-11,13,9,0.0,8.7,4,32,11:09 AM,10:42 PM,07:55 AM,05:36 PM,2,8,11,8,23,0,54,0.0,1025,13,10,72,17,"Portugal,+Oeiras"
2019-01-12,15,8,0.0,8.7,4,39,11:37 AM,11:39 PM,07:55 AM,05:37 PM,2,9,11,9,19,0,55,0.0,1029,15,10,54,14,"Portugal,+Oeiras"
2019-01-13,15,9,0.0,8.7,4,47,12:04 PM,No moonset,07:55 AM,05:38 PM,5,10,12,10,15,1,62,0.0,1029,15,10,44,12,"Portugal,+Oeiras"
2019-01-14,16,11,0.0,8.7,4,54,12:33 PM,12:38 AM,07:54 AM,05:39 PM,7,13,13,13,8,3,67,0.0,1025,16,10,154,7,"Portugal,+Oeiras"
2019-01-15,14,11,0.0,7.0,3,61,01:04 PM,01:38 AM,07:54 AM,05:40 PM,9,12,12,12,10,51,78,0.2,1021,14,10,214,6,"Portugal,+Oeiras"
2019-01-16,14,11,0.0,3.7,3,69,01:39 PM,02:41 AM,07:54 AM,05:41 PM,9,12,12,12,10,83,81,1.3,1020,14,10,221,7,"Portugal,+Oeiras"
2019-01-17,13,11,0.0,8.7,4,76,02:18 PM,03:47 AM,07:53 AM,05:42 PM,7,9,12,9,30,14,73,0.2,1021,13,10,181,22,"Portugal,+Oeiras"
2019-01-18,13,10,0.0,5.4,3,83,03:06 PM,04:54 AM,07:53 AM,05:43 PM,7,10,12,10,16,47,75,3.9,1022,13,8,147,12,"Portugal,+Oeiras"
2019-01-19,15,13,0.0,5.4,3,90,04:02 PM,06:01 AM,07:52 AM,05:44 PM,12,12,14,12,34,65,88,6.2,1017,15,9,294,22,"Portugal,+Oeiras"
2019-01-20,14,12,0.0,8.7,4,98,05:07 PM,07:05 AM,07:52 AM,05:45 PM,9,10,13,10,43,24,74,0.4,1019,14,10,342,31,"Portugal,+Oeiras"
2019-01-21,14,11,0.0,8.7,4,100,06:18 PM,08:03 AM,07:51 AM,05:46 PM,7,10,12,10,33,7,71,0.0,1024,14,10,266,24,"Portugal,+Oeiras"
2019-01-22,14,11,0.0,3.7,3,88,07:32 PM,08:54 AM,07:51 AM,05:47 PM,8,10,12,10,32,75,75,0.3,1024,14,10,333,23,"Portugal,+Oeiras"
2019-01-23,15,13,0.0,5.4,3,81,08:46 PM,09:38 AM,07:50 AM,05:49 PM,10,11,14,11,40,75,78,0.6,1022,15,10,333,29,"Portugal,+Oeiras"
2019-01-24,16,13,0.0,7.1,3,73,09:58 PM,10:16 AM,07:50 AM,05:50 PM,12,13,14,13,42,50,85,0.3,1019,16,10,304,29,"Portugal,+Oeiras"
2019-01-25,18,12,0.0,8.7,4,66,11:07 PM,10:51 AM,07:49 AM,05:51 PM,10,13,14,13,19,0,76,0.0,1020,18,10,21,13,"Portugal,+Oeiras"
2019-01-26,18,12,0.0,8.7,4,59,No moonrise,11:23 AM,07:48 AM,05:52 PM,9,14,14,14,14,5,72,0.0,1020,18,10,150,9,"Portugal,+Oeiras"
2019-01-27,14,12,0.0,8.7,4,51,12:14 AM,11:55 AM,07:48 AM,05:53 PM,8,10,13,10,35,21,76,0.2,1023,14,10,351,26,"Portugal,+Oeiras"
2019-01-28,15,12,0.0,8.7,4,44,01:19 AM,12:28 PM,07:47 AM,05:54 PM,9,11,13,11,32,25,79,0.0,1026,15,10,339,23,"Portugal,+Oeiras"
2019-01-29,14,9,0.0,7.1,3,37,02:21 AM,01:03 PM,07:46 AM,05:55 PM,11,11,13,11,32,61,84,0.4,1023,14,9,308,22,"Portugal,+Oeiras"
2019-01-30,15,12,0.0,3.8,3,30,03:23 AM,01:41 PM,07:45 AM,05:56 PM,11,12,13,12,31,93,86,4.2,1017,15,10,281,21,"Portugal,+Oeiras"
2019-01-31,15,14,0.0,3.8,3,26,04:21 AM,02:22 PM,07:45 AM,05:58 PM,12,12,14,12,45,89,85,7.0,1009,15,10,261,30,"Portugal,+Oeiras"
2019-02-01,14,12,0.0,5.4,3,8,05:16 AM,03:08 PM,07:44 AM,05:59 PM,6,10,13,10,55,70,64,12.1,1005,14,9,298,41,"Portugal,+Oeiras"
2019-02-02,13,11,0.0,10.6,4,1,06:06 AM,03:58 PM,07:43 AM,06:00 PM,4,9,12,9,39,14,58,0.0,1020,13,10,342,29,"Portugal,+Oeiras"
2019-02-03,13,10,0.0,10.6,4,0,06:52 AM,04:50 PM,07:42 AM,06:01 PM,4,9,11,9,20,6,65,0.0,1029,13,10,179,15,"Portugal,+Oeiras"
2019-02-04,15,9,0.0,10.6,4,0,07:33 AM,05:46 PM,07:41 AM,06:02 PM,2,10,11,10,12,5,55,0.0,1030,15,10,121,9,"Portugal,+Oeiras"
2019-02-05,17,10,0.0,10.6,4,0,08:09 AM,06:42 PM,07:40 AM,06:03 PM,4,12,13,12,11,7,55,0.0,1029,17,10,116,8,"Portugal,+Oeiras"
2019-02-06,16,12,0.0,10.0,3,7,08:42 AM,07:39 PM,07:39 AM,06:04 PM,7,13,13,13,10,22,65,0.0,1027,16,10,158,7,"Portugal,+Oeiras"
2019-02-07,15,12,0.0,10.7,4,14,09:12 AM,08:35 PM,07:38 AM,06:05 PM,10,12,13,12,14,8,80,0.0,1026,15,10,217,11,"Portugal,+Oeiras"
2019-02-08,16,12,0.0,10.0,3,22,09:40 AM,09:33 PM,07:37 AM,06:07 PM,10,14,14,14,10,18,77,0.0,1025,16,10,161,8,"Portugal,+Oeiras"
2019-02-09,14,12,0.0,10.7,4,29,10:07 AM,10:30 PM,07:36 AM,06:08 PM,10,12,13,12,11,26,82,0.1,1024,14,10,211,9,"Portugal,+Oeiras"
2019-02-10,16,13,0.0,8.5,3,37,10:35 AM,11:29 PM,07:35 AM,06:09 PM,12,13,14,13,25,58,87,1.1,1025,16,7,242,17,"Portugal,+Oeiras"
2019-02-11,15,11,0.0,10.8,4,44,11:04 AM,No moonset,07:34 AM,06:10 PM,8,11,12,11,16,3,73,0.2,1029,15,10,139,13,"Portugal,+Oeiras"
2019-02-12,19,10,0.0,10.8,4,52,11:36 AM,12:29 AM,07:33 AM,06:11 PM,9,13,14,13,15,0,69,0.0,1028,19,10,124,11,"Portugal,+Oeiras"
2019-02-13,20,12,0.0,10.8,5,60,12:12 PM,01:31 AM,07:31 AM,06:12 PM,11,16,16,16,9,0,71,0.0,1027,20,10,100,8,"Portugal,+Oeiras"
2019-02-14,17,12,0.0,10.8,4,67,12:54 PM,02:35 AM,07:30 AM,06:13 PM,10,13,14,13,31,1,76,0.0,1024,17,10,130,20,"Portugal,+Oeiras"
2019-02-15,18,12,0.0,10.1,3,75,01:44 PM,03:41 AM,07:29 AM,06:14 PM,10,13,14,13,21,50,74,0.0,1024,18,10,131,14,"Portugal,+Oeiras"
2019-02-16,19,12,0.0,10.9,5,82,02:43 PM,04:44 AM,07:28 AM,06:16 PM,8,14,15,14,18,12,67,0.0,1022,19,10,127,12,"Portugal,+Oeiras"
2019-02-17,16,12,0.0,8.5,3,90,03:50 PM,05:45 AM,07:27 AM,06:17 PM,10,13,14,13,9,58,79,0.1,1020,16,10,161,7,"Portugal,+Oeiras"
2019-02-18,13,12,0.0,5.5,3,97,05:02 PM,06:38 AM,07:25 AM,06:18 PM,9,10,12,10,26,91,83,4.9,1017,13,9,85,20,"Portugal,+Oeiras"
2019-02-19,15,10,0.0,11.0,4,100,06:17 PM,07:26 AM,07:24 AM,06:19 PM,7,10,12,10,18,20,74,0.1,1020,15,10,137,13,"Portugal,+Oeiras"
2019-02-20,15,10,0.0,11.0,3,88,07:33 PM,08:07 AM,07:23 AM,06:20 PM,8,12,13,12,11,44,72,0.0,1022,15,10,120,9,"Portugal,+Oeiras"
2019-02-21,16,12,0.0,11.0,3,80,08:45 PM,08:45 AM,07:21 AM,06:21 PM,10,12,14,12,29,24,78,0.0,1024,16,10,142,19,"Portugal,+Oeiras"
2019-02-22,17,12,0.0,8.6,3,73,09:56 PM,09:20 AM,07:20 AM,06:22 PM,10,13,14,13,32,39,76,0.0,1027,17,10,144,19,"Portugal,+Oeiras"
2019-02-23,21,12,0.0,10.1,4,65,11:04 PM,09:53 AM,07:19 AM,06:23 PM,10,15,16,15,15,38,67,0.0,1029,21,10,149,9,"Portugal,+Oeiras"
2019-02-24,20,15,0.0,10.1,4,57,No moonrise,10:26 AM,07:17 AM,06:24 PM,10,17,17,17,10,22,62,0.0,1028,20,10,45,6,"Portugal,+Oeiras"
2019-02-25,19,13,0.0,11.1,5,50,12:10 AM,11:02 AM,07:16 AM,06:25 PM,10,16,17,16,11,6,67,0.0,1028,19,10,110,7,"Portugal,+Oeiras"
2019-02-26,18,12,0.0,7.1,3,42,01:14 AM,11:39 AM,07:15 AM,06:26 PM,8,14,15,14,28,70,67,0.0,1024,18,10,125,17,"Portugal,+Oeiras"
2019-02-27,16,13,0.0,10.1,3,35,02:14 AM,12:20 PM,07:13 AM,06:27 PM,11,14,14,14,19,30,80,0.0,1028,16,10,244,13,"Portugal,+Oeiras"
2019-02-28,16,12,0.0,10.1,3,27,03:11 AM,01:05 PM,07:12 AM,06:28 PM,9,12,13,12,22,33,73,0.0,1030,16,10,263,16,"Portugal,+Oeiras"
2019-03-01,16,12,0.0,10.1,3,26,04:03 AM,01:54 PM,07:10 AM,06:30 PM,11,13,14,13,26,54,83,0.0,1027,16,10,340,18,"Portugal,+Oeiras"
2019-03-02,17,14,0.0,11.2,5,19,04:51 AM,02:45 PM,07:09 AM,06:31 PM,13,14,15,14,18,29,87,0.0,1028,17,10,333,13,"Portugal,+Oeiras"
2019-03-03,16,12,0.0,10.1,3,12,05:33 AM,03:40 PM,07:07 AM,06:32 PM,12,13,14,13,14,31,87,0.0,1024,16,10,229,10,"Portugal,+Oeiras"
2019-03-04,16,14,0.0,11.3,4,4,06:10 AM,04:36 PM,07:06 AM,06:33 PM,12,14,15,14,16,37,82,0.6,1022,16,10,285,12,"Portugal,+Oeiras"
2019-03-05,16,14,0.0,5.7,4,0,06:44 AM,05:33 PM,07:04 AM,06:34 PM,13,14,15,14,36,78,89,1.5,1015,16,9,193,25,"Portugal,+Oeiras"
2019-03-06,14,13,0.0,11.3,3,0,07:15 AM,06:29 PM,07:03 AM,06:35 PM,10,11,14,11,48,37,77,9.3,1010,14,9,273,34,"Portugal,+Oeiras"
2019-03-07,14,12,0.0,8.6,3,3,07:44 AM,07:27 PM,07:01 AM,06:36 PM,9,11,13,11,27,43,77,1.2,1018,14,10,282,19,"Portugal,+Oeiras"
2019-03-08,15,12,0.0,11.4,4,10,08:11 AM,08:24 PM,07:00 AM,06:37 PM,9,11,13,11,30,23,77,0.1,1024,15,10,307,22,"Portugal,+Oeiras"
2019-03-09,20,11,0.0,11.6,5,17,08:38 AM,09:23 PM,06:58 AM,06:38 PM,10,13,14,13,20,2,75,0.0,1031,20,10,140,14,"Portugal,+Oeiras"
2019-03-10,17,13,0.0,11.6,4,24,09:07 AM,10:22 PM,06:57 AM,06:39 PM,12,13,14,13,27,6,83,0.0,1031,17,10,181,20,"Portugal,+Oeiras"
2019-03-11,18,13,0.0,11.6,5,32,09:37 AM,11:24 PM,06:55 AM,06:40 PM,11,13,15,13,28,5,78,0.0,1030,18,10,221,19,"Portugal,+Oeiras"
2019-03-12,16,13,0.0,11.6,5,39,10:11 AM,No moonset,06:54 AM,06:41 PM,10,14,15,14,17,10,75,0.0,1029,16,10,258,14,"Portugal,+Oeiras"
2019-03-13,15,11,0.0,11.6,4,46,10:50 AM,12:26 AM,06:52 AM,06:42 PM,7,10,13,10,39,13,69,0.0,1031,15,10,179,30,"Portugal,+Oeiras"
2019-03-14,18,10,0.0,11.6,4,54,11:36 AM,01:30 AM,06:51 AM,06:43 PM,6,12,13,12,25,2,62,0.0,1030,18,10,26,17,"Portugal,+Oeiras"
2019-03-15,20,12,0.0,11.6,5,61,12:28 PM,02:31 AM,06:49 AM,06:44 PM,7,15,15,15,16,8,60,0.0,1026,20,10,157,11,"Portugal,+Oeiras"
2019-03-16,21,13,0.0,11.6,5,68,01:30 PM,03:31 AM,06:48 AM,06:45 PM,10,16,16,16,12,4,68,0.0,1021,21,10,186,9,"Portugal,+Oeiras"
2019-03-17,15,11,0.0,11.6,4,75,02:37 PM,04:26 AM,06:46 AM,06:46 PM,10,12,13,12,23,31,80,0.0,1023,15,10,335,18,"Portugal,+Oeiras"
2019-03-18,17,11,0.0,11.6,4,83,03:50 PM,05:15 AM,06:44 AM,06:47 PM,8,12,14,12,29,10,68,0.0,1024,17,10,99,21,"Portugal,+Oeiras"
2019-03-19,18,12,0.0,11.6,5,90,05:04 PM,05:58 AM,06:43 AM,06:48 PM,6,13,14,13,22,3,59,0.0,1024,18,10,22,15,"Portugal,+Oeiras"
2019-03-20,20,12,0.0,11.6,5,97,06:18 PM,06:37 AM,06:41 AM,06:49 PM,7,14,15,14,23,1,58,0.0,1025,20,10,57,17,"Portugal,+Oeiras"
2019-03-21,18,11,0.0,11.6,4,100,07:31 PM,07:13 AM,06:40 AM,06:50 PM,7,13,14,13,16,7,60,0.0,1025,18,10,119,11,"Portugal,+Oeiras"
2019-03-22,19,11,0.0,11.6,5,88,08:42 PM,07:47 AM,06:38 AM,06:51 PM,6,14,15,14,20,3,56,0.0,1024,19,10,60,14,"Portugal,+Oeiras"
