date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,32,20,0.0,13.2,6,26,01:42 AM,02:43 PM,05:08 AM,06:28 PM,21,28,28,25,9,25,79,1.9,1015,32,10,196,6,Povoacao
2019-01-02,34,21,0.0,13.2,7,19,02:23 AM,03:38 PM,05:08 AM,06:29 PM,22,29,29,26,8,8,78,2.1,1016,34,10,239,5,Povoacao
2019-01-03,35,21,0.0,13.2,6,11,03:07 AM,04:31 PM,05:09 AM,06:29 PM,22,31,31,27,8,11,76,5.0,1014,35,10,285,6,Povoacao
2019-01-04,34,22,0.0,13.2,6,4,03:53 AM,05:24 PM,05:10 AM,06:29 PM,22,31,31,27,11,15,75,17.1,1013,34,9,336,7,Povoacao
2019-01-05,34,22,0.0,13.2,6,0,04:41 AM,06:14 PM,05:10 AM,06:30 PM,22,31,31,27,8,7,74,4.8,1014,34,10,235,5,Povoacao
2019-01-06,35,20,0.0,13.2,7,0,05:31 AM,07:03 PM,05:11 AM,06:30 PM,20,29,29,26,9,3,72,0.0,1015,35,10,206,6,Povoacao
2019-01-07,34,19,0.0,13.2,7,3,06:21 AM,07:48 PM,05:12 AM,06:30 PM,20,28,28,26,10,4,73,0.0,1016,34,10,118,7,Povoacao
2019-01-08,33,19,0.0,13.2,7,10,07:12 AM,08:29 PM,05:12 AM,06:30 PM,20,27,27,25,11,7,74,0.2,1017,33,10,84,7,Povoacao
2019-01-09,31,17,0.0,13.2,7,18,08:02 AM,09:09 PM,05:13 AM,06:30 PM,19,25,25,24,14,9,75,0.2,1017,31,10,57,10,Povoacao
2019-01-10,30,19,0.0,13.2,6,25,08:52 AM,09:46 PM,05:14 AM,06:30 PM,20,26,26,24,11,26,81,9.0,1016,30,7,104,8,Povoacao
2019-01-11,31,20,0.0,13.2,6,32,09:41 AM,10:22 PM,05:14 AM,06:31 PM,21,28,28,25,10,17,82,5.0,1016,31,10,144,7,Povoacao
2019-01-12,30,19,0.0,13.2,6,39,10:30 AM,10:57 PM,05:15 AM,06:31 PM,21,26,26,24,11,16,82,2.8,1016,30,8,105,8,Povoacao
2019-01-13,31,18,0.0,13.2,6,47,11:20 AM,11:34 PM,05:16 AM,06:31 PM,20,26,26,24,10,21,81,7.2,1017,31,7,148,7,Povoacao
2019-01-14,32,19,0.0,13.2,6,54,12:11 PM,No moonset,05:16 AM,06:31 PM,20,27,27,25,9,28,79,3.3,1016,32,10,96,7,Povoacao
2019-01-15,35,20,0.0,13.1,7,61,01:05 PM,12:11 AM,05:17 AM,06:31 PM,21,29,29,26,9,14,75,0.0,1016,35,10,173,6,Povoacao
2019-01-16,36,21,0.0,13.1,7,69,02:01 PM,12:52 AM,05:18 AM,06:31 PM,22,31,31,27,10,13,74,4.7,1016,36,10,160,6,Povoacao
2019-01-17,34,22,0.0,13.1,6,76,03:01 PM,01:37 AM,05:18 AM,06:31 PM,22,31,31,27,10,19,76,11.6,1015,34,9,208,6,Povoacao
2019-01-18,34,21,0.0,13.1,6,83,04:03 PM,02:27 AM,05:19 AM,06:31 PM,22,31,31,27,9,27,74,2.2,1014,34,9,163,6,Povoacao
2019-01-19,35,20,0.0,13.1,7,90,05:07 PM,03:25 AM,05:20 AM,06:31 PM,19,29,29,27,11,8,67,0.0,1014,35,10,101,7,Povoacao
2019-01-20,35,21,0.0,13.1,7,98,06:09 PM,04:26 AM,05:20 AM,06:31 PM,20,30,30,27,10,11,69,0.0,1014,35,10,155,7,Povoacao
2019-01-21,34,21,0.0,13.1,7,100,07:08 PM,05:33 AM,05:21 AM,06:31 PM,19,29,29,27,11,10,65,0.0,1016,34,10,112,7,Povoacao
2019-01-22,34,20,0.0,13.1,7,88,08:02 PM,06:39 AM,05:22 AM,06:30 PM,19,29,29,26,11,16,68,0.0,1016,34,10,127,8,Povoacao
2019-01-23,34,20,0.0,13.1,7,81,08:51 PM,07:46 AM,05:22 AM,06:30 PM,19,27,27,26,11,10,67,0.3,1016,34,10,125,8,Povoacao
2019-01-24,34,20,0.0,13.1,6,73,09:37 PM,08:49 AM,05:23 AM,06:30 PM,21,29,29,26,12,13,73,7.2,1016,34,9,81,8,Povoacao
2019-01-25,34,19,0.0,13.1,6,66,10:19 PM,09:50 AM,05:24 AM,06:30 PM,20,27,27,26,13,18,74,9.5,1016,34,9,133,9,Povoacao
2019-01-26,33,19,0.0,13.1,6,59,11:00 PM,10:47 AM,05:24 AM,06:30 PM,20,27,27,25,12,17,77,10.8,1017,33,9,98,9,Povoacao
2019-01-27,33,19,0.0,13.0,6,51,11:41 PM,11:44 AM,05:25 AM,06:29 PM,21,27,27,25,11,15,78,7.2,1018,33,8,136,8,Povoacao
2019-01-28,32,20,0.0,13.0,6,44,No moonrise,12:39 PM,05:26 AM,06:29 PM,21,28,28,26,11,13,80,14.0,1019,32,7,142,8,Povoacao
2019-01-29,33,20,0.0,13.0,6,37,12:23 AM,01:34 PM,05:26 AM,06:29 PM,21,30,30,27,11,5,73,3.0,1018,33,10,143,8,Povoacao
2019-01-30,37,21,0.0,13.0,8,30,01:06 AM,02:27 PM,05:27 AM,06:29 PM,20,32,32,29,10,12,67,0.1,1016,37,10,174,7,Povoacao
2019-01-31,37,22,0.0,13.0,8,26,01:51 AM,03:20 PM,05:28 AM,06:28 PM,20,33,33,30,11,9,64,0.0,1015,37,10,173,7,Povoacao
2019-02-01,37,23,0.0,13.0,8,8,02:38 AM,04:11 PM,05:28 AM,06:28 PM,21,33,33,30,10,8,64,0.0,1015,37,10,174,7,Povoacao
2019-02-02,39,22,0.0,13.0,8,1,03:27 AM,04:59 PM,05:29 AM,06:28 PM,19,31,31,29,10,7,63,0.0,1015,39,10,126,7,Povoacao
2019-02-03,36,21,0.0,13.0,7,0,04:17 AM,05:45 PM,05:29 AM,06:27 PM,21,31,31,28,10,11,69,1.0,1013,36,10,182,7,Povoacao
2019-02-04,35,22,0.0,13.0,6,0,05:07 AM,06:28 PM,05:30 AM,06:27 PM,21,29,29,27,9,34,74,8.2,1013,35,9,202,7,Povoacao
2019-02-05,28,21,0.0,8.1,6,0,05:58 AM,07:08 PM,05:31 AM,06:26 PM,21,26,26,24,9,84,86,5.2,1014,28,7,219,7,Povoacao
2019-02-06,30,21,0.0,10.7,6,7,06:48 AM,07:46 PM,05:31 AM,06:26 PM,22,27,27,24,8,76,86,12.0,1014,30,7,212,6,Povoacao
2019-02-07,30,21,0.0,12.9,6,14,07:38 AM,08:22 PM,05:32 AM,06:26 PM,22,28,28,24,5,70,89,63.2,1012,30,6,166,4,Povoacao
2019-02-08,31,21,0.0,12.9,6,22,08:26 AM,08:58 PM,05:32 AM,06:25 PM,22,27,27,24,8,50,88,11.7,1012,31,7,193,5,Povoacao
2019-02-09,29,20,0.0,12.9,6,29,09:16 AM,09:33 PM,05:33 AM,06:25 PM,22,26,26,24,9,49,90,9.2,1013,29,7,207,5,Povoacao
2019-02-10,30,20,0.0,12.9,6,37,10:05 AM,10:09 PM,05:33 AM,06:24 PM,22,27,27,25,9,34,84,9.1,1014,30,9,160,6,Povoacao
2019-02-11,33,20,0.0,12.9,7,44,10:57 AM,10:48 PM,05:34 AM,06:24 PM,20,27,27,26,11,10,73,1.0,1015,33,10,71,7,Povoacao
2019-02-12,36,20,0.0,12.9,7,52,11:50 AM,11:30 PM,05:35 AM,06:23 PM,19,28,28,26,11,5,69,0.0,1014,36,10,215,6,Povoacao
2019-02-13,30,22,0.0,8.0,6,60,12:46 PM,No moonset,05:35 AM,06:22 PM,21,28,28,25,11,72,82,20.8,1013,30,8,247,6,Povoacao
2019-02-14,28,20,0.0,9.3,5,67,01:46 PM,12:15 AM,05:36 AM,06:22 PM,20,25,25,23,8,75,84,2.0,1015,28,9,217,7,Povoacao
2019-02-15,30,19,0.0,12.9,6,75,02:46 PM,01:08 AM,05:36 AM,06:21 PM,21,26,26,24,8,48,85,10.4,1013,30,9,179,6,Povoacao
2019-02-16,33,22,0.0,12.8,6,82,03:48 PM,02:05 AM,05:37 AM,06:21 PM,22,29,29,26,7,50,84,20.3,1010,33,8,168,5,Povoacao
2019-02-17,33,22,0.0,12.8,6,90,04:48 PM,03:08 AM,05:37 AM,06:20 PM,23,30,30,26,5,70,85,13.6,1011,33,8,227,3,Povoacao
2019-02-18,34,20,0.0,12.8,6,97,05:44 PM,04:14 AM,05:38 AM,06:19 PM,22,29,29,25,10,53,82,19.9,1012,34,8,240,5,Povoacao
2019-02-19,27,20,0.0,11.9,6,100,06:36 PM,05:21 AM,05:38 AM,06:19 PM,23,27,27,24,7,60,89,22.5,1012,27,8,291,4,Povoacao
2019-02-20,36,23,0.0,12.8,6,88,07:25 PM,06:27 AM,05:38 AM,06:18 PM,23,32,32,28,9,28,77,25.9,1011,36,8,301,5,Povoacao
2019-02-21,33,23,0.0,12.8,6,80,08:10 PM,07:31 AM,05:39 AM,06:17 PM,23,31,31,27,8,32,82,33.3,1014,33,7,211,5,Povoacao
2019-02-22,34,22,0.0,12.8,6,73,08:53 PM,08:32 AM,05:39 AM,06:17 PM,23,31,31,27,9,12,79,13.6,1015,34,9,202,6,Povoacao
2019-02-23,36,22,0.0,12.8,7,65,09:36 PM,09:32 AM,05:40 AM,06:16 PM,23,32,32,28,9,10,78,14.4,1013,36,9,175,6,Povoacao
2019-02-24,36,23,0.0,12.8,7,57,10:19 PM,10:30 AM,05:40 AM,06:15 PM,23,33,33,28,9,11,75,7.5,1011,36,9,222,6,Povoacao
2019-02-25,37,23,0.0,12.7,7,50,11:03 PM,11:27 AM,05:41 AM,06:15 PM,22,33,33,29,10,11,68,10.6,1010,37,9,219,6,Povoacao
2019-02-26,35,25,0.0,12.7,7,42,11:48 PM,12:22 PM,05:41 AM,06:14 PM,23,33,33,29,8,14,73,20.2,1011,35,8,209,5,Povoacao
